# _root_ Ακόμη και σε μια μικρή κοινότητα όπως η δική μου , που βρίσκεται σε μια χώρα όπου η οικοδόμηση έχει υψηλό κόστος για κλιματικούς λόγους , σήμερα η απλή κατασκευή ενός σχολικού κτιρίου βρίσκεται ήδη πάνω από την τιμή κατωφλίου .
#goldHeads=6,6,34,6,6,3,6,9,6,9,13,13,6,13,16,14,20,19,20,16,22,20,20,25,23,34,34,30,30,34,33,33,30,0,34,34,36,39,37,39,0,
#predictedHeads=2,20,2,6,6,3,6,9,6,9,13,13,6,13,16,14,16,19,20,0,22,20,22,25,23,27,25,30,30,34,33,33,30,27,36,34,36,39,37,39,0,
(0,1),-0.361764 # DEPENDENCYPART_ARC
(0,2),-0.378045 # DEPENDENCYPART_ARC
(0,3),-0.693456 # DEPENDENCYPART_ARC
(0,5),-0.597898 # DEPENDENCYPART_ARC
(0,6),-0.540951 # DEPENDENCYPART_ARC
(0,7),-0.693386 # DEPENDENCYPART_ARC
(0,9),-1.01406 # DEPENDENCYPART_ARC
(0,11),-0.355512 # DEPENDENCYPART_ARC
(0,13),-0.302754 # DEPENDENCYPART_ARC
(0,14),-2.23717 # DEPENDENCYPART_ARC
(0,16),-1.70757 # DEPENDENCYPART_ARC
(0,17),-1.31103 # DEPENDENCYPART_ARC
(0,19),-1.9835 # DEPENDENCYPART_ARC
(0,20),0.0137703 # DEPENDENCYPART_ARC
(0,21),-1.83639 # DEPENDENCYPART_ARC
(0,22),-2.14143 # DEPENDENCYPART_ARC
(0,23),-3.86919 # DEPENDENCYPART_ARC
(0,24),-1.94656 # DEPENDENCYPART_ARC
(0,25),-2.04207 # DEPENDENCYPART_ARC
(0,26),-1.59833 # DEPENDENCYPART_ARC
(0,27),-1.55492 # DEPENDENCYPART_ARC
(0,29),-1.95396 # DEPENDENCYPART_ARC
(0,30),-2.21822 # DEPENDENCYPART_ARC
(0,32),-2.66827 # DEPENDENCYPART_ARC
(0,33),-3.24523 # DEPENDENCYPART_ARC
(0,34),-1.62684 # DEPENDENCYPART_ARC
(0,35),-1.87979 # DEPENDENCYPART_ARC
(0,36),-1.9103 # DEPENDENCYPART_ARC
(0,37),-3.04998 # DEPENDENCYPART_ARC
(0,39),-2.78579 # DEPENDENCYPART_ARC
(0,40),-2.86699 # DEPENDENCYPART_ARC
(0,41),4.56978 # DEPENDENCYPART_ARC
(1,2),0.250862 # DEPENDENCYPART_ARC
(1,3),0.00925779 # DEPENDENCYPART_ARC
(1,5),-1.30392 # DEPENDENCYPART_ARC
(1,6),-1.02734 # DEPENDENCYPART_ARC
(1,7),-1.01007 # DEPENDENCYPART_ARC
(1,8),-1.70005 # DEPENDENCYPART_ARC
(1,9),-1.74147 # DEPENDENCYPART_ARC
(1,10),-1.10825 # DEPENDENCYPART_ARC
(1,11),-0.568442 # DEPENDENCYPART_ARC
(1,12),-2.19676 # DEPENDENCYPART_ARC
(1,13),-1.29791 # DEPENDENCYPART_ARC
(1,14),-1.6473 # DEPENDENCYPART_ARC
(1,16),-2.64089 # DEPENDENCYPART_ARC
