# _root_ Ήταν στεγασμένη με ένα τετράγωνο κτήριο , ανοικτό στη νότια πλευρά , όπου υπήρχε δωρική στοά .
#goldHeads=0,1,2,6,6,3,1,6,8,11,9,14,14,11,16,14,14,
#predictedHeads=0,1,2,6,6,3,8,5,8,11,9,14,14,0,16,14,0,
(0,1),1.13764 # DEPENDENCYPART_ARC
(0,2),-0.876544 # DEPENDENCYPART_ARC
(0,3),-1.11064 # DEPENDENCYPART_ARC
(0,4),-1.6376 # DEPENDENCYPART_ARC
(0,5),-1.43572 # DEPENDENCYPART_ARC
(0,6),-1.47761 # DEPENDENCYPART_ARC
(0,7),-0.413041 # DEPENDENCYPART_ARC
(0,8),-1.80965 # DEPENDENCYPART_ARC
(0,9),-1.72633 # DEPENDENCYPART_ARC
(0,10),-1.28146 # DEPENDENCYPART_ARC
(0,11),-1.65463 # DEPENDENCYPART_ARC
(0,12),-0.699315 # DEPENDENCYPART_ARC
(0,13),-1.38135 # DEPENDENCYPART_ARC
(0,14),-0.232639 # DEPENDENCYPART_ARC
(0,15),-1.47292 # DEPENDENCYPART_ARC
(0,16),-1.82563 # DEPENDENCYPART_ARC
(0,17),2.98478 # DEPENDENCYPART_ARC
(1,2),3.22125 # DEPENDENCYPART_ARC
(1,3),0.971047 # DEPENDENCYPART_ARC
(1,4),-1.46712 # DEPENDENCYPART_ARC
(1,5),-0.887401 # DEPENDENCYPART_ARC
(1,6),0.479868 # DEPENDENCYPART_ARC
(1,7),0.550027 # DEPENDENCYPART_ARC
(1,8),-0.204258 # DEPENDENCYPART_ARC
(1,9),0.312569 # DEPENDENCYPART_ARC
(1,10),-2.09572 # DEPENDENCYPART_ARC
(1,11),-0.796195 # DEPENDENCYPART_ARC
(1,12),0.258557 # DEPENDENCYPART_ARC
(1,13),-0.24932 # DEPENDENCYPART_ARC
(1,14),-4.10883 # DEPENDENCYPART_ARC
(1,15),-2.52537 # DEPENDENCYPART_ARC
(1,16),-1.59923 # DEPENDENCYPART_ARC
(1,17),-0.600845 # DEPENDENCYPART_ARC
(2,1),-1.65925 # DEPENDENCYPART_ARC
(2,3),1.56171 # DEPENDENCYPART_ARC
(2,4),-0.796802 # DEPENDENCYPART_ARC
(2,5),-0.935016 # DEPENDENCYPART_ARC
(2,6),-1.13985 # DEPENDENCYPART_ARC
(2,7),0.164633 # DEPENDENCYPART_ARC
(2,8),-0.763355 # DEPENDENCYPART_ARC
(2,9),-0.162854 # DEPENDENCYPART_ARC
(2,10),-2.02134 # DEPENDENCYPART_ARC
(2,11),-1.53975 # DEPENDENCYPART_ARC
(2,12),0.215692 # DEPENDENCYPART_ARC
(2,13),-0.379272 # DEPENDENCYPART_ARC
(2,14),-0.721377 # DEPENDENCYPART_ARC
(2,15),-2.65671 # DEPENDENCYPART_ARC
(2,16),-2.29464 # DEPENDENCYPART_ARC
(2,17),-0.35765 # DEPENDENCYPART_ARC
(3,1),-0.284763 # DEPENDENCYPART_ARC
(3,2),0.142048 # DEPENDENCYPART_ARC
(3,4),0.540852 # DEPENDENCYPART_ARC
(3,5),1.33002 # DEPENDENCYPART_ARC
(3,6),2.1159 # DEPENDENCYPART_ARC
(3,7),0.396525 # DEPENDENCYPART_ARC
(3,8),0.263777 # DEPENDENCYPART_ARC
(3,9),-0.197895 # DEPENDENCYPART_ARC
(3,10),-0.106234 # DEPENDENCYPART_ARC
(3,11),0.846974 # DEPENDENCYPART_ARC
(3,12),0.0946979 # DEPENDENCYPART_ARC
(3,13),-0.279559 # DEPENDENCYPART_ARC
(3,14),-1.1556 # DEPENDENCYPART_ARC
(3,15),-0.900345 # DEPENDENCYPART_ARC
(3,16),-0.487248 # DEPENDENCYPART_ARC
(3,17),-0.479942 # DEPENDENCYPART_ARC
(4,1),-2.52597 # DEPENDENCYPART_ARC
(4,2),-1.54393 # DEPENDENCYPART_ARC
(4,3),-0.190875 # DEPENDENCYPART_ARC
(4,5),0.19859 # DEPENDENCYPART_ARC
(4,6),0.639836 # DEPENDENCYPART_ARC
(4,7),0.288695 # DEPENDENCYPART_ARC
(4,8),-0.894122 # DEPENDENCYPART_ARC
(4,9),-0.25893 # DEPENDENCYPART_ARC
(4,10),-0.980564 # DEPENDENCYPART_ARC
(4,11),-0.909355 # DEPENDENCYPART_ARC
(4,12),-0.109636 # DEPENDENCYPART_ARC
(4,13),0.123087 # DEPENDENCYPART_ARC
(4,14),-2.14283 # DEPENDENCYPART_ARC
(4,15),-1.6086 # DEPENDENCYPART_ARC
(4,16),-1.44045 # DEPENDENCYPART_ARC
(4,17),-0.651912 # DEPENDENCYPART_ARC
(5,1),-5.08589 # DEPENDENCYPART_ARC
(5,2),-0.763732 # DEPENDENCYPART_ARC
(5,3),-0.125519 # DEPENDENCYPART_ARC
(5,4),1.08125 # DEPENDENCYPART_ARC
(5,6),0.672584 # DEPENDENCYPART_ARC
(5,7),-0.192417 # DEPENDENCYPART_ARC
(5,8),0.497061 # DEPENDENCYPART_ARC
(5,9),-0.663467 # DEPENDENCYPART_ARC
(5,10),-1.21115 # DEPENDENCYPART_ARC
(5,11),-1.18234 # DEPENDENCYPART_ARC
(5,12),-0.405556 # DEPENDENCYPART_ARC
(5,13),-0.482214 # DEPENDENCYPART_ARC
(5,14),-1.39958 # DEPENDENCYPART_ARC
(5,15),-1.96832 # DEPENDENCYPART_ARC
(5,16),-2.08545 # DEPENDENCYPART_ARC
(5,17),-0.952707 # DEPENDENCYPART_ARC
(6,1),-1.18808 # DEPENDENCYPART_ARC
(6,2),-0.127326 # DEPENDENCYPART_ARC
(6,3),0.25508 # DEPENDENCYPART_ARC
(6,4),3.76598 # DEPENDENCYPART_ARC
(6,5),3.99977 # DEPENDENCYPART_ARC
(6,7),0.328674 # DEPENDENCYPART_ARC
(6,8),0.256782 # DEPENDENCYPART_ARC
(6,9),-0.318676 # DEPENDENCYPART_ARC
(6,10),-0.316445 # DEPENDENCYPART_ARC
(6,11),-0.184927 # DEPENDENCYPART_ARC
(6,12),-0.0103082 # DEPENDENCYPART_ARC
(6,13),-0.910756 # DEPENDENCYPART_ARC
(6,14),-1.17324 # DEPENDENCYPART_ARC
(6,15),-1.39608 # DEPENDENCYPART_ARC
(6,16),-1.76262 # DEPENDENCYPART_ARC
(6,17),-0.686561 # DEPENDENCYPART_ARC
(7,1),-0.153771 # DEPENDENCYPART_ARC
(7,2),-0.0600485 # DEPENDENCYPART_ARC
(7,3),0.36148 # DEPENDENCYPART_ARC
(7,4),0.122101 # DEPENDENCYPART_ARC
(7,5),0.343411 # DEPENDENCYPART_ARC
(7,6),0.638544 # DEPENDENCYPART_ARC
(7,8),0.25107 # DEPENDENCYPART_ARC
(7,9),0.296876 # DEPENDENCYPART_ARC
(7,10),0.212145 # DEPENDENCYPART_ARC
(7,11),0.216046 # DEPENDENCYPART_ARC
(7,12),0.348112 # DEPENDENCYPART_ARC
(7,13),-0.270359 # DEPENDENCYPART_ARC
(7,14),-0.362799 # DEPENDENCYPART_ARC
(7,15),-0.642123 # DEPENDENCYPART_ARC
(7,16),-0.878431 # DEPENDENCYPART_ARC
(7,17),0.0453356 # DEPENDENCYPART_ARC
(8,1),-3.9252 # DEPENDENCYPART_ARC
(8,2),-1.13405 # DEPENDENCYPART_ARC
(8,3),-0.149468 # DEPENDENCYPART_ARC
(8,4),0.201599 # DEPENDENCYPART_ARC
(8,5),-0.839895 # DEPENDENCYPART_ARC
(8,6),0.0732088 # DEPENDENCYPART_ARC
(8,7),0.826627 # DEPENDENCYPART_ARC
(8,9),0.934835 # DEPENDENCYPART_ARC
(8,10),-0.148161 # DEPENDENCYPART_ARC
(8,11),0.238109 # DEPENDENCYPART_ARC
(8,12),0.474103 # DEPENDENCYPART_ARC
(8,13),0.108365 # DEPENDENCYPART_ARC
(8,14),-0.707672 # DEPENDENCYPART_ARC
(8,15),-1.61093 # DEPENDENCYPART_ARC
(8,16),-1.30372 # DEPENDENCYPART_ARC
(8,17),-0.113425 # DEPENDENCYPART_ARC
(9,1),-1.57759 # DEPENDENCYPART_ARC
(9,2),-1.18345 # DEPENDENCYPART_ARC
(9,3),-0.0887103 # DEPENDENCYPART_ARC
(9,4),-0.342752 # DEPENDENCYPART_ARC
(9,5),-0.325539 # DEPENDENCYPART_ARC
(9,6),-1.30117 # DEPENDENCYPART_ARC
(9,7),0.590041 # DEPENDENCYPART_ARC
(9,8),0.38508 # DEPENDENCYPART_ARC
(9,10),1.20246 # DEPENDENCYPART_ARC
(9,11),3.27297 # DEPENDENCYPART_ARC
(9,12),0.451172 # DEPENDENCYPART_ARC
(9,13),-0.162908 # DEPENDENCYPART_ARC
(9,14),-1.61863 # DEPENDENCYPART_ARC
(9,15),-1.15969 # DEPENDENCYPART_ARC
(9,16),-0.287838 # DEPENDENCYPART_ARC
(9,17),-0.42168 # DEPENDENCYPART_ARC
(10,1),-4.95654 # DEPENDENCYPART_ARC
(10,2),-1.69649 # DEPENDENCYPART_ARC
(10,3),-1.17576 # DEPENDENCYPART_ARC
(10,4),-0.898431 # DEPENDENCYPART_ARC
(10,5),-1.30712 # DEPENDENCYPART_ARC
(10,6),-1.39216 # DEPENDENCYPART_ARC
(10,7),-0.980137 # DEPENDENCYPART_ARC
(10,8),-0.104814 # DEPENDENCYPART_ARC
(10,9),-0.729119 # DEPENDENCYPART_ARC
(10,11),0.436911 # DEPENDENCYPART_ARC
(10,12),-0.193876 # DEPENDENCYPART_ARC
(10,13),-0.262069 # DEPENDENCYPART_ARC
(10,14),-0.423797 # DEPENDENCYPART_ARC
(10,15),-2.35245 # DEPENDENCYPART_ARC
(10,16),-2.07298 # DEPENDENCYPART_ARC
(10,17),-0.781591 # DEPENDENCYPART_ARC
(11,1),-2.10742 # DEPENDENCYPART_ARC
(11,2),-1.08704 # DEPENDENCYPART_ARC
(11,3),-0.658953 # DEPENDENCYPART_ARC
(11,4),1.17271 # DEPENDENCYPART_ARC
(11,5),-0.142817 # DEPENDENCYPART_ARC
(11,6),-0.641009 # DEPENDENCYPART_ARC
(11,7),-0.0265793 # DEPENDENCYPART_ARC
(11,8),-0.825803 # DEPENDENCYPART_ARC
(11,9),0.870721 # DEPENDENCYPART_ARC
(11,10),3.49489 # DEPENDENCYPART_ARC
(11,12),0.396969 # DEPENDENCYPART_ARC
(11,13),-0.0958778 # DEPENDENCYPART_ARC
(11,14),-0.473389 # DEPENDENCYPART_ARC
(11,15),-1.30182 # DEPENDENCYPART_ARC
(11,16),-1.34446 # DEPENDENCYPART_ARC
(11,17),-0.643976 # DEPENDENCYPART_ARC
(12,1),-0.497603 # DEPENDENCYPART_ARC
(12,2),-0.535817 # DEPENDENCYPART_ARC
(12,3),-0.112156 # DEPENDENCYPART_ARC
(12,4),-0.505559 # DEPENDENCYPART_ARC
(12,5),-0.397088 # DEPENDENCYPART_ARC
(12,6),0.211364 # DEPENDENCYPART_ARC
(12,7),0.429143 # DEPENDENCYPART_ARC
(12,8),-0.288194 # DEPENDENCYPART_ARC
(12,9),0.1652 # DEPENDENCYPART_ARC
(12,10),0.13746 # DEPENDENCYPART_ARC
(12,11),0.316609 # DEPENDENCYPART_ARC
(12,13),-0.00133725 # DEPENDENCYPART_ARC
(12,14),-0.115194 # DEPENDENCYPART_ARC
(12,15),-0.406325 # DEPENDENCYPART_ARC
(12,16),-0.242109 # DEPENDENCYPART_ARC
(12,17),-0.218682 # DEPENDENCYPART_ARC
(13,1),-0.986652 # DEPENDENCYPART_ARC
(13,2),-1.40348 # DEPENDENCYPART_ARC
(13,3),-0.619683 # DEPENDENCYPART_ARC
(13,4),-0.599611 # DEPENDENCYPART_ARC
(13,5),-0.862808 # DEPENDENCYPART_ARC
