# _root_ Τη Μύκονο την λατρεύεις ή τη μισείς : όχι μόνο δεν υπάρχει ενδιάμεση αντίδραση , αλλά συνήθως , το αρχικό συναίσθημα διαρκεί για πάντα .
#goldHeads=2,5,4,5,8,7,5,0,10,12,12,16,14,12,16,8,22,16,21,21,22,16,22,23,0,
#predictedHeads=2,5,4,5,16,7,5,0,10,12,12,16,14,12,16,8,16,22,21,21,22,16,22,23,0,
(0,2),-0.832614 # DEPENDENCYPART_ARC
(0,4),0.686457 # DEPENDENCYPART_ARC
(0,5),-1.08545 # DEPENDENCYPART_ARC
(0,7),-1.83443 # DEPENDENCYPART_ARC
(0,8),0.42081 # DEPENDENCYPART_ARC
(0,10),-1.3637 # DEPENDENCYPART_ARC
(0,12),-0.199085 # DEPENDENCYPART_ARC
(0,13),-1.69646 # DEPENDENCYPART_ARC
(0,14),-1.61591 # DEPENDENCYPART_ARC
(0,15),-0.124804 # DEPENDENCYPART_ARC
(0,16),-0.371154 # DEPENDENCYPART_ARC
(0,17),-1.06737 # DEPENDENCYPART_ARC
(0,18),-0.37772 # DEPENDENCYPART_ARC
(0,20),-2.34278 # DEPENDENCYPART_ARC
(0,21),-2.07954 # DEPENDENCYPART_ARC
(0,22),-0.988793 # DEPENDENCYPART_ARC
(0,23),-4.34993 # DEPENDENCYPART_ARC
(0,24),-1.22569 # DEPENDENCYPART_ARC
(0,25),3.27408 # DEPENDENCYPART_ARC
(1,5),-0.704422 # DEPENDENCYPART_ARC
(1,10),-1.27303 # DEPENDENCYPART_ARC
(1,14),-2.64516 # DEPENDENCYPART_ARC
(1,16),-0.892378 # DEPENDENCYPART_ARC
(1,17),-1.67473 # DEPENDENCYPART_ARC
(1,21),-2.71768 # DEPENDENCYPART_ARC
(1,24),-1.89589 # DEPENDENCYPART_ARC
(2,1),3.26848 # DEPENDENCYPART_ARC
(2,4),0.501574 # DEPENDENCYPART_ARC
(2,5),-0.49342 # DEPENDENCYPART_ARC
(2,6),-1.75958 # DEPENDENCYPART_ARC
(2,7),-1.47126 # DEPENDENCYPART_ARC
(2,8),-0.892685 # DEPENDENCYPART_ARC
(2,10),-1.65755 # DEPENDENCYPART_ARC
(2,12),-1.85725 # DEPENDENCYPART_ARC
(2,13),-1.88054 # DEPENDENCYPART_ARC
(2,14),-2.75924 # DEPENDENCYPART_ARC
(2,15),-1.26421 # DEPENDENCYPART_ARC
(2,16),-1.40829 # DEPENDENCYPART_ARC
(2,17),-2.03457 # DEPENDENCYPART_ARC
(2,18),-1.533 # DEPENDENCYPART_ARC
(2,19),-2.70069 # DEPENDENCYPART_ARC
(2,20),-2.17213 # DEPENDENCYPART_ARC
(2,21),-3.93626 # DEPENDENCYPART_ARC
(2,22),-3.42979 # DEPENDENCYPART_ARC
(2,23),-2.78703 # DEPENDENCYPART_ARC
(2,24),-2.59976 # DEPENDENCYPART_ARC
(2,25),-1.58819 # DEPENDENCYPART_ARC
(3,5),-0.565236 # DEPENDENCYPART_ARC
(3,7),-1.38709 # DEPENDENCYPART_ARC
(3,10),-1.3787 # DEPENDENCYPART_ARC
(3,13),-2.233 # DEPENDENCYPART_ARC
(3,14),-2.27955 # DEPENDENCYPART_ARC
(3,16),-1.32881 # DEPENDENCYPART_ARC
(3,17),-1.6411 # DEPENDENCYPART_ARC
(3,20),-1.97037 # DEPENDENCYPART_ARC
(3,21),-2.28118 # DEPENDENCYPART_ARC
(3,24),-1.94698 # DEPENDENCYPART_ARC
(4,1),0.0314919 # DEPENDENCYPART_ARC
(4,2),0.350433 # DEPENDENCYPART_ARC
(4,3),4.12463 # DEPENDENCYPART_ARC
(4,5),0.622207 # DEPENDENCYPART_ARC
(4,6),-1.29971 # DEPENDENCYPART_ARC
(4,7),-0.989848 # DEPENDENCYPART_ARC
(4,8),0.10441 # DEPENDENCYPART_ARC
(4,9),-1.03634 # DEPENDENCYPART_ARC
