# _root_ Σημειώνεται πάντως ότι το " νέο , ευέλικτο Σύμφωνο Σταθερότητας " δίνει μεγαλύτερη έμφαση στο δημόσιο χρέος , κάτι το οποίο δεν ευνοεί χώρες όπως η Ελλάδα .
#goldHeads=0,1,1,9,9,7,9,7,12,9,9,3,14,12,12,17,15,12,3,21,23,23,19,23,24,27,24,0,
#predictedHeads=0,1,1,6,6,7,12,9,7,9,12,3,14,12,12,17,15,12,21,21,23,23,14,23,24,27,23,0,
(0,1),0.846879 # DEPENDENCYPART_ARC
(0,2),-1.21569 # DEPENDENCYPART_ARC
(0,3),-1.34903 # DEPENDENCYPART_ARC
(0,5),-0.506489 # DEPENDENCYPART_ARC
(0,6),-1.86921 # DEPENDENCYPART_ARC
(0,7),-0.275984 # DEPENDENCYPART_ARC
(0,8),-1.826 # DEPENDENCYPART_ARC
(0,9),-1.54108 # DEPENDENCYPART_ARC
(0,10),-1.36921 # DEPENDENCYPART_ARC
(0,11),-0.577127 # DEPENDENCYPART_ARC
(0,12),0.646647 # DEPENDENCYPART_ARC
(0,13),-1.61766 # DEPENDENCYPART_ARC
(0,14),-1.50173 # DEPENDENCYPART_ARC
(0,15),-2.07797 # DEPENDENCYPART_ARC
(0,16),-2.15205 # DEPENDENCYPART_ARC
(0,17),-1.51758 # DEPENDENCYPART_ARC
(0,18),-0.699416 # DEPENDENCYPART_ARC
(0,19),-1.9945 # DEPENDENCYPART_ARC
(0,23),-1.12694 # DEPENDENCYPART_ARC
(0,24),-1.5761 # DEPENDENCYPART_ARC
(0,25),-1.58146 # DEPENDENCYPART_ARC
(0,27),-1.90083 # DEPENDENCYPART_ARC
(0,28),3.42919 # DEPENDENCYPART_ARC
(1,2),1.93429 # DEPENDENCYPART_ARC
(1,3),1.58461 # DEPENDENCYPART_ARC
(1,4),-2.38935 # DEPENDENCYPART_ARC
(1,5),0.323336 # DEPENDENCYPART_ARC
(1,6),0.64353 # DEPENDENCYPART_ARC
(1,7),0.287428 # DEPENDENCYPART_ARC
(1,8),-1.8183 # DEPENDENCYPART_ARC
(1,9),-0.557642 # DEPENDENCYPART_ARC
(1,10),-1.74039 # DEPENDENCYPART_ARC
(1,11),0.234432 # DEPENDENCYPART_ARC
(1,12),-2.71248 # DEPENDENCYPART_ARC
(1,13),-2.05992 # DEPENDENCYPART_ARC
(1,14),-1.05905 # DEPENDENCYPART_ARC
(1,15),-1.28266 # DEPENDENCYPART_ARC
(1,16),-3.17248 # DEPENDENCYPART_ARC
(1,17),-2.08277 # DEPENDENCYPART_ARC
(1,18),-0.754581 # DEPENDENCYPART_ARC
(1,19),-2.08619 # DEPENDENCYPART_ARC
(1,20),-3.73747 # DEPENDENCYPART_ARC
(1,21),-2.62019 # DEPENDENCYPART_ARC
(1,22),-1.21271 # DEPENDENCYPART_ARC
(1,23),-4.5915 # DEPENDENCYPART_ARC
(1,24),-2.94644 # DEPENDENCYPART_ARC
(1,25),-1.89714 # DEPENDENCYPART_ARC
(1,26),-3.70073 # DEPENDENCYPART_ARC
(1,27),-2.41575 # DEPENDENCYPART_ARC
(1,28),-0.673091 # DEPENDENCYPART_ARC
(2,1),0.195193 # DEPENDENCYPART_ARC
(2,3),0.368279 # DEPENDENCYPART_ARC
(2,4),-0.535877 # DEPENDENCYPART_ARC
(2,5),-0.448553 # DEPENDENCYPART_ARC
(2,6),-0.829961 # DEPENDENCYPART_ARC
(2,7),-0.674439 # DEPENDENCYPART_ARC
(2,8),-1.22827 # DEPENDENCYPART_ARC
(2,9),-1.31665 # DEPENDENCYPART_ARC
(2,10),-1.06813 # DEPENDENCYPART_ARC
(2,11),-0.837475 # DEPENDENCYPART_ARC
(2,12),-1.16221 # DEPENDENCYPART_ARC
(2,13),-2.45614 # DEPENDENCYPART_ARC
(2,14),-2.3098 # DEPENDENCYPART_ARC
(2,15),-1.66797 # DEPENDENCYPART_ARC
(2,16),-1.94547 # DEPENDENCYPART_ARC
(2,17),-2.30383 # DEPENDENCYPART_ARC
(2,18),-1.34299 # DEPENDENCYPART_ARC
(2,19),-2.59842 # DEPENDENCYPART_ARC
(2,20),-2.19101 # DEPENDENCYPART_ARC
(2,21),-2.66645 # DEPENDENCYPART_ARC
(2,22),-1.92703 # DEPENDENCYPART_ARC
(2,23),-2.14898 # DEPENDENCYPART_ARC
(2,24),-3.36372 # DEPENDENCYPART_ARC
(2,25),-1.89461 # DEPENDENCYPART_ARC
(2,26),-2.58682 # DEPENDENCYPART_ARC
(2,27),-3.30638 # DEPENDENCYPART_ARC
(2,28),-1.99584 # DEPENDENCYPART_ARC
(3,1),-1.03368 # DEPENDENCYPART_ARC
(3,2),-0.325103 # DEPENDENCYPART_ARC
(3,4),0.23914 # DEPENDENCYPART_ARC
(3,5),0.0829992 # DEPENDENCYPART_ARC
(3,6),0.074895 # DEPENDENCYPART_ARC
(3,7),-0.152003 # DEPENDENCYPART_ARC
(3,8),-0.174823 # DEPENDENCYPART_ARC
(3,11),-0.331259 # DEPENDENCYPART_ARC
(3,12),1.68758 # DEPENDENCYPART_ARC
(3,13),-1.26313 # DEPENDENCYPART_ARC
(3,16),-1.55764 # DEPENDENCYPART_ARC
(3,18),-0.908755 # DEPENDENCYPART_ARC
(3,19),0.431573 # DEPENDENCYPART_ARC
(3,20),-1.48147 # DEPENDENCYPART_ARC
(3,22),-1.04478 # DEPENDENCYPART_ARC
(3,23),0.294247 # DEPENDENCYPART_ARC
(3,25),-1.0015 # DEPENDENCYPART_ARC
(3,26),-1.88624 # DEPENDENCYPART_ARC
(3,28),-1.52227 # DEPENDENCYPART_ARC
(4,2),-0.770026 # DEPENDENCYPART_ARC
(4,9),-0.837538 # DEPENDENCYPART_ARC
(4,10),-1.22331 # DEPENDENCYPART_ARC
(4,14),-1.99374 # DEPENDENCYPART_ARC
(4,17),-1.86494 # DEPENDENCYPART_ARC
(4,24),-2.47447 # DEPENDENCYPART_ARC
(4,25),-1.49329 # DEPENDENCYPART_ARC
(5,1),-0.761311 # DEPENDENCYPART_ARC
(5,2),-0.445558 # DEPENDENCYPART_ARC
(5,3),-0.567366 # DEPENDENCYPART_ARC
(5,6),-0.204789 # DEPENDENCYPART_ARC
(5,7),-0.424138 # DEPENDENCYPART_ARC
(5,8),-0.540594 # DEPENDENCYPART_ARC
(5,9),-0.990318 # DEPENDENCYPART_ARC
(5,10),-0.905165 # DEPENDENCYPART_ARC
(5,11),-0.453052 # DEPENDENCYPART_ARC
(5,12),-0.852312 # DEPENDENCYPART_ARC
(5,13),-1.46547 # DEPENDENCYPART_ARC
(5,14),-2.17824 # DEPENDENCYPART_ARC
(5,15),-1.28826 # DEPENDENCYPART_ARC
