# _root_ Από τη στιγμή που εγκαταλείφθηκε το Κάστρο το 1829 , με την ίδρυση του Ανεξάρτητου Ελληνικού Κράτους , αφέθηκε στην τύχη του .
#goldHeads=5,3,1,5,19,7,5,9,5,5,5,13,11,17,17,17,13,19,0,19,20,21,0,
#predictedHeads=5,3,1,5,0,7,5,9,5,5,5,13,11,17,17,17,13,19,0,19,20,21,0,
(0,1),-0.924299 # DEPENDENCYPART_ARC
(0,3),-0.256173 # DEPENDENCYPART_ARC
(0,4),-0.966206 # DEPENDENCYPART_ARC
(0,5),0.4804 # DEPENDENCYPART_ARC
(0,7),-1.79077 # DEPENDENCYPART_ARC
(0,9),-1.22435 # DEPENDENCYPART_ARC
(0,10),-0.503693 # DEPENDENCYPART_ARC
(0,11),-1.96845 # DEPENDENCYPART_ARC
(0,13),-1.72175 # DEPENDENCYPART_ARC
(0,15),-2.00831 # DEPENDENCYPART_ARC
(0,16),-2.22648 # DEPENDENCYPART_ARC
(0,17),-2.27065 # DEPENDENCYPART_ARC
(0,18),-1.01653 # DEPENDENCYPART_ARC
(0,19),0.593917 # DEPENDENCYPART_ARC
(0,20),-2.03551 # DEPENDENCYPART_ARC
(0,21),-2.1004 # DEPENDENCYPART_ARC
(0,23),3.21424 # DEPENDENCYPART_ARC
(1,2),0.406911 # DEPENDENCYPART_ARC
(1,3),2.74148 # DEPENDENCYPART_ARC
(1,4),0.262861 # DEPENDENCYPART_ARC
(1,5),-0.128868 # DEPENDENCYPART_ARC
(1,6),-1.34733 # DEPENDENCYPART_ARC
(1,7),-1.01843 # DEPENDENCYPART_ARC
(1,8),-1.68315 # DEPENDENCYPART_ARC
(1,9),-0.582769 # DEPENDENCYPART_ARC
(1,10),-0.815084 # DEPENDENCYPART_ARC
(1,11),-0.841781 # DEPENDENCYPART_ARC
(1,12),-1.85475 # DEPENDENCYPART_ARC
(1,13),-2.627 # DEPENDENCYPART_ARC
(1,14),-1.79645 # DEPENDENCYPART_ARC
(1,15),-1.54829 # DEPENDENCYPART_ARC
(1,16),-1.1814 # DEPENDENCYPART_ARC
(1,17),-3.34847 # DEPENDENCYPART_ARC
(1,18),-1.36355 # DEPENDENCYPART_ARC
(1,19),-2.33284 # DEPENDENCYPART_ARC
(1,21),-4.11299 # DEPENDENCYPART_ARC
(1,22),-2.32624 # DEPENDENCYPART_ARC
(1,23),-1.65143 # DEPENDENCYPART_ARC
(2,3),0.0251461 # DEPENDENCYPART_ARC
(2,4),-0.157225 # DEPENDENCYPART_ARC
(2,13),-2.21673 # DEPENDENCYPART_ARC
(2,17),-1.80634 # DEPENDENCYPART_ARC
(2,21),-2.39692 # DEPENDENCYPART_ARC
(3,1),0.187568 # DEPENDENCYPART_ARC
(3,2),3.23641 # DEPENDENCYPART_ARC
