# _root_ Από αυτή την άποψη , θέλω να εξετάσω την ισορροπία μεταξύ των οικονομικών , των περιβαλλοντικών και των κοινωνικών ζητημάτων .
#goldHeads=6,4,4,1,6,0,8,6,10,8,10,13,17,17,16,17,20,19,17,11,0,
#predictedHeads=6,4,4,1,6,0,8,6,10,8,10,13,17,17,16,17,20,20,20,11,0,
(0,1),-0.67965 # DEPENDENCYPART_ARC
(0,2),-0.196939 # DEPENDENCYPART_ARC
(0,3),-0.697998 # DEPENDENCYPART_ARC
(0,4),-0.246161 # DEPENDENCYPART_ARC
(0,5),-0.402145 # DEPENDENCYPART_ARC
(0,6),1.69691 # DEPENDENCYPART_ARC
(0,7),-1.14905 # DEPENDENCYPART_ARC
(0,8),-0.604535 # DEPENDENCYPART_ARC
(0,9),-1.58456 # DEPENDENCYPART_ARC
(0,10),-1.2611 # DEPENDENCYPART_ARC
(0,11),-1.18543 # DEPENDENCYPART_ARC
(0,12),-1.86295 # DEPENDENCYPART_ARC
(0,13),-1.55235 # DEPENDENCYPART_ARC
(0,14),-0.380212 # DEPENDENCYPART_ARC
(0,15),-1.98582 # DEPENDENCYPART_ARC
(0,16),-2.28605 # DEPENDENCYPART_ARC
(0,17),-1.11466 # DEPENDENCYPART_ARC
(0,18),-2.00617 # DEPENDENCYPART_ARC
(0,19),-2.05345 # DEPENDENCYPART_ARC
(0,20),-2.20999 # DEPENDENCYPART_ARC
(0,21),3.55905 # DEPENDENCYPART_ARC
(1,2),1.74852 # DEPENDENCYPART_ARC
(1,3),0.424284 # DEPENDENCYPART_ARC
(1,4),1.87679 # DEPENDENCYPART_ARC
(1,5),0.557093 # DEPENDENCYPART_ARC
(1,6),0.0486221 # DEPENDENCYPART_ARC
(1,7),-0.792027 # DEPENDENCYPART_ARC
(1,8),-0.716235 # DEPENDENCYPART_ARC
(1,9),-1.23849 # DEPENDENCYPART_ARC
(1,10),-1.34658 # DEPENDENCYPART_ARC
(1,11),-0.544921 # DEPENDENCYPART_ARC
(1,12),-1.42223 # DEPENDENCYPART_ARC
(1,13),-1.0898 # DEPENDENCYPART_ARC
(1,14),-0.698425 # DEPENDENCYPART_ARC
(1,15),-1.40609 # DEPENDENCYPART_ARC
(1,16),-1.05506 # DEPENDENCYPART_ARC
(1,17),-1.29832 # DEPENDENCYPART_ARC
(1,18),-1.46216 # DEPENDENCYPART_ARC
(1,19),-1.08707 # DEPENDENCYPART_ARC
(1,20),-2.93675 # DEPENDENCYPART_ARC
(1,21),-1.01316 # DEPENDENCYPART_ARC
(2,1),-0.305402 # DEPENDENCYPART_ARC
(2,3),-0.609325 # DEPENDENCYPART_ARC
(2,4),-0.0936604 # DEPENDENCYPART_ARC
(2,5),0.203257 # DEPENDENCYPART_ARC
(2,6),-0.632546 # DEPENDENCYPART_ARC
