# _root_ Οι οδηγίες οφείλουν , όπως αναφέρθηκε , να συμφωνούν μεταξύ τους .
#goldHeads=2,3,0,6,6,3,6,9,3,9,10,0,
#predictedHeads=2,3,0,6,6,0,6,9,7,9,10,0,
(0,2),-0.833481 # DEPENDENCYPART_ARC
(0,3),1.12072 # DEPENDENCYPART_ARC
(0,4),-0.383066 # DEPENDENCYPART_ARC
(0,5),-1.32529 # DEPENDENCYPART_ARC
(0,6),0.0456818 # DEPENDENCYPART_ARC
(0,7),-0.154472 # DEPENDENCYPART_ARC
(0,9),-0.654468 # DEPENDENCYPART_ARC
(0,10),-1.07563 # DEPENDENCYPART_ARC
(0,12),2.20928 # DEPENDENCYPART_ARC
(1,2),-0.450171 # DEPENDENCYPART_ARC
(1,5),-1.25278 # DEPENDENCYPART_ARC
(1,10),-1.5945 # DEPENDENCYPART_ARC
(2,1),4.09158 # DEPENDENCYPART_ARC
(2,3),-0.0299001 # DEPENDENCYPART_ARC
(2,4),-0.45648 # DEPENDENCYPART_ARC
(2,5),-0.578538 # DEPENDENCYPART_ARC
(2,6),-2.10071 # DEPENDENCYPART_ARC
(2,7),-0.860093 # DEPENDENCYPART_ARC
(2,8),-1.60789 # DEPENDENCYPART_ARC
(2,9),-2.20805 # DEPENDENCYPART_ARC
(2,10),-1.14166 # DEPENDENCYPART_ARC
(2,11),-2.09207 # DEPENDENCYPART_ARC
(2,12),-0.946231 # DEPENDENCYPART_ARC
(3,1),0.30241 # DEPENDENCYPART_ARC
(3,2),2.83469 # DEPENDENCYPART_ARC
(3,4),0.730477 # DEPENDENCYPART_ARC
(3,5),0.902134 # DEPENDENCYPART_ARC
(3,6),-0.622371 # DEPENDENCYPART_ARC
(3,7),-0.113432 # DEPENDENCYPART_ARC
(3,8),-0.904346 # DEPENDENCYPART_ARC
(3,9),-1.45326 # DEPENDENCYPART_ARC
(3,10),-0.617688 # DEPENDENCYPART_ARC
(3,11),-3.79503 # DEPENDENCYPART_ARC
(3,12),-0.108892 # DEPENDENCYPART_ARC
(4,2),-0.799641 # DEPENDENCYPART_ARC
(4,3),0.0713451 # DEPENDENCYPART_ARC
(4,5),-0.0878236 # DEPENDENCYPART_ARC
(4,6),-0.175736 # DEPENDENCYPART_ARC
(4,7),-0.1212 # DEPENDENCYPART_ARC
(4,8),-1.14738 # DEPENDENCYPART_ARC
