# _root_ Επίσης , επικροτούμε τον στόχο να συμπεριληφθούν και μικροί οργανισμοί χωρίς διεθνή εμπειρία , προκειμένου να έχουν ευκολότερη πρόσβαση στο πρόγραμμα και νέοι που βρίσκονται εκτός οργανισμών .
#goldHeads=3,1,0,5,3,7,5,10,10,7,10,13,11,15,7,17,15,19,17,19,20,23,17,25,23,25,26,0,
#predictedHeads=3,3,0,5,3,7,5,10,10,7,10,13,11,15,7,17,15,19,17,19,20,20,22,25,22,25,26,0,
(0,1),-0.121907 # DEPENDENCYPART_ARC
(0,2),-0.158624 # DEPENDENCYPART_ARC
(0,3),1.36386 # DEPENDENCYPART_ARC
(0,4),-1.44086 # DEPENDENCYPART_ARC
(0,5),-1.03169 # DEPENDENCYPART_ARC
(0,6),-1.03312 # DEPENDENCYPART_ARC
(0,7),-0.177926 # DEPENDENCYPART_ARC
(0,8),-0.836677 # DEPENDENCYPART_ARC
(0,9),-1.70017 # DEPENDENCYPART_ARC
(0,10),-1.51323 # DEPENDENCYPART_ARC
(0,11),-1.6149 # DEPENDENCYPART_ARC
(0,12),-1.17394 # DEPENDENCYPART_ARC
(0,13),-1.28464 # DEPENDENCYPART_ARC
(0,14),-0.340113 # DEPENDENCYPART_ARC
(0,15),-0.777436 # DEPENDENCYPART_ARC
(0,16),-1.49087 # DEPENDENCYPART_ARC
(0,17),0.118826 # DEPENDENCYPART_ARC
(0,18),-1.28403 # DEPENDENCYPART_ARC
(0,19),-1.6374 # DEPENDENCYPART_ARC
(0,20),-2.26144 # DEPENDENCYPART_ARC
(0,21),-1.8625 # DEPENDENCYPART_ARC
(0,22),-0.952986 # DEPENDENCYPART_ARC
(0,23),-2.27194 # DEPENDENCYPART_ARC
(0,24),-1.67765 # DEPENDENCYPART_ARC
(0,25),-0.749126 # DEPENDENCYPART_ARC
(0,26),-0.743363 # DEPENDENCYPART_ARC
(0,27),-2.13388 # DEPENDENCYPART_ARC
(0,28),4.21454 # DEPENDENCYPART_ARC
(1,2),0.368752 # DEPENDENCYPART_ARC
(1,3),0.237888 # DEPENDENCYPART_ARC
(1,4),-1.27628 # DEPENDENCYPART_ARC
(1,5),-1.34657 # DEPENDENCYPART_ARC
(1,6),-1.43246 # DEPENDENCYPART_ARC
(1,7),-0.83361 # DEPENDENCYPART_ARC
(1,8),-1.01521 # DEPENDENCYPART_ARC
(1,9),-1.7248 # DEPENDENCYPART_ARC
(1,10),-2.07027 # DEPENDENCYPART_ARC
(1,11),-1.29214 # DEPENDENCYPART_ARC
(1,12),-2.10659 # DEPENDENCYPART_ARC
(1,13),-2.2929 # DEPENDENCYPART_ARC
(1,14),-0.946053 # DEPENDENCYPART_ARC
(1,15),-1.45567 # DEPENDENCYPART_ARC
(1,16),-1.75405 # DEPENDENCYPART_ARC
(1,17),-1.1856 # DEPENDENCYPART_ARC
(1,18),-2.35111 # DEPENDENCYPART_ARC
(1,19),-2.58479 # DEPENDENCYPART_ARC
(1,20),-1.82139 # DEPENDENCYPART_ARC
(1,21),-2.7434 # DEPENDENCYPART_ARC
(1,22),-1.53426 # DEPENDENCYPART_ARC
(1,23),-2.26786 # DEPENDENCYPART_ARC
(1,24),-2.24647 # DEPENDENCYPART_ARC
(1,25),-1.39313 # DEPENDENCYPART_ARC
(1,26),-1.62638 # DEPENDENCYPART_ARC
(1,27),-2.62317 # DEPENDENCYPART_ARC
(1,28),-1.4547 # DEPENDENCYPART_ARC
(2,1),-0.0886185 # DEPENDENCYPART_ARC
(2,3),-0.0117164 # DEPENDENCYPART_ARC
(2,4),-1.26303 # DEPENDENCYPART_ARC
(2,5),-0.953658 # DEPENDENCYPART_ARC
(2,6),-1.33043 # DEPENDENCYPART_ARC
(2,7),-1.29084 # DEPENDENCYPART_ARC
(2,8),-0.816274 # DEPENDENCYPART_ARC
(2,9),-1.44199 # DEPENDENCYPART_ARC
(2,10),-1.88148 # DEPENDENCYPART_ARC
(2,11),-1.3372 # DEPENDENCYPART_ARC
(2,12),-1.42318 # DEPENDENCYPART_ARC
(2,13),-1.9663 # DEPENDENCYPART_ARC
(2,14),-0.839712 # DEPENDENCYPART_ARC
(2,15),-1.41673 # DEPENDENCYPART_ARC
(2,16),-1.63132 # DEPENDENCYPART_ARC
(2,17),-1.2494 # DEPENDENCYPART_ARC
(2,18),-1.67863 # DEPENDENCYPART_ARC
(2,19),-2.38125 # DEPENDENCYPART_ARC
(2,20),-1.57111 # DEPENDENCYPART_ARC
(2,21),-2.35378 # DEPENDENCYPART_ARC
(2,22),-2.0832 # DEPENDENCYPART_ARC
(2,23),-1.772 # DEPENDENCYPART_ARC
(2,24),-2.77869 # DEPENDENCYPART_ARC
(2,25),-1.74298 # DEPENDENCYPART_ARC
(2,26),-1.36614 # DEPENDENCYPART_ARC
(2,27),-2.56305 # DEPENDENCYPART_ARC
(2,28),-1.02121 # DEPENDENCYPART_ARC
(3,1),2.11653 # DEPENDENCYPART_ARC
(3,2),1.51026 # DEPENDENCYPART_ARC
