# _root_ * Επισκεφθείτε τις ερημικές παραλίες της νότιας Ρόδου , από το Πρασονήσι έως το Πλυμήρι , που προσφέρονται για απομόνωση και ηρεμία .
#goldHeads=0,0,5,5,2,8,8,5,2,5,12,10,5,15,13,18,18,5,18,21,19,21,0,
#predictedHeads=0,0,5,5,2,8,8,5,2,2,12,10,12,15,13,18,18,5,18,21,19,21,0,
(0,1),1.41914 # DEPENDENCYPART_ARC
(0,2),1.35869 # DEPENDENCYPART_ARC
(0,4),-0.300232 # DEPENDENCYPART_ARC
(0,5),-0.254466 # DEPENDENCYPART_ARC
(0,7),-0.954976 # DEPENDENCYPART_ARC
(0,8),-1.02042 # DEPENDENCYPART_ARC
(0,9),0.450492 # DEPENDENCYPART_ARC
(0,10),-0.587935 # DEPENDENCYPART_ARC
(0,12),-0.907938 # DEPENDENCYPART_ARC
(0,13),-0.847046 # DEPENDENCYPART_ARC
(0,15),-0.757216 # DEPENDENCYPART_ARC
(0,16),-0.268786 # DEPENDENCYPART_ARC
(0,18),0.142691 # DEPENDENCYPART_ARC
(0,19),-2.9065 # DEPENDENCYPART_ARC
(0,20),-0.914298 # DEPENDENCYPART_ARC
(0,21),-0.424949 # DEPENDENCYPART_ARC
(0,22),-0.761001 # DEPENDENCYPART_ARC
(0,23),3.81451 # DEPENDENCYPART_ARC
(1,2),-0.542052 # DEPENDENCYPART_ARC
(1,4),-1.51732 # DEPENDENCYPART_ARC
(1,5),-1.99454 # DEPENDENCYPART_ARC
(1,7),-1.95426 # DEPENDENCYPART_ARC
(1,8),-2.48236 # DEPENDENCYPART_ARC
(1,9),-1.56215 # DEPENDENCYPART_ARC
(1,10),-1.84682 # DEPENDENCYPART_ARC
(1,12),-2.80272 # DEPENDENCYPART_ARC
(1,13),-1.88583 # DEPENDENCYPART_ARC
(1,15),-2.70978 # DEPENDENCYPART_ARC
(1,16),-2.1285 # DEPENDENCYPART_ARC
(1,17),-3.07073 # DEPENDENCYPART_ARC
