# _root_ Επίσης , μέσα στο Κάστρο υπήρχαν οι απαραίτητες δεξαμενές για νερό , ενώ το Νεκροταφείο βρισκόταν έξω από την πόλη .
#goldHeads=13,13,6,3,4,13,9,9,6,9,10,13,0,15,16,13,16,17,20,18,0,
#predictedHeads=6,6,6,3,4,13,9,9,6,9,10,13,0,15,16,13,16,16,20,18,0,
(0,1),-0.166188 # DEPENDENCYPART_ARC
(0,2),-0.256353 # DEPENDENCYPART_ARC
(0,3),-0.762002 # DEPENDENCYPART_ARC
(0,4),-1.1289 # DEPENDENCYPART_ARC
(0,5),-0.575675 # DEPENDENCYPART_ARC
(0,6),0.984507 # DEPENDENCYPART_ARC
(0,8),-1.20622 # DEPENDENCYPART_ARC
(0,9),-1.51312 # DEPENDENCYPART_ARC
(0,10),-2.1163 # DEPENDENCYPART_ARC
(0,11),-1.25973 # DEPENDENCYPART_ARC
(0,12),-0.585664 # DEPENDENCYPART_ARC
(0,13),1.12162 # DEPENDENCYPART_ARC
(0,15),-1.61367 # DEPENDENCYPART_ARC
(0,16),0.322789 # DEPENDENCYPART_ARC
(0,17),-1.34083 # DEPENDENCYPART_ARC
(0,18),-1.95759 # DEPENDENCYPART_ARC
(0,20),-1.38717 # DEPENDENCYPART_ARC
(0,21),3.19245 # DEPENDENCYPART_ARC
(1,2),0.311832 # DEPENDENCYPART_ARC
(1,3),-0.295139 # DEPENDENCYPART_ARC
(1,4),-0.24294 # DEPENDENCYPART_ARC
(1,5),-0.967741 # DEPENDENCYPART_ARC
(1,6),-0.354244 # DEPENDENCYPART_ARC
(1,7),-1.95472 # DEPENDENCYPART_ARC
(1,8),-1.88551 # DEPENDENCYPART_ARC
(1,9),-2.11703 # DEPENDENCYPART_ARC
(1,10),-1.82117 # DEPENDENCYPART_ARC
(1,11),-2.09097 # DEPENDENCYPART_ARC
(1,12),-0.918082 # DEPENDENCYPART_ARC
(1,13),-1.22616 # DEPENDENCYPART_ARC
(1,14),-2.13413 # DEPENDENCYPART_ARC
(1,15),-2.36412 # DEPENDENCYPART_ARC
(1,16),-1.00536 # DEPENDENCYPART_ARC
(1,17),-1.83677 # DEPENDENCYPART_ARC
(1,18),-1.66144 # DEPENDENCYPART_ARC
(1,19),-2.43293 # DEPENDENCYPART_ARC
(1,20),-3.16017 # DEPENDENCYPART_ARC
(1,21),-1.54435 # DEPENDENCYPART_ARC
(2,1),0.164304 # DEPENDENCYPART_ARC
(2,3),-0.253161 # DEPENDENCYPART_ARC
(2,4),-0.446136 # DEPENDENCYPART_ARC
(2,5),-0.329736 # DEPENDENCYPART_ARC
(2,6),-0.585329 # DEPENDENCYPART_ARC
(2,8),-1.25148 # DEPENDENCYPART_ARC
(2,9),-1.67995 # DEPENDENCYPART_ARC
(2,10),-1.0753 # DEPENDENCYPART_ARC
(2,11),-1.55356 # DEPENDENCYPART_ARC
(2,12),-0.646745 # DEPENDENCYPART_ARC
(2,13),-0.18098 # DEPENDENCYPART_ARC
(2,15),-1.92154 # DEPENDENCYPART_ARC
(2,16),-1.21748 # DEPENDENCYPART_ARC
(2,17),-1.16512 # DEPENDENCYPART_ARC
(2,18),-1.27144 # DEPENDENCYPART_ARC
(2,20),-1.90275 # DEPENDENCYPART_ARC
(2,21),-1.133 # DEPENDENCYPART_ARC
(3,1),0.351284 # DEPENDENCYPART_ARC
(3,2),0.628222 # DEPENDENCYPART_ARC
(3,4),1.44229 # DEPENDENCYPART_ARC
(3,5),0.55178 # DEPENDENCYPART_ARC
(3,6),0.378295 # DEPENDENCYPART_ARC
(3,7),-1.02854 # DEPENDENCYPART_ARC
(3,8),-0.917723 # DEPENDENCYPART_ARC
(3,9),-1.36755 # DEPENDENCYPART_ARC
(3,10),-0.875899 # DEPENDENCYPART_ARC
(3,11),-1.45331 # DEPENDENCYPART_ARC
(3,12),0.29844 # DEPENDENCYPART_ARC
(3,13),-0.36945 # DEPENDENCYPART_ARC
(3,14),-1.41013 # DEPENDENCYPART_ARC
(3,15),-1.58925 # DEPENDENCYPART_ARC
(3,16),-0.923218 # DEPENDENCYPART_ARC
(3,17),-0.960376 # DEPENDENCYPART_ARC
(3,18),-0.39015 # DEPENDENCYPART_ARC
(3,19),-1.91845 # DEPENDENCYPART_ARC
(3,20),-2.34475 # DEPENDENCYPART_ARC
(3,21),-0.454038 # DEPENDENCYPART_ARC
(4,1),-0.737334 # DEPENDENCYPART_ARC
(4,2),-0.244695 # DEPENDENCYPART_ARC
(4,3),0.1949 # DEPENDENCYPART_ARC
(4,5),3.30331 # DEPENDENCYPART_ARC
(4,6),-0.500075 # DEPENDENCYPART_ARC
(4,8),-0.961901 # DEPENDENCYPART_ARC
(4,9),-2.14574 # DEPENDENCYPART_ARC
(4,10),-1.48794 # DEPENDENCYPART_ARC
(4,11),-1.51076 # DEPENDENCYPART_ARC
(4,12),-0.945688 # DEPENDENCYPART_ARC
(4,13),-1.32766 # DEPENDENCYPART_ARC
(4,15),-4.07846 # DEPENDENCYPART_ARC
(4,16),-3.47622 # DEPENDENCYPART_ARC
(4,17),-1.87018 # DEPENDENCYPART_ARC
(4,18),-1.95433 # DEPENDENCYPART_ARC
(4,20),-4.82543 # DEPENDENCYPART_ARC
(4,21),-1.63311 # DEPENDENCYPART_ARC
(5,1),-1.44505 # DEPENDENCYPART_ARC
(5,2),-1.17404 # DEPENDENCYPART_ARC
(5,3),-0.493222 # DEPENDENCYPART_ARC
(5,4),-0.820232 # DEPENDENCYPART_ARC
(5,6),-1.75157 # DEPENDENCYPART_ARC
(5,7),-2.2873 # DEPENDENCYPART_ARC
(5,8),-1.93585 # DEPENDENCYPART_ARC
(5,9),-2.69787 # DEPENDENCYPART_ARC
(5,10),-1.45475 # DEPENDENCYPART_ARC
(5,11),-3.16781 # DEPENDENCYPART_ARC
