# _root_ Η Κέρκυρα περιήλθε σε Βρετανική κυριαρχία το 1815 , μετά το Βατερλώ , και από τότε άρχισε να διαμορφώνεται ο σημερινός χαρακτήρας του νησιού .
#goldHeads=2,3,14,3,6,4,8,3,3,3,12,10,3,0,17,15,14,19,17,22,22,19,24,22,0,
#predictedHeads=2,3,0,3,6,4,8,6,12,12,12,14,14,0,17,15,14,19,17,22,22,19,24,22,0,
(0,2),-0.946623 # DEPENDENCYPART_ARC
(0,3),1.01631 # DEPENDENCYPART_ARC
(0,4),-1.4536 # DEPENDENCYPART_ARC
(0,5),-1.16043 # DEPENDENCYPART_ARC
(0,6),-1.77914 # DEPENDENCYPART_ARC
(0,8),-1.21388 # DEPENDENCYPART_ARC
(0,9),-0.690084 # DEPENDENCYPART_ARC
(0,10),-1.2789 # DEPENDENCYPART_ARC
(0,12),0.134418 # DEPENDENCYPART_ARC
(0,13),-0.553042 # DEPENDENCYPART_ARC
(0,14),0.15248 # DEPENDENCYPART_ARC
(0,15),-1.71057 # DEPENDENCYPART_ARC
(0,16),-1.00508 # DEPENDENCYPART_ARC
(0,17),0.0984924 # DEPENDENCYPART_ARC
(0,19),-0.960795 # DEPENDENCYPART_ARC
(0,21),-2.62641 # DEPENDENCYPART_ARC
(0,22),-2.4639 # DEPENDENCYPART_ARC
(0,24),-2.57319 # DEPENDENCYPART_ARC
(0,25),3.88588 # DEPENDENCYPART_ARC
(1,6),-1.81558 # DEPENDENCYPART_ARC
(1,14),-0.882368 # DEPENDENCYPART_ARC
(1,16),-1.30886 # DEPENDENCYPART_ARC
(1,22),-2.74524 # DEPENDENCYPART_ARC
(1,24),-2.26754 # DEPENDENCYPART_ARC
(2,1),3.1987 # DEPENDENCYPART_ARC
(2,3),-1.10046 # DEPENDENCYPART_ARC
(2,4),-1.22031 # DEPENDENCYPART_ARC
(2,5),-2.81966 # DEPENDENCYPART_ARC
(2,6),-2.1924 # DEPENDENCYPART_ARC
(2,7),-2.98639 # DEPENDENCYPART_ARC
(2,8),-1.47217 # DEPENDENCYPART_ARC
(2,9),-1.67086 # DEPENDENCYPART_ARC
(2,10),-2.02003 # DEPENDENCYPART_ARC
(2,11),-3.24834 # DEPENDENCYPART_ARC
(2,12),-2.59396 # DEPENDENCYPART_ARC
(2,13),-1.91332 # DEPENDENCYPART_ARC
(2,14),-1.70098 # DEPENDENCYPART_ARC
(2,15),-2.74458 # DEPENDENCYPART_ARC
(2,16),-2.4382 # DEPENDENCYPART_ARC
(2,17),-3.8273 # DEPENDENCYPART_ARC
(2,19),-3.93038 # DEPENDENCYPART_ARC
(2,20),-3.49196 # DEPENDENCYPART_ARC
(2,21),-3.29149 # DEPENDENCYPART_ARC
(2,22),-4.96161 # DEPENDENCYPART_ARC
(2,23),-3.66498 # DEPENDENCYPART_ARC
(2,24),-3.49421 # DEPENDENCYPART_ARC
(2,25),-1.87945 # DEPENDENCYPART_ARC
(3,1),-0.502346 # DEPENDENCYPART_ARC
