# _root_ Είναι πιθανό να διατηρούμε έγκλειστα δόντια στο στόμα μας , επί χρόνια , και να το αγνοούμε .
#goldHeads=0,1,4,14,6,4,5,7,8,14,14,11,14,2,17,17,14,0,
#predictedHeads=0,1,4,14,6,4,6,7,8,17,14,11,14,1,17,17,14,0,
(0,1),1.26809 # DEPENDENCYPART_ARC
(0,2),-1.16953 # DEPENDENCYPART_ARC
(0,3),-1.03529 # DEPENDENCYPART_ARC
(0,4),-0.382334 # DEPENDENCYPART_ARC
(0,5),-1.24474 # DEPENDENCYPART_ARC
(0,6),-1.63446 # DEPENDENCYPART_ARC
(0,7),-1.29832 # DEPENDENCYPART_ARC
(0,8),-1.85743 # DEPENDENCYPART_ARC
(0,9),-1.79812 # DEPENDENCYPART_ARC
(0,10),-0.246028 # DEPENDENCYPART_ARC
(0,11),-1.46635 # DEPENDENCYPART_ARC
(0,12),-1.46354 # DEPENDENCYPART_ARC
(0,13),-0.591775 # DEPENDENCYPART_ARC
(0,14),0.158413 # DEPENDENCYPART_ARC
(0,15),-1.48585 # DEPENDENCYPART_ARC
(0,16),-2.12338 # DEPENDENCYPART_ARC
(0,17),-0.984011 # DEPENDENCYPART_ARC
(0,18),3.1569 # DEPENDENCYPART_ARC
(1,2),2.8844 # DEPENDENCYPART_ARC
(1,3),0.746628 # DEPENDENCYPART_ARC
(1,4),0.998712 # DEPENDENCYPART_ARC
(1,5),-0.83801 # DEPENDENCYPART_ARC
(1,6),0.687619 # DEPENDENCYPART_ARC
(1,7),-0.18399 # DEPENDENCYPART_ARC
(1,8),-1.1133 # DEPENDENCYPART_ARC
(1,9),-3.61849 # DEPENDENCYPART_ARC
(1,10),0.357416 # DEPENDENCYPART_ARC
(1,11),-0.301638 # DEPENDENCYPART_ARC
(1,12),-2.38703 # DEPENDENCYPART_ARC
(1,13),-0.0496571 # DEPENDENCYPART_ARC
(1,14),0.600057 # DEPENDENCYPART_ARC
(1,15),-0.586397 # DEPENDENCYPART_ARC
(1,16),-2.41909 # DEPENDENCYPART_ARC
(1,17),-2.58926 # DEPENDENCYPART_ARC
(1,18),0.0809204 # DEPENDENCYPART_ARC
(2,1),-2.57438 # DEPENDENCYPART_ARC
(2,3),0.753155 # DEPENDENCYPART_ARC
(2,4),-0.259182 # DEPENDENCYPART_ARC
(2,5),-0.727846 # DEPENDENCYPART_ARC
(2,6),-0.845941 # DEPENDENCYPART_ARC
(2,7),-1.3415 # DEPENDENCYPART_ARC
(2,8),-1.56107 # DEPENDENCYPART_ARC
(2,9),-0.481987 # DEPENDENCYPART_ARC
(2,10),-0.138132 # DEPENDENCYPART_ARC
(2,11),-0.571982 # DEPENDENCYPART_ARC
(2,12),-1.92763 # DEPENDENCYPART_ARC
(2,13),-0.326773 # DEPENDENCYPART_ARC
(2,14),-0.0784253 # DEPENDENCYPART_ARC
(2,15),-0.878291 # DEPENDENCYPART_ARC
(2,16),-1.91151 # DEPENDENCYPART_ARC
(2,17),-1.91764 # DEPENDENCYPART_ARC
(2,18),-0.562646 # DEPENDENCYPART_ARC
(3,1),-0.716852 # DEPENDENCYPART_ARC
(3,2),-0.122453 # DEPENDENCYPART_ARC
(3,4),0.519131 # DEPENDENCYPART_ARC
(3,5),-0.369218 # DEPENDENCYPART_ARC
(3,6),-0.51121 # DEPENDENCYPART_ARC
(3,7),-0.746187 # DEPENDENCYPART_ARC
(3,8),-0.859176 # DEPENDENCYPART_ARC
(3,9),-1.49053 # DEPENDENCYPART_ARC
(3,10),-0.387433 # DEPENDENCYPART_ARC
(3,11),-0.988461 # DEPENDENCYPART_ARC
(3,12),-1.38854 # DEPENDENCYPART_ARC
(3,13),-0.411075 # DEPENDENCYPART_ARC
(3,14),-0.684286 # DEPENDENCYPART_ARC
(3,15),-1.24646 # DEPENDENCYPART_ARC
(3,16),-1.75245 # DEPENDENCYPART_ARC
(3,17),-1.2277 # DEPENDENCYPART_ARC
(3,18),-0.549372 # DEPENDENCYPART_ARC
(4,1),-2.35744 # DEPENDENCYPART_ARC
(4,2),-0.675292 # DEPENDENCYPART_ARC
(4,3),2.63714 # DEPENDENCYPART_ARC
(4,5),0.951153 # DEPENDENCYPART_ARC
(4,6),3.05151 # DEPENDENCYPART_ARC
(4,7),0.504231 # DEPENDENCYPART_ARC
(4,8),0.242573 # DEPENDENCYPART_ARC
(4,9),-2.12121 # DEPENDENCYPART_ARC
(4,10),0.648604 # DEPENDENCYPART_ARC
(4,11),0.717926 # DEPENDENCYPART_ARC
(4,12),-1.38666 # DEPENDENCYPART_ARC
(4,13),0.232019 # DEPENDENCYPART_ARC
(4,14),0.607304 # DEPENDENCYPART_ARC
(4,15),-0.422848 # DEPENDENCYPART_ARC
(4,16),-1.95092 # DEPENDENCYPART_ARC
(4,17),-2.43971 # DEPENDENCYPART_ARC
(4,18),-0.238388 # DEPENDENCYPART_ARC
(5,1),-4.43773 # DEPENDENCYPART_ARC
(5,2),-0.239747 # DEPENDENCYPART_ARC
(5,3),0.263924 # DEPENDENCYPART_ARC
(5,4),-2.43883 # DEPENDENCYPART_ARC
(5,6),0.224728 # DEPENDENCYPART_ARC
(5,7),-0.408493 # DEPENDENCYPART_ARC
(5,8),-0.457342 # DEPENDENCYPART_ARC
(5,9),0.121455 # DEPENDENCYPART_ARC
(5,10),-0.418905 # DEPENDENCYPART_ARC
(5,11),-0.62264 # DEPENDENCYPART_ARC
(5,12),-2.05578 # DEPENDENCYPART_ARC
(5,13),-0.449115 # DEPENDENCYPART_ARC
(5,14),-0.305223 # DEPENDENCYPART_ARC
(5,15),-0.914008 # DEPENDENCYPART_ARC
(5,16),-1.83667 # DEPENDENCYPART_ARC
(5,17),-1.84805 # DEPENDENCYPART_ARC
(5,18),-1.06888 # DEPENDENCYPART_ARC
(6,1),-1.708 # DEPENDENCYPART_ARC
(6,2),-0.351167 # DEPENDENCYPART_ARC
(6,3),0.233862 # DEPENDENCYPART_ARC
(6,4),-0.250292 # DEPENDENCYPART_ARC
(6,5),3.96596 # DEPENDENCYPART_ARC
(6,7),0.852066 # DEPENDENCYPART_ARC
(6,8),0.0359581 # DEPENDENCYPART_ARC
(6,9),0.739268 # DEPENDENCYPART_ARC
(6,10),-0.00396107 # DEPENDENCYPART_ARC
(6,11),-0.0576967 # DEPENDENCYPART_ARC
(6,12),-2.40024 # DEPENDENCYPART_ARC
(6,13),-0.0642212 # DEPENDENCYPART_ARC
(6,14),0.125309 # DEPENDENCYPART_ARC
(6,15),-0.820095 # DEPENDENCYPART_ARC
(6,16),-3.24721 # DEPENDENCYPART_ARC
(6,17),0.0312277 # DEPENDENCYPART_ARC
(6,18),-0.674261 # DEPENDENCYPART_ARC
(7,1),-2.2239 # DEPENDENCYPART_ARC
(7,2),-1.38355 # DEPENDENCYPART_ARC
(7,3),-0.922426 # DEPENDENCYPART_ARC
(7,4),-1.75635 # DEPENDENCYPART_ARC
(7,5),-0.49863 # DEPENDENCYPART_ARC
(7,6),-1.4299 # DEPENDENCYPART_ARC
(7,8),3.21328 # DEPENDENCYPART_ARC
(7,9),0.0786218 # DEPENDENCYPART_ARC
(7,10),0.140522 # DEPENDENCYPART_ARC
(7,11),-0.794349 # DEPENDENCYPART_ARC
(7,12),0.28386 # DEPENDENCYPART_ARC
(7,13),-0.164967 # DEPENDENCYPART_ARC
(7,14),-0.47337 # DEPENDENCYPART_ARC
(7,15),-1.35329 # DEPENDENCYPART_ARC
(7,16),-0.655295 # DEPENDENCYPART_ARC
(7,17),-2.61939 # DEPENDENCYPART_ARC
(7,18),-1.15376 # DEPENDENCYPART_ARC
(8,1),-3.33032 # DEPENDENCYPART_ARC
(8,2),-2.1825 # DEPENDENCYPART_ARC
(8,3),-1.42835 # DEPENDENCYPART_ARC
(8,4),-3.10331 # DEPENDENCYPART_ARC
(8,5),-1.04684 # DEPENDENCYPART_ARC
(8,6),-1.38603 # DEPENDENCYPART_ARC
(8,7),-0.0659282 # DEPENDENCYPART_ARC
(8,9),2.86603 # DEPENDENCYPART_ARC
(8,10),-0.147691 # DEPENDENCYPART_ARC
(8,11),0.172804 # DEPENDENCYPART_ARC
(8,12),-0.696474 # DEPENDENCYPART_ARC
(8,13),-0.317188 # DEPENDENCYPART_ARC
(8,14),-0.0357799 # DEPENDENCYPART_ARC
(8,15),-0.791286 # DEPENDENCYPART_ARC
(8,16),-2.25878 # DEPENDENCYPART_ARC
(8,17),-0.376861 # DEPENDENCYPART_ARC
(8,18),-0.714699 # DEPENDENCYPART_ARC
(9,1),-2.88879 # DEPENDENCYPART_ARC
(9,2),-1.43639 # DEPENDENCYPART_ARC
(9,3),-0.908271 # DEPENDENCYPART_ARC
(9,4),-2.88983 # DEPENDENCYPART_ARC
(9,5),-1.0956 # DEPENDENCYPART_ARC
(9,6),-1.93184 # DEPENDENCYPART_ARC
(9,7),-1.13504 # DEPENDENCYPART_ARC
(9,8),-1.68666 # DEPENDENCYPART_ARC
(9,10),-0.0297296 # DEPENDENCYPART_ARC
(9,11),-0.294742 # DEPENDENCYPART_ARC
(9,12),-0.782993 # DEPENDENCYPART_ARC
(9,13),-0.548655 # DEPENDENCYPART_ARC
(9,14),-0.591357 # DEPENDENCYPART_ARC
(9,15),-1.03162 # DEPENDENCYPART_ARC
(9,16),-2.00086 # DEPENDENCYPART_ARC
(9,17),-3.63618 # DEPENDENCYPART_ARC
(9,18),-1.05804 # DEPENDENCYPART_ARC
(10,1),-0.0630944 # DEPENDENCYPART_ARC
(10,2),-0.493274 # DEPENDENCYPART_ARC
(10,3),0.381606 # DEPENDENCYPART_ARC
(10,4),-0.0360534 # DEPENDENCYPART_ARC
(10,5),-0.112926 # DEPENDENCYPART_ARC
(10,6),0.192511 # DEPENDENCYPART_ARC
(10,7),0.810731 # DEPENDENCYPART_ARC
(10,8),0.32132 # DEPENDENCYPART_ARC
(10,9),0.468757 # DEPENDENCYPART_ARC
(10,11),0.169664 # DEPENDENCYPART_ARC
(10,12),0.162957 # DEPENDENCYPART_ARC
(10,13),0.421077 # DEPENDENCYPART_ARC
(10,14),-0.166985 # DEPENDENCYPART_ARC
(10,15),-0.607597 # DEPENDENCYPART_ARC
(10,16),-1.19054 # DEPENDENCYPART_ARC
(10,17),-0.299337 # DEPENDENCYPART_ARC
(10,18),-0.361068 # DEPENDENCYPART_ARC
(11,1),-1.04304 # DEPENDENCYPART_ARC
(11,2),-1.15148 # DEPENDENCYPART_ARC
(11,3),-0.646631 # DEPENDENCYPART_ARC
(11,4),-0.739023 # DEPENDENCYPART_ARC
(11,5),-0.931728 # DEPENDENCYPART_ARC
(11,6),-1.09865 # DEPENDENCYPART_ARC
(11,7),-0.113261 # DEPENDENCYPART_ARC
