# _root_ Η Ρόδος , επίσης μαζί με τα υπόλοιπα Δωδεκάνησα , ενώθηκε με την Ελλάδα το 1948 .
#goldHeads=2,11,11,5,11,5,9,9,6,11,0,11,14,12,16,11,0,
#predictedHeads=2,11,11,5,11,5,9,9,6,11,0,11,14,12,16,11,0,
(0,2),-0.497352 # DEPENDENCYPART_ARC
(0,3),-0.113222 # DEPENDENCYPART_ARC
(0,4),-0.966619 # DEPENDENCYPART_ARC
(0,5),-1.19371 # DEPENDENCYPART_ARC
(0,6),-1.08728 # DEPENDENCYPART_ARC
(0,8),-1.1859 # DEPENDENCYPART_ARC
(0,9),-1.03243 # DEPENDENCYPART_ARC
(0,10),-0.39363 # DEPENDENCYPART_ARC
(0,11),1.10343 # DEPENDENCYPART_ARC
(0,12),-2.04595 # DEPENDENCYPART_ARC
(0,14),-1.97551 # DEPENDENCYPART_ARC
(0,16),-1.52073 # DEPENDENCYPART_ARC
(0,17),2.55024 # DEPENDENCYPART_ARC
(1,4),-0.389426 # DEPENDENCYPART_ARC
(1,5),-0.634639 # DEPENDENCYPART_ARC
(2,1),3.35283 # DEPENDENCYPART_ARC
(2,3),-0.250645 # DEPENDENCYPART_ARC
(2,4),-0.52835 # DEPENDENCYPART_ARC
(2,5),-0.58195 # DEPENDENCYPART_ARC
(2,6),-0.953586 # DEPENDENCYPART_ARC
(2,7),-2.00276 # DEPENDENCYPART_ARC
(2,8),-2.56176 # DEPENDENCYPART_ARC
(2,9),-1.86982 # DEPENDENCYPART_ARC
(2,10),-1.02948 # DEPENDENCYPART_ARC
(2,11),-1.84654 # DEPENDENCYPART_ARC
(2,12),-1.9764 # DEPENDENCYPART_ARC
(2,13),-2.72767 # DEPENDENCYPART_ARC
(2,14),-3.72474 # DEPENDENCYPART_ARC
(2,15),-3.01208 # DEPENDENCYPART_ARC
(2,16),-1.50432 # DEPENDENCYPART_ARC
(2,17),-1.4593 # DEPENDENCYPART_ARC
(3,2),0.244525 # DEPENDENCYPART_ARC
(3,4),0.503442 # DEPENDENCYPART_ARC
(3,5),0.226512 # DEPENDENCYPART_ARC
(3,6),0.554476 # DEPENDENCYPART_ARC
(3,8),1.18325e-05 # DEPENDENCYPART_ARC
(3,9),0.201172 # DEPENDENCYPART_ARC
(3,10),0.66679 # DEPENDENCYPART_ARC
(3,11),-0.257789 # DEPENDENCYPART_ARC
(3,12),-0.203831 # DEPENDENCYPART_ARC
(3,14),-0.775412 # DEPENDENCYPART_ARC
(3,16),-0.419198 # DEPENDENCYPART_ARC
(3,17),-0.404367 # DEPENDENCYPART_ARC
(4,1),-0.245524 # DEPENDENCYPART_ARC
(4,2),-0.19863 # DEPENDENCYPART_ARC
(4,3),0.769285 # DEPENDENCYPART_ARC
(4,5),0.305159 # DEPENDENCYPART_ARC
(4,6),0.451435 # DEPENDENCYPART_ARC
(4,7),-0.684538 # DEPENDENCYPART_ARC
(4,8),-0.449883 # DEPENDENCYPART_ARC
(4,9),-0.781044 # DEPENDENCYPART_ARC
(4,10),0.271749 # DEPENDENCYPART_ARC
(4,11),-0.713593 # DEPENDENCYPART_ARC
(4,12),-1.10602 # DEPENDENCYPART_ARC
(4,13),-1.98926 # DEPENDENCYPART_ARC
(4,14),-2.14177 # DEPENDENCYPART_ARC
(4,15),-1.95207 # DEPENDENCYPART_ARC
(4,16),-1.49401 # DEPENDENCYPART_ARC
(4,17),-0.859467 # DEPENDENCYPART_ARC
(5,1),-0.583495 # DEPENDENCYPART_ARC
(5,2),-0.608451 # DEPENDENCYPART_ARC
(5,3),0.286723 # DEPENDENCYPART_ARC
(5,4),1.04529 # DEPENDENCYPART_ARC
(5,6),1.97271 # DEPENDENCYPART_ARC
(5,7),0.215262 # DEPENDENCYPART_ARC
(5,8),0.284802 # DEPENDENCYPART_ARC
(5,9),-0.0499802 # DEPENDENCYPART_ARC
(5,10),0.474918 # DEPENDENCYPART_ARC
