# _root_ Το χρονικό πλαίσιο είναι ήδη επαρκώς δομημένο διότι , μετά τη διαβούλευση , ο τελικός κανονισμός της Επιτροπής θα εγκριθεί πριν από το καλοκαίρι αυτού του έτους .
#goldHeads=3,3,4,0,4,7,4,4,10,20,12,10,10,16,16,20,18,16,20,8,20,21,24,22,24,27,25,0,
#predictedHeads=3,3,4,0,4,4,4,7,10,20,12,10,10,16,16,20,18,16,20,8,20,21,24,22,27,27,24,0,
(0,2),-0.889107 # DEPENDENCYPART_ARC
(0,3),-0.924542 # DEPENDENCYPART_ARC
(0,4),1.30211 # DEPENDENCYPART_ARC
(0,5),-1.35968 # DEPENDENCYPART_ARC
(0,6),-1.00957 # DEPENDENCYPART_ARC
(0,7),-1.26817 # DEPENDENCYPART_ARC
(0,8),-0.611548 # DEPENDENCYPART_ARC
(0,9),-0.492516 # DEPENDENCYPART_ARC
(0,10),-1.88215 # DEPENDENCYPART_ARC
(0,12),-1.60189 # DEPENDENCYPART_ARC
(0,13),-0.806561 # DEPENDENCYPART_ARC
(0,15),-2.29704 # DEPENDENCYPART_ARC
(0,16),-2.26851 # DEPENDENCYPART_ARC
(0,18),-2.36614 # DEPENDENCYPART_ARC
(0,20),-0.987127 # DEPENDENCYPART_ARC
(0,21),-1.58174 # DEPENDENCYPART_ARC
(0,22),-2.4592 # DEPENDENCYPART_ARC
(0,24),-2.76954 # DEPENDENCYPART_ARC
(0,25),-2.24225 # DEPENDENCYPART_ARC
(0,27),-2.74403 # DEPENDENCYPART_ARC
(0,28),3.85376 # DEPENDENCYPART_ARC
(1,3),0.0187383 # DEPENDENCYPART_ARC
(1,5),-0.73957 # DEPENDENCYPART_ARC
(1,6),-0.864977 # DEPENDENCYPART_ARC
(1,12),-2.12578 # DEPENDENCYPART_ARC
(1,16),-2.02845 # DEPENDENCYPART_ARC
(1,18),-1.91071 # DEPENDENCYPART_ARC
(1,21),-1.37893 # DEPENDENCYPART_ARC
(1,24),-2.19773 # DEPENDENCYPART_ARC
(1,25),-2.51351 # DEPENDENCYPART_ARC
(1,27),-1.94063 # DEPENDENCYPART_ARC
(2,1),1.06044 # DEPENDENCYPART_ARC
(2,3),0.352904 # DEPENDENCYPART_ARC
(2,4),-1.02005 # DEPENDENCYPART_ARC
(2,5),-0.552919 # DEPENDENCYPART_ARC
(2,6),-0.761373 # DEPENDENCYPART_ARC
(2,7),-1.94915 # DEPENDENCYPART_ARC
(2,8),-0.604916 # DEPENDENCYPART_ARC
(2,9),-0.728151 # DEPENDENCYPART_ARC
(2,10),-0.953749 # DEPENDENCYPART_ARC
(2,11),-2.15747 # DEPENDENCYPART_ARC
(2,12),-2.22002 # DEPENDENCYPART_ARC
(2,13),-0.945571 # DEPENDENCYPART_ARC
(2,14),-2.66592 # DEPENDENCYPART_ARC
(2,15),-0.9697 # DEPENDENCYPART_ARC
(2,16),-2.61174 # DEPENDENCYPART_ARC
(2,17),-2.0572 # DEPENDENCYPART_ARC
(2,18),-1.90902 # DEPENDENCYPART_ARC
(2,20),-2.66607 # DEPENDENCYPART_ARC
(2,21),-1.36508 # DEPENDENCYPART_ARC
(2,22),-1.16192 # DEPENDENCYPART_ARC
(2,23),-3.08049 # DEPENDENCYPART_ARC
(2,24),-3.42818 # DEPENDENCYPART_ARC
(2,25),-2.58657 # DEPENDENCYPART_ARC
(2,26),-3.09783 # DEPENDENCYPART_ARC
(2,27),-2.73372 # DEPENDENCYPART_ARC
(2,28),-1.44399 # DEPENDENCYPART_ARC
(3,1),3.65849 # DEPENDENCYPART_ARC
(3,2),3.53002 # DEPENDENCYPART_ARC
(3,4),-1.11662 # DEPENDENCYPART_ARC
(3,5),-0.956719 # DEPENDENCYPART_ARC
(3,6),-1.30615 # DEPENDENCYPART_ARC
(3,7),-0.99421 # DEPENDENCYPART_ARC
(3,8),-1.33586 # DEPENDENCYPART_ARC
