# _root_ Ειδικούς φακούς επαφής , που στοχεύουν στο να αποτρέψουν την αύξησή της , δημιούργησαν Βρετανοί επιστήμονες
#goldHeads=3,14,2,6,6,2,6,9,7,11,9,11,6,0,16,14,
#predictedHeads=3,3,4,6,6,0,6,9,7,11,9,11,14,11,16,14,
(0,1),0.407055 # DEPENDENCYPART_ARC
(0,2),-0.170348 # DEPENDENCYPART_ARC
(0,3),-0.097171 # DEPENDENCYPART_ARC
(0,4),0.171293 # DEPENDENCYPART_ARC
(0,6),0.676767 # DEPENDENCYPART_ARC
(0,7),-1.07689 # DEPENDENCYPART_ARC
(0,9),-0.499547 # DEPENDENCYPART_ARC
(0,11),-1.33688 # DEPENDENCYPART_ARC
(0,13),-0.345986 # DEPENDENCYPART_ARC
(0,14),0.199239 # DEPENDENCYPART_ARC
(0,15),-1.44298 # DEPENDENCYPART_ARC
(0,16),-1.37308 # DEPENDENCYPART_ARC
(1,2),-0.218089 # DEPENDENCYPART_ARC
(1,3),0.391719 # DEPENDENCYPART_ARC
(1,4),-0.113446 # DEPENDENCYPART_ARC
(1,5),-2.13954 # DEPENDENCYPART_ARC
(1,6),-1.30001 # DEPENDENCYPART_ARC
(1,7),-1.31897 # DEPENDENCYPART_ARC
(1,9),-2.09795 # DEPENDENCYPART_ARC
(1,10),-2.05507 # DEPENDENCYPART_ARC
(1,11),-2.82512 # DEPENDENCYPART_ARC
(1,12),-2.35087 # DEPENDENCYPART_ARC
(1,13),-0.943734 # DEPENDENCYPART_ARC
(1,14),-2.29208 # DEPENDENCYPART_ARC
(1,15),-2.82435 # DEPENDENCYPART_ARC
(1,16),-2.97822 # DEPENDENCYPART_ARC
(2,1),1.08855 # DEPENDENCYPART_ARC
(2,3),0.655982 # DEPENDENCYPART_ARC
(2,4),-0.43645 # DEPENDENCYPART_ARC
(2,5),-2.19914 # DEPENDENCYPART_ARC
(2,6),-1.46083 # DEPENDENCYPART_ARC
