# _root_ * Η κερκυραϊκή κουζίνα , με το σοφρίτο , την παστιτσάδα και γλυκά και λικέρ όπως το κουμ κουάτ .
#goldHeads=0,4,4,0,0,4,8,12,12,11,12,6,14,12,14,15,18,15,18,0,
#predictedHeads=0,4,4,12,0,5,8,6,12,11,12,6,14,12,14,15,18,19,14,0,
(0,1),1.80274 # DEPENDENCYPART_ARC
(0,2),-0.194107 # DEPENDENCYPART_ARC
(0,3),0.36407 # DEPENDENCYPART_ARC
(0,4),0.656135 # DEPENDENCYPART_ARC
(0,5),0.842857 # DEPENDENCYPART_ARC
(0,6),0.0121956 # DEPENDENCYPART_ARC
(0,7),-0.439784 # DEPENDENCYPART_ARC
(0,8),-0.674002 # DEPENDENCYPART_ARC
(0,9),0.77771 # DEPENDENCYPART_ARC
(0,10),-0.363532 # DEPENDENCYPART_ARC
(0,11),0.429926 # DEPENDENCYPART_ARC
(0,12),-0.211325 # DEPENDENCYPART_ARC
(0,13),-0.428808 # DEPENDENCYPART_ARC
(0,14),-0.368186 # DEPENDENCYPART_ARC
(0,15),0.314305 # DEPENDENCYPART_ARC
(0,16),-0.66913 # DEPENDENCYPART_ARC
(0,17),-0.838486 # DEPENDENCYPART_ARC
(0,18),0.0932456 # DEPENDENCYPART_ARC
(0,19),-0.233138 # DEPENDENCYPART_ARC
(0,20),3.96001 # DEPENDENCYPART_ARC
(1,2),-0.555056 # DEPENDENCYPART_ARC
(1,3),-0.497437 # DEPENDENCYPART_ARC
(1,4),-0.672281 # DEPENDENCYPART_ARC
(1,5),-0.450654 # DEPENDENCYPART_ARC
(1,6),-0.799887 # DEPENDENCYPART_ARC
(1,7),-1.27164 # DEPENDENCYPART_ARC
(1,8),-1.01067 # DEPENDENCYPART_ARC
(1,9),-0.86529 # DEPENDENCYPART_ARC
(1,10),-1.43534 # DEPENDENCYPART_ARC
(1,11),-1.67627 # DEPENDENCYPART_ARC
(1,12),-0.38356 # DEPENDENCYPART_ARC
(1,13),-1.19367 # DEPENDENCYPART_ARC
(1,14),-0.44855 # DEPENDENCYPART_ARC
(1,15),-1.79923 # DEPENDENCYPART_ARC
(1,16),-0.890343 # DEPENDENCYPART_ARC
(1,17),-1.64135 # DEPENDENCYPART_ARC
(1,18),-2.00231 # DEPENDENCYPART_ARC
(1,19),-1.16884 # DEPENDENCYPART_ARC
(1,20),-1.01393 # DEPENDENCYPART_ARC
(2,1),-0.526245 # DEPENDENCYPART_ARC
(2,3),-0.441826 # DEPENDENCYPART_ARC
(2,4),-0.255699 # DEPENDENCYPART_ARC
(2,5),0.137404 # DEPENDENCYPART_ARC
(2,6),-0.134793 # DEPENDENCYPART_ARC
(2,7),-0.974539 # DEPENDENCYPART_ARC
(2,8),-1.02102 # DEPENDENCYPART_ARC
(2,9),-0.0817611 # DEPENDENCYPART_ARC
(2,10),-1.02771 # DEPENDENCYPART_ARC
(2,11),-1.37402 # DEPENDENCYPART_ARC
(2,12),-0.0921135 # DEPENDENCYPART_ARC
(2,13),-2.27572 # DEPENDENCYPART_ARC
(2,14),-0.201877 # DEPENDENCYPART_ARC
(2,15),-1.58439 # DEPENDENCYPART_ARC
(2,16),-0.444479 # DEPENDENCYPART_ARC
(2,17),-1.28266 # DEPENDENCYPART_ARC
(2,18),-1.71494 # DEPENDENCYPART_ARC
(2,19),-2.20076 # DEPENDENCYPART_ARC
(2,20),-0.265841 # DEPENDENCYPART_ARC
(3,1),-0.0155998 # DEPENDENCYPART_ARC
(3,2),1.39918 # DEPENDENCYPART_ARC
(3,4),-0.0532685 # DEPENDENCYPART_ARC
(3,5),-0.347528 # DEPENDENCYPART_ARC
(3,6),-0.0933886 # DEPENDENCYPART_ARC
(3,7),-1.93869 # DEPENDENCYPART_ARC
(3,8),-1.48379 # DEPENDENCYPART_ARC
(3,9),-0.403289 # DEPENDENCYPART_ARC
(3,10),-1.62623 # DEPENDENCYPART_ARC
(3,11),-2.1442 # DEPENDENCYPART_ARC
(3,12),-0.360006 # DEPENDENCYPART_ARC
(3,13),-2.05074 # DEPENDENCYPART_ARC
(3,14),-0.485913 # DEPENDENCYPART_ARC
(3,15),-3.08918 # DEPENDENCYPART_ARC
(3,16),-1.14103 # DEPENDENCYPART_ARC
(3,17),-2.51939 # DEPENDENCYPART_ARC
(3,18),-3.23674 # DEPENDENCYPART_ARC
(3,19),-2.77099 # DEPENDENCYPART_ARC
(3,20),-0.743644 # DEPENDENCYPART_ARC
(4,1),0.084309 # DEPENDENCYPART_ARC
(4,2),3.45146 # DEPENDENCYPART_ARC
(4,3),3.36687 # DEPENDENCYPART_ARC
(4,5),0.580116 # DEPENDENCYPART_ARC
(4,6),0.454887 # DEPENDENCYPART_ARC
(4,7),-1.10518 # DEPENDENCYPART_ARC
(4,8),-0.431467 # DEPENDENCYPART_ARC
(4,9),-0.29078 # DEPENDENCYPART_ARC
(4,10),-1.20302 # DEPENDENCYPART_ARC
(4,11),-1.61289 # DEPENDENCYPART_ARC
(4,12),0.482672 # DEPENDENCYPART_ARC
(4,13),-2.0267 # DEPENDENCYPART_ARC
(4,14),0.167244 # DEPENDENCYPART_ARC
(4,15),-2.39221 # DEPENDENCYPART_ARC
(4,16),-0.425 # DEPENDENCYPART_ARC
(4,17),-1.88251 # DEPENDENCYPART_ARC
(4,18),-2.92852 # DEPENDENCYPART_ARC
(4,19),-1.94161 # DEPENDENCYPART_ARC
(4,20),-0.576952 # DEPENDENCYPART_ARC
(5,1),-0.0669286 # DEPENDENCYPART_ARC
(5,2),-0.0479137 # DEPENDENCYPART_ARC
(5,3),0.0134692 # DEPENDENCYPART_ARC
(5,4),0.0960403 # DEPENDENCYPART_ARC
(5,6),0.135842 # DEPENDENCYPART_ARC
(5,7),-0.452487 # DEPENDENCYPART_ARC
(5,8),-0.0181981 # DEPENDENCYPART_ARC
(5,9),-0.0562666 # DEPENDENCYPART_ARC
(5,10),-0.822348 # DEPENDENCYPART_ARC
(5,11),-0.486058 # DEPENDENCYPART_ARC
(5,12),0.391934 # DEPENDENCYPART_ARC
(5,13),-0.647186 # DEPENDENCYPART_ARC
(5,14),0.266572 # DEPENDENCYPART_ARC
(5,15),-0.68325 # DEPENDENCYPART_ARC
(5,16),-0.370161 # DEPENDENCYPART_ARC
