# _root_ Σήμερα , περισσότερο από ποτέ , χρειάζονται συγκεκριμένες ενέργειες για την αντιμετώπισή του .
#goldHeads=7,3,1,3,4,3,0,9,7,7,12,10,12,0,
#predictedHeads=3,7,7,3,4,7,0,9,7,9,12,10,12,0,
(0,1),-0.0946717 # DEPENDENCYPART_ARC
(0,2),-0.0663759 # DEPENDENCYPART_ARC
(0,3),-0.307363 # DEPENDENCYPART_ARC
(0,4),-0.890429 # DEPENDENCYPART_ARC
(0,5),-0.438442 # DEPENDENCYPART_ARC
(0,6),0.10437 # DEPENDENCYPART_ARC
(0,7),1.34434 # DEPENDENCYPART_ARC
(0,8),-1.06458 # DEPENDENCYPART_ARC
(0,9),-1.33136 # DEPENDENCYPART_ARC
(0,10),-2.08371 # DEPENDENCYPART_ARC
(0,11),-1.53512 # DEPENDENCYPART_ARC
(0,12),-1.34909 # DEPENDENCYPART_ARC
(0,13),-1.69354 # DEPENDENCYPART_ARC
(0,14),2.32101 # DEPENDENCYPART_ARC
(1,2),0.628652 # DEPENDENCYPART_ARC
(1,3),-0.128523 # DEPENDENCYPART_ARC
(1,4),0.257517 # DEPENDENCYPART_ARC
(1,5),-0.543937 # DEPENDENCYPART_ARC
(1,6),-0.131498 # DEPENDENCYPART_ARC
(1,7),-0.494872 # DEPENDENCYPART_ARC
(1,8),-1.55967 # DEPENDENCYPART_ARC
(1,9),-1.66654 # DEPENDENCYPART_ARC
(1,10),-1.52933 # DEPENDENCYPART_ARC
(1,11),-1.79073 # DEPENDENCYPART_ARC
(1,12),-2.12262 # DEPENDENCYPART_ARC
(1,13),-1.24874 # DEPENDENCYPART_ARC
(1,14),-0.948178 # DEPENDENCYPART_ARC
(2,1),0.499244 # DEPENDENCYPART_ARC
(2,3),-0.277722 # DEPENDENCYPART_ARC
(2,4),-0.306836 # DEPENDENCYPART_ARC
(2,5),-0.45337 # DEPENDENCYPART_ARC
(2,6),-0.129511 # DEPENDENCYPART_ARC
(2,7),-0.822433 # DEPENDENCYPART_ARC
(2,8),-1.03692 # DEPENDENCYPART_ARC
(2,9),-1.72431 # DEPENDENCYPART_ARC
(2,10),-1.03384 # DEPENDENCYPART_ARC
(2,11),-1.66289 # DEPENDENCYPART_ARC
(2,12),-1.76085 # DEPENDENCYPART_ARC
(2,13),-2.08268 # DEPENDENCYPART_ARC
(2,14),-0.88694 # DEPENDENCYPART_ARC
(3,1),1.5213 # DEPENDENCYPART_ARC
(3,2),1.23089 # DEPENDENCYPART_ARC
(3,4),1.84566 # DEPENDENCYPART_ARC
(3,5),0.52798 # DEPENDENCYPART_ARC
(3,6),1.22468 # DEPENDENCYPART_ARC
(3,7),-0.593388 # DEPENDENCYPART_ARC
(3,8),-0.642718 # DEPENDENCYPART_ARC
(3,9),-1.44094 # DEPENDENCYPART_ARC
(3,10),-0.862306 # DEPENDENCYPART_ARC
(3,11),-1.16337 # DEPENDENCYPART_ARC
(3,12),-1.81603 # DEPENDENCYPART_ARC
(3,13),-1.11337 # DEPENDENCYPART_ARC
(3,14),-0.0981602 # DEPENDENCYPART_ARC
(4,1),0.0319473 # DEPENDENCYPART_ARC
(4,2),0.647313 # DEPENDENCYPART_ARC
(4,3),0.867422 # DEPENDENCYPART_ARC
(4,5),1.9194 # DEPENDENCYPART_ARC
(4,6),0.994873 # DEPENDENCYPART_ARC
(4,7),0.517997 # DEPENDENCYPART_ARC
(4,8),0.135632 # DEPENDENCYPART_ARC
(4,9),0.732605 # DEPENDENCYPART_ARC
(4,10),-0.569662 # DEPENDENCYPART_ARC
(4,11),-1.28592 # DEPENDENCYPART_ARC
(4,12),-1.1233 # DEPENDENCYPART_ARC
(4,13),-1.15618 # DEPENDENCYPART_ARC
(4,14),-0.232096 # DEPENDENCYPART_ARC
(5,1),-0.577913 # DEPENDENCYPART_ARC
(5,2),-0.217589 # DEPENDENCYPART_ARC
(5,3),-0.0936683 # DEPENDENCYPART_ARC
(5,4),0.354939 # DEPENDENCYPART_ARC
(5,6),0.559908 # DEPENDENCYPART_ARC
(5,7),0.382585 # DEPENDENCYPART_ARC
(5,8),-0.980302 # DEPENDENCYPART_ARC
(5,9),-1.03105 # DEPENDENCYPART_ARC
(5,10),-1.27354 # DEPENDENCYPART_ARC
(5,11),-1.78007 # DEPENDENCYPART_ARC
(5,12),-2.0018 # DEPENDENCYPART_ARC
(5,13),-1.21526 # DEPENDENCYPART_ARC
(5,14),-0.861532 # DEPENDENCYPART_ARC
(6,1),-0.467356 # DEPENDENCYPART_ARC
