# _root_ Όπως το υπογραμμίζετε , κυρία , πρόκειται πράγματι για ένα προϊόν πολύ περίπλοκο και σύνθετο .
#goldHeads=3,3,7,5,0,5,0,7,7,11,9,14,14,11,14,0,
#predictedHeads=3,3,7,5,3,7,0,7,7,11,9,13,14,7,14,0,
(0,1),-0.239887 # DEPENDENCYPART_ARC
(0,2),-0.176572 # DEPENDENCYPART_ARC
(0,3),0.533834 # DEPENDENCYPART_ARC
(0,4),0.0791274 # DEPENDENCYPART_ARC
(0,5),-0.190639 # DEPENDENCYPART_ARC
(0,6),0.0097967 # DEPENDENCYPART_ARC
(0,7),0.447374 # DEPENDENCYPART_ARC
(0,8),-0.989586 # DEPENDENCYPART_ARC
(0,9),-2.36 # DEPENDENCYPART_ARC
(0,10),-1.49423 # DEPENDENCYPART_ARC
(0,11),-1.1363 # DEPENDENCYPART_ARC
(0,12),-0.796083 # DEPENDENCYPART_ARC
(0,13),-1.53238 # DEPENDENCYPART_ARC
(0,14),-0.604355 # DEPENDENCYPART_ARC
(0,15),-1.52179 # DEPENDENCYPART_ARC
(0,16),2.62975 # DEPENDENCYPART_ARC
(1,2),1.16825 # DEPENDENCYPART_ARC
(1,3),0.163227 # DEPENDENCYPART_ARC
(1,4),0.0488756 # DEPENDENCYPART_ARC
(1,5),-0.879761 # DEPENDENCYPART_ARC
(1,6),-0.308366 # DEPENDENCYPART_ARC
(1,7),-1.02568 # DEPENDENCYPART_ARC
(1,8),-1.03957 # DEPENDENCYPART_ARC
(1,9),-1.26678 # DEPENDENCYPART_ARC
(1,10),-1.60886 # DEPENDENCYPART_ARC
(1,11),-1.77949 # DEPENDENCYPART_ARC
(1,12),-1.14689 # DEPENDENCYPART_ARC
(1,13),-1.43452 # DEPENDENCYPART_ARC
(1,14),-1.06465 # DEPENDENCYPART_ARC
(1,15),-1.50583 # DEPENDENCYPART_ARC
(1,16),-0.805364 # DEPENDENCYPART_ARC
(2,1),0.599551 # DEPENDENCYPART_ARC
(2,3),-1.11597 # DEPENDENCYPART_ARC
(2,4),-0.869001 # DEPENDENCYPART_ARC
(2,5),-1.30466 # DEPENDENCYPART_ARC
(2,6),-1.03442 # DEPENDENCYPART_ARC
(2,7),-2.88709 # DEPENDENCYPART_ARC
(2,8),-1.41494 # DEPENDENCYPART_ARC
(2,9),-1.29524 # DEPENDENCYPART_ARC
(2,10),-2.23105 # DEPENDENCYPART_ARC
(2,11),-2.01783 # DEPENDENCYPART_ARC
(2,12),-1.54027 # DEPENDENCYPART_ARC
(2,13),-2.12877 # DEPENDENCYPART_ARC
(2,14),-1.32875 # DEPENDENCYPART_ARC
(2,15),-2.19946 # DEPENDENCYPART_ARC
(2,16),-1.29681 # DEPENDENCYPART_ARC
(3,1),1.90978 # DEPENDENCYPART_ARC
(3,2),4.8443 # DEPENDENCYPART_ARC
(3,4),0.73266 # DEPENDENCYPART_ARC
(3,5),1.47916 # DEPENDENCYPART_ARC
(3,6),0.696074 # DEPENDENCYPART_ARC
(3,7),-2.29105 # DEPENDENCYPART_ARC
(3,8),-0.28466 # DEPENDENCYPART_ARC
(3,9),-0.595044 # DEPENDENCYPART_ARC
(3,10),-3.19493 # DEPENDENCYPART_ARC
(3,11),-2.18463 # DEPENDENCYPART_ARC
(3,12),-1.07898 # DEPENDENCYPART_ARC
(3,13),-2.36961 # DEPENDENCYPART_ARC
(3,14),-0.526999 # DEPENDENCYPART_ARC
(3,15),-2.79885 # DEPENDENCYPART_ARC
(3,16),-0.779884 # DEPENDENCYPART_ARC
(4,1),-0.113238 # DEPENDENCYPART_ARC
(4,2),-0.072273 # DEPENDENCYPART_ARC
(4,3),0.291446 # DEPENDENCYPART_ARC
(4,5),0.307426 # DEPENDENCYPART_ARC
(4,6),0.272426 # DEPENDENCYPART_ARC
(4,7),-0.251315 # DEPENDENCYPART_ARC
(4,8),-0.943326 # DEPENDENCYPART_ARC
(4,9),-1.0265 # DEPENDENCYPART_ARC
(4,10),-1.38801 # DEPENDENCYPART_ARC
(4,11),-1.50849 # DEPENDENCYPART_ARC
(4,12),-0.923755 # DEPENDENCYPART_ARC
