# _root_ * Να περάσετε μια νύχτα στο Ξενοδοχείο Loriet , ένα ανακαινισμένο αρχοντικό , στην Χρυσή Ακτή της Μυτιλήνης .
#goldHeads=0,3,0,5,3,3,8,9,6,12,12,9,3,12,16,14,18,16,0,
#predictedHeads=0,3,0,5,3,3,6,7,3,12,16,11,14,3,16,14,18,16,0,
(0,1),1.67957 # DEPENDENCYPART_ARC
(0,2),0.0913712 # DEPENDENCYPART_ARC
(0,3),0.835304 # DEPENDENCYPART_ARC
(0,4),-0.736322 # DEPENDENCYPART_ARC
(0,5),-0.0938839 # DEPENDENCYPART_ARC
(0,6),-0.397632 # DEPENDENCYPART_ARC
(0,7),-0.424607 # DEPENDENCYPART_ARC
(0,8),0.107276 # DEPENDENCYPART_ARC
(0,9),0.461355 # DEPENDENCYPART_ARC
(0,10),-0.923374 # DEPENDENCYPART_ARC
(0,11),-0.506542 # DEPENDENCYPART_ARC
(0,12),-1.26169 # DEPENDENCYPART_ARC
(0,13),0.541853 # DEPENDENCYPART_ARC
(0,14),-1.16667 # DEPENDENCYPART_ARC
(0,15),-0.701434 # DEPENDENCYPART_ARC
(0,16),-0.531441 # DEPENDENCYPART_ARC
(0,17),-1.33913 # DEPENDENCYPART_ARC
(0,18),-0.669397 # DEPENDENCYPART_ARC
(0,19),3.52369 # DEPENDENCYPART_ARC
(1,2),-0.394001 # DEPENDENCYPART_ARC
(1,3),-0.58477 # DEPENDENCYPART_ARC
(1,4),-1.33928 # DEPENDENCYPART_ARC
(1,5),-1.57595 # DEPENDENCYPART_ARC
(1,6),-1.37554 # DEPENDENCYPART_ARC
(1,7),-1.90706 # DEPENDENCYPART_ARC
(1,8),-1.29416 # DEPENDENCYPART_ARC
(1,9),-1.04901 # DEPENDENCYPART_ARC
(1,10),-1.79643 # DEPENDENCYPART_ARC
(1,11),-1.37224 # DEPENDENCYPART_ARC
(1,12),-1.67832 # DEPENDENCYPART_ARC
(1,13),-1.3099 # DEPENDENCYPART_ARC
(1,14),-1.55478 # DEPENDENCYPART_ARC
(1,15),-1.56023 # DEPENDENCYPART_ARC
(1,16),-2.28613 # DEPENDENCYPART_ARC
(1,17),-2.03395 # DEPENDENCYPART_ARC
(1,18),-2.39994 # DEPENDENCYPART_ARC
(1,19),-1.29174 # DEPENDENCYPART_ARC
(2,1),-0.060853 # DEPENDENCYPART_ARC
(2,3),0.582222 # DEPENDENCYPART_ARC
(2,4),-0.479633 # DEPENDENCYPART_ARC
(2,5),-0.381399 # DEPENDENCYPART_ARC
(2,6),-0.615394 # DEPENDENCYPART_ARC
(2,7),-0.73774 # DEPENDENCYPART_ARC
(2,8),-0.879496 # DEPENDENCYPART_ARC
(2,9),-0.237152 # DEPENDENCYPART_ARC
(2,10),-1.17804 # DEPENDENCYPART_ARC
(2,11),-1.12725 # DEPENDENCYPART_ARC
(2,12),-1.17897 # DEPENDENCYPART_ARC
(2,13),-0.466508 # DEPENDENCYPART_ARC
(2,14),-1.03871 # DEPENDENCYPART_ARC
(2,15),-1.36124 # DEPENDENCYPART_ARC
(2,16),-1.25967 # DEPENDENCYPART_ARC
(2,17),-1.26958 # DEPENDENCYPART_ARC
(2,18),-1.45462 # DEPENDENCYPART_ARC
(2,19),-0.488467 # DEPENDENCYPART_ARC
(3,1),0.425489 # DEPENDENCYPART_ARC
(3,2),2.48032 # DEPENDENCYPART_ARC
(3,4),-0.121362 # DEPENDENCYPART_ARC
(3,5),2.6552 # DEPENDENCYPART_ARC
(3,6),1.99272 # DEPENDENCYPART_ARC
(3,7),-0.171579 # DEPENDENCYPART_ARC
(3,8),0.30543 # DEPENDENCYPART_ARC
(3,9),0.997199 # DEPENDENCYPART_ARC
(3,10),-2.08095 # DEPENDENCYPART_ARC
(3,11),-4.39096 # DEPENDENCYPART_ARC
(3,12),-1.72146 # DEPENDENCYPART_ARC
(3,13),0.274537 # DEPENDENCYPART_ARC
(3,14),0.575641 # DEPENDENCYPART_ARC
(3,15),-3.41203 # DEPENDENCYPART_ARC
(3,16),-1.91586 # DEPENDENCYPART_ARC
(3,17),-3.05603 # DEPENDENCYPART_ARC
(3,18),-4.57166 # DEPENDENCYPART_ARC
(3,19),-0.243293 # DEPENDENCYPART_ARC
(4,1),-0.687782 # DEPENDENCYPART_ARC
