# _root_ Η εταιρεία αυτή στη Black Country στο Ηνωμένο Βασίλειο απασχολεί 80 άτομα , δηλαδή 80 θέσεις εργασίες για τις οποίες υπάρχει μεγάλη ανάγκη , και συμμορφώνεται με όλες τις κοινωνικές προδιαγραφές της νομοθεσίας του Ηνωμένου Βασιλείου .
#goldHeads=2,10,2,2,6,4,6,9,7,25,12,14,14,10,16,14,16,21,20,18,16,23,21,25,0,25,26,31,31,31,27,33,31,36,36,33,0,
#predictedHeads=2,10,2,2,6,4,14,9,7,25,12,10,14,15,16,17,25,17,20,18,25,23,21,25,0,25,26,31,31,31,27,33,31,36,36,33,0,
(0,2),-1.05815 # DEPENDENCYPART_ARC
(0,3),-0.902262 # DEPENDENCYPART_ARC
(0,4),-0.87282 # DEPENDENCYPART_ARC
(0,5),-0.854594 # DEPENDENCYPART_ARC
(0,6),-0.88266 # DEPENDENCYPART_ARC
(0,7),-0.91602 # DEPENDENCYPART_ARC
(0,8),-1.20905 # DEPENDENCYPART_ARC
(0,9),-1.25597 # DEPENDENCYPART_ARC
(0,10),1.08184 # DEPENDENCYPART_ARC
(0,11),-1.54119 # DEPENDENCYPART_ARC
(0,12),-1.24207 # DEPENDENCYPART_ARC
(0,13),-1.17995 # DEPENDENCYPART_ARC
(0,14),-1.20658 # DEPENDENCYPART_ARC
(0,15),-1.54013 # DEPENDENCYPART_ARC
(0,16),-1.42301 # DEPENDENCYPART_ARC
(0,17),-1.38021 # DEPENDENCYPART_ARC
(0,18),-2.41211 # DEPENDENCYPART_ARC
(0,21),0.264392 # DEPENDENCYPART_ARC
(0,22),-1.85175 # DEPENDENCYPART_ARC
(0,23),-1.83469 # DEPENDENCYPART_ARC
(0,24),-1.59263 # DEPENDENCYPART_ARC
(0,25),1.14803 # DEPENDENCYPART_ARC
(0,26),-0.401941 # DEPENDENCYPART_ARC
(0,27),-2.62506 # DEPENDENCYPART_ARC
(0,28),-1.7514 # DEPENDENCYPART_ARC
(0,30),-1.85061 # DEPENDENCYPART_ARC
(0,31),-2.33801 # DEPENDENCYPART_ARC
(0,33),-3.02199 # DEPENDENCYPART_ARC
(0,35),-2.9059 # DEPENDENCYPART_ARC
(0,36),-2.87958 # DEPENDENCYPART_ARC
(0,37),4.14284 # DEPENDENCYPART_ARC
(1,2),-0.31817 # DEPENDENCYPART_ARC
(1,3),-0.368573 # DEPENDENCYPART_ARC
(1,9),-1.88771 # DEPENDENCYPART_ARC
(1,12),-2.41466 # DEPENDENCYPART_ARC
(1,14),-1.42752 # DEPENDENCYPART_ARC
(1,16),-2.45513 # DEPENDENCYPART_ARC
(1,17),-2.66718 # DEPENDENCYPART_ARC
(1,23),-2.86327 # DEPENDENCYPART_ARC
(1,25),-1.19535 # DEPENDENCYPART_ARC
(1,31),-2.93142 # DEPENDENCYPART_ARC
(1,33),-2.76256 # DEPENDENCYPART_ARC
(2,1),3.20121 # DEPENDENCYPART_ARC
(2,3),3.55932 # DEPENDENCYPART_ARC
(2,4),1.04893 # DEPENDENCYPART_ARC
(2,5),0.428827 # DEPENDENCYPART_ARC
(2,6),0.634174 # DEPENDENCYPART_ARC
(2,7),0.261963 # DEPENDENCYPART_ARC
(2,8),-1.68911 # DEPENDENCYPART_ARC
(2,9),-0.799311 # DEPENDENCYPART_ARC
(2,10),-0.494592 # DEPENDENCYPART_ARC
(2,11),-0.301253 # DEPENDENCYPART_ARC
(2,12),-1.55738 # DEPENDENCYPART_ARC
(2,13),-0.118369 # DEPENDENCYPART_ARC
(2,14),-0.575595 # DEPENDENCYPART_ARC
(2,15),-0.513986 # DEPENDENCYPART_ARC
(2,16),-2.24581 # DEPENDENCYPART_ARC
(2,17),-2.3658 # DEPENDENCYPART_ARC
(2,18),-0.419888 # DEPENDENCYPART_ARC
(2,19),-1.55477 # DEPENDENCYPART_ARC
(2,20),-3.07342 # DEPENDENCYPART_ARC
(2,21),-1.04966 # DEPENDENCYPART_ARC
(2,22),-1.80111 # DEPENDENCYPART_ARC
(2,23),-3.06009 # DEPENDENCYPART_ARC
(2,24),-0.423615 # DEPENDENCYPART_ARC
(2,25),-0.81461 # DEPENDENCYPART_ARC
(2,26),-2.1981 # DEPENDENCYPART_ARC
(2,27),-1.71899 # DEPENDENCYPART_ARC
(2,28),-2.85923 # DEPENDENCYPART_ARC
(2,29),-2.07102 # DEPENDENCYPART_ARC
(2,30),-2.85156 # DEPENDENCYPART_ARC
(2,31),-4.38706 # DEPENDENCYPART_ARC
(2,32),-2.39023 # DEPENDENCYPART_ARC
(2,33),-3.70607 # DEPENDENCYPART_ARC
(2,34),-2.98112 # DEPENDENCYPART_ARC
(2,35),-2.59737 # DEPENDENCYPART_ARC
(2,36),-4.10019 # DEPENDENCYPART_ARC
(2,37),-0.243091 # DEPENDENCYPART_ARC
(3,2),-0.44045 # DEPENDENCYPART_ARC
(3,8),-0.431918 # DEPENDENCYPART_ARC
(3,9),-1.54254 # DEPENDENCYPART_ARC
(3,10),-1.42938 # DEPENDENCYPART_ARC
(3,12),-1.90841 # DEPENDENCYPART_ARC
(3,13),-0.82625 # DEPENDENCYPART_ARC
(3,14),-1.19947 # DEPENDENCYPART_ARC
(3,16),-2.13745 # DEPENDENCYPART_ARC
(3,17),-2.13773 # DEPENDENCYPART_ARC
(3,21),-2.35661 # DEPENDENCYPART_ARC
(3,22),-1.99933 # DEPENDENCYPART_ARC
(3,23),-2.45541 # DEPENDENCYPART_ARC
(3,24),-1.47856 # DEPENDENCYPART_ARC
(3,25),-1.1383 # DEPENDENCYPART_ARC
(3,26),-3.3596 # DEPENDENCYPART_ARC
(3,28),-2.29767 # DEPENDENCYPART_ARC
(3,30),-2.35752 # DEPENDENCYPART_ARC
(3,31),-2.65256 # DEPENDENCYPART_ARC
(3,33),-1.78256 # DEPENDENCYPART_ARC
(3,35),-2.71447 # DEPENDENCYPART_ARC
(3,37),-2.06323 # DEPENDENCYPART_ARC
(4,2),-1.36699 # DEPENDENCYPART_ARC
(4,5),1.6096 # DEPENDENCYPART_ARC
(4,6),1.55135 # DEPENDENCYPART_ARC
(4,8),-0.264432 # DEPENDENCYPART_ARC
(4,9),0.860123 # DEPENDENCYPART_ARC
(4,10),-2.21623 # DEPENDENCYPART_ARC
(4,11),-1.01093 # DEPENDENCYPART_ARC
(4,12),-1.99592 # DEPENDENCYPART_ARC
(4,13),-0.533304 # DEPENDENCYPART_ARC
(4,14),-1.01755 # DEPENDENCYPART_ARC
(4,15),-1.30217 # DEPENDENCYPART_ARC
(4,16),-2.43277 # DEPENDENCYPART_ARC
(4,17),-2.96318 # DEPENDENCYPART_ARC
(4,18),-1.372 # DEPENDENCYPART_ARC
(4,20),-1.26291 # DEPENDENCYPART_ARC
(4,21),-3.63562 # DEPENDENCYPART_ARC
(4,22),-1.91321 # DEPENDENCYPART_ARC
(4,23),-4.44442 # DEPENDENCYPART_ARC
(4,24),-0.982528 # DEPENDENCYPART_ARC
(4,25),-1.77674 # DEPENDENCYPART_ARC
(4,26),-4.10156 # DEPENDENCYPART_ARC
(4,27),-1.98475 # DEPENDENCYPART_ARC
(4,28),-2.45205 # DEPENDENCYPART_ARC
(4,30),-2.50747 # DEPENDENCYPART_ARC
(4,31),-5.28742 # DEPENDENCYPART_ARC
(4,33),-6.66313 # DEPENDENCYPART_ARC
(4,35),-3.14475 # DEPENDENCYPART_ARC
(4,36),-8.23707 # DEPENDENCYPART_ARC
(4,37),-2.10106 # DEPENDENCYPART_ARC
(5,1),-0.271522 # DEPENDENCYPART_ARC
(5,2),-0.98748 # DEPENDENCYPART_ARC
(5,4),0.0264019 # DEPENDENCYPART_ARC
(5,6),0.694202 # DEPENDENCYPART_ARC
(5,7),0.560433 # DEPENDENCYPART_ARC
(5,8),0.217286 # DEPENDENCYPART_ARC
(5,9),0.142968 # DEPENDENCYPART_ARC
(5,10),-0.501281 # DEPENDENCYPART_ARC
(5,11),-0.58042 # DEPENDENCYPART_ARC
(5,12),-0.928016 # DEPENDENCYPART_ARC
(5,13),-0.398931 # DEPENDENCYPART_ARC
(5,14),-0.65201 # DEPENDENCYPART_ARC
(5,15),-0.649746 # DEPENDENCYPART_ARC
(5,16),-0.975259 # DEPENDENCYPART_ARC
(5,17),-0.891231 # DEPENDENCYPART_ARC
(5,19),-1.3158 # DEPENDENCYPART_ARC
(5,21),-1.39692 # DEPENDENCYPART_ARC
(5,22),-1.08999 # DEPENDENCYPART_ARC
(5,23),-1.08378 # DEPENDENCYPART_ARC
(5,24),-0.805456 # DEPENDENCYPART_ARC
(5,25),-0.771271 # DEPENDENCYPART_ARC
(5,26),-1.54066 # DEPENDENCYPART_ARC
(5,28),-1.40492 # DEPENDENCYPART_ARC
(5,29),-1.73583 # DEPENDENCYPART_ARC
(5,30),-1.32749 # DEPENDENCYPART_ARC
(5,31),-1.36682 # DEPENDENCYPART_ARC
(5,32),-1.78653 # DEPENDENCYPART_ARC
(5,33),-1.40219 # DEPENDENCYPART_ARC
(5,34),-1.8287 # DEPENDENCYPART_ARC
(5,35),-1.35486 # DEPENDENCYPART_ARC
(5,37),-1.10075 # DEPENDENCYPART_ARC
(6,1),0.806628 # DEPENDENCYPART_ARC
(6,2),-0.223837 # DEPENDENCYPART_ARC
(6,4),0.450194 # DEPENDENCYPART_ARC
(6,5),2.19456 # DEPENDENCYPART_ARC
(6,7),0.724516 # DEPENDENCYPART_ARC
(6,8),0.332474 # DEPENDENCYPART_ARC
(6,9),0.147542 # DEPENDENCYPART_ARC
(6,10),-0.544184 # DEPENDENCYPART_ARC
(6,11),-0.72922 # DEPENDENCYPART_ARC
(6,12),-1.04738 # DEPENDENCYPART_ARC
(6,13),-0.576882 # DEPENDENCYPART_ARC
(6,14),-0.808223 # DEPENDENCYPART_ARC
(6,15),-0.910807 # DEPENDENCYPART_ARC
(6,16),-1.09054 # DEPENDENCYPART_ARC
(6,17),-1.1283 # DEPENDENCYPART_ARC
(6,19),-1.55517 # DEPENDENCYPART_ARC
(6,21),-1.3326 # DEPENDENCYPART_ARC
(6,22),-1.44703 # DEPENDENCYPART_ARC
(6,23),-1.31115 # DEPENDENCYPART_ARC
(6,24),-0.930969 # DEPENDENCYPART_ARC
(6,25),-0.926376 # DEPENDENCYPART_ARC
(6,26),-1.62965 # DEPENDENCYPART_ARC
(6,28),-1.58587 # DEPENDENCYPART_ARC
(6,29),-1.96428 # DEPENDENCYPART_ARC
(6,30),-1.56582 # DEPENDENCYPART_ARC
(6,31),-1.54544 # DEPENDENCYPART_ARC
(6,32),-1.96657 # DEPENDENCYPART_ARC
(6,33),-1.54622 # DEPENDENCYPART_ARC
(6,34),-2.06445 # DEPENDENCYPART_ARC
(6,35),-1.61071 # DEPENDENCYPART_ARC
(6,37),-1.27981 # DEPENDENCYPART_ARC
(7,2),-2.21727 # DEPENDENCYPART_ARC
(7,5),-0.710131 # DEPENDENCYPART_ARC
(7,6),-0.244061 # DEPENDENCYPART_ARC
(7,8),1.51233 # DEPENDENCYPART_ARC
(7,9),3.01933 # DEPENDENCYPART_ARC
(7,10),-1.46362 # DEPENDENCYPART_ARC
(7,11),-0.667459 # DEPENDENCYPART_ARC
(7,12),-0.568522 # DEPENDENCYPART_ARC
(7,13),-0.334489 # DEPENDENCYPART_ARC
(7,14),-1.03443 # DEPENDENCYPART_ARC
(7,15),-1.20147 # DEPENDENCYPART_ARC
(7,16),-2.65228 # DEPENDENCYPART_ARC
(7,17),-3.04322 # DEPENDENCYPART_ARC
(7,18),-1.43235 # DEPENDENCYPART_ARC
(7,20),-0.883012 # DEPENDENCYPART_ARC
(7,21),-3.60674 # DEPENDENCYPART_ARC
(7,22),-1.60237 # DEPENDENCYPART_ARC
(7,23),-4.57713 # DEPENDENCYPART_ARC
(7,24),-0.989555 # DEPENDENCYPART_ARC
(7,25),-2.00954 # DEPENDENCYPART_ARC
(7,26),-3.81372 # DEPENDENCYPART_ARC
(7,27),-1.80251 # DEPENDENCYPART_ARC
(7,28),-2.23575 # DEPENDENCYPART_ARC
(7,30),-2.14981 # DEPENDENCYPART_ARC
(7,31),-5.69422 # DEPENDENCYPART_ARC
(7,33),-7.24472 # DEPENDENCYPART_ARC
(7,35),-2.6313 # DEPENDENCYPART_ARC
(7,36),-7.82252 # DEPENDENCYPART_ARC
(7,37),-1.78043 # DEPENDENCYPART_ARC
(8,1),-2.26041 # DEPENDENCYPART_ARC
(8,2),-2.36901 # DEPENDENCYPART_ARC
(8,3),-1.68533 # DEPENDENCYPART_ARC
(8,4),-2.11188 # DEPENDENCYPART_ARC
(8,5),-1.44897 # DEPENDENCYPART_ARC
(8,6),-0.973106 # DEPENDENCYPART_ARC
(8,7),-0.767584 # DEPENDENCYPART_ARC
(8,9),0.712109 # DEPENDENCYPART_ARC
(8,10),-0.874305 # DEPENDENCYPART_ARC
(8,11),-0.791396 # DEPENDENCYPART_ARC
(8,12),-1.59604 # DEPENDENCYPART_ARC
(8,13),-1.104 # DEPENDENCYPART_ARC
(8,14),-0.987934 # DEPENDENCYPART_ARC
(8,15),-1.2303 # DEPENDENCYPART_ARC
(8,16),-2.3229 # DEPENDENCYPART_ARC
(8,17),-2.48311 # DEPENDENCYPART_ARC
(8,18),-1.38464 # DEPENDENCYPART_ARC
(8,19),-1.91052 # DEPENDENCYPART_ARC
(8,20),-3.33104 # DEPENDENCYPART_ARC
(8,21),-2.59689 # DEPENDENCYPART_ARC
(8,22),-1.58841 # DEPENDENCYPART_ARC
(8,23),-2.73461 # DEPENDENCYPART_ARC
(8,24),-1.46296 # DEPENDENCYPART_ARC
(8,25),-1.1839 # DEPENDENCYPART_ARC
(8,26),-2.93758 # DEPENDENCYPART_ARC
(8,27),-2.08929 # DEPENDENCYPART_ARC
(8,28),-2.61972 # DEPENDENCYPART_ARC
(8,29),-2.26018 # DEPENDENCYPART_ARC
(8,30),-2.67725 # DEPENDENCYPART_ARC
(8,31),-3.17252 # DEPENDENCYPART_ARC
(8,32),-2.74715 # DEPENDENCYPART_ARC
(8,33),-2.64255 # DEPENDENCYPART_ARC
(8,34),-3.30679 # DEPENDENCYPART_ARC
(8,35),-1.72357 # DEPENDENCYPART_ARC
(8,36),-2.72228 # DEPENDENCYPART_ARC
(8,37),-1.80272 # DEPENDENCYPART_ARC
(9,1),-0.286435 # DEPENDENCYPART_ARC
(9,2),-1.59516 # DEPENDENCYPART_ARC
(9,3),-1.57638 # DEPENDENCYPART_ARC
(9,4),-0.895338 # DEPENDENCYPART_ARC
(9,5),-0.121141 # DEPENDENCYPART_ARC
(9,6),0.0285774 # DEPENDENCYPART_ARC
(9,7),0.405657 # DEPENDENCYPART_ARC
(9,8),3.8022 # DEPENDENCYPART_ARC
(9,10),-0.679327 # DEPENDENCYPART_ARC
(9,11),-0.688066 # DEPENDENCYPART_ARC
(9,12),-1.55841 # DEPENDENCYPART_ARC
(9,13),-0.99354 # DEPENDENCYPART_ARC
(9,14),-1.44209 # DEPENDENCYPART_ARC
(9,15),-1.50847 # DEPENDENCYPART_ARC
(9,16),-2.69908 # DEPENDENCYPART_ARC
(9,17),-2.93628 # DEPENDENCYPART_ARC
(9,18),-1.59172 # DEPENDENCYPART_ARC
(9,19),-2.40338 # DEPENDENCYPART_ARC
