# _root_ Επιπλέον , η ισπανική κοινωνία έχει να αντιμετωπίσει και τη βασκική ΕΤΑ , η οποία συνεχίζει τη δράση της παρά τις προσπάθειες εξάρθρωσής της .
#goldHeads=6,6,5,5,6,0,8,6,12,12,12,8,16,15,16,12,18,16,18,16,22,20,22,23,0,
#predictedHeads=6,6,5,5,6,0,8,6,8,12,9,9,16,15,16,9,18,16,18,16,22,20,22,23,0,
(0,1),-0.017347 # DEPENDENCYPART_ARC
(0,2),-0.175306 # DEPENDENCYPART_ARC
(0,4),-0.682226 # DEPENDENCYPART_ARC
(0,5),-0.65626 # DEPENDENCYPART_ARC
(0,6),1.38257 # DEPENDENCYPART_ARC
(0,8),-0.239754 # DEPENDENCYPART_ARC
(0,9),-0.874274 # DEPENDENCYPART_ARC
(0,11),-1.34898 # DEPENDENCYPART_ARC
(0,12),-0.81257 # DEPENDENCYPART_ARC
(0,13),-0.288073 # DEPENDENCYPART_ARC
(0,16),-1.09975 # DEPENDENCYPART_ARC
(0,18),-1.63949 # DEPENDENCYPART_ARC
(0,20),-2.42539 # DEPENDENCYPART_ARC
(0,22),-1.62169 # DEPENDENCYPART_ARC
(0,23),-2.12532 # DEPENDENCYPART_ARC
(0,25),3.51911 # DEPENDENCYPART_ARC
(1,2),0.437426 # DEPENDENCYPART_ARC
(1,3),-0.557191 # DEPENDENCYPART_ARC
(1,4),-0.776929 # DEPENDENCYPART_ARC
(1,5),-0.597294 # DEPENDENCYPART_ARC
(1,6),-0.31861 # DEPENDENCYPART_ARC
(1,8),-1.33172 # DEPENDENCYPART_ARC
(1,9),-1.12207 # DEPENDENCYPART_ARC
(1,10),-2.16026 # DEPENDENCYPART_ARC
(1,11),-2.10727 # DEPENDENCYPART_ARC
(1,13),-0.838357 # DEPENDENCYPART_ARC
(1,14),-2.20899 # DEPENDENCYPART_ARC
(1,15),-2.54895 # DEPENDENCYPART_ARC
(1,16),-1.56968 # DEPENDENCYPART_ARC
(1,17),-2.52449 # DEPENDENCYPART_ARC
(1,18),-2.6187 # DEPENDENCYPART_ARC
(1,19),-2.15751 # DEPENDENCYPART_ARC
(1,20),-1.5079 # DEPENDENCYPART_ARC
(1,21),-2.47922 # DEPENDENCYPART_ARC
(1,22),-3.14716 # DEPENDENCYPART_ARC
(1,23),-2.48307 # DEPENDENCYPART_ARC
(1,24),-2.45711 # DEPENDENCYPART_ARC
(1,25),-1.73785 # DEPENDENCYPART_ARC
(2,1),-0.13302 # DEPENDENCYPART_ARC
