# _root_ Αξίζει να επισκεφθείτε το Διοικητήριο , σημείο αναφοράς του οικισμού , κτισμένο κατά την περίοδο της Bενετοκρατίας .
#goldHeads=0,3,1,5,6,3,6,7,10,8,6,6,12,15,13,17,15,0,
#predictedHeads=0,3,1,5,3,3,6,7,10,8,3,10,12,15,13,17,15,0,
(0,1),0.998144 # DEPENDENCYPART_ARC
(0,2),-1.20153 # DEPENDENCYPART_ARC
(0,3),-0.699567 # DEPENDENCYPART_ARC
(0,4),-1.69824 # DEPENDENCYPART_ARC
(0,5),-1.162 # DEPENDENCYPART_ARC
(0,6),0.146694 # DEPENDENCYPART_ARC
(0,7),-1.11793 # DEPENDENCYPART_ARC
(0,8),-1.67144 # DEPENDENCYPART_ARC
(0,9),-2.14885 # DEPENDENCYPART_ARC
(0,10),-1.92543 # DEPENDENCYPART_ARC
(0,11),-0.442927 # DEPENDENCYPART_ARC
(0,12),-1.33934 # DEPENDENCYPART_ARC
(0,13),-2.02398 # DEPENDENCYPART_ARC
(0,14),-1.98064 # DEPENDENCYPART_ARC
(0,15),-1.67694 # DEPENDENCYPART_ARC
(0,16),-2.41416 # DEPENDENCYPART_ARC
(0,17),-2.06513 # DEPENDENCYPART_ARC
(0,18),3.46552 # DEPENDENCYPART_ARC
(1,2),1.04158 # DEPENDENCYPART_ARC
(1,3),3.91244 # DEPENDENCYPART_ARC
(1,4),-1.4984 # DEPENDENCYPART_ARC
(1,5),0.620738 # DEPENDENCYPART_ARC
(1,6),0.288413 # DEPENDENCYPART_ARC
(1,7),-0.570276 # DEPENDENCYPART_ARC
(1,8),-2.37285 # DEPENDENCYPART_ARC
(1,9),-2.94477 # DEPENDENCYPART_ARC
(1,10),-2.69863 # DEPENDENCYPART_ARC
(1,11),0.343983 # DEPENDENCYPART_ARC
(1,12),-0.96843 # DEPENDENCYPART_ARC
(1,13),-0.399625 # DEPENDENCYPART_ARC
(1,14),-1.98483 # DEPENDENCYPART_ARC
(1,15),-1.90683 # DEPENDENCYPART_ARC
(1,16),-2.71489 # DEPENDENCYPART_ARC
(1,17),-4.05458 # DEPENDENCYPART_ARC
(1,18),0.184951 # DEPENDENCYPART_ARC
(2,1),-0.503298 # DEPENDENCYPART_ARC
(2,3),0.356399 # DEPENDENCYPART_ARC
(2,4),-0.77827 # DEPENDENCYPART_ARC
(2,5),-0.652659 # DEPENDENCYPART_ARC
(2,6),-0.50436 # DEPENDENCYPART_ARC
(2,7),-1.00439 # DEPENDENCYPART_ARC
(2,8),-1.33975 # DEPENDENCYPART_ARC
(2,9),-1.45055 # DEPENDENCYPART_ARC
(2,10),-1.42329 # DEPENDENCYPART_ARC
(2,11),-0.618148 # DEPENDENCYPART_ARC
(2,12),-1.33515 # DEPENDENCYPART_ARC
(2,13),-1.34824 # DEPENDENCYPART_ARC
(2,14),-1.60866 # DEPENDENCYPART_ARC
(2,15),-1.51666 # DEPENDENCYPART_ARC
(2,16),-1.60068 # DEPENDENCYPART_ARC
(2,17),-1.44125 # DEPENDENCYPART_ARC
(2,18),-0.929009 # DEPENDENCYPART_ARC
(3,1),-2.41148 # DEPENDENCYPART_ARC
(3,2),2.74178 # DEPENDENCYPART_ARC
(3,4),-0.755449 # DEPENDENCYPART_ARC
(3,5),1.65711 # DEPENDENCYPART_ARC
(3,6),1.02888 # DEPENDENCYPART_ARC
(3,7),0.258099 # DEPENDENCYPART_ARC
(3,8),-1.42618 # DEPENDENCYPART_ARC
(3,9),-2.68053 # DEPENDENCYPART_ARC
(3,10),-2.83668 # DEPENDENCYPART_ARC
(3,11),0.715087 # DEPENDENCYPART_ARC
(3,12),-2.02743 # DEPENDENCYPART_ARC
(3,13),-0.172087 # DEPENDENCYPART_ARC
(3,14),-2.47137 # DEPENDENCYPART_ARC
(3,15),-2.7328 # DEPENDENCYPART_ARC
(3,16),-3.02441 # DEPENDENCYPART_ARC
(3,17),-4.62807 # DEPENDENCYPART_ARC
(3,18),0.0465342 # DEPENDENCYPART_ARC
(4,1),-2.73782 # DEPENDENCYPART_ARC
(4,2),-0.616187 # DEPENDENCYPART_ARC
(4,3),-1.46948 # DEPENDENCYPART_ARC
(4,5),0.128553 # DEPENDENCYPART_ARC
(4,6),-0.579211 # DEPENDENCYPART_ARC
(4,7),-0.732526 # DEPENDENCYPART_ARC
(4,8),-1.06024 # DEPENDENCYPART_ARC
(4,9),-1.29954 # DEPENDENCYPART_ARC
(4,10),-1.50223 # DEPENDENCYPART_ARC
(4,11),-0.792011 # DEPENDENCYPART_ARC
(4,12),-2.41907 # DEPENDENCYPART_ARC
(4,13),-1.54267 # DEPENDENCYPART_ARC
(4,14),-1.90325 # DEPENDENCYPART_ARC
(4,15),-2.35237 # DEPENDENCYPART_ARC
(4,16),-1.95347 # DEPENDENCYPART_ARC
(4,17),-2.23752 # DEPENDENCYPART_ARC
(4,18),-1.35131 # DEPENDENCYPART_ARC
(5,1),-2.51606 # DEPENDENCYPART_ARC
(5,2),-0.159417 # DEPENDENCYPART_ARC
(5,3),-0.542168 # DEPENDENCYPART_ARC
(5,4),3.3509 # DEPENDENCYPART_ARC
(5,6),0.0588957 # DEPENDENCYPART_ARC
(5,7),0.13115 # DEPENDENCYPART_ARC
(5,8),0.791876 # DEPENDENCYPART_ARC
(5,9),-1.08868 # DEPENDENCYPART_ARC
(5,10),0.338725 # DEPENDENCYPART_ARC
(5,11),-0.642826 # DEPENDENCYPART_ARC
(5,12),-1.01005 # DEPENDENCYPART_ARC
(5,13),-1.36719 # DEPENDENCYPART_ARC
(5,14),-2.02255 # DEPENDENCYPART_ARC
(5,15),-3.06521 # DEPENDENCYPART_ARC
(5,16),-1.92261 # DEPENDENCYPART_ARC
(5,17),-2.08336 # DEPENDENCYPART_ARC
(5,18),-0.981058 # DEPENDENCYPART_ARC
(6,1),-0.212551 # DEPENDENCYPART_ARC
(6,2),0.38667 # DEPENDENCYPART_ARC
(6,3),-0.0112926 # DEPENDENCYPART_ARC
(6,4),0.160812 # DEPENDENCYPART_ARC
(6,5),0.688113 # DEPENDENCYPART_ARC
(6,7),0.750838 # DEPENDENCYPART_ARC
(6,8),0.573603 # DEPENDENCYPART_ARC
(6,9),-0.428732 # DEPENDENCYPART_ARC
(6,10),0.0865803 # DEPENDENCYPART_ARC
(6,11),0.465614 # DEPENDENCYPART_ARC
(6,12),-0.282716 # DEPENDENCYPART_ARC
(6,13),-0.827024 # DEPENDENCYPART_ARC
(6,14),-1.23121 # DEPENDENCYPART_ARC
(6,15),-1.09575 # DEPENDENCYPART_ARC
(6,16),-1.19061 # DEPENDENCYPART_ARC
(6,17),-1.1994 # DEPENDENCYPART_ARC
(6,18),-0.429897 # DEPENDENCYPART_ARC
(7,1),-2.95618 # DEPENDENCYPART_ARC
(7,2),-0.488993 # DEPENDENCYPART_ARC
(7,3),-1.65859 # DEPENDENCYPART_ARC
(7,4),1.60912 # DEPENDENCYPART_ARC
(7,5),0.58512 # DEPENDENCYPART_ARC
(7,6),0.47273 # DEPENDENCYPART_ARC
(7,8),3.39755 # DEPENDENCYPART_ARC
(7,9),0.152826 # DEPENDENCYPART_ARC
(7,10),1.64168 # DEPENDENCYPART_ARC
(7,11),0.538968 # DEPENDENCYPART_ARC
(7,12),0.416532 # DEPENDENCYPART_ARC
(7,13),-0.367992 # DEPENDENCYPART_ARC
(7,14),-1.24928 # DEPENDENCYPART_ARC
(7,15),-1.6833 # DEPENDENCYPART_ARC
(7,16),-1.11507 # DEPENDENCYPART_ARC
(7,17),-1.03817 # DEPENDENCYPART_ARC
(7,18),0.108144 # DEPENDENCYPART_ARC
(8,1),-2.43705 # DEPENDENCYPART_ARC
(8,2),-0.52242 # DEPENDENCYPART_ARC
(8,3),-1.47148 # DEPENDENCYPART_ARC
(8,4),-0.570434 # DEPENDENCYPART_ARC
(8,5),-1.41128 # DEPENDENCYPART_ARC
(8,6),0.441648 # DEPENDENCYPART_ARC
(8,7),0.580131 # DEPENDENCYPART_ARC
(8,9),0.672727 # DEPENDENCYPART_ARC
(8,10),2.05691 # DEPENDENCYPART_ARC
(8,11),0.419752 # DEPENDENCYPART_ARC
(8,12),0.138999 # DEPENDENCYPART_ARC
(8,13),-0.601666 # DEPENDENCYPART_ARC
(8,14),-1.11893 # DEPENDENCYPART_ARC
(8,15),-1.99978 # DEPENDENCYPART_ARC
(8,16),-0.909197 # DEPENDENCYPART_ARC
(8,17),-1.02764 # DEPENDENCYPART_ARC
(8,18),-0.0792931 # DEPENDENCYPART_ARC
(9,1),-3.10199 # DEPENDENCYPART_ARC
(9,2),-1.30919 # DEPENDENCYPART_ARC
(9,3),-2.67514 # DEPENDENCYPART_ARC
(9,4),-1.31475 # DEPENDENCYPART_ARC
(9,5),-1.97127 # DEPENDENCYPART_ARC
(9,6),-0.831564 # DEPENDENCYPART_ARC
(9,7),-1.58032 # DEPENDENCYPART_ARC
(9,8),-0.668623 # DEPENDENCYPART_ARC
(9,10),0.148083 # DEPENDENCYPART_ARC
(9,11),-0.478459 # DEPENDENCYPART_ARC
(9,12),-1.59286 # DEPENDENCYPART_ARC
(9,13),-1.16741 # DEPENDENCYPART_ARC
(9,14),-1.87668 # DEPENDENCYPART_ARC
(9,15),-2.07739 # DEPENDENCYPART_ARC
(9,16),-1.91615 # DEPENDENCYPART_ARC
(9,17),-2.00541 # DEPENDENCYPART_ARC
(9,18),-1.15646 # DEPENDENCYPART_ARC
(10,1),-2.47718 # DEPENDENCYPART_ARC
(10,2),-0.795066 # DEPENDENCYPART_ARC
(10,3),-1.73687 # DEPENDENCYPART_ARC
(10,4),-1.4584 # DEPENDENCYPART_ARC
(10,5),-2.28797 # DEPENDENCYPART_ARC
(10,6),-0.502163 # DEPENDENCYPART_ARC
(10,7),-1.3078 # DEPENDENCYPART_ARC
(10,8),0.302409 # DEPENDENCYPART_ARC
(10,9),3.30937 # DEPENDENCYPART_ARC
(10,11),0.0132239 # DEPENDENCYPART_ARC
(10,12),0.724597 # DEPENDENCYPART_ARC
(10,13),-0.922203 # DEPENDENCYPART_ARC
(10,14),-1.64906 # DEPENDENCYPART_ARC
(10,15),-1.5508 # DEPENDENCYPART_ARC
(10,16),-1.694 # DEPENDENCYPART_ARC
(10,17),-1.07528 # DEPENDENCYPART_ARC
(10,18),-0.936755 # DEPENDENCYPART_ARC
(11,1),-0.617775 # DEPENDENCYPART_ARC
(11,2),-0.00939634 # DEPENDENCYPART_ARC
(11,3),-0.626526 # DEPENDENCYPART_ARC
(11,4),-0.573611 # DEPENDENCYPART_ARC
(11,5),-0.227091 # DEPENDENCYPART_ARC
(11,6),-0.00443617 # DEPENDENCYPART_ARC
(11,7),-0.0344402 # DEPENDENCYPART_ARC
(11,8),0.0328353 # DEPENDENCYPART_ARC
(11,9),-0.0967259 # DEPENDENCYPART_ARC
(11,10),-0.0894612 # DEPENDENCYPART_ARC
(11,12),-0.0241578 # DEPENDENCYPART_ARC
(11,13),-0.747029 # DEPENDENCYPART_ARC
(11,14),-1.10603 # DEPENDENCYPART_ARC
(11,15),-0.724757 # DEPENDENCYPART_ARC
