# _root_ Πιστεύω ότι αξίζει στ' αλήθεια τον κόπο να συνεχίσουμε το πρόγραμμα αυτό και , αν είναι δυνατόν , να αυξήσουμε τους σχετικούς πόρους .
#goldHeads=0,1,13,3,4,7,3,9,3,11,9,11,2,15,13,15,16,13,20,13,23,23,20,0,
#predictedHeads=0,1,2,5,3,7,3,9,13,11,9,11,2,15,9,15,16,15,20,16,23,23,20,0,
(0,1),0.951414 # DEPENDENCYPART_ARC
(0,2),-0.533034 # DEPENDENCYPART_ARC
(0,3),-0.344526 # DEPENDENCYPART_ARC
(0,5),-1.18345 # DEPENDENCYPART_ARC
(0,7),-1.76328 # DEPENDENCYPART_ARC
(0,9),-1.84935 # DEPENDENCYPART_ARC
(0,11),-2.13059 # DEPENDENCYPART_ARC
(0,12),-2.04028 # DEPENDENCYPART_ARC
(0,13),-0.78234 # DEPENDENCYPART_ARC
(0,14),-0.660537 # DEPENDENCYPART_ARC
(0,15),-0.8942 # DEPENDENCYPART_ARC
(0,16),-1.35331 # DEPENDENCYPART_ARC
(0,17),-2.22663 # DEPENDENCYPART_ARC
(0,18),-0.589305 # DEPENDENCYPART_ARC
(0,20),-2.32224 # DEPENDENCYPART_ARC
(0,22),-2.33747 # DEPENDENCYPART_ARC
(0,23),-1.81547 # DEPENDENCYPART_ARC
(0,24),4.05678 # DEPENDENCYPART_ARC
(1,2),1.55824 # DEPENDENCYPART_ARC
(1,3),-0.218356 # DEPENDENCYPART_ARC
(1,4),-2.83964 # DEPENDENCYPART_ARC
(1,5),-0.52016 # DEPENDENCYPART_ARC
(1,6),-2.25277 # DEPENDENCYPART_ARC
(1,7),-1.35169 # DEPENDENCYPART_ARC
(1,8),-1.2098 # DEPENDENCYPART_ARC
(1,9),-1.48195 # DEPENDENCYPART_ARC
(1,10),-2.9624 # DEPENDENCYPART_ARC
(1,11),-2.04852 # DEPENDENCYPART_ARC
(1,12),-3.02687 # DEPENDENCYPART_ARC
(1,13),-0.657214 # DEPENDENCYPART_ARC
(1,14),-0.195358 # DEPENDENCYPART_ARC
(1,15),-0.336739 # DEPENDENCYPART_ARC
(1,16),-5.56341 # DEPENDENCYPART_ARC
(1,17),-1.93693 # DEPENDENCYPART_ARC
(1,18),-0.41557 # DEPENDENCYPART_ARC
(1,19),-1.50637 # DEPENDENCYPART_ARC
(1,20),-3.06147 # DEPENDENCYPART_ARC
(1,21),-2.96718 # DEPENDENCYPART_ARC
(1,22),-4.16724 # DEPENDENCYPART_ARC
(1,23),-3.5901 # DEPENDENCYPART_ARC
(1,24),-0.244683 # DEPENDENCYPART_ARC
(2,1),0.911303 # DEPENDENCYPART_ARC
(2,3),2.91292 # DEPENDENCYPART_ARC
(2,6),-1.25766 # DEPENDENCYPART_ARC
(2,9),0.0788355 # DEPENDENCYPART_ARC
(2,10),-1.58914 # DEPENDENCYPART_ARC
(2,12),-1.19109 # DEPENDENCYPART_ARC
(2,13),0.0902864 # DEPENDENCYPART_ARC
(2,14),-0.448888 # DEPENDENCYPART_ARC
(2,15),-0.380625 # DEPENDENCYPART_ARC
(2,16),0.462545 # DEPENDENCYPART_ARC
(2,17),-2.15383 # DEPENDENCYPART_ARC
(2,18),-0.786148 # DEPENDENCYPART_ARC
(2,20),-0.971436 # DEPENDENCYPART_ARC
(2,21),-1.86769 # DEPENDENCYPART_ARC
(2,22),-2.27284 # DEPENDENCYPART_ARC
(2,24),-0.981462 # DEPENDENCYPART_ARC
(3,1),-1.1416 # DEPENDENCYPART_ARC
(3,2),0.482425 # DEPENDENCYPART_ARC
(3,4),-1.11192 # DEPENDENCYPART_ARC
(3,5),2.21213 # DEPENDENCYPART_ARC
(3,6),-1.36856 # DEPENDENCYPART_ARC
(3,7),1.05229 # DEPENDENCYPART_ARC
(3,8),-0.453779 # DEPENDENCYPART_ARC
(3,9),-0.0180471 # DEPENDENCYPART_ARC
(3,10),-2.65403 # DEPENDENCYPART_ARC
(3,11),-1.07795 # DEPENDENCYPART_ARC
(3,12),-2.51616 # DEPENDENCYPART_ARC
(3,13),-0.438775 # DEPENDENCYPART_ARC
(3,14),0.091241 # DEPENDENCYPART_ARC
(3,15),-0.306098 # DEPENDENCYPART_ARC
(3,16),-4.1952 # DEPENDENCYPART_ARC
(3,17),-1.92927 # DEPENDENCYPART_ARC
(3,18),0.123789 # DEPENDENCYPART_ARC
(3,19),-1.52504 # DEPENDENCYPART_ARC
(3,20),-2.32819 # DEPENDENCYPART_ARC
(3,21),-2.68779 # DEPENDENCYPART_ARC
(3,22),-4.16146 # DEPENDENCYPART_ARC
(3,23),-2.5169 # DEPENDENCYPART_ARC
(3,24),-0.233514 # DEPENDENCYPART_ARC
(4,1),-2.98042 # DEPENDENCYPART_ARC
(4,5),1.06755 # DEPENDENCYPART_ARC
(4,6),-0.238651 # DEPENDENCYPART_ARC
(4,7),0.033878 # DEPENDENCYPART_ARC
(4,8),-0.442703 # DEPENDENCYPART_ARC
(4,9),-1.63278 # DEPENDENCYPART_ARC
(4,10),-1.26665 # DEPENDENCYPART_ARC
(4,11),-1.21847 # DEPENDENCYPART_ARC
(4,12),-0.135259 # DEPENDENCYPART_ARC
(4,14),-0.579131 # DEPENDENCYPART_ARC
(4,16),-1.92376 # DEPENDENCYPART_ARC
(4,17),-1.52498 # DEPENDENCYPART_ARC
(4,18),-0.770897 # DEPENDENCYPART_ARC
(4,19),-1.31132 # DEPENDENCYPART_ARC
(4,20),-2.66943 # DEPENDENCYPART_ARC
(4,21),-2.06816 # DEPENDENCYPART_ARC
(4,22),-2.47329 # DEPENDENCYPART_ARC
(4,23),-1.67307 # DEPENDENCYPART_ARC
(4,24),-0.98202 # DEPENDENCYPART_ARC
(5,1),-2.15084 # DEPENDENCYPART_ARC
(5,2),0.240895 # DEPENDENCYPART_ARC
(5,3),-1.1549 # DEPENDENCYPART_ARC
(5,4),2.44941 # DEPENDENCYPART_ARC
(5,6),-0.41555 # DEPENDENCYPART_ARC
(5,7),0.634895 # DEPENDENCYPART_ARC
(5,8),-0.359838 # DEPENDENCYPART_ARC
(5,9),0.0571723 # DEPENDENCYPART_ARC
(5,10),-1.91936 # DEPENDENCYPART_ARC
(5,11),-2.0593 # DEPENDENCYPART_ARC
(5,12),-2.18632 # DEPENDENCYPART_ARC
(5,13),-0.238066 # DEPENDENCYPART_ARC
(5,14),-0.59732 # DEPENDENCYPART_ARC
(5,15),-0.446979 # DEPENDENCYPART_ARC
(5,16),-2.15366 # DEPENDENCYPART_ARC
(5,17),-1.85943 # DEPENDENCYPART_ARC
(5,18),-0.934695 # DEPENDENCYPART_ARC
(5,19),-1.52289 # DEPENDENCYPART_ARC
(5,20),-2.12574 # DEPENDENCYPART_ARC
(5,21),-2.43474 # DEPENDENCYPART_ARC
(5,22),-2.72226 # DEPENDENCYPART_ARC
(5,23),-3.12614 # DEPENDENCYPART_ARC
(5,24),-0.533587 # DEPENDENCYPART_ARC
(6,5),-0.548042 # DEPENDENCYPART_ARC
(6,7),0.137307 # DEPENDENCYPART_ARC
(6,11),-1.68131 # DEPENDENCYPART_ARC
(6,12),-2.04163 # DEPENDENCYPART_ARC
(6,13),-0.769588 # DEPENDENCYPART_ARC
(6,23),-2.49213 # DEPENDENCYPART_ARC
(7,1),-2.48979 # DEPENDENCYPART_ARC
(7,2),-0.599725 # DEPENDENCYPART_ARC
(7,3),-2.20984 # DEPENDENCYPART_ARC
(7,4),-0.316905 # DEPENDENCYPART_ARC
(7,5),-0.0505259 # DEPENDENCYPART_ARC
(7,6),3.25975 # DEPENDENCYPART_ARC
(7,8),0.198251 # DEPENDENCYPART_ARC
(7,9),0.0408147 # DEPENDENCYPART_ARC
(7,10),-0.995554 # DEPENDENCYPART_ARC
