# _root_ * Τα ρέηβ πάρτυ στο κλαμπ Cavo Paradiso , κοντά στη Χώρα , που τελειώνουν με την ανατολή του ηλίου .
#goldHeads=0,4,4,0,4,5,6,7,10,6,10,11,15,15,4,15,18,16,20,18,0,
#predictedHeads=0,4,0,3,4,5,6,7,10,7,10,11,15,15,0,15,18,16,20,18,0,
(0,1),1.67446 # DEPENDENCYPART_ARC
(0,3),0.553107 # DEPENDENCYPART_ARC
(0,4),0.649592 # DEPENDENCYPART_ARC
(0,5),-0.0893057 # DEPENDENCYPART_ARC
(0,6),0.351962 # DEPENDENCYPART_ARC
(0,7),0.0421915 # DEPENDENCYPART_ARC
(0,8),0.174637 # DEPENDENCYPART_ARC
(0,9),0.33196 # DEPENDENCYPART_ARC
(0,10),-0.279251 # DEPENDENCYPART_ARC
(0,11),-0.557698 # DEPENDENCYPART_ARC
(0,12),0.882002 # DEPENDENCYPART_ARC
(0,13),0.256173 # DEPENDENCYPART_ARC
(0,15),1.02124 # DEPENDENCYPART_ARC
(0,16),-1.38257 # DEPENDENCYPART_ARC
(0,18),0.143811 # DEPENDENCYPART_ARC
(0,20),-0.460594 # DEPENDENCYPART_ARC
(0,21),2.90427 # DEPENDENCYPART_ARC
(1,3),-0.609483 # DEPENDENCYPART_ARC
(1,4),-0.881777 # DEPENDENCYPART_ARC
(1,5),-0.800559 # DEPENDENCYPART_ARC
(1,6),-1.02826 # DEPENDENCYPART_ARC
(1,7),-1.00643 # DEPENDENCYPART_ARC
(1,8),-0.811574 # DEPENDENCYPART_ARC
(1,9),-0.648657 # DEPENDENCYPART_ARC
(1,10),-0.931757 # DEPENDENCYPART_ARC
(1,11),-0.835491 # DEPENDENCYPART_ARC
(1,12),-1.32538 # DEPENDENCYPART_ARC
(1,13),-0.962962 # DEPENDENCYPART_ARC
(1,14),-2.05499 # DEPENDENCYPART_ARC
(1,15),-0.95208 # DEPENDENCYPART_ARC
(1,16),-1.4979 # DEPENDENCYPART_ARC
(1,18),-2.24706 # DEPENDENCYPART_ARC
(1,20),-2.20682 # DEPENDENCYPART_ARC
