# _root_ Το παράδειγμα που ανέφερε μόλις ο κ. Bolkestein αποτελεί βέβαια ένα κατάφωρο , ίσως μάλιστα και εξαιρετικό , παράδειγμα των καταχρήσεων που γίνονται στον τομέα των μεταφορών .
#goldHeads=2,9,4,2,4,8,8,4,0,9,19,16,17,17,17,19,16,17,9,21,19,23,21,23,24,27,25,0,
#predictedHeads=2,9,4,2,4,8,8,4,0,9,12,16,14,15,16,19,16,19,9,21,19,23,21,23,24,27,25,0,
(0,2),-1.00351 # DEPENDENCYPART_ARC
(0,4),0.417361 # DEPENDENCYPART_ARC
(0,5),-1.28474 # DEPENDENCYPART_ARC
(0,7),-1.39975 # DEPENDENCYPART_ARC
(0,8),-1.52631 # DEPENDENCYPART_ARC
(0,9),0.49177 # DEPENDENCYPART_ARC
(0,10),-1.06991 # DEPENDENCYPART_ARC
(0,12),-1.49586 # DEPENDENCYPART_ARC
(0,13),-0.785402 # DEPENDENCYPART_ARC
(0,14),-1.35591 # DEPENDENCYPART_ARC
(0,15),-1.59929 # DEPENDENCYPART_ARC
(0,16),-0.930302 # DEPENDENCYPART_ARC
(0,17),-2.10518 # DEPENDENCYPART_ARC
(0,18),-0.524877 # DEPENDENCYPART_ARC
(0,19),-1.43573 # DEPENDENCYPART_ARC
(0,21),-2.44898 # DEPENDENCYPART_ARC
(0,23),-0.651188 # DEPENDENCYPART_ARC
(0,24),-3.18405 # DEPENDENCYPART_ARC
(0,25),-2.07021 # DEPENDENCYPART_ARC
(0,27),-2.26346 # DEPENDENCYPART_ARC
(0,28),3.44235 # DEPENDENCYPART_ARC
(1,2),0.234269 # DEPENDENCYPART_ARC
(1,5),-0.971924 # DEPENDENCYPART_ARC
(1,10),-1.23388 # DEPENDENCYPART_ARC
(1,14),-1.36556 # DEPENDENCYPART_ARC
(1,16),-1.06899 # DEPENDENCYPART_ARC
(1,19),-2.08234 # DEPENDENCYPART_ARC
(1,21),-2.41759 # DEPENDENCYPART_ARC
(1,25),-2.54556 # DEPENDENCYPART_ARC
(1,27),-2.63786 # DEPENDENCYPART_ARC
(2,1),3.57498 # DEPENDENCYPART_ARC
(2,3),1.46289 # DEPENDENCYPART_ARC
(2,4),1.98672 # DEPENDENCYPART_ARC
(2,5),0.29241 # DEPENDENCYPART_ARC
(2,6),-0.930687 # DEPENDENCYPART_ARC
(2,7),-0.19948 # DEPENDENCYPART_ARC
(2,8),0.00598063 # DEPENDENCYPART_ARC
(2,9),-0.725488 # DEPENDENCYPART_ARC
(2,10),-0.3926 # DEPENDENCYPART_ARC
(2,11),-1.47206 # DEPENDENCYPART_ARC
(2,12),-1.30574 # DEPENDENCYPART_ARC
(2,13),-0.186338 # DEPENDENCYPART_ARC
(2,14),-0.798823 # DEPENDENCYPART_ARC
(2,15),-0.672881 # DEPENDENCYPART_ARC
(2,16),-0.109481 # DEPENDENCYPART_ARC
(2,17),-0.691093 # DEPENDENCYPART_ARC
(2,18),-0.32055 # DEPENDENCYPART_ARC
