# _root_ Επισκεφθείτε επίσης το Απολιθωμένο Δάσος , το μεγαλύτερο στην Ευρώπη , που δημιουργήθηκε από μια ηφαιστιακή έκρηξη πριν από περίπου 15 με 20 εκατομμύρια χρόνια .
#goldHeads=0,1,5,5,1,1,8,5,8,9,13,13,5,13,17,17,14,13,18,22,22,25,22,25,19,0,
#predictedHeads=0,1,5,5,6,1,8,5,8,9,13,13,10,13,17,17,14,17,18,19,19,18,24,25,22,0,
(0,1),0.46469 # DEPENDENCYPART_ARC
(0,2),-1.12673 # DEPENDENCYPART_ARC
(0,4),-1.60595 # DEPENDENCYPART_ARC
(0,5),-1.48167 # DEPENDENCYPART_ARC
(0,6),-0.378266 # DEPENDENCYPART_ARC
(0,8),-1.95297 # DEPENDENCYPART_ARC
(0,9),-2.01597 # DEPENDENCYPART_ARC
(0,10),-1.39383 # DEPENDENCYPART_ARC
(0,11),-0.620221 # DEPENDENCYPART_ARC
(0,13),-1.1413 # DEPENDENCYPART_ARC
(0,14),-2.26419 # DEPENDENCYPART_ARC
(0,16),-2.12865 # DEPENDENCYPART_ARC
(0,17),-1.96327 # DEPENDENCYPART_ARC
(0,18),-1.64592 # DEPENDENCYPART_ARC
(0,19),-2.42729 # DEPENDENCYPART_ARC
(0,20),-1.52401 # DEPENDENCYPART_ARC
(0,21),-1.8608 # DEPENDENCYPART_ARC
(0,22),-3.07785 # DEPENDENCYPART_ARC
(0,23),-1.99635 # DEPENDENCYPART_ARC
(0,24),-2.13131 # DEPENDENCYPART_ARC
(0,25),-2.07622 # DEPENDENCYPART_ARC
(0,26),3.12041 # DEPENDENCYPART_ARC
(1,2),2.03875 # DEPENDENCYPART_ARC
(1,3),-1.00732 # DEPENDENCYPART_ARC
(1,4),-1.84348 # DEPENDENCYPART_ARC
(1,5),0.0290302 # DEPENDENCYPART_ARC
(1,6),0.201757 # DEPENDENCYPART_ARC
(1,7),-3.3246 # DEPENDENCYPART_ARC
(1,8),-0.369297 # DEPENDENCYPART_ARC
(1,9),0.777712 # DEPENDENCYPART_ARC
(1,10),-2.51822 # DEPENDENCYPART_ARC
(1,11),-0.0144401 # DEPENDENCYPART_ARC
(1,12),-2.90978 # DEPENDENCYPART_ARC
(1,13),-5.2947 # DEPENDENCYPART_ARC
(1,14),-0.839041 # DEPENDENCYPART_ARC
(1,15),-3.2819 # DEPENDENCYPART_ARC
(1,16),-2.44246 # DEPENDENCYPART_ARC
(1,17),-2.78626 # DEPENDENCYPART_ARC
(1,18),-0.0598175 # DEPENDENCYPART_ARC
(1,19),-0.96939 # DEPENDENCYPART_ARC
(1,20),-0.931834 # DEPENDENCYPART_ARC
(1,21),-0.535284 # DEPENDENCYPART_ARC
(1,22),-0.635852 # DEPENDENCYPART_ARC
(1,23),-0.780314 # DEPENDENCYPART_ARC
(1,24),-3.20433 # DEPENDENCYPART_ARC
(1,25),-3.77194 # DEPENDENCYPART_ARC
(1,26),-0.509813 # DEPENDENCYPART_ARC
(2,1),-0.473489 # DEPENDENCYPART_ARC
(2,3),-0.0553537 # DEPENDENCYPART_ARC
(2,4),0.0362752 # DEPENDENCYPART_ARC
(2,5),-0.758907 # DEPENDENCYPART_ARC
(2,6),-0.764866 # DEPENDENCYPART_ARC
(2,7),-1.60008 # DEPENDENCYPART_ARC
(2,8),-1.63605 # DEPENDENCYPART_ARC
(2,9),-1.60532 # DEPENDENCYPART_ARC
(2,10),-2.16737 # DEPENDENCYPART_ARC
(2,11),-0.93581 # DEPENDENCYPART_ARC
(2,12),-2.30298 # DEPENDENCYPART_ARC
(2,13),-1.74913 # DEPENDENCYPART_ARC
(2,14),-1.62672 # DEPENDENCYPART_ARC
(2,16),-2.26915 # DEPENDENCYPART_ARC
(2,17),-2.52378 # DEPENDENCYPART_ARC
(2,18),-1.78517 # DEPENDENCYPART_ARC
(2,19),-1.65627 # DEPENDENCYPART_ARC
(2,20),-1.61759 # DEPENDENCYPART_ARC
(2,21),-1.86687 # DEPENDENCYPART_ARC
(2,22),-1.81562 # DEPENDENCYPART_ARC
(2,23),-1.87616 # DEPENDENCYPART_ARC
(2,24),-1.96353 # DEPENDENCYPART_ARC
(2,25),-3.14172 # DEPENDENCYPART_ARC
(2,26),-1.70908 # DEPENDENCYPART_ARC
(3,2),-0.0332049 # DEPENDENCYPART_ARC
(3,5),-0.51019 # DEPENDENCYPART_ARC
(3,17),-2.30447 # DEPENDENCYPART_ARC
(3,18),-1.4829 # DEPENDENCYPART_ARC
(3,20),-1.5362 # DEPENDENCYPART_ARC
(3,25),-2.47366 # DEPENDENCYPART_ARC
(4,1),-5.71546 # DEPENDENCYPART_ARC
(4,2),0.0528899 # DEPENDENCYPART_ARC
(4,3),-0.116306 # DEPENDENCYPART_ARC
(4,5),-1.30869 # DEPENDENCYPART_ARC
(4,6),-0.349283 # DEPENDENCYPART_ARC
(4,7),-3.42592 # DEPENDENCYPART_ARC
(4,8),-0.20681 # DEPENDENCYPART_ARC
(4,9),-0.27887 # DEPENDENCYPART_ARC
(4,10),-5.00966 # DEPENDENCYPART_ARC
(4,11),-0.77043 # DEPENDENCYPART_ARC
(4,12),-3.36481 # DEPENDENCYPART_ARC
(4,13),-7.04193 # DEPENDENCYPART_ARC
(4,14),-1.73407 # DEPENDENCYPART_ARC
