# _root_ Επιλέξτε κάποιον καλύτερο , τόσο από τον Cox όσο και από τον Martin , ψηφίζοντας τον κ. Bonde του γραφείου 007 .
#goldHeads=0,1,2,10,10,5,8,6,10,3,9,13,11,10,1,18,18,15,20,18,20,0,
#predictedHeads=10,1,10,5,10,10,8,6,10,0,10,13,11,15,1,18,18,15,20,18,20,0,
(0,1),0.320896 # DEPENDENCYPART_ARC
(0,2),-1.15871 # DEPENDENCYPART_ARC
(0,3),-1.37759 # DEPENDENCYPART_ARC
(0,4),-0.521508 # DEPENDENCYPART_ARC
(0,5),-1.63273 # DEPENDENCYPART_ARC
(0,6),-1.8115 # DEPENDENCYPART_ARC
(0,8),-1.05011 # DEPENDENCYPART_ARC
(0,9),-1.43442 # DEPENDENCYPART_ARC
(0,10),-0.275598 # DEPENDENCYPART_ARC
(0,11),-2.27717 # DEPENDENCYPART_ARC
(0,13),-1.19782 # DEPENDENCYPART_ARC
(0,14),-0.851656 # DEPENDENCYPART_ARC
(0,15),-1.592 # DEPENDENCYPART_ARC
(0,17),-1.35276 # DEPENDENCYPART_ARC
(0,18),-1.34521 # DEPENDENCYPART_ARC
(0,20),-1.69053 # DEPENDENCYPART_ARC
(0,21),-1.80462 # DEPENDENCYPART_ARC
(0,22),2.14074 # DEPENDENCYPART_ARC
(1,2),2.04916 # DEPENDENCYPART_ARC
(1,3),0.580941 # DEPENDENCYPART_ARC
(1,4),0.739514 # DEPENDENCYPART_ARC
(1,5),0.00800665 # DEPENDENCYPART_ARC
(1,6),0.238342 # DEPENDENCYPART_ARC
(1,7),-1.71086 # DEPENDENCYPART_ARC
(1,8),-0.0901548 # DEPENDENCYPART_ARC
(1,9),-0.345637 # DEPENDENCYPART_ARC
(1,10),0.296976 # DEPENDENCYPART_ARC
(1,11),-0.207315 # DEPENDENCYPART_ARC
(1,12),-1.92302 # DEPENDENCYPART_ARC
(1,13),-0.342156 # DEPENDENCYPART_ARC
(1,14),0.699058 # DEPENDENCYPART_ARC
(1,15),1.29859 # DEPENDENCYPART_ARC
(1,16),-2.35586 # DEPENDENCYPART_ARC
(1,17),-1.25363 # DEPENDENCYPART_ARC
(1,18),-0.917697 # DEPENDENCYPART_ARC
(1,19),-3.70267 # DEPENDENCYPART_ARC
(1,20),-4.66785 # DEPENDENCYPART_ARC
(1,21),-0.611461 # DEPENDENCYPART_ARC
(1,22),-0.204548 # DEPENDENCYPART_ARC
(2,1),-0.927872 # DEPENDENCYPART_ARC
(2,3),0.794034 # DEPENDENCYPART_ARC
(2,4),0.198875 # DEPENDENCYPART_ARC
(2,5),0.0504201 # DEPENDENCYPART_ARC
(2,6),0.388734 # DEPENDENCYPART_ARC
(2,7),-1.12185 # DEPENDENCYPART_ARC
(2,9),-0.410934 # DEPENDENCYPART_ARC
(2,10),-0.0921648 # DEPENDENCYPART_ARC
(2,11),0.0260115 # DEPENDENCYPART_ARC
(2,12),-1.31749 # DEPENDENCYPART_ARC
(2,14),-0.334098 # DEPENDENCYPART_ARC
(2,15),-1.31947 # DEPENDENCYPART_ARC
(2,16),-1.88969 # DEPENDENCYPART_ARC
(2,19),-1.42344 # DEPENDENCYPART_ARC
(2,20),-0.71179 # DEPENDENCYPART_ARC
(2,22),-0.911237 # DEPENDENCYPART_ARC
(3,1),-0.877404 # DEPENDENCYPART_ARC
(3,2),0.507735 # DEPENDENCYPART_ARC
(3,4),0.565724 # DEPENDENCYPART_ARC
(3,5),0.590976 # DEPENDENCYPART_ARC
(3,6),0.852939 # DEPENDENCYPART_ARC
(3,7),-0.772172 # DEPENDENCYPART_ARC
(3,8),-0.159179 # DEPENDENCYPART_ARC
(3,9),-0.0277904 # DEPENDENCYPART_ARC
(3,10),0.270078 # DEPENDENCYPART_ARC
(3,11),0.519499 # DEPENDENCYPART_ARC
(3,12),-1.09385 # DEPENDENCYPART_ARC
(3,13),-0.382734 # DEPENDENCYPART_ARC
(3,14),-0.0272447 # DEPENDENCYPART_ARC
(3,15),-2.15575 # DEPENDENCYPART_ARC
(3,16),-1.6234 # DEPENDENCYPART_ARC
(3,17),-0.937236 # DEPENDENCYPART_ARC
(3,18),-0.928029 # DEPENDENCYPART_ARC
(3,19),-1.94504 # DEPENDENCYPART_ARC
(3,20),-0.746858 # DEPENDENCYPART_ARC
(3,21),-0.792716 # DEPENDENCYPART_ARC
(3,22),-0.599137 # DEPENDENCYPART_ARC
(4,1),0.145388 # DEPENDENCYPART_ARC
(4,2),-0.012992 # DEPENDENCYPART_ARC
(4,3),0.551274 # DEPENDENCYPART_ARC
(4,5),-0.0543291 # DEPENDENCYPART_ARC
(4,6),-0.137899 # DEPENDENCYPART_ARC
(4,8),-0.507793 # DEPENDENCYPART_ARC
(4,9),-0.511675 # DEPENDENCYPART_ARC
