# _root_ Αποτελεί έναν από τους αγαπημένους προορισμούς των Κερκυραίων , καθώς συνδυάζει αστείρευτη φυσική ομορφιά με τη μαγεία της θάλασσας , ενώ απέχει ελάχιστα από την πόλη .
#goldHeads=21,1,2,6,6,3,8,6,10,1,10,14,14,11,11,17,15,19,17,21,0,21,22,22,26,24,0,
#predictedHeads=21,1,2,6,6,3,8,6,11,11,21,14,14,11,11,17,15,19,17,21,0,21,22,22,26,24,0,
(0,1),0.776642 # DEPENDENCYPART_ARC
(0,3),-1.35475 # DEPENDENCYPART_ARC
(0,5),-1.67744 # DEPENDENCYPART_ARC
(0,6),-1.65321 # DEPENDENCYPART_ARC
(0,8),-1.82 # DEPENDENCYPART_ARC
(0,9),-0.664231 # DEPENDENCYPART_ARC
(0,10),-1.54915 # DEPENDENCYPART_ARC
(0,11),-0.373587 # DEPENDENCYPART_ARC
(0,12),-1.5608 # DEPENDENCYPART_ARC
(0,13),-1.65612 # DEPENDENCYPART_ARC
(0,14),-1.86225 # DEPENDENCYPART_ARC
(0,15),-1.74373 # DEPENDENCYPART_ARC
(0,17),-1.95394 # DEPENDENCYPART_ARC
(0,19),-2.28129 # DEPENDENCYPART_ARC
(0,20),-1.12959 # DEPENDENCYPART_ARC
(0,21),1.89096 # DEPENDENCYPART_ARC
(0,22),-1.15131 # DEPENDENCYPART_ARC
(0,23),-1.86738 # DEPENDENCYPART_ARC
(0,24),-2.42644 # DEPENDENCYPART_ARC
(0,26),-2.07655 # DEPENDENCYPART_ARC
(0,27),3.69232 # DEPENDENCYPART_ARC
(1,2),1.95211 # DEPENDENCYPART_ARC
(1,3),0.990294 # DEPENDENCYPART_ARC
(1,4),-1.06801 # DEPENDENCYPART_ARC
(1,5),-1.51852 # DEPENDENCYPART_ARC
(1,6),0.469961 # DEPENDENCYPART_ARC
(1,7),-2.45957 # DEPENDENCYPART_ARC
(1,8),-2.33371 # DEPENDENCYPART_ARC
(1,9),0.400133 # DEPENDENCYPART_ARC
(1,10),0.669952 # DEPENDENCYPART_ARC
(1,11),-1.7058 # DEPENDENCYPART_ARC
(1,12),-2.67345 # DEPENDENCYPART_ARC
(1,13),-3.15812 # DEPENDENCYPART_ARC
(1,14),-0.645318 # DEPENDENCYPART_ARC
(1,15),-0.194692 # DEPENDENCYPART_ARC
(1,16),-2.1956 # DEPENDENCYPART_ARC
(1,17),-1.81506 # DEPENDENCYPART_ARC
(1,18),-3.27742 # DEPENDENCYPART_ARC
(1,19),-3.74589 # DEPENDENCYPART_ARC
(1,20),-0.359899 # DEPENDENCYPART_ARC
(1,21),-0.222095 # DEPENDENCYPART_ARC
(1,22),-4.63955 # DEPENDENCYPART_ARC
(1,23),-1.81499 # DEPENDENCYPART_ARC
(1,24),-1.89773 # DEPENDENCYPART_ARC
(1,25),-2.59791 # DEPENDENCYPART_ARC
(1,26),-3.18352 # DEPENDENCYPART_ARC
(1,27),-0.542122 # DEPENDENCYPART_ARC
(2,1),-1.7168 # DEPENDENCYPART_ARC
(2,3),2.2067 # DEPENDENCYPART_ARC
(2,4),0.095731 # DEPENDENCYPART_ARC
(2,5),-0.407353 # DEPENDENCYPART_ARC
(2,7),-0.251082 # DEPENDENCYPART_ARC
(2,10),0.278928 # DEPENDENCYPART_ARC
(2,11),-0.99182 # DEPENDENCYPART_ARC
(2,12),-1.10268 # DEPENDENCYPART_ARC
(2,13),-1.23049 # DEPENDENCYPART_ARC
(2,15),-0.402413 # DEPENDENCYPART_ARC
(2,16),-0.769729 # DEPENDENCYPART_ARC
(2,18),-0.851391 # DEPENDENCYPART_ARC
(2,21),-0.774883 # DEPENDENCYPART_ARC
(2,22),-1.51107 # DEPENDENCYPART_ARC
(2,23),-1.0906 # DEPENDENCYPART_ARC
(2,24),-0.935497 # DEPENDENCYPART_ARC
(2,25),-1.13978 # DEPENDENCYPART_ARC
(3,1),-0.705462 # DEPENDENCYPART_ARC
(3,2),-0.0536472 # DEPENDENCYPART_ARC
(3,4),0.588951 # DEPENDENCYPART_ARC
(3,5),1.52571 # DEPENDENCYPART_ARC
(3,6),2.27801 # DEPENDENCYPART_ARC
(3,7),-0.503086 # DEPENDENCYPART_ARC
(3,8),0.576266 # DEPENDENCYPART_ARC
(3,9),0.289214 # DEPENDENCYPART_ARC
(3,10),-0.0395465 # DEPENDENCYPART_ARC
(3,11),-0.713895 # DEPENDENCYPART_ARC
(3,12),-0.69531 # DEPENDENCYPART_ARC
(3,13),-0.368899 # DEPENDENCYPART_ARC
(3,14),-1.69376 # DEPENDENCYPART_ARC
(3,15),-0.880547 # DEPENDENCYPART_ARC
(3,16),-1.62243 # DEPENDENCYPART_ARC
(3,17),-2.8001 # DEPENDENCYPART_ARC
(3,18),-1.51757 # DEPENDENCYPART_ARC
(3,19),-4.01239 # DEPENDENCYPART_ARC
(3,20),-0.793037 # DEPENDENCYPART_ARC
(3,21),-1.61495 # DEPENDENCYPART_ARC
(3,22),-2.20615 # DEPENDENCYPART_ARC
(3,23),-1.36324 # DEPENDENCYPART_ARC
(3,24),-1.36762 # DEPENDENCYPART_ARC
(3,25),-1.94756 # DEPENDENCYPART_ARC
(3,26),-5.50453 # DEPENDENCYPART_ARC
(3,27),-1.7029 # DEPENDENCYPART_ARC
(4,6),-0.188887 # DEPENDENCYPART_ARC
(4,8),-0.932852 # DEPENDENCYPART_ARC
(4,10),-0.562771 # DEPENDENCYPART_ARC
(4,14),-2.20505 # DEPENDENCYPART_ARC
(4,17),-2.33253 # DEPENDENCYPART_ARC
(4,19),-1.8778 # DEPENDENCYPART_ARC
(4,21),-0.413827 # DEPENDENCYPART_ARC
(4,23),-1.42029 # DEPENDENCYPART_ARC
(4,26),-2.5766 # DEPENDENCYPART_ARC
(5,1),-3.18091 # DEPENDENCYPART_ARC
