# _root_ Πιστεύω ότι το ένταλμα για το οποίο εργαζόμαστε μπορεί να είναι , τουλάχιστον , πρακτικό και να μας οδηγήσει σε θετικά αποτελέσματα .
#goldHeads=0,1,4,16,8,7,5,4,2,11,16,13,11,13,11,9,19,19,16,19,22,20,0,
#predictedHeads=0,1,4,9,4,7,5,2,2,11,9,13,11,16,16,9,19,19,16,19,22,20,0,
(0,1),1.02873 # DEPENDENCYPART_ARC
(0,2),-1.10159 # DEPENDENCYPART_ARC
(0,3),-1.55419 # DEPENDENCYPART_ARC
(0,4),-1.36018 # DEPENDENCYPART_ARC
(0,5),-1.81937 # DEPENDENCYPART_ARC
(0,6),-1.81908 # DEPENDENCYPART_ARC
(0,7),-1.73298 # DEPENDENCYPART_ARC
(0,8),-0.961203 # DEPENDENCYPART_ARC
(0,9),-0.493276 # DEPENDENCYPART_ARC
(0,10),-1.56349 # DEPENDENCYPART_ARC
(0,11),-1.09013 # DEPENDENCYPART_ARC
(0,12),-0.210433 # DEPENDENCYPART_ARC
(0,13),-0.99216 # DEPENDENCYPART_ARC
(0,14),-0.37799 # DEPENDENCYPART_ARC
(0,15),-1.85403 # DEPENDENCYPART_ARC
(0,16),-0.995142 # DEPENDENCYPART_ARC
(0,17),-1.63686 # DEPENDENCYPART_ARC
(0,18),-2.14215 # DEPENDENCYPART_ARC
(0,19),-1.87218 # DEPENDENCYPART_ARC
(0,20),-3.33889 # DEPENDENCYPART_ARC
(0,21),-1.93725 # DEPENDENCYPART_ARC
(0,22),-1.76954 # DEPENDENCYPART_ARC
(0,23),3.72587 # DEPENDENCYPART_ARC
(1,2),1.68196 # DEPENDENCYPART_ARC
(1,3),-2.3709 # DEPENDENCYPART_ARC
(1,4),0.277668 # DEPENDENCYPART_ARC
(1,5),0.657376 # DEPENDENCYPART_ARC
(1,6),-3.15177 # DEPENDENCYPART_ARC
(1,7),-1.58889 # DEPENDENCYPART_ARC
(1,8),-3.27058 # DEPENDENCYPART_ARC
(1,9),-4.30055 # DEPENDENCYPART_ARC
(1,10),-1.08118 # DEPENDENCYPART_ARC
(1,11),-3.83412 # DEPENDENCYPART_ARC
(1,12),-0.365061 # DEPENDENCYPART_ARC
(1,13),-0.987513 # DEPENDENCYPART_ARC
(1,14),-0.533918 # DEPENDENCYPART_ARC
(1,15),-2.45824 # DEPENDENCYPART_ARC
(1,16),-0.725453 # DEPENDENCYPART_ARC
(1,17),-1.39879 # DEPENDENCYPART_ARC
(1,18),-4.10131 # DEPENDENCYPART_ARC
(1,19),-3.02834 # DEPENDENCYPART_ARC
(1,20),-1.9684 # DEPENDENCYPART_ARC
(1,21),-3.6947 # DEPENDENCYPART_ARC
(1,22),-3.95637 # DEPENDENCYPART_ARC
(1,23),-0.0435631 # DEPENDENCYPART_ARC
(2,1),-0.12659 # DEPENDENCYPART_ARC
(2,3),0.0474242 # DEPENDENCYPART_ARC
(2,4),-0.204664 # DEPENDENCYPART_ARC
(2,5),-0.0426867 # DEPENDENCYPART_ARC
(2,6),-0.821155 # DEPENDENCYPART_ARC
(2,7),-0.599688 # DEPENDENCYPART_ARC
(2,8),1.82443 # DEPENDENCYPART_ARC
(2,9),1.40793 # DEPENDENCYPART_ARC
(2,10),-1.10108 # DEPENDENCYPART_ARC
(2,11),-0.186924 # DEPENDENCYPART_ARC
(2,12),-0.0982672 # DEPENDENCYPART_ARC
(2,13),-0.700647 # DEPENDENCYPART_ARC
(2,14),-0.448974 # DEPENDENCYPART_ARC
(2,15),-1.7375 # DEPENDENCYPART_ARC
(2,16),-0.212113 # DEPENDENCYPART_ARC
(2,17),-1.16399 # DEPENDENCYPART_ARC
(2,18),-1.27162 # DEPENDENCYPART_ARC
(2,19),-1.08303 # DEPENDENCYPART_ARC
(2,20),-0.787832 # DEPENDENCYPART_ARC
(2,21),-1.74705 # DEPENDENCYPART_ARC
(2,22),-2.92171 # DEPENDENCYPART_ARC
(2,23),-0.655844 # DEPENDENCYPART_ARC
(3,1),-2.6918 # DEPENDENCYPART_ARC
(3,2),-0.740973 # DEPENDENCYPART_ARC
(3,4),0.235089 # DEPENDENCYPART_ARC
(3,5),-0.251653 # DEPENDENCYPART_ARC
(3,6),-0.982149 # DEPENDENCYPART_ARC
(3,7),-1.49065 # DEPENDENCYPART_ARC
(3,8),-2.57062 # DEPENDENCYPART_ARC
(3,9),-3.3677 # DEPENDENCYPART_ARC
(3,10),-1.59968 # DEPENDENCYPART_ARC
(3,11),-3.35356 # DEPENDENCYPART_ARC
(3,12),-1.20515 # DEPENDENCYPART_ARC
(3,13),-1.16501 # DEPENDENCYPART_ARC
(3,14),-1.29465 # DEPENDENCYPART_ARC
(3,15),-2.92481 # DEPENDENCYPART_ARC
(3,16),-1.23332 # DEPENDENCYPART_ARC
(3,17),-1.787 # DEPENDENCYPART_ARC
(3,18),-3.12535 # DEPENDENCYPART_ARC
(3,19),-3.76173 # DEPENDENCYPART_ARC
(3,20),-1.53998 # DEPENDENCYPART_ARC
(3,21),-3.03826 # DEPENDENCYPART_ARC
(3,22),-2.19931 # DEPENDENCYPART_ARC
(3,23),-1.37057 # DEPENDENCYPART_ARC
(4,1),-1.89131 # DEPENDENCYPART_ARC
(4,2),0.268761 # DEPENDENCYPART_ARC
(4,3),3.01925 # DEPENDENCYPART_ARC
(4,5),1.45969 # DEPENDENCYPART_ARC
(4,6),-0.662539 # DEPENDENCYPART_ARC
(4,7),0.0558861 # DEPENDENCYPART_ARC
(4,8),1.04591 # DEPENDENCYPART_ARC
(4,9),-0.487425 # DEPENDENCYPART_ARC
(4,10),-1.12134 # DEPENDENCYPART_ARC
(4,11),-1.35757 # DEPENDENCYPART_ARC
(4,12),-0.634493 # DEPENDENCYPART_ARC
(4,13),-1.30498 # DEPENDENCYPART_ARC
(4,14),-0.7928 # DEPENDENCYPART_ARC
(4,15),-2.19552 # DEPENDENCYPART_ARC
(4,16),-0.781909 # DEPENDENCYPART_ARC
(4,17),-1.44517 # DEPENDENCYPART_ARC
(4,18),-3.00082 # DEPENDENCYPART_ARC
(4,19),-1.39347 # DEPENDENCYPART_ARC
(4,20),-2.12284 # DEPENDENCYPART_ARC
(4,21),-2.34662 # DEPENDENCYPART_ARC
(4,22),-2.39933 # DEPENDENCYPART_ARC
(4,23),-0.510088 # DEPENDENCYPART_ARC
(5,1),-0.961668 # DEPENDENCYPART_ARC
(5,2),-0.0868973 # DEPENDENCYPART_ARC
(5,3),0.0982267 # DEPENDENCYPART_ARC
(5,4),-0.739194 # DEPENDENCYPART_ARC
(5,6),0.170403 # DEPENDENCYPART_ARC
(5,7),2.77056 # DEPENDENCYPART_ARC
(5,8),0.605049 # DEPENDENCYPART_ARC
(5,9),-0.292829 # DEPENDENCYPART_ARC
(5,10),-0.668857 # DEPENDENCYPART_ARC
(5,11),-0.529272 # DEPENDENCYPART_ARC
(5,12),-0.434897 # DEPENDENCYPART_ARC
(5,13),-0.906564 # DEPENDENCYPART_ARC
(5,14),-0.47601 # DEPENDENCYPART_ARC
(5,15),-0.670214 # DEPENDENCYPART_ARC
(5,16),-0.664102 # DEPENDENCYPART_ARC
(5,17),-1.1396 # DEPENDENCYPART_ARC
(5,18),-0.753968 # DEPENDENCYPART_ARC
(5,19),-1.14152 # DEPENDENCYPART_ARC
(5,20),-0.876706 # DEPENDENCYPART_ARC
(5,21),-0.897067 # DEPENDENCYPART_ARC
(5,22),-0.928914 # DEPENDENCYPART_ARC
(5,23),-0.718087 # DEPENDENCYPART_ARC
(6,1),-3.47289 # DEPENDENCYPART_ARC
(6,2),-1.68754 # DEPENDENCYPART_ARC
(6,3),-0.65541 # DEPENDENCYPART_ARC
(6,4),-1.42351 # DEPENDENCYPART_ARC
(6,5),-0.705816 # DEPENDENCYPART_ARC
(6,7),0.0415257 # DEPENDENCYPART_ARC
(6,8),-1.6148 # DEPENDENCYPART_ARC
(6,9),-2.52097 # DEPENDENCYPART_ARC
(6,10),-1.0417 # DEPENDENCYPART_ARC
(6,11),-2.74366 # DEPENDENCYPART_ARC
(6,12),-0.729408 # DEPENDENCYPART_ARC
(6,13),-0.812117 # DEPENDENCYPART_ARC
(6,14),-0.818413 # DEPENDENCYPART_ARC
