# _root_ Λυπάμαι πολύ , κύριε Ύπατε Εκπρόσωπε , που δεν μπορώ να συμμεριστώ ούτε καν τη μετριασμένη αισιοδοξία σας .
#goldHeads=0,1,6,6,6,1,6,1,10,8,12,10,12,12,17,17,12,17,0,
#predictedHeads=0,1,1,6,6,1,10,10,10,0,12,10,12,12,17,17,12,17,0,
(0,1),0.969613 # DEPENDENCYPART_ARC
(0,2),-0.861503 # DEPENDENCYPART_ARC
(0,3),0.0864802 # DEPENDENCYPART_ARC
(0,4),-0.631776 # DEPENDENCYPART_ARC
(0,5),-1.63839 # DEPENDENCYPART_ARC
(0,6),-1.31984 # DEPENDENCYPART_ARC
(0,7),-0.191076 # DEPENDENCYPART_ARC
(0,8),-1.72759 # DEPENDENCYPART_ARC
(0,9),-1.34057 # DEPENDENCYPART_ARC
(0,10),-0.0619813 # DEPENDENCYPART_ARC
(0,11),-1.46943 # DEPENDENCYPART_ARC
(0,12),-0.527743 # DEPENDENCYPART_ARC
(0,13),-0.385171 # DEPENDENCYPART_ARC
(0,14),-0.916029 # DEPENDENCYPART_ARC
(0,15),-1.84556 # DEPENDENCYPART_ARC
(0,16),-1.70225 # DEPENDENCYPART_ARC
(0,17),-1.79442 # DEPENDENCYPART_ARC
(0,18),-1.8811 # DEPENDENCYPART_ARC
(0,19),2.99446 # DEPENDENCYPART_ARC
(1,2),2.21802 # DEPENDENCYPART_ARC
(1,3),0.808163 # DEPENDENCYPART_ARC
(1,4),0.808676 # DEPENDENCYPART_ARC
(1,5),-0.139167 # DEPENDENCYPART_ARC
(1,6),0.560106 # DEPENDENCYPART_ARC
(1,7),0.534948 # DEPENDENCYPART_ARC
(1,8),-1.13812 # DEPENDENCYPART_ARC
(1,9),-0.142074 # DEPENDENCYPART_ARC
(1,10),-1.69098 # DEPENDENCYPART_ARC
(1,11),-0.619393 # DEPENDENCYPART_ARC
(1,12),-2.28795 # DEPENDENCYPART_ARC
(1,13),0.219387 # DEPENDENCYPART_ARC
(1,14),-0.535558 # DEPENDENCYPART_ARC
(1,15),-2.23427 # DEPENDENCYPART_ARC
(1,16),-1.88346 # DEPENDENCYPART_ARC
(1,17),-1.59004 # DEPENDENCYPART_ARC
(1,18),-3.94906 # DEPENDENCYPART_ARC
(1,19),0.405233 # DEPENDENCYPART_ARC
(2,1),0.286128 # DEPENDENCYPART_ARC
(2,3),0.0397143 # DEPENDENCYPART_ARC
(2,4),0.0063611 # DEPENDENCYPART_ARC
(2,5),-0.895593 # DEPENDENCYPART_ARC
(2,6),-0.986959 # DEPENDENCYPART_ARC
(2,7),-0.731133 # DEPENDENCYPART_ARC
(2,8),-1.40994 # DEPENDENCYPART_ARC
(2,9),-1.43573 # DEPENDENCYPART_ARC
(2,10),-1.56098 # DEPENDENCYPART_ARC
(2,11),-1.95423 # DEPENDENCYPART_ARC
(2,12),-2.07787 # DEPENDENCYPART_ARC
(2,13),-1.32062 # DEPENDENCYPART_ARC
(2,14),-1.62263 # DEPENDENCYPART_ARC
(2,15),-2.34217 # DEPENDENCYPART_ARC
(2,16),-2.4458 # DEPENDENCYPART_ARC
(2,17),-2.69561 # DEPENDENCYPART_ARC
(2,18),-1.59321 # DEPENDENCYPART_ARC
(2,19),-1.51443 # DEPENDENCYPART_ARC
(3,1),0.390182 # DEPENDENCYPART_ARC
(3,2),0.753048 # DEPENDENCYPART_ARC
(3,4),0.501863 # DEPENDENCYPART_ARC
(3,5),0.0372901 # DEPENDENCYPART_ARC
(3,6),0.0768134 # DEPENDENCYPART_ARC
(3,7),0.395803 # DEPENDENCYPART_ARC
(3,8),-1.37725 # DEPENDENCYPART_ARC
(3,9),-0.61813 # DEPENDENCYPART_ARC
(3,10),-0.380416 # DEPENDENCYPART_ARC
(3,11),-1.13994 # DEPENDENCYPART_ARC
(3,12),-0.997958 # DEPENDENCYPART_ARC
(3,13),-0.410692 # DEPENDENCYPART_ARC
(3,14),-0.927619 # DEPENDENCYPART_ARC
(3,15),-1.45321 # DEPENDENCYPART_ARC
