# _root_ * Πάρτε το ποτό σας και καθίστε κάπου κοντά στο Pierro's , ένα από τα διασημότερα και παλαιότερα gay μπαρ του κόσμου , για να δείτε τον κόσμο που πηγαινοέρχεται τα βράδυα .
#goldHeads=6,6,4,2,4,0,6,9,7,9,12,10,12,13,20,17,20,17,20,14,22,20,24,6,26,24,28,26,30,28,32,30,0,
#predictedHeads=0,6,4,2,4,0,6,9,7,9,10,2,12,13,16,17,20,20,20,14,22,20,24,13,26,24,28,26,30,28,32,30,0,
(0,1),1.52747 # DEPENDENCYPART_ARC
(0,2),1.3146 # DEPENDENCYPART_ARC
(0,3),-0.647828 # DEPENDENCYPART_ARC
(0,4),-0.266539 # DEPENDENCYPART_ARC
(0,5),-0.906657 # DEPENDENCYPART_ARC
(0,6),1.13579 # DEPENDENCYPART_ARC
(0,7),0.323847 # DEPENDENCYPART_ARC
(0,8),-0.454171 # DEPENDENCYPART_ARC
(0,9),-0.4628 # DEPENDENCYPART_ARC
(0,10),-1.23382 # DEPENDENCYPART_ARC
(0,11),0.192573 # DEPENDENCYPART_ARC
(0,12),0.0521915 # DEPENDENCYPART_ARC
(0,13),-1.39511 # DEPENDENCYPART_ARC
(0,14),-1.46404 # DEPENDENCYPART_ARC
(0,15),-1.11685 # DEPENDENCYPART_ARC
(0,16),-1.09769 # DEPENDENCYPART_ARC
(0,17),-0.0239293 # DEPENDENCYPART_ARC
(0,18),-0.185161 # DEPENDENCYPART_ARC
(0,19),-0.0323947 # DEPENDENCYPART_ARC
(0,20),-0.573926 # DEPENDENCYPART_ARC
(0,21),-1.5616 # DEPENDENCYPART_ARC
(0,22),-0.87277 # DEPENDENCYPART_ARC
(0,23),-0.417698 # DEPENDENCYPART_ARC
(0,24),-3.00492 # DEPENDENCYPART_ARC
(0,25),-1.06448 # DEPENDENCYPART_ARC
(0,26),-0.385003 # DEPENDENCYPART_ARC
(0,27),-1.63596 # DEPENDENCYPART_ARC
(0,28),-0.968 # DEPENDENCYPART_ARC
(0,29),-1.72277 # DEPENDENCYPART_ARC
(0,30),-0.841306 # DEPENDENCYPART_ARC
(0,31),-1.8332 # DEPENDENCYPART_ARC
(0,32),-0.85613 # DEPENDENCYPART_ARC
(0,33),4.10207 # DEPENDENCYPART_ARC
(1,2),-0.519253 # DEPENDENCYPART_ARC
(1,3),-1.71753 # DEPENDENCYPART_ARC
(1,4),-1.66778 # DEPENDENCYPART_ARC
(1,5),-2.13333 # DEPENDENCYPART_ARC
(1,6),-1.39889 # DEPENDENCYPART_ARC
(1,7),-1.55705 # DEPENDENCYPART_ARC
(1,8),-1.65213 # DEPENDENCYPART_ARC
(1,9),-1.65522 # DEPENDENCYPART_ARC
(1,10),-1.95895 # DEPENDENCYPART_ARC
(1,11),-1.77865 # DEPENDENCYPART_ARC
(1,12),-1.46699 # DEPENDENCYPART_ARC
(1,13),-1.93005 # DEPENDENCYPART_ARC
(1,14),-2.06511 # DEPENDENCYPART_ARC
(1,15),-2.24251 # DEPENDENCYPART_ARC
(1,16),-2.01604 # DEPENDENCYPART_ARC
(1,17),-1.61217 # DEPENDENCYPART_ARC
(1,18),-1.74986 # DEPENDENCYPART_ARC
(1,19),-2.01018 # DEPENDENCYPART_ARC
(1,20),-2.6906 # DEPENDENCYPART_ARC
(1,21),-2.42522 # DEPENDENCYPART_ARC
(1,22),-2.84355 # DEPENDENCYPART_ARC
(1,23),-2.18039 # DEPENDENCYPART_ARC
(1,24),-2.63405 # DEPENDENCYPART_ARC
(1,25),-2.36055 # DEPENDENCYPART_ARC
(1,26),-2.28788 # DEPENDENCYPART_ARC
(1,27),-2.67937 # DEPENDENCYPART_ARC
(1,28),-3.25994 # DEPENDENCYPART_ARC
(1,29),-3.16373 # DEPENDENCYPART_ARC
(1,30),-2.34085 # DEPENDENCYPART_ARC
(1,31),-2.60143 # DEPENDENCYPART_ARC
(1,32),-3.47973 # DEPENDENCYPART_ARC
(1,33),-2.40064 # DEPENDENCYPART_ARC
(2,1),0.79333 # DEPENDENCYPART_ARC
(2,3),-0.0635623 # DEPENDENCYPART_ARC
(2,4),3.13295 # DEPENDENCYPART_ARC
(2,5),-0.0274213 # DEPENDENCYPART_ARC
(2,6),0.681252 # DEPENDENCYPART_ARC
(2,7),-0.517423 # DEPENDENCYPART_ARC
(2,8),-0.432498 # DEPENDENCYPART_ARC
(2,9),-0.140253 # DEPENDENCYPART_ARC
(2,10),0.634767 # DEPENDENCYPART_ARC
(2,11),-0.229894 # DEPENDENCYPART_ARC
(2,12),1.08576 # DEPENDENCYPART_ARC
(2,13),-1.95953 # DEPENDENCYPART_ARC
(2,14),-0.884249 # DEPENDENCYPART_ARC
(2,15),-2.04013 # DEPENDENCYPART_ARC
(2,16),-1.56114 # DEPENDENCYPART_ARC
(2,17),-0.0167349 # DEPENDENCYPART_ARC
(2,18),0.0880489 # DEPENDENCYPART_ARC
(2,19),-0.327542 # DEPENDENCYPART_ARC
(2,20),-2.40963 # DEPENDENCYPART_ARC
(2,21),-2.98164 # DEPENDENCYPART_ARC
(2,22),-4.66224 # DEPENDENCYPART_ARC
(2,23),0.828953 # DEPENDENCYPART_ARC
(2,24),-0.385277 # DEPENDENCYPART_ARC
