# _root_ Από τότε , η Κέρκυρα έχει γεννήσει δύο Έλληνες πρωθυπουργούς και διάφορους άλλους πρωταγωνιστές της πολιτικής , κοινωνικής και πολιτιστικής ζωής της χώρας .
#goldHeads=7,1,7,5,7,7,0,10,10,11,7,14,14,11,16,19,19,19,21,19,14,23,21,0,
#predictedHeads=7,1,7,5,7,7,0,9,7,11,7,14,14,11,16,14,19,19,21,19,16,23,21,0,
(0,1),-0.618052 # DEPENDENCYPART_ARC
(0,2),-0.40269 # DEPENDENCYPART_ARC
(0,3),0.0621402 # DEPENDENCYPART_ARC
(0,4),-1.035 # DEPENDENCYPART_ARC
(0,5),-0.625327 # DEPENDENCYPART_ARC
(0,6),1.02053 # DEPENDENCYPART_ARC
(0,7),-0.376879 # DEPENDENCYPART_ARC
(0,8),-1.74116 # DEPENDENCYPART_ARC
(0,9),-1.35709 # DEPENDENCYPART_ARC
(0,10),-0.967378 # DEPENDENCYPART_ARC
(0,11),-0.900597 # DEPENDENCYPART_ARC
(0,12),-1.69223 # DEPENDENCYPART_ARC
(0,13),-1.56547 # DEPENDENCYPART_ARC
(0,14),-1.69959 # DEPENDENCYPART_ARC
(0,15),-1.86486 # DEPENDENCYPART_ARC
(0,16),-1.92789 # DEPENDENCYPART_ARC
(0,17),-0.918839 # DEPENDENCYPART_ARC
(0,18),-1.54018 # DEPENDENCYPART_ARC
(0,19),-1.08974 # DEPENDENCYPART_ARC
(0,20),-1.7096 # DEPENDENCYPART_ARC
(0,21),-2.03081 # DEPENDENCYPART_ARC
(0,22),-2.20438 # DEPENDENCYPART_ARC
(0,23),-2.06495 # DEPENDENCYPART_ARC
(0,24),3.85809 # DEPENDENCYPART_ARC
(1,2),2.19227 # DEPENDENCYPART_ARC
(1,3),1.00308 # DEPENDENCYPART_ARC
(1,4),-0.265182 # DEPENDENCYPART_ARC
(1,5),1.28781 # DEPENDENCYPART_ARC
(1,6),-0.000614632 # DEPENDENCYPART_ARC
(1,7),-1.00299 # DEPENDENCYPART_ARC
(1,8),-0.70587 # DEPENDENCYPART_ARC
(1,9),-1.14807 # DEPENDENCYPART_ARC
(1,10),-1.88429 # DEPENDENCYPART_ARC
(1,11),-0.192799 # DEPENDENCYPART_ARC
(1,12),-1.21386 # DEPENDENCYPART_ARC
(1,13),-1.49923 # DEPENDENCYPART_ARC
(1,14),-2.34303 # DEPENDENCYPART_ARC
(1,15),-1.4845 # DEPENDENCYPART_ARC
(1,16),-3.10987 # DEPENDENCYPART_ARC
(1,17),-0.422302 # DEPENDENCYPART_ARC
(1,18),-1.39993 # DEPENDENCYPART_ARC
(1,19),-1.22413 # DEPENDENCYPART_ARC
(1,20),-1.41187 # DEPENDENCYPART_ARC
(1,21),-3.89625 # DEPENDENCYPART_ARC
(1,22),-1.705 # DEPENDENCYPART_ARC
(1,23),-4.95243 # DEPENDENCYPART_ARC
(1,24),-0.949311 # DEPENDENCYPART_ARC
(2,1),0.401678 # DEPENDENCYPART_ARC
(2,3),0.503656 # DEPENDENCYPART_ARC
(2,4),-0.528023 # DEPENDENCYPART_ARC
(2,5),-0.497966 # DEPENDENCYPART_ARC
(2,6),-0.456301 # DEPENDENCYPART_ARC
(2,7),-1.32249 # DEPENDENCYPART_ARC
(2,8),-1.79846 # DEPENDENCYPART_ARC
(2,9),-2.0336 # DEPENDENCYPART_ARC
(2,10),-2.40442 # DEPENDENCYPART_ARC
(2,11),-1.00735 # DEPENDENCYPART_ARC
(2,12),-1.88088 # DEPENDENCYPART_ARC
(2,13),-1.88952 # DEPENDENCYPART_ARC
(2,14),-2.47196 # DEPENDENCYPART_ARC
(2,15),-1.7804 # DEPENDENCYPART_ARC
(2,16),-2.09378 # DEPENDENCYPART_ARC
(2,17),-1.04074 # DEPENDENCYPART_ARC
(2,18),-2.03704 # DEPENDENCYPART_ARC
(2,19),-1.55076 # DEPENDENCYPART_ARC
(2,20),-1.8512 # DEPENDENCYPART_ARC
(2,21),-2.32839 # DEPENDENCYPART_ARC
(2,22),-1.87974 # DEPENDENCYPART_ARC
(2,23),-2.5871 # DEPENDENCYPART_ARC
(2,24),-1.57584 # DEPENDENCYPART_ARC
(3,1),0.0181354 # DEPENDENCYPART_ARC
(3,2),0.24812 # DEPENDENCYPART_ARC
