# _root_ Οι βακτηριακές αποικίες , που παραμένουν στο ίζημα εκατομμύρια χρόνια , φαίνονται μάλιστα να αναπτύσσονται με ρυθμό παρόμοιο με των βακτηρίων της επιφάνειας .
#goldHeads=3,3,12,6,6,3,6,7,10,6,6,0,12,15,12,15,16,17,18,21,19,23,21,0,
#predictedHeads=3,3,12,6,6,3,6,7,10,6,12,0,12,15,13,15,16,17,18,21,19,23,21,0,
(0,1),-0.543869 # DEPENDENCYPART_ARC
(0,2),-0.219011 # DEPENDENCYPART_ARC
(0,3),-0.254607 # DEPENDENCYPART_ARC
(0,4),-0.0964233 # DEPENDENCYPART_ARC
(0,5),-0.827004 # DEPENDENCYPART_ARC
(0,6),0.165587 # DEPENDENCYPART_ARC
(0,7),-1.30718 # DEPENDENCYPART_ARC
(0,8),-1.45458 # DEPENDENCYPART_ARC
(0,9),-1.27001 # DEPENDENCYPART_ARC
(0,10),-1.45162 # DEPENDENCYPART_ARC
(0,11),-0.739757 # DEPENDENCYPART_ARC
(0,12),1.05565 # DEPENDENCYPART_ARC
(0,13),-1.10298 # DEPENDENCYPART_ARC
(0,14),-1.38825 # DEPENDENCYPART_ARC
(0,15),-0.458205 # DEPENDENCYPART_ARC
(0,16),-2.41713 # DEPENDENCYPART_ARC
(0,17),-1.84952 # DEPENDENCYPART_ARC
(0,18),-1.74714 # DEPENDENCYPART_ARC
(0,19),-2.28012 # DEPENDENCYPART_ARC
(0,20),-2.21669 # DEPENDENCYPART_ARC
(0,21),-2.70794 # DEPENDENCYPART_ARC
(0,22),-2.31582 # DEPENDENCYPART_ARC
(0,23),-2.5929 # DEPENDENCYPART_ARC
(0,24),3.7314 # DEPENDENCYPART_ARC
(1,2),-0.647408 # DEPENDENCYPART_ARC
(1,3),-0.423428 # DEPENDENCYPART_ARC
(1,4),-0.069902 # DEPENDENCYPART_ARC
(1,5),-1.08628 # DEPENDENCYPART_ARC
(1,6),-1.83109 # DEPENDENCYPART_ARC
(1,7),-1.27739 # DEPENDENCYPART_ARC
(1,8),-2.09669 # DEPENDENCYPART_ARC
(1,9),-2.75713 # DEPENDENCYPART_ARC
(1,10),-2.08223 # DEPENDENCYPART_ARC
(1,11),-0.77744 # DEPENDENCYPART_ARC
(1,12),-2.38866 # DEPENDENCYPART_ARC
(1,13),-1.30927 # DEPENDENCYPART_ARC
(1,14),-1.49674 # DEPENDENCYPART_ARC
(1,15),-2.42385 # DEPENDENCYPART_ARC
(1,16),-1.27729 # DEPENDENCYPART_ARC
(1,17),-2.68572 # DEPENDENCYPART_ARC
(1,18),-3.03798 # DEPENDENCYPART_ARC
(1,19),-1.3514 # DEPENDENCYPART_ARC
(1,20),-2.10962 # DEPENDENCYPART_ARC
(1,21),-2.06157 # DEPENDENCYPART_ARC
(1,22),-2.26685 # DEPENDENCYPART_ARC
(1,23),-2.24092 # DEPENDENCYPART_ARC
(1,24),-1.39337 # DEPENDENCYPART_ARC
(2,1),1.97162 # DEPENDENCYPART_ARC
(2,3),-0.209856 # DEPENDENCYPART_ARC
(2,4),-0.155778 # DEPENDENCYPART_ARC
(2,5),-0.828013 # DEPENDENCYPART_ARC
(2,6),-0.905723 # DEPENDENCYPART_ARC
(2,7),-1.35501 # DEPENDENCYPART_ARC
(2,8),-2.2592 # DEPENDENCYPART_ARC
(2,9),-2.98045 # DEPENDENCYPART_ARC
(2,10),-2.90071 # DEPENDENCYPART_ARC
(2,11),-0.884844 # DEPENDENCYPART_ARC
(2,12),-2.30083 # DEPENDENCYPART_ARC
(2,13),-1.4652 # DEPENDENCYPART_ARC
(2,14),-1.34985 # DEPENDENCYPART_ARC
(2,15),-2.66082 # DEPENDENCYPART_ARC
(2,16),-1.3705 # DEPENDENCYPART_ARC
(2,17),-2.59823 # DEPENDENCYPART_ARC
(2,18),-3.62642 # DEPENDENCYPART_ARC
(2,19),-1.44699 # DEPENDENCYPART_ARC
(2,20),-1.64853 # DEPENDENCYPART_ARC
(2,21),-2.71491 # DEPENDENCYPART_ARC
(2,22),-2.28247 # DEPENDENCYPART_ARC
(2,23),-2.49864 # DEPENDENCYPART_ARC
(2,24),-1.35066 # DEPENDENCYPART_ARC
(3,1),4.37876 # DEPENDENCYPART_ARC
(3,2),4.58817 # DEPENDENCYPART_ARC
(3,4),0.452385 # DEPENDENCYPART_ARC
(3,5),-0.276936 # DEPENDENCYPART_ARC
(3,6),1.86211 # DEPENDENCYPART_ARC
(3,7),-0.734428 # DEPENDENCYPART_ARC
(3,8),-1.98229 # DEPENDENCYPART_ARC
(3,9),-1.87835 # DEPENDENCYPART_ARC
(3,10),-2.50459 # DEPENDENCYPART_ARC
(3,11),-0.343733 # DEPENDENCYPART_ARC
(3,12),-1.26113 # DEPENDENCYPART_ARC
(3,13),-0.863128 # DEPENDENCYPART_ARC
(3,14),-1.33238 # DEPENDENCYPART_ARC
(3,15),-1.1421 # DEPENDENCYPART_ARC
(3,16),-1.50112 # DEPENDENCYPART_ARC
(3,17),-3.51446 # DEPENDENCYPART_ARC
(3,18),-2.67875 # DEPENDENCYPART_ARC
(3,19),-1.79761 # DEPENDENCYPART_ARC
(3,20),-2.07937 # DEPENDENCYPART_ARC
(3,21),-2.27137 # DEPENDENCYPART_ARC
(3,22),-2.44333 # DEPENDENCYPART_ARC
(3,23),-2.52467 # DEPENDENCYPART_ARC
(3,24),-0.456958 # DEPENDENCYPART_ARC
(4,1),-0.14764 # DEPENDENCYPART_ARC
(4,2),-0.118669 # DEPENDENCYPART_ARC
(4,3),0.0105122 # DEPENDENCYPART_ARC
(4,5),-0.108334 # DEPENDENCYPART_ARC
(4,6),0.117856 # DEPENDENCYPART_ARC
(4,7),-0.147826 # DEPENDENCYPART_ARC
(4,8),-0.316732 # DEPENDENCYPART_ARC
(4,9),-0.476559 # DEPENDENCYPART_ARC
(4,10),-0.625334 # DEPENDENCYPART_ARC
(4,11),0.419806 # DEPENDENCYPART_ARC
(4,12),-0.635225 # DEPENDENCYPART_ARC
(4,13),-0.436015 # DEPENDENCYPART_ARC
