# _root_ Τελικά , το 1576 μετά από αίτημα της Κέρκυρας , το νησί περιήλθε υπό την προστασία της Βενετίας .
#goldHeads=13,13,4,13,13,5,6,9,7,13,12,13,0,13,16,14,18,16,0,
#predictedHeads=13,13,4,13,13,5,6,9,7,13,12,13,0,13,16,14,18,16,0,
(0,1),-0.102207 # DEPENDENCYPART_ARC
(0,2),-0.207161 # DEPENDENCYPART_ARC
(0,4),-0.598957 # DEPENDENCYPART_ARC
(0,5),-1.2191 # DEPENDENCYPART_ARC
(0,6),-0.888532 # DEPENDENCYPART_ARC
(0,7),-0.583961 # DEPENDENCYPART_ARC
(0,9),-0.87383 # DEPENDENCYPART_ARC
(0,10),-0.0974202 # DEPENDENCYPART_ARC
(0,12),-1.0207 # DEPENDENCYPART_ARC
(0,13),1.11402 # DEPENDENCYPART_ARC
(0,14),-1.66286 # DEPENDENCYPART_ARC
(0,16),-1.46117 # DEPENDENCYPART_ARC
(0,18),-1.64654 # DEPENDENCYPART_ARC
(0,19),3.16177 # DEPENDENCYPART_ARC
(1,2),0.4889 # DEPENDENCYPART_ARC
(1,3),-0.451934 # DEPENDENCYPART_ARC
(1,4),-0.380394 # DEPENDENCYPART_ARC
(1,5),-0.721545 # DEPENDENCYPART_ARC
(1,6),-0.315998 # DEPENDENCYPART_ARC
(1,7),-1.15419 # DEPENDENCYPART_ARC
(1,8),-1.21103 # DEPENDENCYPART_ARC
(1,9),-1.09902 # DEPENDENCYPART_ARC
(1,10),-0.465499 # DEPENDENCYPART_ARC
(1,11),-1.33588 # DEPENDENCYPART_ARC
(1,12),-1.59821 # DEPENDENCYPART_ARC
(1,13),-0.680052 # DEPENDENCYPART_ARC
(1,14),-1.54002 # DEPENDENCYPART_ARC
(1,15),-2.16485 # DEPENDENCYPART_ARC
(1,16),-2.78049 # DEPENDENCYPART_ARC
(1,17),-2.05017 # DEPENDENCYPART_ARC
(1,18),-2.38617 # DEPENDENCYPART_ARC
(1,19),-1.33014 # DEPENDENCYPART_ARC
(2,1),0.0268967 # DEPENDENCYPART_ARC
(2,4),-0.032864 # DEPENDENCYPART_ARC
(2,5),-0.322611 # DEPENDENCYPART_ARC
(2,6),-0.243074 # DEPENDENCYPART_ARC
(2,7),-0.427368 # DEPENDENCYPART_ARC
(2,9),-0.777976 # DEPENDENCYPART_ARC
(2,10),-0.478952 # DEPENDENCYPART_ARC
(2,12),-0.929919 # DEPENDENCYPART_ARC
(2,13),-0.653914 # DEPENDENCYPART_ARC
(2,14),-1.19516 # DEPENDENCYPART_ARC
(2,16),-1.6855 # DEPENDENCYPART_ARC
