# _root_ Η πρόταση , κατά την άποψή μας , βελτιώνει και δεν υπονομεύει την ασφαλή και αξιόπιστη επισκευή των αυτοκινήτων .
#goldHeads=2,10,4,10,6,4,6,4,10,0,12,10,17,15,17,15,12,19,17,0,
#predictedHeads=2,10,4,9,6,4,6,9,10,0,12,10,17,15,17,15,12,19,17,0,
(0,2),-0.504144 # DEPENDENCYPART_ARC
(0,3),0.0405388 # DEPENDENCYPART_ARC
(0,4),-0.631498 # DEPENDENCYPART_ARC
(0,6),-1.40929 # DEPENDENCYPART_ARC
(0,8),-0.310937 # DEPENDENCYPART_ARC
(0,9),1.6019 # DEPENDENCYPART_ARC
(0,10),-0.177508 # DEPENDENCYPART_ARC
(0,12),-0.485449 # DEPENDENCYPART_ARC
(0,14),-1.68108 # DEPENDENCYPART_ARC
(0,15),-1.32073 # DEPENDENCYPART_ARC
(0,16),-1.85117 # DEPENDENCYPART_ARC
(0,17),-1.83432 # DEPENDENCYPART_ARC
(0,19),-2.25422 # DEPENDENCYPART_ARC
(0,20),3.43408 # DEPENDENCYPART_ARC
(1,2),-0.370323 # DEPENDENCYPART_ARC
(1,6),-1.53798 # DEPENDENCYPART_ARC
(1,10),-0.758386 # DEPENDENCYPART_ARC
(1,15),-0.967161 # DEPENDENCYPART_ARC
(1,17),-2.73886 # DEPENDENCYPART_ARC
(1,19),-2.21608 # DEPENDENCYPART_ARC
(2,1),3.21985 # DEPENDENCYPART_ARC
(2,3),0.369519 # DEPENDENCYPART_ARC
(2,4),0.409642 # DEPENDENCYPART_ARC
(2,5),-0.787024 # DEPENDENCYPART_ARC
(2,6),-0.809722 # DEPENDENCYPART_ARC
(2,7),-0.0928636 # DEPENDENCYPART_ARC
(2,8),-0.239284 # DEPENDENCYPART_ARC
(2,9),-0.819949 # DEPENDENCYPART_ARC
(2,10),0.0509646 # DEPENDENCYPART_ARC
(2,11),-1.27053 # DEPENDENCYPART_ARC
(2,12),-1.41078 # DEPENDENCYPART_ARC
(2,13),-1.98397 # DEPENDENCYPART_ARC
(2,14),-2.56305 # DEPENDENCYPART_ARC
(2,15),-0.496688 # DEPENDENCYPART_ARC
(2,16),-2.65812 # DEPENDENCYPART_ARC
(2,17),-2.92449 # DEPENDENCYPART_ARC
(2,18),-2.14265 # DEPENDENCYPART_ARC
(2,19),-1.85313 # DEPENDENCYPART_ARC
(2,20),-0.654334 # DEPENDENCYPART_ARC
(3,2),-0.0366846 # DEPENDENCYPART_ARC
(3,4),-0.0132696 # DEPENDENCYPART_ARC
(3,6),0.0668187 # DEPENDENCYPART_ARC
(3,8),-0.0457515 # DEPENDENCYPART_ARC
(3,9),-0.511161 # DEPENDENCYPART_ARC
(3,10),-0.238228 # DEPENDENCYPART_ARC
(3,12),-1.20763 # DEPENDENCYPART_ARC
(3,14),-1.40592 # DEPENDENCYPART_ARC
(3,15),-0.656979 # DEPENDENCYPART_ARC
(3,16),-1.31546 # DEPENDENCYPART_ARC
(3,17),-1.34824 # DEPENDENCYPART_ARC
(3,19),-1.5708 # DEPENDENCYPART_ARC
(3,20),-0.661798 # DEPENDENCYPART_ARC
(4,1),-0.329545 # DEPENDENCYPART_ARC
(4,2),-0.913368 # DEPENDENCYPART_ARC
(4,3),0.68714 # DEPENDENCYPART_ARC
(4,5),0.182658 # DEPENDENCYPART_ARC
(4,6),2.41663 # DEPENDENCYPART_ARC
(4,7),0.0657454 # DEPENDENCYPART_ARC
(4,8),0.805302 # DEPENDENCYPART_ARC
(4,9),-0.480536 # DEPENDENCYPART_ARC
(4,10),-0.718797 # DEPENDENCYPART_ARC
(4,11),-1.35758 # DEPENDENCYPART_ARC
(4,12),-1.22353 # DEPENDENCYPART_ARC
(4,13),-1.89896 # DEPENDENCYPART_ARC
(4,14),-1.26614 # DEPENDENCYPART_ARC
(4,15),-1.67302 # DEPENDENCYPART_ARC
(4,16),-1.26008 # DEPENDENCYPART_ARC
(4,17),-1.85979 # DEPENDENCYPART_ARC
(4,18),-1.89777 # DEPENDENCYPART_ARC
(4,19),-2.87746 # DEPENDENCYPART_ARC
(4,20),-0.818388 # DEPENDENCYPART_ARC
(5,2),-1.99154 # DEPENDENCYPART_ARC
(5,6),-0.153034 # DEPENDENCYPART_ARC
(5,10),-0.841051 # DEPENDENCYPART_ARC
(5,15),-0.920234 # DEPENDENCYPART_ARC
(5,17),-2.43506 # DEPENDENCYPART_ARC
(5,19),-2.18931 # DEPENDENCYPART_ARC
(6,1),-0.0373657 # DEPENDENCYPART_ARC
(6,2),-1.67246 # DEPENDENCYPART_ARC
(6,3),-0.853 # DEPENDENCYPART_ARC
(6,4),0.00653416 # DEPENDENCYPART_ARC
(6,5),3.0495 # DEPENDENCYPART_ARC
(6,7),2.99977 # DEPENDENCYPART_ARC
(6,8),-0.0888288 # DEPENDENCYPART_ARC
(6,9),0.30997 # DEPENDENCYPART_ARC
(6,10),-0.345375 # DEPENDENCYPART_ARC
(6,11),-1.1648 # DEPENDENCYPART_ARC
(6,12),-0.912655 # DEPENDENCYPART_ARC
(6,13),-1.70262 # DEPENDENCYPART_ARC
(6,14),-1.59883 # DEPENDENCYPART_ARC
(6,15),-0.725829 # DEPENDENCYPART_ARC
(6,16),-1.65382 # DEPENDENCYPART_ARC
(6,17),-2.48974 # DEPENDENCYPART_ARC
(6,18),-1.74855 # DEPENDENCYPART_ARC
(6,19),-1.2211 # DEPENDENCYPART_ARC
(6,20),-0.710751 # DEPENDENCYPART_ARC
(8,2),-0.152612 # DEPENDENCYPART_ARC
(8,3),-0.259985 # DEPENDENCYPART_ARC
(8,4),-0.117395 # DEPENDENCYPART_ARC
(8,6),0.0543409 # DEPENDENCYPART_ARC
(8,9),0.118679 # DEPENDENCYPART_ARC
(8,10),-0.692686 # DEPENDENCYPART_ARC
(8,12),-1.12677 # DEPENDENCYPART_ARC
(8,14),-1.47274 # DEPENDENCYPART_ARC
(8,15),-0.853614 # DEPENDENCYPART_ARC
(8,16),-1.43331 # DEPENDENCYPART_ARC
(8,17),-1.77436 # DEPENDENCYPART_ARC
(8,19),-1.73925 # DEPENDENCYPART_ARC
(8,20),-0.783978 # DEPENDENCYPART_ARC
(9,1),-1.73873 # DEPENDENCYPART_ARC
(9,2),0.200169 # DEPENDENCYPART_ARC
(9,3),0.368838 # DEPENDENCYPART_ARC
(9,4),0.847156 # DEPENDENCYPART_ARC
(9,5),-1.13868 # DEPENDENCYPART_ARC
(9,6),-0.271709 # DEPENDENCYPART_ARC
(9,7),-1.72709 # DEPENDENCYPART_ARC
(9,8),1.08787 # DEPENDENCYPART_ARC
(9,10),0.497221 # DEPENDENCYPART_ARC
(9,11),0.0486783 # DEPENDENCYPART_ARC
(9,12),-0.193967 # DEPENDENCYPART_ARC
(9,13),-2.06075 # DEPENDENCYPART_ARC
(9,14),-2.04618 # DEPENDENCYPART_ARC
(9,15),-0.382863 # DEPENDENCYPART_ARC
(9,16),-3.04401 # DEPENDENCYPART_ARC
(9,17),-0.970353 # DEPENDENCYPART_ARC
(9,18),-3.68867 # DEPENDENCYPART_ARC
(9,19),-3.86085 # DEPENDENCYPART_ARC
(9,20),-0.0592481 # DEPENDENCYPART_ARC
(10,1),-0.169605 # DEPENDENCYPART_ARC
(10,2),0.346164 # DEPENDENCYPART_ARC
(10,3),0.434507 # DEPENDENCYPART_ARC
(10,4),0.260511 # DEPENDENCYPART_ARC
(10,5),0.189054 # DEPENDENCYPART_ARC
(10,6),0.564366 # DEPENDENCYPART_ARC
(10,7),0.637588 # DEPENDENCYPART_ARC
(10,8),1.01785 # DEPENDENCYPART_ARC
(10,9),2.49899 # DEPENDENCYPART_ARC
(10,11),0.155588 # DEPENDENCYPART_ARC
(10,12),1.77718 # DEPENDENCYPART_ARC
(10,13),-1.04607 # DEPENDENCYPART_ARC
(10,14),-0.522985 # DEPENDENCYPART_ARC
(10,15),-0.449518 # DEPENDENCYPART_ARC
(10,16),-0.608186 # DEPENDENCYPART_ARC
(10,17),-1.22393 # DEPENDENCYPART_ARC
(10,18),-1.43338 # DEPENDENCYPART_ARC
(10,19),-1.62448 # DEPENDENCYPART_ARC
(10,20),0.0927235 # DEPENDENCYPART_ARC
(11,1),-1.55118 # DEPENDENCYPART_ARC
(11,2),-1.81965 # DEPENDENCYPART_ARC
(11,3),-1.44587 # DEPENDENCYPART_ARC
(11,5),-1.39392 # DEPENDENCYPART_ARC
(11,6),-1.69688 # DEPENDENCYPART_ARC
(11,8),-0.963813 # DEPENDENCYPART_ARC
(11,13),-0.751738 # DEPENDENCYPART_ARC
(11,17),-1.49457 # DEPENDENCYPART_ARC
(11,18),-1.48622 # DEPENDENCYPART_ARC
(11,19),-1.60404 # DEPENDENCYPART_ARC
(11,20),-0.762534 # DEPENDENCYPART_ARC
(12,1),-1.96991 # DEPENDENCYPART_ARC
(12,2),0.132148 # DEPENDENCYPART_ARC
(12,3),-0.0330998 # DEPENDENCYPART_ARC
(12,4),0.307212 # DEPENDENCYPART_ARC
(12,5),-1.67092 # DEPENDENCYPART_ARC
(12,6),-0.8175 # DEPENDENCYPART_ARC
(12,7),-2.8228 # DEPENDENCYPART_ARC
(12,8),-0.346511 # DEPENDENCYPART_ARC
(12,9),-1.40279 # DEPENDENCYPART_ARC
(12,10),0.262455 # DEPENDENCYPART_ARC
(12,11),2.67605 # DEPENDENCYPART_ARC
(12,13),-0.23499 # DEPENDENCYPART_ARC
(12,14),-0.121548 # DEPENDENCYPART_ARC
(12,15),0.441151 # DEPENDENCYPART_ARC
(12,16),-1.667 # DEPENDENCYPART_ARC
(12,17),1.92639 # DEPENDENCYPART_ARC
(12,18),-2.81067 # DEPENDENCYPART_ARC
