# _root_ Στις διάφορες δράσεις κατέστη δυνατόν , όπως επιθυμούσαμε , να γίνει ισόρροπη κατανομή πόρων μεταξύ ανταλλαγής νέων και εθελοντικής υπηρεσίας .
#goldHeads=4,3,1,0,4,8,8,4,8,11,4,13,11,13,13,18,16,15,20,18,0,
#predictedHeads=4,3,1,0,4,8,8,4,8,11,9,13,11,13,14,15,18,20,18,16,0,
(0,1),-0.978498 # DEPENDENCYPART_ARC
(0,2),-0.139667 # DEPENDENCYPART_ARC
(0,3),-0.441296 # DEPENDENCYPART_ARC
(0,4),1.52896 # DEPENDENCYPART_ARC
(0,5),-1.60233 # DEPENDENCYPART_ARC
(0,6),-0.474695 # DEPENDENCYPART_ARC
(0,7),-1.16345 # DEPENDENCYPART_ARC
(0,8),-0.227445 # DEPENDENCYPART_ARC
(0,9),-0.395248 # DEPENDENCYPART_ARC
(0,11),-0.641236 # DEPENDENCYPART_ARC
(0,12),-1.72754 # DEPENDENCYPART_ARC
(0,13),-1.7512 # DEPENDENCYPART_ARC
(0,14),-1.87745 # DEPENDENCYPART_ARC
(0,15),-1.08961 # DEPENDENCYPART_ARC
(0,16),-2.11059 # DEPENDENCYPART_ARC
(0,17),-1.66398 # DEPENDENCYPART_ARC
(0,18),-0.82288 # DEPENDENCYPART_ARC
(0,19),-1.86288 # DEPENDENCYPART_ARC
(0,20),-2.05062 # DEPENDENCYPART_ARC
(0,21),3.11716 # DEPENDENCYPART_ARC
(1,2),1.53744 # DEPENDENCYPART_ARC
(1,3),3.07261 # DEPENDENCYPART_ARC
(1,5),-0.374777 # DEPENDENCYPART_ARC
(1,6),-0.347884 # DEPENDENCYPART_ARC
(1,7),-0.8015 # DEPENDENCYPART_ARC
(1,8),-1.51148 # DEPENDENCYPART_ARC
(1,9),-0.57578 # DEPENDENCYPART_ARC
(1,11),-2.36033 # DEPENDENCYPART_ARC
(1,12),-1.13006 # DEPENDENCYPART_ARC
(1,13),-2.12883 # DEPENDENCYPART_ARC
(1,14),-2.63516 # DEPENDENCYPART_ARC
(1,15),-1.56991 # DEPENDENCYPART_ARC
(1,16),-2.93695 # DEPENDENCYPART_ARC
(1,17),-2.06129 # DEPENDENCYPART_ARC
(1,18),-2.10317 # DEPENDENCYPART_ARC
(1,19),-1.83909 # DEPENDENCYPART_ARC
(1,20),-3.35292 # DEPENDENCYPART_ARC
(1,21),-0.872428 # DEPENDENCYPART_ARC
(2,1),-1.0168 # DEPENDENCYPART_ARC
(2,3),0.311792 # DEPENDENCYPART_ARC
(2,4),-0.539584 # DEPENDENCYPART_ARC
(2,5),-1.64494 # DEPENDENCYPART_ARC
(2,6),-0.825508 # DEPENDENCYPART_ARC
(2,7),-1.2039 # DEPENDENCYPART_ARC
(2,8),-1.45644 # DEPENDENCYPART_ARC
(2,9),-0.962281 # DEPENDENCYPART_ARC
(2,11),-2.05438 # DEPENDENCYPART_ARC
(2,12),-2.70947 # DEPENDENCYPART_ARC
(2,13),-2.40457 # DEPENDENCYPART_ARC
(2,14),-1.60614 # DEPENDENCYPART_ARC
(2,15),-1.56043 # DEPENDENCYPART_ARC
(2,16),-1.61726 # DEPENDENCYPART_ARC
(2,17),-2.57383 # DEPENDENCYPART_ARC
(2,18),-1.22821 # DEPENDENCYPART_ARC
(2,19),-2.90042 # DEPENDENCYPART_ARC
(2,20),-1.70228 # DEPENDENCYPART_ARC
(2,21),-1.37895 # DEPENDENCYPART_ARC
(3,1),0.4171 # DEPENDENCYPART_ARC
(3,2),3.82169 # DEPENDENCYPART_ARC
