# _root_ Η Κέρκυρα , το βορειότερο νησί της Ελλάδος , είναι ένας υπέροχος τόπος .
#goldHeads=2,3,10,5,6,3,8,6,3,0,13,13,10,0,
#predictedHeads=2,10,10,6,6,10,8,6,10,0,13,13,10,0,
(0,1),-0.625528 # DEPENDENCYPART_ARC
(0,2),-0.422158 # DEPENDENCYPART_ARC
(0,3),-0.0200106 # DEPENDENCYPART_ARC
(0,4),-1.30483 # DEPENDENCYPART_ARC
(0,5),-1.1954 # DEPENDENCYPART_ARC
(0,6),-1.20931 # DEPENDENCYPART_ARC
(0,7),-1.41429 # DEPENDENCYPART_ARC
(0,8),-1.44824 # DEPENDENCYPART_ARC
(0,9),-0.271721 # DEPENDENCYPART_ARC
(0,10),1.87029 # DEPENDENCYPART_ARC
(0,11),-2.03967 # DEPENDENCYPART_ARC
(0,12),-2.21473 # DEPENDENCYPART_ARC
(0,13),-2.26285 # DEPENDENCYPART_ARC
(0,14),2.9925 # DEPENDENCYPART_ARC
(1,2),-0.207007 # DEPENDENCYPART_ARC
(1,3),-0.254045 # DEPENDENCYPART_ARC
(1,4),-1.12813 # DEPENDENCYPART_ARC
(1,5),-1.8473 # DEPENDENCYPART_ARC
(1,6),-1.32722 # DEPENDENCYPART_ARC
(1,7),-1.27349 # DEPENDENCYPART_ARC
(1,8),-1.46283 # DEPENDENCYPART_ARC
(1,9),-0.494727 # DEPENDENCYPART_ARC
(1,10),-2.80371 # DEPENDENCYPART_ARC
(1,11),-2.15436 # DEPENDENCYPART_ARC
(1,12),-2.70293 # DEPENDENCYPART_ARC
(1,13),-2.66395 # DEPENDENCYPART_ARC
(1,14),-1.09635 # DEPENDENCYPART_ARC
(2,1),3.29582 # DEPENDENCYPART_ARC
(2,3),-0.298513 # DEPENDENCYPART_ARC
(2,4),-1.45798 # DEPENDENCYPART_ARC
(2,5),-1.65474 # DEPENDENCYPART_ARC
(2,6),-1.38298 # DEPENDENCYPART_ARC
(2,7),-1.63472 # DEPENDENCYPART_ARC
(2,8),-0.746923 # DEPENDENCYPART_ARC
(2,9),-1.02804 # DEPENDENCYPART_ARC
(2,10),-1.87215 # DEPENDENCYPART_ARC
(2,11),-2.85906 # DEPENDENCYPART_ARC
(2,12),-2.41745 # DEPENDENCYPART_ARC
(2,13),-3.65205 # DEPENDENCYPART_ARC
(2,14),-1.36392 # DEPENDENCYPART_ARC
(3,1),0.352005 # DEPENDENCYPART_ARC
(3,2),1.05856 # DEPENDENCYPART_ARC
(3,4),0.0482423 # DEPENDENCYPART_ARC
(3,5),0.208072 # DEPENDENCYPART_ARC
(3,6),0.756265 # DEPENDENCYPART_ARC
(3,7),-0.501713 # DEPENDENCYPART_ARC
(3,8),0.16646 # DEPENDENCYPART_ARC
(3,9),0.586699 # DEPENDENCYPART_ARC
(3,10),-0.344715 # DEPENDENCYPART_ARC
(3,11),-1.09844 # DEPENDENCYPART_ARC
(3,12),-0.897083 # DEPENDENCYPART_ARC
(3,13),-0.259318 # DEPENDENCYPART_ARC
(3,14),-0.291276 # DEPENDENCYPART_ARC
(4,1),-0.661091 # DEPENDENCYPART_ARC
(4,2),-1.3143 # DEPENDENCYPART_ARC
(4,3),-0.355047 # DEPENDENCYPART_ARC
(4,5),-0.484652 # DEPENDENCYPART_ARC
(4,6),0.0199877 # DEPENDENCYPART_ARC
(4,7),-0.844694 # DEPENDENCYPART_ARC
(4,8),-0.739855 # DEPENDENCYPART_ARC
(4,9),-0.474423 # DEPENDENCYPART_ARC
(4,10),-2.56485 # DEPENDENCYPART_ARC
(4,11),-1.87309 # DEPENDENCYPART_ARC
(4,12),-2.41159 # DEPENDENCYPART_ARC
(4,13),-2.12906 # DEPENDENCYPART_ARC
(4,14),-0.809808 # DEPENDENCYPART_ARC
(5,1),-0.256574 # DEPENDENCYPART_ARC
(5,2),-1.04244 # DEPENDENCYPART_ARC
(5,3),-0.0965286 # DEPENDENCYPART_ARC
(5,4),1.42483 # DEPENDENCYPART_ARC
(5,6),0.709029 # DEPENDENCYPART_ARC
(5,7),-0.662957 # DEPENDENCYPART_ARC
(5,8),-0.0148738 # DEPENDENCYPART_ARC
(5,9),-0.402547 # DEPENDENCYPART_ARC
(5,10),-2.76574 # DEPENDENCYPART_ARC
(5,11),-1.93784 # DEPENDENCYPART_ARC
(5,12),-1.04646 # DEPENDENCYPART_ARC
(5,13),-2.07634 # DEPENDENCYPART_ARC
(5,14),-0.961538 # DEPENDENCYPART_ARC
(6,1),0.955573 # DEPENDENCYPART_ARC
(6,2),-1.01592 # DEPENDENCYPART_ARC
(6,3),-0.131134 # DEPENDENCYPART_ARC
(6,4),3.6171 # DEPENDENCYPART_ARC
(6,5),2.69742 # DEPENDENCYPART_ARC
(6,7),0.181835 # DEPENDENCYPART_ARC
(6,8),2.9774 # DEPENDENCYPART_ARC
(6,9),0.369378 # DEPENDENCYPART_ARC
(6,10),-0.253079 # DEPENDENCYPART_ARC
(6,11),-1.4557 # DEPENDENCYPART_ARC
(6,12),-1.03982 # DEPENDENCYPART_ARC
(6,13),-0.983241 # DEPENDENCYPART_ARC
(6,14),-0.2276 # DEPENDENCYPART_ARC
(7,1),-1.40288 # DEPENDENCYPART_ARC
(7,2),-2.20134 # DEPENDENCYPART_ARC
