# _root_ Απλουστευτικές ενιαίες λύσεις , όπως η περικοπή του χρόνου εργασίας σε ευρωπαϊκό επίπεδο , είναι άνευ σημαντικής ουσίας .
#goldHeads=3,3,5,5,15,7,5,9,7,9,7,13,11,15,0,15,18,16,0,
#predictedHeads=3,3,0,15,15,7,15,9,7,9,7,13,11,15,0,15,18,16,0,
(0,1),0.974586 # DEPENDENCYPART_ARC
(0,2),0.440721 # DEPENDENCYPART_ARC
(0,3),0.437929 # DEPENDENCYPART_ARC
(0,4),0.221032 # DEPENDENCYPART_ARC
(0,5),-0.493208 # DEPENDENCYPART_ARC
(0,6),-0.789875 # DEPENDENCYPART_ARC
(0,7),-0.431169 # DEPENDENCYPART_ARC
(0,8),-1.12949 # DEPENDENCYPART_ARC
(0,9),-1.09282 # DEPENDENCYPART_ARC
(0,10),-0.719284 # DEPENDENCYPART_ARC
(0,11),-0.344155 # DEPENDENCYPART_ARC
(0,12),-0.682108 # DEPENDENCYPART_ARC
(0,13),-0.677967 # DEPENDENCYPART_ARC
(0,14),-0.374902 # DEPENDENCYPART_ARC
(0,15),2.12551 # DEPENDENCYPART_ARC
(0,16),-1.30424 # DEPENDENCYPART_ARC
(0,17),-1.1725 # DEPENDENCYPART_ARC
(0,18),-1.51319 # DEPENDENCYPART_ARC
(0,19),3.54842 # DEPENDENCYPART_ARC
(1,2),-0.781533 # DEPENDENCYPART_ARC
(1,3),-0.123142 # DEPENDENCYPART_ARC
(1,4),0.244133 # DEPENDENCYPART_ARC
(1,5),-0.164233 # DEPENDENCYPART_ARC
(1,6),-1.08626 # DEPENDENCYPART_ARC
(1,7),-1.27711 # DEPENDENCYPART_ARC
(1,8),-0.528342 # DEPENDENCYPART_ARC
(1,9),-0.0831927 # DEPENDENCYPART_ARC
(1,10),-0.556474 # DEPENDENCYPART_ARC
(1,11),-0.281896 # DEPENDENCYPART_ARC
(1,12),-2.2598 # DEPENDENCYPART_ARC
(1,13),-2.0099 # DEPENDENCYPART_ARC
(1,14),-0.303149 # DEPENDENCYPART_ARC
(1,15),-1.8619 # DEPENDENCYPART_ARC
(1,16),-0.900356 # DEPENDENCYPART_ARC
(1,17),-2.4643 # DEPENDENCYPART_ARC
(1,18),-1.56176 # DEPENDENCYPART_ARC
(1,19),-0.671964 # DEPENDENCYPART_ARC
(2,1),1.10476 # DEPENDENCYPART_ARC
(2,3),0.078728 # DEPENDENCYPART_ARC
(2,4),-0.0836103 # DEPENDENCYPART_ARC
(2,5),-0.293294 # DEPENDENCYPART_ARC
(2,6),-1.22457 # DEPENDENCYPART_ARC
(2,7),-1.1343 # DEPENDENCYPART_ARC
(2,8),-0.726782 # DEPENDENCYPART_ARC
(2,9),-0.400564 # DEPENDENCYPART_ARC
(2,10),-0.789258 # DEPENDENCYPART_ARC
(2,11),-0.692791 # DEPENDENCYPART_ARC
(2,12),-2.39156 # DEPENDENCYPART_ARC
(2,13),-2.25376 # DEPENDENCYPART_ARC
(2,14),-0.502958 # DEPENDENCYPART_ARC
(2,15),-2.23834 # DEPENDENCYPART_ARC
(2,16),-1.26098 # DEPENDENCYPART_ARC
(2,17),-2.51313 # DEPENDENCYPART_ARC
(2,18),-1.92754 # DEPENDENCYPART_ARC
(2,19),-0.947305 # DEPENDENCYPART_ARC
(3,1),3.545 # DEPENDENCYPART_ARC
(3,2),3.90834 # DEPENDENCYPART_ARC
(3,4),0.532336 # DEPENDENCYPART_ARC
(3,5),0.363351 # DEPENDENCYPART_ARC
(3,6),-0.998536 # DEPENDENCYPART_ARC
(3,7),-1.19329 # DEPENDENCYPART_ARC
(3,8),-1.13978 # DEPENDENCYPART_ARC
(3,9),-0.271094 # DEPENDENCYPART_ARC
(3,10),-0.820361 # DEPENDENCYPART_ARC
(3,11),-0.124281 # DEPENDENCYPART_ARC
(3,12),-1.41755 # DEPENDENCYPART_ARC
(3,13),-2.78625 # DEPENDENCYPART_ARC
(3,14),-0.42797 # DEPENDENCYPART_ARC
(3,15),-1.7833 # DEPENDENCYPART_ARC
(3,16),-1.48857 # DEPENDENCYPART_ARC
(3,17),-1.96395 # DEPENDENCYPART_ARC
(3,18),-2.06357 # DEPENDENCYPART_ARC
(3,19),-0.583752 # DEPENDENCYPART_ARC
(4,1),-0.071343 # DEPENDENCYPART_ARC
(4,2),0.0998767 # DEPENDENCYPART_ARC
(4,3),0.32542 # DEPENDENCYPART_ARC
(4,5),0.207967 # DEPENDENCYPART_ARC
(4,6),-0.375713 # DEPENDENCYPART_ARC
