# _root_ Τα νέα στοιχεία υποδεικνύουν μάλιστα ότι οι ιζηματογενείς αποθέσεις των ωκεανών , οι οποίες καλύπτουν το 70% της επιφάνειας της Γης , περιέχουν περίπου τους μισούς μικροοργανισμούς του πλανήτη .
#goldHeads=3,3,4,0,4,4,9,9,23,11,9,15,14,15,9,17,15,19,17,21,19,15,6,26,27,27,23,29,27,0,
#predictedHeads=3,3,4,0,4,4,9,9,4,11,9,15,14,15,6,17,15,19,17,21,19,23,6,23,27,27,23,29,27,0,
(0,1),-0.599901 # DEPENDENCYPART_ARC
(0,2),-0.453142 # DEPENDENCYPART_ARC
(0,3),-0.720378 # DEPENDENCYPART_ARC
(0,4),1.14348 # DEPENDENCYPART_ARC
(0,5),-1.1874 # DEPENDENCYPART_ARC
(0,6),-1.34856 # DEPENDENCYPART_ARC
(0,7),-1.62391 # DEPENDENCYPART_ARC
(0,8),-1.17024 # DEPENDENCYPART_ARC
(0,9),-1.91237 # DEPENDENCYPART_ARC
(0,10),-1.8589 # DEPENDENCYPART_ARC
(0,11),-2.35195 # DEPENDENCYPART_ARC
(0,12),-0.714285 # DEPENDENCYPART_ARC
(0,13),-1.87742 # DEPENDENCYPART_ARC
(0,14),-1.48494 # DEPENDENCYPART_ARC
(0,15),-0.540813 # DEPENDENCYPART_ARC
(0,16),-2.07017 # DEPENDENCYPART_ARC
(0,17),-1.12876 # DEPENDENCYPART_ARC
(0,18),-1.98166 # DEPENDENCYPART_ARC
(0,19),-2.85251 # DEPENDENCYPART_ARC
(0,20),-2.1605 # DEPENDENCYPART_ARC
(0,21),-2.57911 # DEPENDENCYPART_ARC
(0,22),-1.08943 # DEPENDENCYPART_ARC
(0,23),0.236666 # DEPENDENCYPART_ARC
(0,24),-1.68266 # DEPENDENCYPART_ARC
(0,25),-2.30255 # DEPENDENCYPART_ARC
(0,26),-2.38807 # DEPENDENCYPART_ARC
(0,27),-2.81546 # DEPENDENCYPART_ARC
