# _root_ Θα ήθελα , τέλος , για άλλη μία φορά να αναφέρω αυτό που είπα στην αρχή της παρέμβασής μου .
#goldHeads=2,0,2,2,2,2,9,9,6,11,2,11,14,12,14,15,18,16,18,0,
#predictedHeads=2,0,2,2,4,2,9,9,6,11,6,11,14,12,14,15,18,16,18,0,
(0,1),-0.11693 # DEPENDENCYPART_ARC
(0,2),0.623714 # DEPENDENCYPART_ARC
(0,3),0.534476 # DEPENDENCYPART_ARC
(0,4),-0.203515 # DEPENDENCYPART_ARC
(0,5),0.14978 # DEPENDENCYPART_ARC
(0,6),-1.63342 # DEPENDENCYPART_ARC
(0,7),-1.27252 # DEPENDENCYPART_ARC
(0,8),-1.41813 # DEPENDENCYPART_ARC
(0,9),-1.06809 # DEPENDENCYPART_ARC
(0,10),-1.12031 # DEPENDENCYPART_ARC
(0,11),-0.0218402 # DEPENDENCYPART_ARC
(0,12),-1.51563 # DEPENDENCYPART_ARC
(0,13),-1.68927 # DEPENDENCYPART_ARC
(0,14),-0.852102 # DEPENDENCYPART_ARC
(0,15),-2.08161 # DEPENDENCYPART_ARC
(0,16),-1.44103 # DEPENDENCYPART_ARC
(0,17),-1.95123 # DEPENDENCYPART_ARC
(0,18),-1.9871 # DEPENDENCYPART_ARC
(0,19),-2.16601 # DEPENDENCYPART_ARC
(0,20),3.06809 # DEPENDENCYPART_ARC
(1,2),0.195608 # DEPENDENCYPART_ARC
(1,3),-0.466127 # DEPENDENCYPART_ARC
(1,4),-0.823798 # DEPENDENCYPART_ARC
(1,5),-0.611956 # DEPENDENCYPART_ARC
(1,6),-1.10212 # DEPENDENCYPART_ARC
(1,7),-1.71436 # DEPENDENCYPART_ARC
(1,8),-1.52973 # DEPENDENCYPART_ARC
(1,9),-1.5752 # DEPENDENCYPART_ARC
(1,10),-1.45434 # DEPENDENCYPART_ARC
(1,11),-1.50047 # DEPENDENCYPART_ARC
(1,12),-1.96898 # DEPENDENCYPART_ARC
(1,13),-1.96085 # DEPENDENCYPART_ARC
(1,14),-1.62494 # DEPENDENCYPART_ARC
(1,15),-1.49203 # DEPENDENCYPART_ARC
(1,16),-1.73282 # DEPENDENCYPART_ARC
(1,17),-1.94736 # DEPENDENCYPART_ARC
(1,18),-1.80362 # DEPENDENCYPART_ARC
(1,19),-2.0695 # DEPENDENCYPART_ARC
(1,20),-1.01777 # DEPENDENCYPART_ARC
(2,1),2.91562 # DEPENDENCYPART_ARC
(2,3),0.972333 # DEPENDENCYPART_ARC
(2,4),2.17768 # DEPENDENCYPART_ARC
(2,5),0.60594 # DEPENDENCYPART_ARC
(2,6),0.963501 # DEPENDENCYPART_ARC
(2,7),-2.30038 # DEPENDENCYPART_ARC
(2,8),-1.06202 # DEPENDENCYPART_ARC
(2,9),-0.219278 # DEPENDENCYPART_ARC
(2,10),-0.317107 # DEPENDENCYPART_ARC
(2,11),-1.18499 # DEPENDENCYPART_ARC
(2,12),-2.44245 # DEPENDENCYPART_ARC
(2,13),-2.77209 # DEPENDENCYPART_ARC
(2,14),-2.97596 # DEPENDENCYPART_ARC
(2,15),-1.21053 # DEPENDENCYPART_ARC
