# _root_ Υποστήριξη στις ΗΠΑ ως προς την πρόταση παραπομπής του Ιράν στο Συμβούλιο Ασφαλείας , εφόσον επαναληφθεί ο εμπλουτισμός ουρανίου ή παραβιαστούν καίριες δεσμεύσεις , πρόκειται να παράσχει η ΕΕ.
#goldHeads=27,1,2,1,4,7,5,7,10,8,8,11,12,15,27,20,18,16,18,15,20,23,21,25,0,27,25,29,27,
#predictedHeads=0,1,2,1,4,7,5,7,10,8,8,11,12,15,0,15,18,16,18,18,20,23,21,25,15,27,25,29,27,
(0,1),0.329743 # DEPENDENCYPART_ARC
(0,2),-0.168581 # DEPENDENCYPART_ARC
(0,3),-0.0902977 # DEPENDENCYPART_ARC
(0,4),-0.718133 # DEPENDENCYPART_ARC
(0,5),-0.573953 # DEPENDENCYPART_ARC
(0,7),-0.397251 # DEPENDENCYPART_ARC
(0,8),-0.607184 # DEPENDENCYPART_ARC
(0,10),-1.02013 # DEPENDENCYPART_ARC
(0,11),-0.796875 # DEPENDENCYPART_ARC
(0,12),-0.509485 # DEPENDENCYPART_ARC
(0,13),-0.319734 # DEPENDENCYPART_ARC
(0,14),-0.214854 # DEPENDENCYPART_ARC
(0,15),0.471293 # DEPENDENCYPART_ARC
(0,16),0.413293 # DEPENDENCYPART_ARC
(0,18),-1.22516 # DEPENDENCYPART_ARC
(0,19),-1.33426 # DEPENDENCYPART_ARC
(0,20),-0.698111 # DEPENDENCYPART_ARC
(0,21),-0.186969 # DEPENDENCYPART_ARC
(0,22),-1.3009 # DEPENDENCYPART_ARC
(0,23),-1.09214 # DEPENDENCYPART_ARC
(0,24),-1.18899 # DEPENDENCYPART_ARC
(0,25),-0.715619 # DEPENDENCYPART_ARC
(0,27),-1.09631 # DEPENDENCYPART_ARC
(0,29),-1.56602 # DEPENDENCYPART_ARC
(1,2),0.967975 # DEPENDENCYPART_ARC
(1,3),0.773755 # DEPENDENCYPART_ARC
(1,4),0.392045 # DEPENDENCYPART_ARC
(1,5),0.549833 # DEPENDENCYPART_ARC
(1,6),-1.17066 # DEPENDENCYPART_ARC
(1,7),-1.49699 # DEPENDENCYPART_ARC
(1,8),-0.380729 # DEPENDENCYPART_ARC
(1,9),-1.5597 # DEPENDENCYPART_ARC
(1,10),-0.437101 # DEPENDENCYPART_ARC
(1,11),0.0570891 # DEPENDENCYPART_ARC
(1,12),-2.58143 # DEPENDENCYPART_ARC
(1,13),-1.22765 # DEPENDENCYPART_ARC
