# _root_ Έτσι απαγορεύουμε με κοινοτικό νόμο σε ένα δημοκρατικά εκλεγμένο όργανο , σε έναν δήμο ή μια κοινότητα , να αποφασίσει τη συνέχιση ή την καθιέρωση μιας πολιτικής προμηθειών φιλικής προς το περιβάλλον .
#goldHeads=2,0,2,5,3,11,10,9,10,6,2,11,14,15,12,17,15,20,20,2,22,23,20,25,23,27,25,27,27,29,32,30,0,
#predictedHeads=2,0,2,5,3,2,10,9,10,15,2,2,14,15,12,17,15,23,20,15,22,23,20,25,23,28,28,25,28,29,32,30,0,
(0,1),-0.337336 # DEPENDENCYPART_ARC
(0,2),0.164614 # DEPENDENCYPART_ARC
(0,3),-1.16442 # DEPENDENCYPART_ARC
(0,4),-1.38702 # DEPENDENCYPART_ARC
(0,5),-1.35578 # DEPENDENCYPART_ARC
(0,6),-1.1936 # DEPENDENCYPART_ARC
(0,8),-1.32853 # DEPENDENCYPART_ARC
(0,9),-1.80179 # DEPENDENCYPART_ARC
(0,10),-1.34459 # DEPENDENCYPART_ARC
(0,11),-0.737783 # DEPENDENCYPART_ARC
(0,12),-1.70572 # DEPENDENCYPART_ARC
(0,14),-1.6296 # DEPENDENCYPART_ARC
(0,15),-0.876214 # DEPENDENCYPART_ARC
(0,17),-1.39837 # DEPENDENCYPART_ARC
(0,18),-1.03304 # DEPENDENCYPART_ARC
(0,20),-0.633999 # DEPENDENCYPART_ARC
(0,22),-1.75962 # DEPENDENCYPART_ARC
(0,23),-2.20147 # DEPENDENCYPART_ARC
(0,25),-1.68258 # DEPENDENCYPART_ARC
(0,27),-2.03662 # DEPENDENCYPART_ARC
(0,28),-2.31139 # DEPENDENCYPART_ARC
(0,29),-1.94884 # DEPENDENCYPART_ARC
(0,30),-2.19517 # DEPENDENCYPART_ARC
(0,32),-2.31161 # DEPENDENCYPART_ARC
(0,33),4.64999 # DEPENDENCYPART_ARC
(1,2),0.530932 # DEPENDENCYPART_ARC
(1,3),-0.121679 # DEPENDENCYPART_ARC
(1,4),-1.24415 # DEPENDENCYPART_ARC
(1,5),-1.23822 # DEPENDENCYPART_ARC
(1,6),-0.945497 # DEPENDENCYPART_ARC
(1,8),-1.49081 # DEPENDENCYPART_ARC
(1,9),-2.17798 # DEPENDENCYPART_ARC
(1,10),-1.83993 # DEPENDENCYPART_ARC
(1,11),-0.516646 # DEPENDENCYPART_ARC
(1,12),-1.49715 # DEPENDENCYPART_ARC
(1,14),-2.84085 # DEPENDENCYPART_ARC
(1,15),-1.44052 # DEPENDENCYPART_ARC
(1,17),-3.02416 # DEPENDENCYPART_ARC
(1,18),-0.903116 # DEPENDENCYPART_ARC
(1,20),-1.5665 # DEPENDENCYPART_ARC
(1,21),-2.51 # DEPENDENCYPART_ARC
(1,22),-3.31382 # DEPENDENCYPART_ARC
(1,23),-2.184 # DEPENDENCYPART_ARC
