# _root_ Το πιο διάσημο τέκνο της Λέσβου , η Σαπφώ , θεωρήθηκε από πολλούς η πρώτη φεμινίστρια και μιά από τις καλύτερες λυρικές ποιήτριες των εποχών .
#goldHeads=4,3,4,7,6,4,11,9,7,7,0,11,12,16,16,17,11,17,18,23,23,23,19,25,23,0,
#predictedHeads=4,3,4,11,6,4,11,9,11,11,0,11,12,16,16,17,11,17,18,23,23,23,19,25,23,0,
(0,2),-0.778637 # DEPENDENCYPART_ARC
(0,3),-0.747234 # DEPENDENCYPART_ARC
(0,4),-0.910331 # DEPENDENCYPART_ARC
(0,6),-1.27846 # DEPENDENCYPART_ARC
(0,7),-0.218234 # DEPENDENCYPART_ARC
(0,9),-1.0859 # DEPENDENCYPART_ARC
(0,10),-0.141955 # DEPENDENCYPART_ARC
(0,11),1.41097 # DEPENDENCYPART_ARC
(0,12),-1.28901 # DEPENDENCYPART_ARC
(0,13),-1.7111 # DEPENDENCYPART_ARC
(0,16),-1.6567 # DEPENDENCYPART_ARC
(0,17),-0.910509 # DEPENDENCYPART_ARC
(0,18),-1.61409 # DEPENDENCYPART_ARC
(0,19),-1.06716 # DEPENDENCYPART_ARC
(0,21),-1.31942 # DEPENDENCYPART_ARC
(0,22),-1.46066 # DEPENDENCYPART_ARC
(0,23),-2.02281 # DEPENDENCYPART_ARC
(0,25),-2.28732 # DEPENDENCYPART_ARC
(0,26),3.97736 # DEPENDENCYPART_ARC
(1,2),0.604918 # DEPENDENCYPART_ARC
(1,4),-0.590308 # DEPENDENCYPART_ARC
(1,16),-2.13681 # DEPENDENCYPART_ARC
(1,17),-1.01637 # DEPENDENCYPART_ARC
(1,18),-2.12282 # DEPENDENCYPART_ARC
(1,23),-2.5683 # DEPENDENCYPART_ARC
(1,25),-2.32138 # DEPENDENCYPART_ARC
(2,1),0.663823 # DEPENDENCYPART_ARC
(2,3),0.479505 # DEPENDENCYPART_ARC
(2,4),0.490321 # DEPENDENCYPART_ARC
(2,5),-0.716849 # DEPENDENCYPART_ARC
(2,6),-0.375827 # DEPENDENCYPART_ARC
(2,7),-0.509084 # DEPENDENCYPART_ARC
(2,8),-1.45462 # DEPENDENCYPART_ARC
(2,9),-1.7003 # DEPENDENCYPART_ARC
(2,10),-0.62082 # DEPENDENCYPART_ARC
(2,11),-0.993235 # DEPENDENCYPART_ARC
(2,12),-1.14663 # DEPENDENCYPART_ARC
(2,13),-2.01248 # DEPENDENCYPART_ARC
(2,14),-2.11818 # DEPENDENCYPART_ARC
(2,16),-2.48939 # DEPENDENCYPART_ARC
(2,17),-1.07202 # DEPENDENCYPART_ARC
(2,18),-2.84281 # DEPENDENCYPART_ARC
(2,19),-1.52847 # DEPENDENCYPART_ARC
(2,20),-2.24038 # DEPENDENCYPART_ARC
(2,21),-2.45459 # DEPENDENCYPART_ARC
(2,22),-2.35466 # DEPENDENCYPART_ARC
(2,23),-3.28687 # DEPENDENCYPART_ARC
(2,24),-2.16794 # DEPENDENCYPART_ARC
(2,25),-3.04501 # DEPENDENCYPART_ARC
(2,26),-1.74925 # DEPENDENCYPART_ARC
(3,1),0.905577 # DEPENDENCYPART_ARC
(3,2),2.17073 # DEPENDENCYPART_ARC
(3,4),0.00994559 # DEPENDENCYPART_ARC
(3,5),-0.846142 # DEPENDENCYPART_ARC
(3,6),0.0914831 # DEPENDENCYPART_ARC
(3,7),-0.464688 # DEPENDENCYPART_ARC
(3,8),-2.09687 # DEPENDENCYPART_ARC
(3,9),-2.20573 # DEPENDENCYPART_ARC
(3,10),-0.561642 # DEPENDENCYPART_ARC
(3,11),-2.06599 # DEPENDENCYPART_ARC
(3,12),-1.15673 # DEPENDENCYPART_ARC
(3,13),-1.81862 # DEPENDENCYPART_ARC
(3,14),-2.82888 # DEPENDENCYPART_ARC
(3,15),-2.15773 # DEPENDENCYPART_ARC
(3,16),-2.97801 # DEPENDENCYPART_ARC
(3,17),-0.774989 # DEPENDENCYPART_ARC
(3,18),-2.98868 # DEPENDENCYPART_ARC
(3,19),-1.52442 # DEPENDENCYPART_ARC
(3,20),-2.10419 # DEPENDENCYPART_ARC
(3,21),-2.74354 # DEPENDENCYPART_ARC
(3,22),-2.70464 # DEPENDENCYPART_ARC
(3,23),-3.00751 # DEPENDENCYPART_ARC
(3,24),-2.07259 # DEPENDENCYPART_ARC
(3,25),-2.57917 # DEPENDENCYPART_ARC
(3,26),-1.55788 # DEPENDENCYPART_ARC
(4,1),2.96736 # DEPENDENCYPART_ARC
(4,2),1.11615 # DEPENDENCYPART_ARC
(4,3),3.38903 # DEPENDENCYPART_ARC
(4,5),-0.0114893 # DEPENDENCYPART_ARC
(4,6),2.76951 # DEPENDENCYPART_ARC
(4,7),0.283102 # DEPENDENCYPART_ARC
(4,8),-0.88609 # DEPENDENCYPART_ARC
(4,9),0.164068 # DEPENDENCYPART_ARC
(4,10),-0.121027 # DEPENDENCYPART_ARC
(4,11),-0.543344 # DEPENDENCYPART_ARC
(4,12),-1.04788 # DEPENDENCYPART_ARC
(4,13),-1.95772 # DEPENDENCYPART_ARC
(4,14),-1.60108 # DEPENDENCYPART_ARC
(4,15),-1.06133 # DEPENDENCYPART_ARC
