# _root_ Αφού έλαβαν υπόψη και άλλους παράγοντες επικινδυνότητας για την ασθένεια , όπως η ηλικία και το φύλο , οι επιστήμονες βρήκαν ότι ο διαβήτης αυξάνει τις πιθανότητες ανάπτυξης καρκίνου του ήπατος .
#goldHeads=21,1,2,6,6,2,6,7,10,8,6,6,14,15,6,17,15,6,20,21,0,21,24,25,22,27,25,27,28,29,29,0,
#predictedHeads=25,1,2,2,6,4,6,7,10,8,1,21,14,15,8,17,15,21,20,21,0,21,24,25,22,27,25,27,28,31,29,0,
(0,1),0.23136 # DEPENDENCYPART_ARC
(0,2),0.159715 # DEPENDENCYPART_ARC
(0,3),-0.963062 # DEPENDENCYPART_ARC
(0,4),-0.657256 # DEPENDENCYPART_ARC
(0,5),-1.39103 # DEPENDENCYPART_ARC
(0,6),-1.37331 # DEPENDENCYPART_ARC
(0,7),-1.56256 # DEPENDENCYPART_ARC
(0,8),-1.88904 # DEPENDENCYPART_ARC
(0,10),-1.17446 # DEPENDENCYPART_ARC
(0,11),-0.800409 # DEPENDENCYPART_ARC
(0,12),-0.981082 # DEPENDENCYPART_ARC
(0,14),-1.46357 # DEPENDENCYPART_ARC
(0,15),-0.798886 # DEPENDENCYPART_ARC
(0,17),-1.52397 # DEPENDENCYPART_ARC
(0,18),-0.936417 # DEPENDENCYPART_ARC
(0,20),-1.9329 # DEPENDENCYPART_ARC
(0,21),-0.097673 # DEPENDENCYPART_ARC
(0,22),-3.93048 # DEPENDENCYPART_ARC
(0,24),-2.12524 # DEPENDENCYPART_ARC
(0,25),0.294198 # DEPENDENCYPART_ARC
(0,27),-1.88395 # DEPENDENCYPART_ARC
(0,28),-2.22528 # DEPENDENCYPART_ARC
(0,29),-2.37485 # DEPENDENCYPART_ARC
(0,31),-2.60021 # DEPENDENCYPART_ARC
(0,32),4.55372 # DEPENDENCYPART_ARC
(1,2),2.77143 # DEPENDENCYPART_ARC
(1,3),0.106821 # DEPENDENCYPART_ARC
(1,4),0.321101 # DEPENDENCYPART_ARC
(1,5),-0.934993 # DEPENDENCYPART_ARC
(1,9),-1.3121 # DEPENDENCYPART_ARC
(1,11),1.03518 # DEPENDENCYPART_ARC
(1,12),-0.734096 # DEPENDENCYPART_ARC
(1,13),-1.39552 # DEPENDENCYPART_ARC
(1,15),0.13914 # DEPENDENCYPART_ARC
(1,16),-1.4599 # DEPENDENCYPART_ARC
(1,18),1.11452 # DEPENDENCYPART_ARC
(1,19),-1.47456 # DEPENDENCYPART_ARC
(1,21),0.0913509 # DEPENDENCYPART_ARC
(1,22),-0.887868 # DEPENDENCYPART_ARC
(1,23),-1.91636 # DEPENDENCYPART_ARC
(1,25),-0.637323 # DEPENDENCYPART_ARC
(1,26),-1.97981 # DEPENDENCYPART_ARC
(1,30),-2.30194 # DEPENDENCYPART_ARC
(1,32),-0.130747 # DEPENDENCYPART_ARC
(2,1),0.448768 # DEPENDENCYPART_ARC
(2,3),1.88779 # DEPENDENCYPART_ARC
(2,4),0.945321 # DEPENDENCYPART_ARC
(2,5),0.10698 # DEPENDENCYPART_ARC
(2,6),1.12209 # DEPENDENCYPART_ARC
(2,7),-0.43979 # DEPENDENCYPART_ARC
(2,8),1.21975 # DEPENDENCYPART_ARC
(2,9),-1.82531 # DEPENDENCYPART_ARC
(2,10),-0.748637 # DEPENDENCYPART_ARC
(2,11),0.697234 # DEPENDENCYPART_ARC
(2,12),0.38172 # DEPENDENCYPART_ARC
(2,13),-2.98105 # DEPENDENCYPART_ARC
(2,14),-1.07772 # DEPENDENCYPART_ARC
(2,15),0.505866 # DEPENDENCYPART_ARC
(2,16),-3.29521 # DEPENDENCYPART_ARC
(2,17),-1.57788 # DEPENDENCYPART_ARC
(2,18),0.21971 # DEPENDENCYPART_ARC
(2,19),-3.05023 # DEPENDENCYPART_ARC
(2,20),-2.16046 # DEPENDENCYPART_ARC
(2,21),-4.94387 # DEPENDENCYPART_ARC
(2,22),-1.66088 # DEPENDENCYPART_ARC
(2,23),-3.76147 # DEPENDENCYPART_ARC
(2,24),-3.62898 # DEPENDENCYPART_ARC
(2,25),-5.92249 # DEPENDENCYPART_ARC
(2,26),-2.64739 # DEPENDENCYPART_ARC
(2,27),-3.93522 # DEPENDENCYPART_ARC
(2,28),-5.78185 # DEPENDENCYPART_ARC
(2,29),-6.19809 # DEPENDENCYPART_ARC
(2,30),-4.01809 # DEPENDENCYPART_ARC
(2,31),-5.97492 # DEPENDENCYPART_ARC
(2,32),0.0983238 # DEPENDENCYPART_ARC
(3,1),-0.397914 # DEPENDENCYPART_ARC
(3,2),-0.268461 # DEPENDENCYPART_ARC
(3,4),0.0663861 # DEPENDENCYPART_ARC
(3,5),-0.499791 # DEPENDENCYPART_ARC
(3,6),-1.14516 # DEPENDENCYPART_ARC
(3,7),-0.542616 # DEPENDENCYPART_ARC
(3,8),-1.32667 # DEPENDENCYPART_ARC
(3,9),-1.94417 # DEPENDENCYPART_ARC
(3,10),-2.18851 # DEPENDENCYPART_ARC
(3,11),-0.898557 # DEPENDENCYPART_ARC
(3,12),-1.41534 # DEPENDENCYPART_ARC
(3,13),-1.9197 # DEPENDENCYPART_ARC
(3,14),-2.42104 # DEPENDENCYPART_ARC
(3,15),-1.15018 # DEPENDENCYPART_ARC
(3,16),-2.01317 # DEPENDENCYPART_ARC
(3,17),-2.31062 # DEPENDENCYPART_ARC
(3,18),-1.25239 # DEPENDENCYPART_ARC
(3,19),-2.19682 # DEPENDENCYPART_ARC
(3,20),-3.13869 # DEPENDENCYPART_ARC
(3,21),-1.49846 # DEPENDENCYPART_ARC
(3,22),-2.11184 # DEPENDENCYPART_ARC
(3,23),-2.59886 # DEPENDENCYPART_ARC
(3,24),-3.71242 # DEPENDENCYPART_ARC
(3,25),-2.32121 # DEPENDENCYPART_ARC
(3,26),-3.02436 # DEPENDENCYPART_ARC
(3,27),-4.29439 # DEPENDENCYPART_ARC
(3,28),-3.62595 # DEPENDENCYPART_ARC
(3,29),-3.86814 # DEPENDENCYPART_ARC
(3,30),-2.51224 # DEPENDENCYPART_ARC
(3,31),-3.8574 # DEPENDENCYPART_ARC
(3,32),-2.53404 # DEPENDENCYPART_ARC
(4,1),0.595716 # DEPENDENCYPART_ARC
(4,2),1.11235 # DEPENDENCYPART_ARC
(4,3),1.0696 # DEPENDENCYPART_ARC
(4,5),0.445597 # DEPENDENCYPART_ARC
(4,6),1.2275 # DEPENDENCYPART_ARC
(4,7),0.369696 # DEPENDENCYPART_ARC
(4,8),-0.369284 # DEPENDENCYPART_ARC
(4,9),-0.952091 # DEPENDENCYPART_ARC
(4,10),-0.810372 # DEPENDENCYPART_ARC
(4,11),0.287227 # DEPENDENCYPART_ARC
(4,12),-0.381702 # DEPENDENCYPART_ARC
(4,13),-1.1551 # DEPENDENCYPART_ARC
(4,14),-1.4186 # DEPENDENCYPART_ARC
(4,15),-0.323653 # DEPENDENCYPART_ARC
(4,16),-1.27884 # DEPENDENCYPART_ARC
(4,17),-1.83255 # DEPENDENCYPART_ARC
(4,18),-0.0435293 # DEPENDENCYPART_ARC
(4,19),-1.19108 # DEPENDENCYPART_ARC
(4,20),-2.62298 # DEPENDENCYPART_ARC
(4,21),-0.767919 # DEPENDENCYPART_ARC
(4,22),-1.00947 # DEPENDENCYPART_ARC
(4,23),-1.80148 # DEPENDENCYPART_ARC
(4,24),-3.2615 # DEPENDENCYPART_ARC
(4,25),-2.44445 # DEPENDENCYPART_ARC
(4,26),-2.03262 # DEPENDENCYPART_ARC
(4,27),-3.8063 # DEPENDENCYPART_ARC
(4,28),-4.24311 # DEPENDENCYPART_ARC
(4,29),-4.59513 # DEPENDENCYPART_ARC
(4,30),-2.39154 # DEPENDENCYPART_ARC
(4,31),-4.92025 # DEPENDENCYPART_ARC
(4,32),-1.04458 # DEPENDENCYPART_ARC
(5,2),-1.79486 # DEPENDENCYPART_ARC
(5,3),-0.0356721 # DEPENDENCYPART_ARC
(5,4),0.503822 # DEPENDENCYPART_ARC
(5,6),0.165567 # DEPENDENCYPART_ARC
(5,7),0.444083 # DEPENDENCYPART_ARC
(5,8),0.11591 # DEPENDENCYPART_ARC
(5,9),-1.86857 # DEPENDENCYPART_ARC
(5,10),-1.39404 # DEPENDENCYPART_ARC
(5,11),-0.459241 # DEPENDENCYPART_ARC
(5,12),-0.850145 # DEPENDENCYPART_ARC
(5,13),-2.23794 # DEPENDENCYPART_ARC
(5,14),-1.78318 # DEPENDENCYPART_ARC
(5,15),-0.315843 # DEPENDENCYPART_ARC
(5,16),-1.72485 # DEPENDENCYPART_ARC
(5,17),-1.32973 # DEPENDENCYPART_ARC
(5,18),-0.873321 # DEPENDENCYPART_ARC
(5,19),-1.81643 # DEPENDENCYPART_ARC
(5,20),-1.69448 # DEPENDENCYPART_ARC
(5,21),-2.53189 # DEPENDENCYPART_ARC
(5,23),-2.18773 # DEPENDENCYPART_ARC
(5,24),-2.04582 # DEPENDENCYPART_ARC
(5,25),-3.92364 # DEPENDENCYPART_ARC
(5,26),-3.08821 # DEPENDENCYPART_ARC
(5,27),-3.25677 # DEPENDENCYPART_ARC
(5,28),-2.09806 # DEPENDENCYPART_ARC
(5,29),-1.61021 # DEPENDENCYPART_ARC
(5,30),-2.128 # DEPENDENCYPART_ARC
(5,31),-1.65762 # DEPENDENCYPART_ARC
(5,32),-1.80876 # DEPENDENCYPART_ARC
(6,1),-0.384403 # DEPENDENCYPART_ARC
(6,2),-2.16023 # DEPENDENCYPART_ARC
(6,3),0.17502 # DEPENDENCYPART_ARC
(6,4),0.846406 # DEPENDENCYPART_ARC
(6,5),3.8737 # DEPENDENCYPART_ARC
(6,7),2.81981 # DEPENDENCYPART_ARC
(6,8),0.895943 # DEPENDENCYPART_ARC
(6,9),-1.0393 # DEPENDENCYPART_ARC
(6,10),-0.577785 # DEPENDENCYPART_ARC
(6,11),-0.0783204 # DEPENDENCYPART_ARC
(6,12),0.112072 # DEPENDENCYPART_ARC
(6,13),-1.59984 # DEPENDENCYPART_ARC
(6,14),-1.80632 # DEPENDENCYPART_ARC
(6,15),0.321139 # DEPENDENCYPART_ARC
(6,16),-1.53292 # DEPENDENCYPART_ARC
(6,17),-2.50675 # DEPENDENCYPART_ARC
(6,18),-0.552586 # DEPENDENCYPART_ARC
(6,19),-1.78974 # DEPENDENCYPART_ARC
(6,20),-3.34462 # DEPENDENCYPART_ARC
(6,21),-1.40921 # DEPENDENCYPART_ARC
(6,22),-1.58211 # DEPENDENCYPART_ARC
(6,23),-2.18916 # DEPENDENCYPART_ARC
(6,24),-4.0041 # DEPENDENCYPART_ARC
(6,25),-3.39219 # DEPENDENCYPART_ARC
(6,26),-2.47562 # DEPENDENCYPART_ARC
(6,27),-5.8818 # DEPENDENCYPART_ARC
(6,28),-4.18731 # DEPENDENCYPART_ARC
(6,29),-3.90246 # DEPENDENCYPART_ARC
(6,30),-2.61602 # DEPENDENCYPART_ARC
(6,31),-4.77908 # DEPENDENCYPART_ARC
(6,32),-0.573549 # DEPENDENCYPART_ARC
(7,1),-0.777268 # DEPENDENCYPART_ARC
(7,2),-2.89482 # DEPENDENCYPART_ARC
(7,3),-0.226127 # DEPENDENCYPART_ARC
(7,4),0.114065 # DEPENDENCYPART_ARC
(7,5),0.435112 # DEPENDENCYPART_ARC
(7,6),-0.523568 # DEPENDENCYPART_ARC
(7,8),1.29817 # DEPENDENCYPART_ARC
(7,9),-0.447224 # DEPENDENCYPART_ARC
(7,10),-0.782634 # DEPENDENCYPART_ARC
(7,11),-0.00130337 # DEPENDENCYPART_ARC
(7,12),-0.388408 # DEPENDENCYPART_ARC
(7,13),-1.29673 # DEPENDENCYPART_ARC
(7,14),-2.402 # DEPENDENCYPART_ARC
(7,15),-0.0150801 # DEPENDENCYPART_ARC
(7,16),-1.72844 # DEPENDENCYPART_ARC
(7,17),-3.06474 # DEPENDENCYPART_ARC
(7,18),-0.708773 # DEPENDENCYPART_ARC
(7,19),-1.24805 # DEPENDENCYPART_ARC
(7,20),-3.91421 # DEPENDENCYPART_ARC
(7,21),-2.45311 # DEPENDENCYPART_ARC
(7,22),-1.50322 # DEPENDENCYPART_ARC
(7,23),-2.23393 # DEPENDENCYPART_ARC
(7,24),-5.28941 # DEPENDENCYPART_ARC
(7,25),-3.46576 # DEPENDENCYPART_ARC
(7,26),-1.78377 # DEPENDENCYPART_ARC
(7,27),-5.50444 # DEPENDENCYPART_ARC
(7,28),-4.25986 # DEPENDENCYPART_ARC
(7,29),-4.80997 # DEPENDENCYPART_ARC
(7,30),-2.61375 # DEPENDENCYPART_ARC
(7,31),-5.18285 # DEPENDENCYPART_ARC
(7,32),-0.695527 # DEPENDENCYPART_ARC
(8,1),-0.730669 # DEPENDENCYPART_ARC
(8,2),-1.14171 # DEPENDENCYPART_ARC
(8,3),-0.536273 # DEPENDENCYPART_ARC
(8,4),-0.235266 # DEPENDENCYPART_ARC
(8,5),-0.778256 # DEPENDENCYPART_ARC
(8,6),-1.00431 # DEPENDENCYPART_ARC
(8,7),-0.65857 # DEPENDENCYPART_ARC
(8,9),0.0459605 # DEPENDENCYPART_ARC
(8,10),2.57929 # DEPENDENCYPART_ARC
(8,11),0.109026 # DEPENDENCYPART_ARC
(8,12),-0.367829 # DEPENDENCYPART_ARC
(8,13),-1.20589 # DEPENDENCYPART_ARC
(8,14),-0.950026 # DEPENDENCYPART_ARC
(8,15),1.23827 # DEPENDENCYPART_ARC
(8,16),-1.6809 # DEPENDENCYPART_ARC
(8,17),-1.66384 # DEPENDENCYPART_ARC
(8,18),-0.327035 # DEPENDENCYPART_ARC
(8,19),-1.65906 # DEPENDENCYPART_ARC
(8,20),-2.70768 # DEPENDENCYPART_ARC
(8,21),-1.7055 # DEPENDENCYPART_ARC
(8,22),-0.750252 # DEPENDENCYPART_ARC
(8,23),-1.96899 # DEPENDENCYPART_ARC
(8,24),-4.93095 # DEPENDENCYPART_ARC
(8,25),-2.57821 # DEPENDENCYPART_ARC
(8,26),-2.09932 # DEPENDENCYPART_ARC
(8,27),-6.51836 # DEPENDENCYPART_ARC
(8,28),-7.19932 # DEPENDENCYPART_ARC
(8,29),-7.71388 # DEPENDENCYPART_ARC
(8,30),-2.37655 # DEPENDENCYPART_ARC
(8,31),-8.68377 # DEPENDENCYPART_ARC
(8,32),-1.73952 # DEPENDENCYPART_ARC
(9,3),-1.75629 # DEPENDENCYPART_ARC
(9,4),-1.5725 # DEPENDENCYPART_ARC
(9,6),-2.45026 # DEPENDENCYPART_ARC
(9,7),-1.98433 # DEPENDENCYPART_ARC
(9,10),-0.0728008 # DEPENDENCYPART_ARC
(9,12),-0.518593 # DEPENDENCYPART_ARC
(9,14),-1.56928 # DEPENDENCYPART_ARC
(9,15),-0.300416 # DEPENDENCYPART_ARC
(9,17),-2.04791 # DEPENDENCYPART_ARC
(9,20),-2.18449 # DEPENDENCYPART_ARC
(9,24),-2.48176 # DEPENDENCYPART_ARC
(9,27),-2.5228 # DEPENDENCYPART_ARC
(9,28),-2.10664 # DEPENDENCYPART_ARC
(9,29),-2.0784 # DEPENDENCYPART_ARC
(9,31),-2.22545 # DEPENDENCYPART_ARC
(10,1),-1.27867 # DEPENDENCYPART_ARC
(10,2),-4.24728 # DEPENDENCYPART_ARC
(10,3),-0.972899 # DEPENDENCYPART_ARC
(10,4),-0.941267 # DEPENDENCYPART_ARC
(10,5),-1.0063 # DEPENDENCYPART_ARC
(10,6),-1.71678 # DEPENDENCYPART_ARC
(10,7),-0.949557 # DEPENDENCYPART_ARC
(10,8),0.0851442 # DEPENDENCYPART_ARC
(10,9),3.14259 # DEPENDENCYPART_ARC
(10,11),0.289802 # DEPENDENCYPART_ARC
(10,12),0.162508 # DEPENDENCYPART_ARC
(10,13),-0.831678 # DEPENDENCYPART_ARC
(10,14),-0.921151 # DEPENDENCYPART_ARC
(10,15),0.0485757 # DEPENDENCYPART_ARC
(10,16),-1.6045 # DEPENDENCYPART_ARC
(10,17),-2.12319 # DEPENDENCYPART_ARC
(10,18),-0.736632 # DEPENDENCYPART_ARC
(10,19),-1.5293 # DEPENDENCYPART_ARC
(10,20),-2.75579 # DEPENDENCYPART_ARC
(10,21),-1.81361 # DEPENDENCYPART_ARC
(10,22),-1.16532 # DEPENDENCYPART_ARC
(10,23),-2.24956 # DEPENDENCYPART_ARC
(10,24),-4.08368 # DEPENDENCYPART_ARC
(10,25),-2.88189 # DEPENDENCYPART_ARC
(10,26),-2.03567 # DEPENDENCYPART_ARC
(10,27),-4.63671 # DEPENDENCYPART_ARC
(10,28),-3.37909 # DEPENDENCYPART_ARC
(10,29),-3.62214 # DEPENDENCYPART_ARC
(10,30),-2.31626 # DEPENDENCYPART_ARC
(10,31),-3.98937 # DEPENDENCYPART_ARC
(10,32),-1.0071 # DEPENDENCYPART_ARC
(11,1),-0.406919 # DEPENDENCYPART_ARC
(11,2),-0.259102 # DEPENDENCYPART_ARC
(11,3),-0.405596 # DEPENDENCYPART_ARC
(11,4),-0.194259 # DEPENDENCYPART_ARC
(11,5),-0.590623 # DEPENDENCYPART_ARC
(11,6),-0.276591 # DEPENDENCYPART_ARC
(11,7),-0.17646 # DEPENDENCYPART_ARC
(11,8),0.275989 # DEPENDENCYPART_ARC
(11,10),0.00121175 # DEPENDENCYPART_ARC
(11,12),0.189312 # DEPENDENCYPART_ARC
(11,14),0.350852 # DEPENDENCYPART_ARC
(11,15),0.149851 # DEPENDENCYPART_ARC
(11,17),-0.28307 # DEPENDENCYPART_ARC
(11,18),0.0138989 # DEPENDENCYPART_ARC
(11,20),-0.714638 # DEPENDENCYPART_ARC
(11,21),-0.2439 # DEPENDENCYPART_ARC
(11,22),-0.332432 # DEPENDENCYPART_ARC
(11,24),-1.37744 # DEPENDENCYPART_ARC
(11,25),-0.72291 # DEPENDENCYPART_ARC
(11,27),-1.53467 # DEPENDENCYPART_ARC
(11,28),-1.3469 # DEPENDENCYPART_ARC
(11,29),-1.26762 # DEPENDENCYPART_ARC
(11,31),-1.38875 # DEPENDENCYPART_ARC
(11,32),-0.983794 # DEPENDENCYPART_ARC
(12,1),-0.654081 # DEPENDENCYPART_ARC
(12,2),-1.25421 # DEPENDENCYPART_ARC
(12,3),-0.345541 # DEPENDENCYPART_ARC
(12,4),-0.178603 # DEPENDENCYPART_ARC
(12,5),-1.43086 # DEPENDENCYPART_ARC
(12,6),-0.751523 # DEPENDENCYPART_ARC
(12,7),-0.85483 # DEPENDENCYPART_ARC
(12,8),-0.31667 # DEPENDENCYPART_ARC
(12,9),-0.427874 # DEPENDENCYPART_ARC
(12,10),-0.370102 # DEPENDENCYPART_ARC
(12,11),0.265216 # DEPENDENCYPART_ARC
(12,13),-0.0957664 # DEPENDENCYPART_ARC
(12,14),0.178919 # DEPENDENCYPART_ARC
(12,15),0.0192984 # DEPENDENCYPART_ARC
(12,16),-0.976098 # DEPENDENCYPART_ARC
(12,17),-0.737476 # DEPENDENCYPART_ARC
(12,18),-0.138944 # DEPENDENCYPART_ARC
(12,19),-1.3434 # DEPENDENCYPART_ARC
(12,20),-2.15851 # DEPENDENCYPART_ARC
(12,21),-0.664091 # DEPENDENCYPART_ARC
(12,22),-0.920197 # DEPENDENCYPART_ARC
(12,23),-1.94417 # DEPENDENCYPART_ARC
(12,24),-2.78875 # DEPENDENCYPART_ARC
(12,25),-1.31957 # DEPENDENCYPART_ARC
(12,26),-2.21545 # DEPENDENCYPART_ARC
(12,27),-3.26122 # DEPENDENCYPART_ARC
(12,28),-2.81884 # DEPENDENCYPART_ARC
(12,29),-2.94166 # DEPENDENCYPART_ARC
(12,30),-1.71488 # DEPENDENCYPART_ARC
(12,31),-2.91433 # DEPENDENCYPART_ARC
(12,32),-1.24189 # DEPENDENCYPART_ARC
(13,3),-1.65299 # DEPENDENCYPART_ARC
(13,4),-1.13013 # DEPENDENCYPART_ARC
(13,6),-2.59649 # DEPENDENCYPART_ARC
(13,7),-2.18089 # DEPENDENCYPART_ARC
(13,10),-1.66041 # DEPENDENCYPART_ARC
(13,12),-0.472864 # DEPENDENCYPART_ARC
(13,14),-0.30289 # DEPENDENCYPART_ARC
(13,15),-0.0311743 # DEPENDENCYPART_ARC
(13,17),-1.41009 # DEPENDENCYPART_ARC
(13,20),-2.18686 # DEPENDENCYPART_ARC
(13,24),-2.66419 # DEPENDENCYPART_ARC
(13,27),-2.55924 # DEPENDENCYPART_ARC
(13,28),-2.1252 # DEPENDENCYPART_ARC
(13,29),-2.41208 # DEPENDENCYPART_ARC
(13,31),-2.11506 # DEPENDENCYPART_ARC
(14,1),-1.93011 # DEPENDENCYPART_ARC
(14,2),-4.55563 # DEPENDENCYPART_ARC
(14,3),-1.34719 # DEPENDENCYPART_ARC
(14,4),-1.51571 # DEPENDENCYPART_ARC
(14,5),-2.80589 # DEPENDENCYPART_ARC
(14,6),-3.34552 # DEPENDENCYPART_ARC
(14,7),-2.44228 # DEPENDENCYPART_ARC
(14,8),-1.22121 # DEPENDENCYPART_ARC
(14,9),-0.0841847 # DEPENDENCYPART_ARC
(14,10),-1.80675 # DEPENDENCYPART_ARC
(14,11),-0.87578 # DEPENDENCYPART_ARC
(14,12),-0.370313 # DEPENDENCYPART_ARC
(14,13),3.01509 # DEPENDENCYPART_ARC
(14,15),0.721127 # DEPENDENCYPART_ARC
(14,16),-1.12304 # DEPENDENCYPART_ARC
(14,17),-0.61513 # DEPENDENCYPART_ARC
(14,18),-0.425676 # DEPENDENCYPART_ARC
(14,19),-1.50669 # DEPENDENCYPART_ARC
(14,20),-2.18425 # DEPENDENCYPART_ARC
(14,21),-2.05989 # DEPENDENCYPART_ARC
(14,22),-0.868262 # DEPENDENCYPART_ARC
(14,23),-2.4645 # DEPENDENCYPART_ARC
(14,24),-3.60432 # DEPENDENCYPART_ARC
(14,25),-3.1776 # DEPENDENCYPART_ARC
(14,26),-2.10661 # DEPENDENCYPART_ARC
(14,27),-3.9864 # DEPENDENCYPART_ARC
