# _root_ Εκεί στοχάζονται , αναπέμπουν ψαλμωδίες , προσεύχονται .
#goldHeads=2,6,6,6,4,0,6,0,
#predictedHeads=2,0,4,0,4,7,0,0,
(0,1),-0.358274 # DEPENDENCYPART_ARC
(0,2),0.456165 # DEPENDENCYPART_ARC
(0,3),0.0454281 # DEPENDENCYPART_ARC
(0,4),0.545876 # DEPENDENCYPART_ARC
(0,5),-0.640248 # DEPENDENCYPART_ARC
(0,6),-0.0135539 # DEPENDENCYPART_ARC
(0,7),0.336694 # DEPENDENCYPART_ARC
(0,8),2.28245 # DEPENDENCYPART_ARC
(1,2),0.629818 # DEPENDENCYPART_ARC
(1,3),-0.327204 # DEPENDENCYPART_ARC
(1,4),-0.761241 # DEPENDENCYPART_ARC
(1,5),-1.46399 # DEPENDENCYPART_ARC
(1,6),-0.789022 # DEPENDENCYPART_ARC
(1,7),-1.37109 # DEPENDENCYPART_ARC
(1,8),-1.12516 # DEPENDENCYPART_ARC
(2,1),2.29761 # DEPENDENCYPART_ARC
(2,3),0.869269 # DEPENDENCYPART_ARC
(2,4),0.0143275 # DEPENDENCYPART_ARC
(2,5),0.359391 # DEPENDENCYPART_ARC
(2,6),0.0103301 # DEPENDENCYPART_ARC
(2,7),-2.36686 # DEPENDENCYPART_ARC
(2,8),-0.53355 # DEPENDENCYPART_ARC
(3,1),-0.620971 # DEPENDENCYPART_ARC
(3,2),-0.0378274 # DEPENDENCYPART_ARC
(3,4),-0.291127 # DEPENDENCYPART_ARC
(3,5),-0.867408 # DEPENDENCYPART_ARC
(3,6),-0.398585 # DEPENDENCYPART_ARC
(3,7),-1.30699 # DEPENDENCYPART_ARC
(3,8),-1.12765 # DEPENDENCYPART_ARC
(4,1),1.26337 # DEPENDENCYPART_ARC
(4,2),-0.696349 # DEPENDENCYPART_ARC
(4,3),1.40455 # DEPENDENCYPART_ARC
(4,5),2.79382 # DEPENDENCYPART_ARC
(4,6),0.866992 # DEPENDENCYPART_ARC
(4,7),-0.612336 # DEPENDENCYPART_ARC
(4,8),-0.207993 # DEPENDENCYPART_ARC
(5,1),-0.623072 # DEPENDENCYPART_ARC
(5,2),-1.8911 # DEPENDENCYPART_ARC
(5,3),0.473579 # DEPENDENCYPART_ARC
(5,4),-0.620524 # DEPENDENCYPART_ARC
(5,6),0.227624 # DEPENDENCYPART_ARC
(5,7),0.316051 # DEPENDENCYPART_ARC
(5,8),-0.520169 # DEPENDENCYPART_ARC
(6,1),-0.80254 # DEPENDENCYPART_ARC
(6,2),-0.733318 # DEPENDENCYPART_ARC
(6,3),-0.0702353 # DEPENDENCYPART_ARC
(6,4),-0.238565 # DEPENDENCYPART_ARC
(6,5),-0.0358992 # DEPENDENCYPART_ARC
(6,7),-0.0496425 # DEPENDENCYPART_ARC
(6,8),-0.706084 # DEPENDENCYPART_ARC
(7,1),0.883933 # DEPENDENCYPART_ARC
(7,2),-1.93012 # DEPENDENCYPART_ARC
(7,3),0.298146 # DEPENDENCYPART_ARC
(7,4),-0.564524 # DEPENDENCYPART_ARC
(7,5),0.29718 # DEPENDENCYPART_ARC
(7,6),1.48117 # DEPENDENCYPART_ARC
(7,8),1.013 # DEPENDENCYPART_ARC
(8,1),-2.25531 # DEPENDENCYPART_ARC
(8,2),-2.75179 # DEPENDENCYPART_ARC
(8,3),-2.00873 # DEPENDENCYPART_ARC
(8,4),-2.40737 # DEPENDENCYPART_ARC
(8,5),-2.27108 # DEPENDENCYPART_ARC
(8,6),-1.80985 # DEPENDENCYPART_ARC
(8,7),-1.64957 # DEPENDENCYPART_ARC
