# _root_ Οι επεμβατική αντιμετώπιση της διέγερσης των πυρήνων , που γίνεται και στην Ελλάδα , γίνεται στις περιπτώσεις που οι ασθενείς έχουν κορεστεί από τα φάρμακα .
#goldHeads=3,3,15,5,3,7,5,10,10,3,13,10,12,10,0,15,16,22,20,22,22,17,22,25,23,0,
#predictedHeads=3,3,0,5,3,7,5,10,10,7,12,10,12,15,11,15,16,22,20,21,22,17,22,25,23,0,
(0,2),-0.419016 # DEPENDENCYPART_ARC
(0,3),-0.561397 # DEPENDENCYPART_ARC
(0,5),-1.50852 # DEPENDENCYPART_ARC
(0,7),-1.67736 # DEPENDENCYPART_ARC
(0,8),-0.281009 # DEPENDENCYPART_ARC
(0,10),0.136049 # DEPENDENCYPART_ARC
(0,11),-0.36271 # DEPENDENCYPART_ARC
(0,12),-1.57175 # DEPENDENCYPART_ARC
(0,13),-1.54363 # DEPENDENCYPART_ARC
(0,14),-0.857402 # DEPENDENCYPART_ARC
(0,15),-0.26101 # DEPENDENCYPART_ARC
(0,16),-2.319 # DEPENDENCYPART_ARC
(0,17),-1.54611 # DEPENDENCYPART_ARC
(0,18),-1.35 # DEPENDENCYPART_ARC
(0,20),-2.32501 # DEPENDENCYPART_ARC
(0,21),-0.157362 # DEPENDENCYPART_ARC
(0,22),-1.22651 # DEPENDENCYPART_ARC
(0,23),-2.29562 # DEPENDENCYPART_ARC
(0,25),-2.21733 # DEPENDENCYPART_ARC
(0,26),4.052 # DEPENDENCYPART_ARC
(1,3),-0.568068 # DEPENDENCYPART_ARC
(1,5),-0.865917 # DEPENDENCYPART_ARC
(1,7),-1.41133 # DEPENDENCYPART_ARC
(1,11),-0.503051 # DEPENDENCYPART_ARC
(1,17),-2.62766 # DEPENDENCYPART_ARC
(1,18),-1.57621 # DEPENDENCYPART_ARC
(1,25),-2.6735 # DEPENDENCYPART_ARC
(2,1),1.21185 # DEPENDENCYPART_ARC
(2,3),0.257993 # DEPENDENCYPART_ARC
(2,4),-0.305268 # DEPENDENCYPART_ARC
(2,5),0.114845 # DEPENDENCYPART_ARC
(2,6),-0.189515 # DEPENDENCYPART_ARC
(2,7),-0.0396144 # DEPENDENCYPART_ARC
(2,8),-0.363802 # DEPENDENCYPART_ARC
(2,9),-2.64247 # DEPENDENCYPART_ARC
(2,10),-1.59524 # DEPENDENCYPART_ARC
(2,11),-0.740412 # DEPENDENCYPART_ARC
(2,12),-1.2952 # DEPENDENCYPART_ARC
(2,13),-2.93827 # DEPENDENCYPART_ARC
(2,14),-1.00655 # DEPENDENCYPART_ARC
(2,15),-2.43809 # DEPENDENCYPART_ARC
(2,16),-1.41522 # DEPENDENCYPART_ARC
(2,17),-3.03692 # DEPENDENCYPART_ARC
(2,18),-1.65365 # DEPENDENCYPART_ARC
(2,19),-1.68702 # DEPENDENCYPART_ARC
(2,20),-1.26858 # DEPENDENCYPART_ARC
(2,21),-3.10184 # DEPENDENCYPART_ARC
(2,22),-3.209 # DEPENDENCYPART_ARC
(2,23),-1.4415 # DEPENDENCYPART_ARC
(2,24),-2.27087 # DEPENDENCYPART_ARC
(2,25),-4.06166 # DEPENDENCYPART_ARC
(2,26),-1.36946 # DEPENDENCYPART_ARC
(3,1),2.38991 # DEPENDENCYPART_ARC
(3,2),3.76413 # DEPENDENCYPART_ARC
(3,4),0.590421 # DEPENDENCYPART_ARC
(3,5),2.56828 # DEPENDENCYPART_ARC
(3,6),-0.360349 # DEPENDENCYPART_ARC
(3,7),1.29473 # DEPENDENCYPART_ARC
(3,8),-0.0456295 # DEPENDENCYPART_ARC
(3,9),-2.38061 # DEPENDENCYPART_ARC
(3,10),0.52153 # DEPENDENCYPART_ARC
(3,11),-0.163197 # DEPENDENCYPART_ARC
(3,12),-0.760286 # DEPENDENCYPART_ARC
(3,13),-2.47236 # DEPENDENCYPART_ARC
(3,14),-0.624563 # DEPENDENCYPART_ARC
(3,15),-1.5576 # DEPENDENCYPART_ARC
(3,16),-1.16762 # DEPENDENCYPART_ARC
(3,17),-2.98552 # DEPENDENCYPART_ARC
(3,18),-1.24197 # DEPENDENCYPART_ARC
(3,19),-2.07758 # DEPENDENCYPART_ARC
(3,20),-1.77138 # DEPENDENCYPART_ARC
(3,21),-2.76088 # DEPENDENCYPART_ARC
(3,22),-1.77781 # DEPENDENCYPART_ARC
(3,23),-2.05451 # DEPENDENCYPART_ARC
(3,24),-2.05351 # DEPENDENCYPART_ARC
(3,25),-4.09023 # DEPENDENCYPART_ARC
(3,26),-0.406507 # DEPENDENCYPART_ARC
(4,3),-1.2845 # DEPENDENCYPART_ARC
(4,5),0.322188 # DEPENDENCYPART_ARC
(4,7),-0.843314 # DEPENDENCYPART_ARC
(4,11),-0.646559 # DEPENDENCYPART_ARC
(4,17),-2.49697 # DEPENDENCYPART_ARC
(4,18),-1.64542 # DEPENDENCYPART_ARC
(4,25),-2.55199 # DEPENDENCYPART_ARC
(5,1),-0.277387 # DEPENDENCYPART_ARC
(5,2),-0.687535 # DEPENDENCYPART_ARC
(5,3),-1.19582 # DEPENDENCYPART_ARC
(5,4),3.42988 # DEPENDENCYPART_ARC
(5,6),0.741575 # DEPENDENCYPART_ARC
(5,7),2.35965 # DEPENDENCYPART_ARC
(5,8),0.173615 # DEPENDENCYPART_ARC
(5,9),-2.08469 # DEPENDENCYPART_ARC
(5,10),0.469272 # DEPENDENCYPART_ARC
(5,11),-0.131592 # DEPENDENCYPART_ARC
(5,12),-0.797847 # DEPENDENCYPART_ARC
(5,13),-1.93724 # DEPENDENCYPART_ARC
(5,14),-0.660842 # DEPENDENCYPART_ARC
(5,15),-1.81362 # DEPENDENCYPART_ARC
(5,16),-1.11862 # DEPENDENCYPART_ARC
(5,17),-2.44837 # DEPENDENCYPART_ARC
(5,18),-1.43356 # DEPENDENCYPART_ARC
(5,19),-1.46699 # DEPENDENCYPART_ARC
(5,20),-1.52555 # DEPENDENCYPART_ARC
(5,21),-3.30502 # DEPENDENCYPART_ARC
(5,22),-2.34138 # DEPENDENCYPART_ARC
(5,23),-1.89618 # DEPENDENCYPART_ARC
(5,24),-1.71958 # DEPENDENCYPART_ARC
(5,25),-3.4802 # DEPENDENCYPART_ARC
(5,26),-0.51763 # DEPENDENCYPART_ARC
(6,3),-2.05784 # DEPENDENCYPART_ARC
(6,5),-0.586163 # DEPENDENCYPART_ARC
(6,7),0.184799 # DEPENDENCYPART_ARC
(6,11),-0.794053 # DEPENDENCYPART_ARC
(6,17),-2.75535 # DEPENDENCYPART_ARC
(6,18),-1.73159 # DEPENDENCYPART_ARC
(6,25),-2.66968 # DEPENDENCYPART_ARC
(7,1),-1.078 # DEPENDENCYPART_ARC
(7,2),-2.51959 # DEPENDENCYPART_ARC
(7,3),-3.28661 # DEPENDENCYPART_ARC
(7,4),0.222973 # DEPENDENCYPART_ARC
(7,5),-0.0883621 # DEPENDENCYPART_ARC
(7,6),3.42482 # DEPENDENCYPART_ARC
(7,8),0.0324762 # DEPENDENCYPART_ARC
(7,9),-1.65947 # DEPENDENCYPART_ARC
(7,10),0.734929 # DEPENDENCYPART_ARC
(7,11),-0.462631 # DEPENDENCYPART_ARC
(7,12),-1.70339 # DEPENDENCYPART_ARC
(7,13),-2.04286 # DEPENDENCYPART_ARC
(7,14),-1.04932 # DEPENDENCYPART_ARC
(7,15),-2.076 # DEPENDENCYPART_ARC
(7,16),-2.22163 # DEPENDENCYPART_ARC
(7,17),-3.33895 # DEPENDENCYPART_ARC
(7,18),-1.72346 # DEPENDENCYPART_ARC
(7,19),-2.16282 # DEPENDENCYPART_ARC
(7,20),-1.69322 # DEPENDENCYPART_ARC
(7,21),-2.84212 # DEPENDENCYPART_ARC
(7,22),-1.85715 # DEPENDENCYPART_ARC
(7,23),-2.56829 # DEPENDENCYPART_ARC
(7,24),-2.3813 # DEPENDENCYPART_ARC
(7,25),-4.25909 # DEPENDENCYPART_ARC
(7,26),-0.948778 # DEPENDENCYPART_ARC
(8,2),-0.552244 # DEPENDENCYPART_ARC
(8,3),-0.452474 # DEPENDENCYPART_ARC
(8,5),-0.173094 # DEPENDENCYPART_ARC
(8,7),-0.117409 # DEPENDENCYPART_ARC
(8,9),-0.155273 # DEPENDENCYPART_ARC
(8,10),0.189169 # DEPENDENCYPART_ARC
(8,11),0.252117 # DEPENDENCYPART_ARC
(8,12),-0.387813 # DEPENDENCYPART_ARC
(8,13),-0.328151 # DEPENDENCYPART_ARC
(8,14),0.354558 # DEPENDENCYPART_ARC
(8,15),-0.74829 # DEPENDENCYPART_ARC
(8,16),-0.51928 # DEPENDENCYPART_ARC
(8,17),-1.11064 # DEPENDENCYPART_ARC
(8,18),-0.550719 # DEPENDENCYPART_ARC
(8,20),-0.994936 # DEPENDENCYPART_ARC
(8,21),-0.822924 # DEPENDENCYPART_ARC
(8,22),-1.17052 # DEPENDENCYPART_ARC
(8,23),-0.631531 # DEPENDENCYPART_ARC
(8,25),-1.22272 # DEPENDENCYPART_ARC
(8,26),-0.158512 # DEPENDENCYPART_ARC
(9,1),-0.432206 # DEPENDENCYPART_ARC
(9,2),-3.78565 # DEPENDENCYPART_ARC
(9,4),-0.386827 # DEPENDENCYPART_ARC
(9,6),0.210557 # DEPENDENCYPART_ARC
(9,8),0.220032 # DEPENDENCYPART_ARC
(9,10),-1.20116 # DEPENDENCYPART_ARC
(9,14),-1.18026 # DEPENDENCYPART_ARC
(9,15),-3.17368 # DEPENDENCYPART_ARC
(9,19),-2.68206 # DEPENDENCYPART_ARC
(9,20),-1.73025 # DEPENDENCYPART_ARC
(9,21),-2.81266 # DEPENDENCYPART_ARC
(9,22),-2.79185 # DEPENDENCYPART_ARC
(9,24),-2.75604 # DEPENDENCYPART_ARC
(9,26),-1.54603 # DEPENDENCYPART_ARC
(10,1),-2.64731 # DEPENDENCYPART_ARC
(10,2),-1.37638 # DEPENDENCYPART_ARC
(10,3),-1.61252 # DEPENDENCYPART_ARC
(10,4),-2.63091 # DEPENDENCYPART_ARC
(10,5),-2.16242 # DEPENDENCYPART_ARC
(10,6),-2.76678 # DEPENDENCYPART_ARC
(10,7),-2.91701 # DEPENDENCYPART_ARC
(10,8),0.997098 # DEPENDENCYPART_ARC
(10,9),3.32967 # DEPENDENCYPART_ARC
(10,11),0.532285 # DEPENDENCYPART_ARC
(10,12),0.917298 # DEPENDENCYPART_ARC
(10,13),-0.590912 # DEPENDENCYPART_ARC
(10,14),0.638486 # DEPENDENCYPART_ARC
(10,15),-2.23455 # DEPENDENCYPART_ARC
(10,16),-0.994725 # DEPENDENCYPART_ARC
(10,17),-3.4334 # DEPENDENCYPART_ARC
(10,18),-1.02725 # DEPENDENCYPART_ARC
(10,19),-3.96794 # DEPENDENCYPART_ARC
(10,20),-1.71545 # DEPENDENCYPART_ARC
(10,21),-3.9465 # DEPENDENCYPART_ARC
(10,22),-4.48874 # DEPENDENCYPART_ARC
(10,23),-1.86417 # DEPENDENCYPART_ARC
(10,24),-3.33217 # DEPENDENCYPART_ARC
(10,25),-4.18948 # DEPENDENCYPART_ARC
(10,26),-0.125354 # DEPENDENCYPART_ARC
(11,1),-0.700493 # DEPENDENCYPART_ARC
(11,2),-0.571116 # DEPENDENCYPART_ARC
(11,3),-0.533064 # DEPENDENCYPART_ARC
(11,4),-0.625652 # DEPENDENCYPART_ARC
(11,5),-0.346082 # DEPENDENCYPART_ARC
(11,6),-0.224864 # DEPENDENCYPART_ARC
(11,7),-0.0914437 # DEPENDENCYPART_ARC
(11,8),0.459256 # DEPENDENCYPART_ARC
(11,9),0.977029 # DEPENDENCYPART_ARC
(11,10),1.13103 # DEPENDENCYPART_ARC
(11,12),0.585634 # DEPENDENCYPART_ARC
(11,13),0.655282 # DEPENDENCYPART_ARC
(11,14),0.451918 # DEPENDENCYPART_ARC
(11,15),0.679877 # DEPENDENCYPART_ARC
(11,16),-0.493317 # DEPENDENCYPART_ARC
(11,17),-1.81837 # DEPENDENCYPART_ARC
(11,18),-0.705264 # DEPENDENCYPART_ARC
(11,19),-1.70384 # DEPENDENCYPART_ARC
(11,20),-1.58119 # DEPENDENCYPART_ARC
(11,21),-1.30979 # DEPENDENCYPART_ARC
(11,22),-1.0245 # DEPENDENCYPART_ARC
(11,23),-0.974174 # DEPENDENCYPART_ARC
(11,24),-1.89249 # DEPENDENCYPART_ARC
(11,25),-2.78609 # DEPENDENCYPART_ARC
(11,26),-0.386662 # DEPENDENCYPART_ARC
(12,2),-1.52455 # DEPENDENCYPART_ARC
(12,3),-2.38511 # DEPENDENCYPART_ARC
(12,5),-2.52661 # DEPENDENCYPART_ARC
(12,7),-2.64735 # DEPENDENCYPART_ARC
(12,8),-0.595872 # DEPENDENCYPART_ARC
(12,9),-1.88799 # DEPENDENCYPART_ARC
(12,10),-1.71048 # DEPENDENCYPART_ARC
(12,11),1.03775 # DEPENDENCYPART_ARC
(12,13),3.58809 # DEPENDENCYPART_ARC
(12,14),0.277542 # DEPENDENCYPART_ARC
(12,15),-1.89529 # DEPENDENCYPART_ARC
(12,17),-0.458085 # DEPENDENCYPART_ARC
(12,18),-1.59601 # DEPENDENCYPART_ARC
(12,20),-2.36253 # DEPENDENCYPART_ARC
(12,21),-3.4318 # DEPENDENCYPART_ARC
(12,22),-3.79541 # DEPENDENCYPART_ARC
(12,23),-1.94848 # DEPENDENCYPART_ARC
(12,25),-4.06457 # DEPENDENCYPART_ARC
(12,26),-1.47874 # DEPENDENCYPART_ARC
(13,1),-3.14284 # DEPENDENCYPART_ARC
(13,2),-2.17641 # DEPENDENCYPART_ARC
(13,3),-2.91383 # DEPENDENCYPART_ARC
(13,4),-2.30654 # DEPENDENCYPART_ARC
(13,5),-2.7358 # DEPENDENCYPART_ARC
(13,6),-3.32948 # DEPENDENCYPART_ARC
(13,7),-3.70416 # DEPENDENCYPART_ARC
(13,8),-1.67918 # DEPENDENCYPART_ARC
(13,9),-2.97419 # DEPENDENCYPART_ARC
(13,10),-2.4477 # DEPENDENCYPART_ARC
(13,11),0.0645604 # DEPENDENCYPART_ARC
(13,12),0.165838 # DEPENDENCYPART_ARC
(13,14),-0.636298 # DEPENDENCYPART_ARC
(13,15),-0.902994 # DEPENDENCYPART_ARC
(13,16),-1.49023 # DEPENDENCYPART_ARC
(13,17),-2.37112 # DEPENDENCYPART_ARC
(13,18),-1.95662 # DEPENDENCYPART_ARC
(13,19),-2.80313 # DEPENDENCYPART_ARC
(13,20),-2.66785 # DEPENDENCYPART_ARC
(13,21),-3.16063 # DEPENDENCYPART_ARC
(13,22),-2.31456 # DEPENDENCYPART_ARC
(13,23),-2.50446 # DEPENDENCYPART_ARC
(13,24),-3.11705 # DEPENDENCYPART_ARC
(13,25),-4.14303 # DEPENDENCYPART_ARC
(13,26),-1.75607 # DEPENDENCYPART_ARC
(14,2),-0.81489 # DEPENDENCYPART_ARC
(14,3),-0.711087 # DEPENDENCYPART_ARC
(14,5),-0.543509 # DEPENDENCYPART_ARC
(14,7),-0.597169 # DEPENDENCYPART_ARC
(14,8),-0.275806 # DEPENDENCYPART_ARC
(14,9),-0.63648 # DEPENDENCYPART_ARC
(14,10),-0.333502 # DEPENDENCYPART_ARC
(14,11),0.0174122 # DEPENDENCYPART_ARC
(14,12),-0.0168094 # DEPENDENCYPART_ARC
(14,13),0.3737 # DEPENDENCYPART_ARC
(14,15),-0.287658 # DEPENDENCYPART_ARC
(14,16),-0.909664 # DEPENDENCYPART_ARC
(14,17),-0.849261 # DEPENDENCYPART_ARC
(14,18),-1.34567 # DEPENDENCYPART_ARC
(14,20),-1.62297 # DEPENDENCYPART_ARC
(14,21),-1.4948 # DEPENDENCYPART_ARC
(14,22),-1.85807 # DEPENDENCYPART_ARC
