# _root_ Τα νέα κτίσματα των τελευταίων ετών , που ανεγέρθηκαν κυρίως κοντά στις παραλίες , είναι μονόροφα ή διώροφα κυκλαδίτικα σπίτια τα περισσότερα με ιδιωτικές πισίνες .
#goldHeads=3,3,15,6,6,3,9,9,3,11,9,11,12,9,0,17,20,17,20,15,22,20,20,25,23,0,
#predictedHeads=3,3,15,6,6,3,9,9,3,9,9,11,12,15,0,17,20,20,20,15,22,20,22,25,23,0,
(0,1),-0.599901 # DEPENDENCYPART_ARC
(0,2),-0.453142 # DEPENDENCYPART_ARC
(0,3),-0.615266 # DEPENDENCYPART_ARC
(0,4),-1.24718 # DEPENDENCYPART_ARC
(0,5),-0.964587 # DEPENDENCYPART_ARC
(0,6),-1.29846 # DEPENDENCYPART_ARC
(0,7),-0.0594702 # DEPENDENCYPART_ARC
(0,8),-0.894885 # DEPENDENCYPART_ARC
(0,9),0.51387 # DEPENDENCYPART_ARC
(0,10),-1.37879 # DEPENDENCYPART_ARC
(0,11),-1.25692 # DEPENDENCYPART_ARC
(0,12),-1.94275 # DEPENDENCYPART_ARC
(0,13),-1.39934 # DEPENDENCYPART_ARC
(0,14),-0.805684 # DEPENDENCYPART_ARC
(0,15),0.899213 # DEPENDENCYPART_ARC
(0,16),-1.84122 # DEPENDENCYPART_ARC
(0,17),-1.41176 # DEPENDENCYPART_ARC
(0,18),-1.53274 # DEPENDENCYPART_ARC
(0,19),-1.66927 # DEPENDENCYPART_ARC
(0,20),-2.2188 # DEPENDENCYPART_ARC
(0,21),-2.00923 # DEPENDENCYPART_ARC
(0,22),-1.81979 # DEPENDENCYPART_ARC
(0,23),-2.48045 # DEPENDENCYPART_ARC
(0,24),-1.50106 # DEPENDENCYPART_ARC
(0,25),-2.15518 # DEPENDENCYPART_ARC
(0,26),3.97449 # DEPENDENCYPART_ARC
(1,2),-0.939714 # DEPENDENCYPART_ARC
(1,3),-0.353048 # DEPENDENCYPART_ARC
