# _root_ Η περιοχή ( ανάμεσα στη Σαγιάδα , το Ράγιο και την Ηγουμενίτσα ) φιλοξενεί έναν από τους σημαντικότερους υγροβιότοπους της Ελλάδας , στον οποίο βρίσκουν προστασία σπάνια είδη πουλιών και λουλουδιών .
#goldHeads=2,14,4,2,4,10,10,9,10,5,12,10,4,0,14,15,19,19,16,21,19,25,25,23,15,25,28,25,30,28,30,0,
#predictedHeads=2,10,4,2,4,5,10,9,10,14,12,10,14,0,14,15,19,19,16,21,19,25,25,23,19,25,28,25,30,28,30,0,
(0,2),-0.491368 # DEPENDENCYPART_ARC
(0,3),-0.15431 # DEPENDENCYPART_ARC
(0,4),-1.18268 # DEPENDENCYPART_ARC
(0,5),-1.28938 # DEPENDENCYPART_ARC
(0,6),-0.591832 # DEPENDENCYPART_ARC
(0,7),-0.339919 # DEPENDENCYPART_ARC
(0,9),-1.28051 # DEPENDENCYPART_ARC
(0,10),-0.718458 # DEPENDENCYPART_ARC
(0,12),-0.400071 # DEPENDENCYPART_ARC
(0,13),-1.46181 # DEPENDENCYPART_ARC
(0,14),1.27206 # DEPENDENCYPART_ARC
(0,16),-1.71269 # DEPENDENCYPART_ARC
(0,18),-1.97817 # DEPENDENCYPART_ARC
(0,19),-1.82122 # DEPENDENCYPART_ARC
(0,21),-1.95238 # DEPENDENCYPART_ARC
(0,22),-1.09807 # DEPENDENCYPART_ARC
(0,23),-2.44985 # DEPENDENCYPART_ARC
(0,25),-0.781513 # DEPENDENCYPART_ARC
(0,26),-1.64408 # DEPENDENCYPART_ARC
(0,27),-1.86619 # DEPENDENCYPART_ARC
(0,28),-1.92736 # DEPENDENCYPART_ARC
(0,29),-2.08882 # DEPENDENCYPART_ARC
(0,30),-1.56159 # DEPENDENCYPART_ARC
(0,31),-2.17793 # DEPENDENCYPART_ARC
(0,32),3.76983 # DEPENDENCYPART_ARC
(1,2),-0.18031 # DEPENDENCYPART_ARC
(1,4),-0.305775 # DEPENDENCYPART_ARC
(1,6),-1.31581 # DEPENDENCYPART_ARC
(1,9),-1.85595 # DEPENDENCYPART_ARC
