# _root_ Για παράδειγμα , η κατάθλιψη αυξάνει την δραστηριότητα των αιμοπεταλίων , των κυττάρων που προάγουν την θρόμβωση .
#goldHeads=6,1,6,5,6,0,8,6,10,11,8,13,11,15,13,17,15,0,
#predictedHeads=6,1,6,5,6,0,8,6,10,8,15,13,8,15,13,17,15,0,
(0,1),-0.880634 # DEPENDENCYPART_ARC
(0,2),-0.0899208 # DEPENDENCYPART_ARC
(0,3),-0.0988546 # DEPENDENCYPART_ARC
(0,4),-1.20903 # DEPENDENCYPART_ARC
(0,5),-0.793582 # DEPENDENCYPART_ARC
(0,6),1.53172 # DEPENDENCYPART_ARC
(0,7),-1.63901 # DEPENDENCYPART_ARC
(0,8),-1.52791 # DEPENDENCYPART_ARC
(0,9),-2.00694 # DEPENDENCYPART_ARC
(0,10),-1.88252 # DEPENDENCYPART_ARC
(0,11),-0.699416 # DEPENDENCYPART_ARC
(0,12),-2.07639 # DEPENDENCYPART_ARC
(0,13),-2.34795 # DEPENDENCYPART_ARC
(0,14),-1.80672 # DEPENDENCYPART_ARC
(0,15),-0.256541 # DEPENDENCYPART_ARC
(0,16),-2.07883 # DEPENDENCYPART_ARC
(0,17),-1.71612 # DEPENDENCYPART_ARC
(0,18),3.34158 # DEPENDENCYPART_ARC
(1,2),3.19612 # DEPENDENCYPART_ARC
(1,3),0.788721 # DEPENDENCYPART_ARC
(1,4),-0.782062 # DEPENDENCYPART_ARC
(1,5),-0.0472045 # DEPENDENCYPART_ARC
(1,6),-0.559589 # DEPENDENCYPART_ARC
(1,7),-1.66637 # DEPENDENCYPART_ARC
(1,8),-2.56231 # DEPENDENCYPART_ARC
(1,9),-1.78132 # DEPENDENCYPART_ARC
(1,10),-3.55706 # DEPENDENCYPART_ARC
(1,11),-0.23274 # DEPENDENCYPART_ARC
(1,12),-1.91874 # DEPENDENCYPART_ARC
(1,13),-4.70406 # DEPENDENCYPART_ARC
(1,14),-2.60916 # DEPENDENCYPART_ARC
(1,15),-2.30226 # DEPENDENCYPART_ARC
(1,16),-1.91843 # DEPENDENCYPART_ARC
(1,17),-5.88889 # DEPENDENCYPART_ARC
(1,18),-1.00235 # DEPENDENCYPART_ARC
(2,1),0.425147 # DEPENDENCYPART_ARC
(2,3),-0.075179 # DEPENDENCYPART_ARC
(2,4),-0.649814 # DEPENDENCYPART_ARC
(2,5),-0.62928 # DEPENDENCYPART_ARC
(2,6),-0.831621 # DEPENDENCYPART_ARC
(2,7),-1.82062 # DEPENDENCYPART_ARC
(2,8),-2.49794 # DEPENDENCYPART_ARC
(2,9),-1.92046 # DEPENDENCYPART_ARC
(2,10),-2.19375 # DEPENDENCYPART_ARC
(2,11),-1.33959 # DEPENDENCYPART_ARC
(2,12),-1.8863 # DEPENDENCYPART_ARC
(2,13),-3.16561 # DEPENDENCYPART_ARC
(2,14),-4.61761 # DEPENDENCYPART_ARC
(2,15),-1.93473 # DEPENDENCYPART_ARC
(2,16),-2.23912 # DEPENDENCYPART_ARC
(2,17),-3.99088 # DEPENDENCYPART_ARC
(2,18),-1.32153 # DEPENDENCYPART_ARC
(3,1),-0.251578 # DEPENDENCYPART_ARC
(3,2),0.613625 # DEPENDENCYPART_ARC
(3,4),-0.250679 # DEPENDENCYPART_ARC
(3,5),0.0596431 # DEPENDENCYPART_ARC
(3,6),-0.171399 # DEPENDENCYPART_ARC
(3,7),-1.27628 # DEPENDENCYPART_ARC
(3,8),-0.74468 # DEPENDENCYPART_ARC
(3,9),-1.33847 # DEPENDENCYPART_ARC
(3,10),-1.0675 # DEPENDENCYPART_ARC
(3,11),-0.654793 # DEPENDENCYPART_ARC
(3,12),-1.52111 # DEPENDENCYPART_ARC
(3,13),-1.18254 # DEPENDENCYPART_ARC
(3,14),-2.1377 # DEPENDENCYPART_ARC
(3,15),-0.958524 # DEPENDENCYPART_ARC
(3,16),-1.6525 # DEPENDENCYPART_ARC
(3,17),-1.44016 # DEPENDENCYPART_ARC
(3,18),-0.855582 # DEPENDENCYPART_ARC
(4,1),-0.980308 # DEPENDENCYPART_ARC
(4,2),-1.42348 # DEPENDENCYPART_ARC
(4,3),-0.511721 # DEPENDENCYPART_ARC
(4,5),-0.244777 # DEPENDENCYPART_ARC
(4,6),-1.92961 # DEPENDENCYPART_ARC
(4,7),-1.37163 # DEPENDENCYPART_ARC
(4,8),-1.57072 # DEPENDENCYPART_ARC
(4,9),-1.75442 # DEPENDENCYPART_ARC
(4,10),-1.76326 # DEPENDENCYPART_ARC
(4,11),-0.90448 # DEPENDENCYPART_ARC
(4,12),-1.89749 # DEPENDENCYPART_ARC
(4,13),-1.89095 # DEPENDENCYPART_ARC
(4,14),-2.45568 # DEPENDENCYPART_ARC
(4,15),-3.38755 # DEPENDENCYPART_ARC
(4,16),-1.97701 # DEPENDENCYPART_ARC
(4,17),-2.34755 # DEPENDENCYPART_ARC
(4,18),-1.08917 # DEPENDENCYPART_ARC
(5,1),-0.769846 # DEPENDENCYPART_ARC
(5,2),-1.20709 # DEPENDENCYPART_ARC
(5,3),-0.151744 # DEPENDENCYPART_ARC
(5,4),3.38414 # DEPENDENCYPART_ARC
(5,6),-0.49115 # DEPENDENCYPART_ARC
(5,7),-1.19242 # DEPENDENCYPART_ARC
(5,8),-1.26205 # DEPENDENCYPART_ARC
(5,9),-1.70163 # DEPENDENCYPART_ARC
(5,10),-0.489592 # DEPENDENCYPART_ARC
(5,11),-0.797506 # DEPENDENCYPART_ARC
(5,12),-1.99266 # DEPENDENCYPART_ARC
(5,13),-1.88386 # DEPENDENCYPART_ARC
(5,14),-3.13558 # DEPENDENCYPART_ARC
(5,15),-1.59424 # DEPENDENCYPART_ARC
(5,16),-2.28045 # DEPENDENCYPART_ARC
(5,17),-3.43314 # DEPENDENCYPART_ARC
(5,18),-0.904394 # DEPENDENCYPART_ARC
(6,1),1.60986 # DEPENDENCYPART_ARC
(6,2),-0.553277 # DEPENDENCYPART_ARC
(6,3),1.6815 # DEPENDENCYPART_ARC
(6,4),-0.119892 # DEPENDENCYPART_ARC
(6,5),2.7779 # DEPENDENCYPART_ARC
(6,7),-0.22746 # DEPENDENCYPART_ARC
(6,8),2.44892 # DEPENDENCYPART_ARC
(6,9),-2.24525 # DEPENDENCYPART_ARC
(6,10),-1.48001 # DEPENDENCYPART_ARC
(6,11),0.348357 # DEPENDENCYPART_ARC
(6,12),-2.8078 # DEPENDENCYPART_ARC
(6,13),-2.65193 # DEPENDENCYPART_ARC
