# _root_ Πιο μακροπρόθεσμα , όταν η νομοθεσία αρχίσει να γίνεται περισσότερο σεβαστή , θα μπορέσει ίσως να αρθεί αυτή η απαγόρευση .
#goldHeads=2,14,4,14,6,9,4,9,7,11,9,14,14,0,14,17,14,20,20,17,0,
#predictedHeads=2,7,7,0,6,7,4,9,7,11,9,14,14,9,14,17,14,20,20,17,0,
(0,1),-0.445167 # DEPENDENCYPART_ARC
(0,2),-0.291402 # DEPENDENCYPART_ARC
(0,3),0.203122 # DEPENDENCYPART_ARC
(0,4),-0.437275 # DEPENDENCYPART_ARC
(0,6),-0.778042 # DEPENDENCYPART_ARC
(0,7),0.220403 # DEPENDENCYPART_ARC
(0,9),-0.601638 # DEPENDENCYPART_ARC
(0,10),-0.774711 # DEPENDENCYPART_ARC
(0,11),-1.54269 # DEPENDENCYPART_ARC
(0,12),-0.333382 # DEPENDENCYPART_ARC
(0,14),-1.45797 # DEPENDENCYPART_ARC
(0,15),-1.02659 # DEPENDENCYPART_ARC
(0,17),-1.40245 # DEPENDENCYPART_ARC
(0,18),-1.7554 # DEPENDENCYPART_ARC
(0,20),-1.40095 # DEPENDENCYPART_ARC
(0,21),3.15935 # DEPENDENCYPART_ARC
(1,2),0.395422 # DEPENDENCYPART_ARC
(1,3),0.0855866 # DEPENDENCYPART_ARC
(1,4),0.136386 # DEPENDENCYPART_ARC
(1,5),-0.995507 # DEPENDENCYPART_ARC
(1,6),-0.652899 # DEPENDENCYPART_ARC
(1,7),-0.755788 # DEPENDENCYPART_ARC
(1,9),-1.07244 # DEPENDENCYPART_ARC
(1,10),-1.27969 # DEPENDENCYPART_ARC
(1,11),-1.84569 # DEPENDENCYPART_ARC
(1,12),-0.797652 # DEPENDENCYPART_ARC
(1,13),-1.48047 # DEPENDENCYPART_ARC
(1,14),-1.40581 # DEPENDENCYPART_ARC
(1,15),-1.37522 # DEPENDENCYPART_ARC
(1,17),-1.62877 # DEPENDENCYPART_ARC
(1,18),-2.43283 # DEPENDENCYPART_ARC
(1,19),-2.01505 # DEPENDENCYPART_ARC
(1,20),-2.26969 # DEPENDENCYPART_ARC
(1,21),-1.20887 # DEPENDENCYPART_ARC
(2,1),1.39891 # DEPENDENCYPART_ARC
(2,3),0.357502 # DEPENDENCYPART_ARC
(2,4),-0.00468462 # DEPENDENCYPART_ARC
(2,5),-1.08096 # DEPENDENCYPART_ARC
(2,6),-0.797278 # DEPENDENCYPART_ARC
(2,7),-0.882111 # DEPENDENCYPART_ARC
(2,9),-1.36157 # DEPENDENCYPART_ARC
(2,10),-1.55156 # DEPENDENCYPART_ARC
(2,11),-2.31425 # DEPENDENCYPART_ARC
(2,12),-0.841434 # DEPENDENCYPART_ARC
(2,13),-1.79282 # DEPENDENCYPART_ARC
(2,14),-1.6646 # DEPENDENCYPART_ARC
(2,15),-1.73263 # DEPENDENCYPART_ARC
(2,17),-1.72703 # DEPENDENCYPART_ARC
(2,18),-2.85216 # DEPENDENCYPART_ARC
(2,19),-2.35096 # DEPENDENCYPART_ARC
(2,20),-2.44395 # DEPENDENCYPART_ARC
(2,21),-1.47456 # DEPENDENCYPART_ARC
(3,1),-0.141447 # DEPENDENCYPART_ARC
(3,2),0.446323 # DEPENDENCYPART_ARC
(3,4),-0.152484 # DEPENDENCYPART_ARC
(3,6),-0.510292 # DEPENDENCYPART_ARC
(3,7),-0.58655 # DEPENDENCYPART_ARC
(3,8),-1.57578 # DEPENDENCYPART_ARC
(3,9),-1.38203 # DEPENDENCYPART_ARC
(3,10),-1.34369 # DEPENDENCYPART_ARC
(3,11),-1.60335 # DEPENDENCYPART_ARC
(3,12),-0.846653 # DEPENDENCYPART_ARC
(3,14),-1.77129 # DEPENDENCYPART_ARC
(3,15),-1.44544 # DEPENDENCYPART_ARC
(3,16),-1.9451 # DEPENDENCYPART_ARC
(3,17),-2.00444 # DEPENDENCYPART_ARC
(3,20),-2.19536 # DEPENDENCYPART_ARC
(3,21),-1.09665 # DEPENDENCYPART_ARC
(4,1),-0.315275 # DEPENDENCYPART_ARC
(4,2),-0.497788 # DEPENDENCYPART_ARC
(4,3),0.821088 # DEPENDENCYPART_ARC
(4,5),0.540774 # DEPENDENCYPART_ARC
(4,7),2.62258 # DEPENDENCYPART_ARC
(4,9),0.600311 # DEPENDENCYPART_ARC
(4,10),-0.233223 # DEPENDENCYPART_ARC
(4,11),-0.578765 # DEPENDENCYPART_ARC
(4,12),0.485089 # DEPENDENCYPART_ARC
(4,14),-0.406591 # DEPENDENCYPART_ARC
(4,15),-0.476088 # DEPENDENCYPART_ARC
(4,17),-1.14725 # DEPENDENCYPART_ARC
(4,18),-0.72852 # DEPENDENCYPART_ARC
(4,19),-1.07373 # DEPENDENCYPART_ARC
(4,21),0.145366 # DEPENDENCYPART_ARC
(5,1),-1.81104 # DEPENDENCYPART_ARC
(5,2),-1.58331 # DEPENDENCYPART_ARC
(5,6),-0.413201 # DEPENDENCYPART_ARC
(5,10),-1.33782 # DEPENDENCYPART_ARC
(5,15),-1.48275 # DEPENDENCYPART_ARC
(5,18),-2.34043 # DEPENDENCYPART_ARC
(5,20),-2.70376 # DEPENDENCYPART_ARC
(6,1),-0.912506 # DEPENDENCYPART_ARC
(6,2),-0.789414 # DEPENDENCYPART_ARC
(6,3),-0.710874 # DEPENDENCYPART_ARC
(6,4),0.0825004 # DEPENDENCYPART_ARC
(6,5),2.99679 # DEPENDENCYPART_ARC
(6,7),0.125737 # DEPENDENCYPART_ARC
(6,8),-0.927955 # DEPENDENCYPART_ARC
(6,9),-1.48832 # DEPENDENCYPART_ARC
(6,10),-1.04923 # DEPENDENCYPART_ARC
(6,11),-1.5314 # DEPENDENCYPART_ARC
(6,12),-0.830005 # DEPENDENCYPART_ARC
(6,14),-3.088 # DEPENDENCYPART_ARC
(6,15),-1.65003 # DEPENDENCYPART_ARC
(6,16),-1.85183 # DEPENDENCYPART_ARC
(6,17),-3.54831 # DEPENDENCYPART_ARC
(6,18),-1.34349 # DEPENDENCYPART_ARC
(6,19),-2.52993 # DEPENDENCYPART_ARC
(6,20),-2.55761 # DEPENDENCYPART_ARC
(6,21),-0.733288 # DEPENDENCYPART_ARC
(7,1),1.13934 # DEPENDENCYPART_ARC
(7,2),0.873756 # DEPENDENCYPART_ARC
(7,3),1.18145 # DEPENDENCYPART_ARC
(7,4),1.12275 # DEPENDENCYPART_ARC
(7,5),0.515267 # DEPENDENCYPART_ARC
(7,6),2.58969 # DEPENDENCYPART_ARC
(7,8),0.876081 # DEPENDENCYPART_ARC
(7,9),2.0108 # DEPENDENCYPART_ARC
(7,10),1.44202 # DEPENDENCYPART_ARC
(7,11),-0.59289 # DEPENDENCYPART_ARC
(7,12),0.592064 # DEPENDENCYPART_ARC
(7,13),-0.508342 # DEPENDENCYPART_ARC
(7,14),-0.368852 # DEPENDENCYPART_ARC
(7,15),-0.028077 # DEPENDENCYPART_ARC
(7,16),-0.86786 # DEPENDENCYPART_ARC
(7,17),-0.206443 # DEPENDENCYPART_ARC
(7,18),-2.03602 # DEPENDENCYPART_ARC
(7,19),-3.62524 # DEPENDENCYPART_ARC
(7,20),-0.872499 # DEPENDENCYPART_ARC
(7,21),0.52401 # DEPENDENCYPART_ARC
