# _root_ Στα νερά του , ο επισκέπτης μπορεί να κάνει καγιάκ ή ράφτινγκ , ενώ η γύρω περιοχή είναι ιδανική για περιηγητικούς περιπάτους στη φύση .
#goldHeads=7,1,2,7,6,7,14,9,7,11,9,11,14,0,17,17,18,14,18,19,22,20,22,23,0,
#predictedHeads=7,1,2,7,6,7,0,9,7,9,9,11,14,0,17,17,18,14,18,19,22,20,22,23,0,
(0,1),-0.864306 # DEPENDENCYPART_ARC
(0,2),-0.422216 # DEPENDENCYPART_ARC
(0,4),-0.391077 # DEPENDENCYPART_ARC
(0,6),-1.14054 # DEPENDENCYPART_ARC
(0,7),1.29912 # DEPENDENCYPART_ARC
(0,9),-0.593845 # DEPENDENCYPART_ARC
(0,10),-1.48657 # DEPENDENCYPART_ARC
(0,11),-1.33805 # DEPENDENCYPART_ARC
(0,12),-1.3004 # DEPENDENCYPART_ARC
(0,13),-0.497044 # DEPENDENCYPART_ARC
(0,14),0.829465 # DEPENDENCYPART_ARC
(0,16),-1.3166 # DEPENDENCYPART_ARC
(0,17),-1.68491 # DEPENDENCYPART_ARC
(0,18),0.206831 # DEPENDENCYPART_ARC
(0,19),-1.7814 # DEPENDENCYPART_ARC
(0,20),-3.73117 # DEPENDENCYPART_ARC
(0,21),-1.98971 # DEPENDENCYPART_ARC
(0,22),-2.00304 # DEPENDENCYPART_ARC
(0,23),-2.7439 # DEPENDENCYPART_ARC
(0,24),-1.5824 # DEPENDENCYPART_ARC
(0,25),3.57278 # DEPENDENCYPART_ARC
(1,2),3.10777 # DEPENDENCYPART_ARC
(1,4),0.446789 # DEPENDENCYPART_ARC
(1,6),-0.991215 # DEPENDENCYPART_ARC
(1,7),-1.95445 # DEPENDENCYPART_ARC
(1,9),-2.61701 # DEPENDENCYPART_ARC
(1,10),-2.6109 # DEPENDENCYPART_ARC
(1,11),-0.628176 # DEPENDENCYPART_ARC
(1,12),-3.0667 # DEPENDENCYPART_ARC
(1,13),-0.694142 # DEPENDENCYPART_ARC
(1,14),-1.49718 # DEPENDENCYPART_ARC
(1,16),-1.96998 # DEPENDENCYPART_ARC
(1,17),-5.00016 # DEPENDENCYPART_ARC
(1,18),-3.09113 # DEPENDENCYPART_ARC
(1,19),-1.54968 # DEPENDENCYPART_ARC
(1,20),-2.04561 # DEPENDENCYPART_ARC
(1,21),-2.04291 # DEPENDENCYPART_ARC
(1,22),-5.01687 # DEPENDENCYPART_ARC
(1,24),-5.41654 # DEPENDENCYPART_ARC
(1,25),-1.6043 # DEPENDENCYPART_ARC
(2,1),-0.574642 # DEPENDENCYPART_ARC
(2,3),3.00874 # DEPENDENCYPART_ARC
(2,4),-0.12372 # DEPENDENCYPART_ARC
(2,5),-1.02516 # DEPENDENCYPART_ARC
(2,6),-0.391001 # DEPENDENCYPART_ARC
(2,7),-0.132275 # DEPENDENCYPART_ARC
(2,8),-1.38221 # DEPENDENCYPART_ARC
(2,9),-1.5032 # DEPENDENCYPART_ARC
(2,10),-2.40168 # DEPENDENCYPART_ARC
(2,11),-0.369299 # DEPENDENCYPART_ARC
(2,12),-2.80724 # DEPENDENCYPART_ARC
(2,13),-0.974632 # DEPENDENCYPART_ARC
(2,14),-0.677426 # DEPENDENCYPART_ARC
(2,15),-2.17711 # DEPENDENCYPART_ARC
(2,16),-1.33176 # DEPENDENCYPART_ARC
(2,17),-3.31002 # DEPENDENCYPART_ARC
(2,18),-3.39445 # DEPENDENCYPART_ARC
(2,19),-1.6646 # DEPENDENCYPART_ARC
(2,20),-1.88969 # DEPENDENCYPART_ARC
(2,21),-1.66797 # DEPENDENCYPART_ARC
(2,22),-4.64019 # DEPENDENCYPART_ARC
(2,23),-2.48253 # DEPENDENCYPART_ARC
(2,24),-4.5012 # DEPENDENCYPART_ARC
(2,25),-0.758616 # DEPENDENCYPART_ARC
(4,1),0.126256 # DEPENDENCYPART_ARC
(4,2),0.655205 # DEPENDENCYPART_ARC
(4,6),-0.0150955 # DEPENDENCYPART_ARC
(4,7),-0.0646607 # DEPENDENCYPART_ARC
(4,8),-1.07065 # DEPENDENCYPART_ARC
(4,9),-1.09857 # DEPENDENCYPART_ARC
(4,10),-1.30972 # DEPENDENCYPART_ARC
(4,11),-0.466913 # DEPENDENCYPART_ARC
(4,12),-1.41156 # DEPENDENCYPART_ARC
(4,13),-0.441642 # DEPENDENCYPART_ARC
(4,14),-0.130356 # DEPENDENCYPART_ARC
(4,16),-1.00821 # DEPENDENCYPART_ARC
(4,17),-1.74645 # DEPENDENCYPART_ARC
(4,18),-1.11925 # DEPENDENCYPART_ARC
(4,19),-1.56612 # DEPENDENCYPART_ARC
(4,20),-1.68699 # DEPENDENCYPART_ARC
(4,21),-1.49083 # DEPENDENCYPART_ARC
(4,22),-1.96967 # DEPENDENCYPART_ARC
(4,23),-1.31248 # DEPENDENCYPART_ARC
(4,24),-1.88734 # DEPENDENCYPART_ARC
(4,25),-0.897055 # DEPENDENCYPART_ARC
(5,2),-1.55178 # DEPENDENCYPART_ARC
(5,6),0.0169418 # DEPENDENCYPART_ARC
(5,10),-1.69689 # DEPENDENCYPART_ARC
(5,11),-0.635154 # DEPENDENCYPART_ARC
(5,12),-2.15826 # DEPENDENCYPART_ARC
(5,14),-0.765291 # DEPENDENCYPART_ARC
(5,16),-1.27237 # DEPENDENCYPART_ARC
(5,17),-2.48048 # DEPENDENCYPART_ARC
(5,22),-2.61186 # DEPENDENCYPART_ARC
(5,24),-2.76297 # DEPENDENCYPART_ARC
(6,1),-2.33121 # DEPENDENCYPART_ARC
(6,2),-2.15455 # DEPENDENCYPART_ARC
(6,3),-0.187976 # DEPENDENCYPART_ARC
(6,4),-0.199215 # DEPENDENCYPART_ARC
(6,5),2.99115 # DEPENDENCYPART_ARC
(6,7),-0.879866 # DEPENDENCYPART_ARC
(6,8),-1.00102 # DEPENDENCYPART_ARC
(6,9),-1.69205 # DEPENDENCYPART_ARC
(6,10),-1.00455 # DEPENDENCYPART_ARC
(6,11),-0.541496 # DEPENDENCYPART_ARC
(6,12),-2.01396 # DEPENDENCYPART_ARC
(6,13),-0.990073 # DEPENDENCYPART_ARC
(6,14),-0.957315 # DEPENDENCYPART_ARC
(6,15),-2.4463 # DEPENDENCYPART_ARC
(6,16),-1.29682 # DEPENDENCYPART_ARC
(6,17),-2.80362 # DEPENDENCYPART_ARC
(6,18),-4.56821 # DEPENDENCYPART_ARC
(6,19),-2.56881 # DEPENDENCYPART_ARC
(6,20),-1.874 # DEPENDENCYPART_ARC
(6,21),-2.9078 # DEPENDENCYPART_ARC
(6,22),-4.06405 # DEPENDENCYPART_ARC
(6,23),-2.27563 # DEPENDENCYPART_ARC
(6,24),-3.98604 # DEPENDENCYPART_ARC
(6,25),-0.755085 # DEPENDENCYPART_ARC
(7,1),1.10487 # DEPENDENCYPART_ARC
(7,2),-1.01908 # DEPENDENCYPART_ARC
(7,3),-3.18158 # DEPENDENCYPART_ARC
(7,4),1.20427 # DEPENDENCYPART_ARC
(7,5),-0.280836 # DEPENDENCYPART_ARC
(7,6),2.93923 # DEPENDENCYPART_ARC
(7,8),0.773489 # DEPENDENCYPART_ARC
(7,9),3.52533 # DEPENDENCYPART_ARC
(7,10),1.1108 # DEPENDENCYPART_ARC
(7,11),0.701483 # DEPENDENCYPART_ARC
(7,12),0.184467 # DEPENDENCYPART_ARC
(7,13),0.397131 # DEPENDENCYPART_ARC
(7,14),0.658854 # DEPENDENCYPART_ARC
(7,15),-2.96339 # DEPENDENCYPART_ARC
(7,16),-0.294176 # DEPENDENCYPART_ARC
(7,17),-1.43851 # DEPENDENCYPART_ARC
(7,18),-2.59278 # DEPENDENCYPART_ARC
(7,19),-1.11489 # DEPENDENCYPART_ARC
(7,20),-0.988327 # DEPENDENCYPART_ARC
(7,21),-3.05423 # DEPENDENCYPART_ARC
(7,22),-1.72113 # DEPENDENCYPART_ARC
(7,23),-1.45867 # DEPENDENCYPART_ARC
(7,24),-2.75799 # DEPENDENCYPART_ARC
(7,25),0.00608676 # DEPENDENCYPART_ARC
(8,2),-1.66664 # DEPENDENCYPART_ARC
(8,4),-1.1116 # DEPENDENCYPART_ARC
(8,5),-0.737901 # DEPENDENCYPART_ARC
(8,6),-1.08687 # DEPENDENCYPART_ARC
(8,7),-0.331357 # DEPENDENCYPART_ARC
(8,9),0.238026 # DEPENDENCYPART_ARC
(8,10),-0.381443 # DEPENDENCYPART_ARC
(8,12),-1.07603 # DEPENDENCYPART_ARC
(8,13),-0.842258 # DEPENDENCYPART_ARC
(8,15),-1.5501 # DEPENDENCYPART_ARC
(8,17),-1.68514 # DEPENDENCYPART_ARC
(8,18),-1.4545 # DEPENDENCYPART_ARC
(8,22),-1.73338 # DEPENDENCYPART_ARC
(8,24),-1.95414 # DEPENDENCYPART_ARC
(8,25),-1.06527 # DEPENDENCYPART_ARC
(9,1),-0.0766611 # DEPENDENCYPART_ARC
(9,2),-1.75597 # DEPENDENCYPART_ARC
(9,3),-3.43574 # DEPENDENCYPART_ARC
(9,4),-0.0944634 # DEPENDENCYPART_ARC
(9,5),-1.57864 # DEPENDENCYPART_ARC
(9,6),1.72109 # DEPENDENCYPART_ARC
(9,7),-0.776175 # DEPENDENCYPART_ARC
(9,8),2.6712 # DEPENDENCYPART_ARC
(9,10),3.20296 # DEPENDENCYPART_ARC
(9,11),1.31416 # DEPENDENCYPART_ARC
(9,12),1.12482 # DEPENDENCYPART_ARC
(9,13),0.634815 # DEPENDENCYPART_ARC
(9,14),0.724212 # DEPENDENCYPART_ARC
(9,15),-2.56075 # DEPENDENCYPART_ARC
(9,16),-0.243563 # DEPENDENCYPART_ARC
(9,17),-1.04609 # DEPENDENCYPART_ARC
(9,18),-2.81951 # DEPENDENCYPART_ARC
(9,19),-1.33512 # DEPENDENCYPART_ARC
(9,20),-0.968513 # DEPENDENCYPART_ARC
(9,21),-3.35215 # DEPENDENCYPART_ARC
(9,22),-1.58034 # DEPENDENCYPART_ARC
(9,23),-1.00266 # DEPENDENCYPART_ARC
(9,24),-2.98093 # DEPENDENCYPART_ARC
(9,25),-0.465667 # DEPENDENCYPART_ARC
(10,1),-2.15731 # DEPENDENCYPART_ARC
(10,2),-2.5908 # DEPENDENCYPART_ARC
(10,3),-2.41493 # DEPENDENCYPART_ARC
(10,4),-1.46439 # DEPENDENCYPART_ARC
(10,5),-0.485486 # DEPENDENCYPART_ARC
(10,6),-1.19486 # DEPENDENCYPART_ARC
(10,7),-2.72359 # DEPENDENCYPART_ARC
(10,8),0.278139 # DEPENDENCYPART_ARC
(10,9),-0.98566 # DEPENDENCYPART_ARC
(10,11),0.191379 # DEPENDENCYPART_ARC
(10,12),-0.116937 # DEPENDENCYPART_ARC
(10,13),-0.574877 # DEPENDENCYPART_ARC
(10,14),-0.803842 # DEPENDENCYPART_ARC
(10,15),-1.665 # DEPENDENCYPART_ARC
(10,16),-1.16341 # DEPENDENCYPART_ARC
(10,17),-2.16889 # DEPENDENCYPART_ARC
(10,18),-2.70208 # DEPENDENCYPART_ARC
(10,19),-2.19683 # DEPENDENCYPART_ARC
(10,20),-1.674 # DEPENDENCYPART_ARC
(10,21),-2.5324 # DEPENDENCYPART_ARC
(10,22),-3.63822 # DEPENDENCYPART_ARC
(10,23),-2.29563 # DEPENDENCYPART_ARC
(10,24),-3.78217 # DEPENDENCYPART_ARC
(10,25),-0.993873 # DEPENDENCYPART_ARC
(11,1),-0.628844 # DEPENDENCYPART_ARC
(11,2),0.716036 # DEPENDENCYPART_ARC
(11,3),0.23969 # DEPENDENCYPART_ARC
(11,4),0.461702 # DEPENDENCYPART_ARC
(11,5),0.019145 # DEPENDENCYPART_ARC
(11,6),0.409171 # DEPENDENCYPART_ARC
(11,7),0.339837 # DEPENDENCYPART_ARC
(11,8),0.516921 # DEPENDENCYPART_ARC
(11,9),0.772857 # DEPENDENCYPART_ARC
(11,10),2.8644 # DEPENDENCYPART_ARC
(11,12),2.69838 # DEPENDENCYPART_ARC
(11,13),0.657777 # DEPENDENCYPART_ARC
(11,14),0.523593 # DEPENDENCYPART_ARC
(11,15),-0.666628 # DEPENDENCYPART_ARC
(11,16),-0.160319 # DEPENDENCYPART_ARC
(11,17),0.15496 # DEPENDENCYPART_ARC
(11,18),0.386564 # DEPENDENCYPART_ARC
