# _root_ Ωστόσο , έχουμε παράλληλα επίγνωση του γεγονότος ότι η παρούσα οδηγία είναι μεν σημαντική και ενδιαφέρουσα , αλλά δεν λύνει δυστυχώς ακόμα όλα τα προβλήματα .
#goldHeads=0,3,1,3,3,7,5,7,11,11,12,18,12,15,12,15,18,8,20,18,20,20,25,25,20,0,
#predictedHeads=0,1,1,3,3,7,5,5,11,11,12,8,14,15,18,15,18,12,20,18,20,23,25,25,20,0,
(0,1),0.773498 # DEPENDENCYPART_ARC
(0,2),-0.433313 # DEPENDENCYPART_ARC
(0,3),1.25745 # DEPENDENCYPART_ARC
(0,4),-1.21104 # DEPENDENCYPART_ARC
(0,5),-0.952902 # DEPENDENCYPART_ARC
(0,7),-1.73523 # DEPENDENCYPART_ARC
(0,8),-1.81431 # DEPENDENCYPART_ARC
(0,10),-1.51982 # DEPENDENCYPART_ARC
(0,11),-1.81225 # DEPENDENCYPART_ARC
(0,12),0.0123604 # DEPENDENCYPART_ARC
(0,13),-1.25123 # DEPENDENCYPART_ARC
(0,14),-1.59436 # DEPENDENCYPART_ARC
(0,15),-1.16901 # DEPENDENCYPART_ARC
(0,16),-1.88093 # DEPENDENCYPART_ARC
(0,17),-0.727739 # DEPENDENCYPART_ARC
(0,18),-0.2872 # DEPENDENCYPART_ARC
(0,20),-1.25919 # DEPENDENCYPART_ARC
(0,21),-1.23612 # DEPENDENCYPART_ARC
(0,22),-1.1569 # DEPENDENCYPART_ARC
(0,23),-2.05211 # DEPENDENCYPART_ARC
(0,25),-1.77886 # DEPENDENCYPART_ARC
(0,26),3.69492 # DEPENDENCYPART_ARC
(1,2),1.31203 # DEPENDENCYPART_ARC
(1,3),2.3688 # DEPENDENCYPART_ARC
(1,4),-0.216278 # DEPENDENCYPART_ARC
(1,5),-0.638666 # DEPENDENCYPART_ARC
(1,6),-1.23671 # DEPENDENCYPART_ARC
(1,7),-1.44765 # DEPENDENCYPART_ARC
(1,8),-0.123268 # DEPENDENCYPART_ARC
(1,9),-1.47164 # DEPENDENCYPART_ARC
(1,10),-1.08371 # DEPENDENCYPART_ARC
(1,11),-1.55872 # DEPENDENCYPART_ARC
