# _root_ Σε ποσοστό 76,73% οι Ισπανοί είπαν ηχηρό " ναι " υπέρ του Ευρωπαϊκού Συντάγματος , στο δημοψήφισμα που διενεργήθηκε την Κυριακή .
#goldHeads=6,1,2,5,6,0,9,9,6,9,9,14,14,11,6,6,16,19,17,21,19,0,
#predictedHeads=6,1,2,5,6,0,6,9,6,9,6,14,14,11,11,6,16,19,17,21,19,0,
(0,1),-1.0199 # DEPENDENCYPART_ARC
(0,2),-0.387373 # DEPENDENCYPART_ARC
(0,3),-0.671676 # DEPENDENCYPART_ARC
(0,5),-1.18301 # DEPENDENCYPART_ARC
(0,6),1.18207 # DEPENDENCYPART_ARC
(0,7),-1.8311 # DEPENDENCYPART_ARC
(0,8),-0.288858 # DEPENDENCYPART_ARC
(0,9),-1.15636 # DEPENDENCYPART_ARC
(0,10),-0.253026 # DEPENDENCYPART_ARC
(0,11),-1.874 # DEPENDENCYPART_ARC
(0,13),-2.22172 # DEPENDENCYPART_ARC
(0,14),-1.93633 # DEPENDENCYPART_ARC
(0,15),-0.717385 # DEPENDENCYPART_ARC
(0,16),-2.39194 # DEPENDENCYPART_ARC
(0,17),-1.82918 # DEPENDENCYPART_ARC
(0,19),-0.222384 # DEPENDENCYPART_ARC
(0,21),-1.58129 # DEPENDENCYPART_ARC
(0,22),2.68808 # DEPENDENCYPART_ARC
(1,2),2.97632 # DEPENDENCYPART_ARC
(1,3),0.572547 # DEPENDENCYPART_ARC
(1,4),-0.942305 # DEPENDENCYPART_ARC
(1,5),-0.0861822 # DEPENDENCYPART_ARC
(1,6),-0.728006 # DEPENDENCYPART_ARC
(1,7),-1.38447 # DEPENDENCYPART_ARC
(1,8),-0.552345 # DEPENDENCYPART_ARC
(1,9),-1.16885 # DEPENDENCYPART_ARC
(1,10),-0.742692 # DEPENDENCYPART_ARC
(1,11),-1.32593 # DEPENDENCYPART_ARC
(1,12),-2.19309 # DEPENDENCYPART_ARC
(1,13),-1.65572 # DEPENDENCYPART_ARC
(1,14),-2.79709 # DEPENDENCYPART_ARC
(1,15),-0.76715 # DEPENDENCYPART_ARC
(1,17),-3.29775 # DEPENDENCYPART_ARC
(1,18),-3.01413 # DEPENDENCYPART_ARC
(1,19),-2.51201 # DEPENDENCYPART_ARC
(1,20),-2.30565 # DEPENDENCYPART_ARC
(1,21),-1.62472 # DEPENDENCYPART_ARC
(1,22),-1.45072 # DEPENDENCYPART_ARC
(2,1),0.130977 # DEPENDENCYPART_ARC
(2,3),1.34338 # DEPENDENCYPART_ARC
(2,4),-0.176933 # DEPENDENCYPART_ARC
(2,5),0.230234 # DEPENDENCYPART_ARC
(2,6),-0.257847 # DEPENDENCYPART_ARC
(2,7),-0.762704 # DEPENDENCYPART_ARC
(2,8),0.0691274 # DEPENDENCYPART_ARC
(2,9),-0.733328 # DEPENDENCYPART_ARC
(2,10),-0.224021 # DEPENDENCYPART_ARC
(2,11),-1.0681 # DEPENDENCYPART_ARC
(2,12),-1.35127 # DEPENDENCYPART_ARC
(2,13),-1.10871 # DEPENDENCYPART_ARC
(2,14),-0.537156 # DEPENDENCYPART_ARC
(2,15),-0.68115 # DEPENDENCYPART_ARC
(2,16),-1.62011 # DEPENDENCYPART_ARC
(2,17),-2.6859 # DEPENDENCYPART_ARC
(2,18),-3.78971 # DEPENDENCYPART_ARC
(2,19),-0.488951 # DEPENDENCYPART_ARC
(2,20),-1.61551 # DEPENDENCYPART_ARC
(2,21),-1.12917 # DEPENDENCYPART_ARC
(2,22),-0.613578 # DEPENDENCYPART_ARC
(3,1),0.139942 # DEPENDENCYPART_ARC
(3,2),0.190588 # DEPENDENCYPART_ARC
(3,4),0.407714 # DEPENDENCYPART_ARC
(3,5),0.592899 # DEPENDENCYPART_ARC
(3,6),-0.190254 # DEPENDENCYPART_ARC
(3,7),-0.883946 # DEPENDENCYPART_ARC
(3,8),-0.594443 # DEPENDENCYPART_ARC
(3,9),-0.496491 # DEPENDENCYPART_ARC
(3,10),-0.555824 # DEPENDENCYPART_ARC
(3,11),-0.986557 # DEPENDENCYPART_ARC
(3,12),-1.26912 # DEPENDENCYPART_ARC
(3,13),-1.29204 # DEPENDENCYPART_ARC
(3,14),-0.93245 # DEPENDENCYPART_ARC
(3,15),-0.925466 # DEPENDENCYPART_ARC
(3,17),-1.12441 # DEPENDENCYPART_ARC
(3,19),-1.54934 # DEPENDENCYPART_ARC
(3,20),-1.46035 # DEPENDENCYPART_ARC
(3,22),-0.988671 # DEPENDENCYPART_ARC
(4,2),-1.37969 # DEPENDENCYPART_ARC
(4,9),-1.1482 # DEPENDENCYPART_ARC
(4,14),-1.91402 # DEPENDENCYPART_ARC
(4,17),-2.40926 # DEPENDENCYPART_ARC
(5,1),-0.854903 # DEPENDENCYPART_ARC
(5,2),-1.64495 # DEPENDENCYPART_ARC
(5,3),0.282753 # DEPENDENCYPART_ARC
(5,4),3.35393 # DEPENDENCYPART_ARC
(5,6),-1.12517 # DEPENDENCYPART_ARC
(5,7),-1.80906 # DEPENDENCYPART_ARC
(5,8),-0.905661 # DEPENDENCYPART_ARC
(5,9),-1.57047 # DEPENDENCYPART_ARC
(5,10),-1.43146 # DEPENDENCYPART_ARC
(5,11),-2.21915 # DEPENDENCYPART_ARC
(5,12),-3.30121 # DEPENDENCYPART_ARC
(5,13),-2.52597 # DEPENDENCYPART_ARC
(5,14),-1.75048 # DEPENDENCYPART_ARC
(5,15),-1.64556 # DEPENDENCYPART_ARC
(5,16),-2.75473 # DEPENDENCYPART_ARC
(5,17),-3.97267 # DEPENDENCYPART_ARC
(5,18),-3.93629 # DEPENDENCYPART_ARC
(5,19),-2.21629 # DEPENDENCYPART_ARC
(5,20),-3.49945 # DEPENDENCYPART_ARC
(5,22),-1.82591 # DEPENDENCYPART_ARC
(6,1),1.49622 # DEPENDENCYPART_ARC
(6,2),-0.902324 # DEPENDENCYPART_ARC
(6,3),0.30428 # DEPENDENCYPART_ARC
(6,4),-0.441434 # DEPENDENCYPART_ARC
(6,5),2.52295 # DEPENDENCYPART_ARC
