# _root_ Κύριε Πρόεδρε , στο πλαίσιο της προπαρασκευαστικής συζήτησης για την εκλογή του Προέδρου του Κοινοβουλίου , μου δόθηκε η ευκαιρία να διατυπώσω τις προσδοκίες που είχα από τον νέο Πρόεδρο .
#goldHeads=2,0,4,18,4,8,8,5,8,11,9,13,11,15,13,4,18,0,20,18,22,20,24,22,26,24,26,30,30,27,0,
#predictedHeads=2,0,2,2,4,8,8,5,8,11,9,13,11,15,13,18,18,13,20,18,22,20,24,22,26,24,26,30,30,27,0,
(0,1),0.342482 # DEPENDENCYPART_ARC
(0,2),0.681731 # DEPENDENCYPART_ARC
(0,3),0.57503 # DEPENDENCYPART_ARC
(0,4),-0.479282 # DEPENDENCYPART_ARC
(0,5),-0.238117 # DEPENDENCYPART_ARC
(0,7),-0.86032 # DEPENDENCYPART_ARC
(0,8),-1.11995 # DEPENDENCYPART_ARC
(0,9),-1.04935 # DEPENDENCYPART_ARC
(0,11),-0.690732 # DEPENDENCYPART_ARC
(0,13),-1.37977 # DEPENDENCYPART_ARC
(0,15),-1.05395 # DEPENDENCYPART_ARC
(0,16),-0.491742 # DEPENDENCYPART_ARC
(0,18),0.696831 # DEPENDENCYPART_ARC
(0,20),-1.72049 # DEPENDENCYPART_ARC
(0,22),-0.568379 # DEPENDENCYPART_ARC
(0,24),-2.0047 # DEPENDENCYPART_ARC
(0,26),-0.832096 # DEPENDENCYPART_ARC
(0,27),-1.35007 # DEPENDENCYPART_ARC
(0,29),-2.24302 # DEPENDENCYPART_ARC
(0,30),-2.10455 # DEPENDENCYPART_ARC
(0,31),4.61788 # DEPENDENCYPART_ARC
(1,2),0.00996627 # DEPENDENCYPART_ARC
(1,3),-0.209939 # DEPENDENCYPART_ARC
(1,4),-0.0741066 # DEPENDENCYPART_ARC
(1,5),-1.21232 # DEPENDENCYPART_ARC
(1,6),-1.3872 # DEPENDENCYPART_ARC
(1,7),-1.36451 # DEPENDENCYPART_ARC
(1,8),-1.24943 # DEPENDENCYPART_ARC
(1,9),-0.169028 # DEPENDENCYPART_ARC
(1,10),-1.81716 # DEPENDENCYPART_ARC
(1,11),-2.87006 # DEPENDENCYPART_ARC
(1,12),-1.91389 # DEPENDENCYPART_ARC
(1,13),-2.24623 # DEPENDENCYPART_ARC
(1,14),-1.89339 # DEPENDENCYPART_ARC
(1,15),-2.79207 # DEPENDENCYPART_ARC
(1,16),-0.71002 # DEPENDENCYPART_ARC
(1,17),-3.43421 # DEPENDENCYPART_ARC
(1,18),-1.2866 # DEPENDENCYPART_ARC
(1,19),-2.30025 # DEPENDENCYPART_ARC
(1,20),-5.11184 # DEPENDENCYPART_ARC
(1,21),-1.96143 # DEPENDENCYPART_ARC
(1,22),-3.65268 # DEPENDENCYPART_ARC
(1,23),-2.642 # DEPENDENCYPART_ARC
(1,24),-6.33789 # DEPENDENCYPART_ARC
(1,25),-6.70962 # DEPENDENCYPART_ARC
(1,26),-3.74506 # DEPENDENCYPART_ARC
(1,27),-2.21982 # DEPENDENCYPART_ARC
(1,28),-2.93099 # DEPENDENCYPART_ARC
(1,29),-3.5662 # DEPENDENCYPART_ARC
(1,30),-6.75067 # DEPENDENCYPART_ARC
(1,31),-0.717824 # DEPENDENCYPART_ARC
(2,1),3.03045 # DEPENDENCYPART_ARC
(2,3),0.921675 # DEPENDENCYPART_ARC
(2,4),0.255899 # DEPENDENCYPART_ARC
(2,5),-0.582258 # DEPENDENCYPART_ARC
(2,6),-0.898715 # DEPENDENCYPART_ARC
(2,7),-0.601944 # DEPENDENCYPART_ARC
(2,8),-0.678805 # DEPENDENCYPART_ARC
(2,9),0.108537 # DEPENDENCYPART_ARC
(2,10),-1.43663 # DEPENDENCYPART_ARC
(2,11),-2.67117 # DEPENDENCYPART_ARC
(2,12),-1.38154 # DEPENDENCYPART_ARC
(2,13),-1.98034 # DEPENDENCYPART_ARC
(2,14),-1.4672 # DEPENDENCYPART_ARC
(2,15),-2.34587 # DEPENDENCYPART_ARC
(2,16),0.106302 # DEPENDENCYPART_ARC
(2,17),-2.79955 # DEPENDENCYPART_ARC
(2,18),-1.147 # DEPENDENCYPART_ARC
(2,19),-1.98625 # DEPENDENCYPART_ARC
(2,20),-4.71499 # DEPENDENCYPART_ARC
(2,21),-1.63321 # DEPENDENCYPART_ARC
(2,22),-3.3 # DEPENDENCYPART_ARC
(2,23),-2.2118 # DEPENDENCYPART_ARC
(2,24),-5.94282 # DEPENDENCYPART_ARC
(2,25),-6.29634 # DEPENDENCYPART_ARC
(2,26),-3.36326 # DEPENDENCYPART_ARC
(2,27),-1.94847 # DEPENDENCYPART_ARC
(2,28),-2.59237 # DEPENDENCYPART_ARC
(2,29),-3.04301 # DEPENDENCYPART_ARC
(2,30),-6.06457 # DEPENDENCYPART_ARC
(2,31),-0.143812 # DEPENDENCYPART_ARC
(3,1),-0.360095 # DEPENDENCYPART_ARC
(3,2),-0.0235955 # DEPENDENCYPART_ARC
(3,4),-0.0530702 # DEPENDENCYPART_ARC
(3,5),0.214227 # DEPENDENCYPART_ARC
(3,7),-0.60325 # DEPENDENCYPART_ARC
(3,8),-0.39197 # DEPENDENCYPART_ARC
(3,9),-0.385891 # DEPENDENCYPART_ARC
(3,11),-0.758853 # DEPENDENCYPART_ARC
(3,13),-0.75396 # DEPENDENCYPART_ARC
(3,15),-0.774607 # DEPENDENCYPART_ARC
(3,16),-0.708621 # DEPENDENCYPART_ARC
(3,17),-1.81395 # DEPENDENCYPART_ARC
(3,18),-0.651389 # DEPENDENCYPART_ARC
(3,20),-1.68406 # DEPENDENCYPART_ARC
(3,21),-1.58469 # DEPENDENCYPART_ARC
(3,22),-1.39512 # DEPENDENCYPART_ARC
(3,24),-1.9698 # DEPENDENCYPART_ARC
(3,25),-2.7336 # DEPENDENCYPART_ARC
(3,26),-1.69065 # DEPENDENCYPART_ARC
(3,27),-1.67489 # DEPENDENCYPART_ARC
(3,29),-2.20752 # DEPENDENCYPART_ARC
(3,30),-2.08005 # DEPENDENCYPART_ARC
(3,31),-1.59472 # DEPENDENCYPART_ARC
(4,1),-1.45716 # DEPENDENCYPART_ARC
(4,2),-1.30568 # DEPENDENCYPART_ARC
(4,3),0.269109 # DEPENDENCYPART_ARC
(4,5),3.56465 # DEPENDENCYPART_ARC
(4,7),-0.30328 # DEPENDENCYPART_ARC
(4,8),-0.962546 # DEPENDENCYPART_ARC
(4,9),-0.755834 # DEPENDENCYPART_ARC
(4,11),-1.85971 # DEPENDENCYPART_ARC
(4,13),-3.75123 # DEPENDENCYPART_ARC
(4,15),-4.67453 # DEPENDENCYPART_ARC
(4,16),-0.47083 # DEPENDENCYPART_ARC
(4,18),-2.81923 # DEPENDENCYPART_ARC
(4,20),-6.86867 # DEPENDENCYPART_ARC
(4,22),-4.00404 # DEPENDENCYPART_ARC
(4,24),-7.66896 # DEPENDENCYPART_ARC
