# _root_ Στους πρόποδές του , αξίζει να επισκεφθείτε το Δασικό Χωριό της Ελευθερούπολης , στο οποίο μπορείτε να κλείσετε και δωμάτιο για διαμονή .
#goldHeads=5,1,2,5,0,7,5,10,10,7,12,10,7,18,14,10,18,16,18,18,20,21,0,
#predictedHeads=5,1,2,5,0,7,5,10,10,7,12,10,16,16,14,10,18,16,20,18,20,21,0,
(0,1),-0.766876 # DEPENDENCYPART_ARC
(0,2),-0.192027 # DEPENDENCYPART_ARC
(0,3),-0.811314 # DEPENDENCYPART_ARC
(0,4),-0.323533 # DEPENDENCYPART_ARC
(0,5),1.73734 # DEPENDENCYPART_ARC
(0,6),-1.10563 # DEPENDENCYPART_ARC
(0,7),-0.47632 # DEPENDENCYPART_ARC
(0,8),-1.67172 # DEPENDENCYPART_ARC
(0,9),-1.55891 # DEPENDENCYPART_ARC
(0,10),-1.51663 # DEPENDENCYPART_ARC
(0,11),-1.89162 # DEPENDENCYPART_ARC
(0,12),-1.83172 # DEPENDENCYPART_ARC
(0,13),-0.363619 # DEPENDENCYPART_ARC
(0,14),-1.94633 # DEPENDENCYPART_ARC
(0,15),-1.65618 # DEPENDENCYPART_ARC
(0,16),-0.437892 # DEPENDENCYPART_ARC
(0,17),-1.54416 # DEPENDENCYPART_ARC
(0,18),-0.716794 # DEPENDENCYPART_ARC
(0,19),-0.888205 # DEPENDENCYPART_ARC
(0,20),-1.74851 # DEPENDENCYPART_ARC
(0,21),-3.42463 # DEPENDENCYPART_ARC
(0,22),-1.55053 # DEPENDENCYPART_ARC
(0,23),3.65859 # DEPENDENCYPART_ARC
(1,2),2.74842 # DEPENDENCYPART_ARC
(1,3),0.803778 # DEPENDENCYPART_ARC
(1,4),0.405247 # DEPENDENCYPART_ARC
(1,5),-2.08646 # DEPENDENCYPART_ARC
(1,6),-1.40283 # DEPENDENCYPART_ARC
(1,7),-1.97809 # DEPENDENCYPART_ARC
(1,8),-1.97652 # DEPENDENCYPART_ARC
(1,9),-0.839531 # DEPENDENCYPART_ARC
(1,10),-2.32645 # DEPENDENCYPART_ARC
(1,11),-2.55141 # DEPENDENCYPART_ARC
(1,12),-3.96292 # DEPENDENCYPART_ARC
(1,13),-0.948419 # DEPENDENCYPART_ARC
(1,14),-2.10218 # DEPENDENCYPART_ARC
(1,15),-1.13149 # DEPENDENCYPART_ARC
(1,16),-3.2587 # DEPENDENCYPART_ARC
(1,17),-2.13601 # DEPENDENCYPART_ARC
(1,18),-3.28156 # DEPENDENCYPART_ARC
(1,19),-1.55886 # DEPENDENCYPART_ARC
(1,20),-4.51597 # DEPENDENCYPART_ARC
(1,21),-2.02961 # DEPENDENCYPART_ARC
(1,22),-4.70447 # DEPENDENCYPART_ARC
(1,23),-1.50833 # DEPENDENCYPART_ARC
(2,1),-0.519167 # DEPENDENCYPART_ARC
(2,3),3.6611 # DEPENDENCYPART_ARC
(2,4),0.192016 # DEPENDENCYPART_ARC
(2,5),0.421493 # DEPENDENCYPART_ARC
