# _root_ Από την δεκαετία του '70 , η Κως έχει μετατραπεί σε σημαντικό τουριστικό προορισμό και έχει δει το τοπίο της να αλλάζει , με την ανέγερση πολυτελών ξενοδοχειακών θερέτρων πάνω στις κατάλευκες αμμουδιές της .
#goldHeads=10,3,1,5,3,15,8,15,10,15,10,14,14,11,0,17,15,19,22,19,22,17,24,22,26,24,29,29,26,26,30,33,31,33,0,
#predictedHeads=10,3,1,5,3,10,8,3,10,15,10,14,14,11,0,17,15,19,17,19,22,19,24,22,26,24,29,29,26,29,30,33,31,33,0,
(0,1),-0.768472 # DEPENDENCYPART_ARC
(0,2),-0.787207 # DEPENDENCYPART_ARC
(0,3),-0.180283 # DEPENDENCYPART_ARC
(0,4),-1.28253 # DEPENDENCYPART_ARC
(0,5),-0.434032 # DEPENDENCYPART_ARC
(0,6),-0.0218721 # DEPENDENCYPART_ARC
(0,7),-1.15652 # DEPENDENCYPART_ARC
(0,8),-1.36642 # DEPENDENCYPART_ARC
(0,9),0.730168 # DEPENDENCYPART_ARC
(0,10),-0.269339 # DEPENDENCYPART_ARC
(0,11),-1.9238 # DEPENDENCYPART_ARC
(0,12),-1.87162 # DEPENDENCYPART_ARC
(0,13),-1.9716 # DEPENDENCYPART_ARC
(0,14),-1.87426 # DEPENDENCYPART_ARC
(0,15),0.134265 # DEPENDENCYPART_ARC
(0,16),-0.900229 # DEPENDENCYPART_ARC
(0,17),-1.31202 # DEPENDENCYPART_ARC
(0,18),-1.91661 # DEPENDENCYPART_ARC
(0,19),-2.24226 # DEPENDENCYPART_ARC
(0,20),-2.01563 # DEPENDENCYPART_ARC
(0,21),-1.56905 # DEPENDENCYPART_ARC
(0,22),-1.05885 # DEPENDENCYPART_ARC
(0,23),-0.481259 # DEPENDENCYPART_ARC
(0,24),-3.11991 # DEPENDENCYPART_ARC
(0,25),-2.01269 # DEPENDENCYPART_ARC
(0,26),-2.05692 # DEPENDENCYPART_ARC
(0,27),-2.15393 # DEPENDENCYPART_ARC
(0,28),-2.29193 # DEPENDENCYPART_ARC
(0,29),-2.73071 # DEPENDENCYPART_ARC
(0,30),-1.35446 # DEPENDENCYPART_ARC
(0,31),-3.62054 # DEPENDENCYPART_ARC
(0,32),-1.97713 # DEPENDENCYPART_ARC
(0,33),-2.83438 # DEPENDENCYPART_ARC
(0,34),-2.41964 # DEPENDENCYPART_ARC
(0,35),5.02653 # DEPENDENCYPART_ARC
(1,2),0.492836 # DEPENDENCYPART_ARC
(1,3),2.8935 # DEPENDENCYPART_ARC
(1,4),-0.504071 # DEPENDENCYPART_ARC
(1,5),0.612589 # DEPENDENCYPART_ARC
(1,6),0.197928 # DEPENDENCYPART_ARC
(1,7),-0.940503 # DEPENDENCYPART_ARC
(1,8),-0.457618 # DEPENDENCYPART_ARC
(1,9),-0.848322 # DEPENDENCYPART_ARC
(1,10),-1.47647 # DEPENDENCYPART_ARC
(1,11),-0.763421 # DEPENDENCYPART_ARC
(1,12),-1.34626 # DEPENDENCYPART_ARC
(1,13),-1.02092 # DEPENDENCYPART_ARC
(1,14),-2.25732 # DEPENDENCYPART_ARC
(1,15),-0.867686 # DEPENDENCYPART_ARC
(1,16),-1.83157 # DEPENDENCYPART_ARC
(1,17),-2.19943 # DEPENDENCYPART_ARC
(1,18),-1.7252 # DEPENDENCYPART_ARC
(1,19),-3.12254 # DEPENDENCYPART_ARC
(1,20),-1.83837 # DEPENDENCYPART_ARC
(1,21),-1.35318 # DEPENDENCYPART_ARC
(1,22),-2.16735 # DEPENDENCYPART_ARC
(1,23),-1.43081 # DEPENDENCYPART_ARC
(1,24),-1.49064 # DEPENDENCYPART_ARC
(1,25),-2.0025 # DEPENDENCYPART_ARC
(1,26),-4.8395 # DEPENDENCYPART_ARC
(1,27),-2.07507 # DEPENDENCYPART_ARC
(1,28),-1.70557 # DEPENDENCYPART_ARC
(1,29),-5.15339 # DEPENDENCYPART_ARC
(1,30),-1.58449 # DEPENDENCYPART_ARC
(1,31),-1.6769 # DEPENDENCYPART_ARC
(1,32),-2.13005 # DEPENDENCYPART_ARC
(1,33),-5.92216 # DEPENDENCYPART_ARC
(1,34),-3.07064 # DEPENDENCYPART_ARC
(1,35),-1.75207 # DEPENDENCYPART_ARC
(2,1),-0.641993 # DEPENDENCYPART_ARC
(2,3),-0.106766 # DEPENDENCYPART_ARC
(2,4),-0.633431 # DEPENDENCYPART_ARC
(2,5),-0.681095 # DEPENDENCYPART_ARC
(2,6),-0.51636 # DEPENDENCYPART_ARC
(2,7),-1.31353 # DEPENDENCYPART_ARC
(2,8),-1.47325 # DEPENDENCYPART_ARC
(2,9),-2.67616 # DEPENDENCYPART_ARC
(2,10),-2.90876 # DEPENDENCYPART_ARC
(2,11),-1.36662 # DEPENDENCYPART_ARC
(2,12),-2.58215 # DEPENDENCYPART_ARC
(2,13),-2.71941 # DEPENDENCYPART_ARC
(2,14),-2.46086 # DEPENDENCYPART_ARC
(2,15),-1.19917 # DEPENDENCYPART_ARC
(2,16),-3.23181 # DEPENDENCYPART_ARC
(2,17),-3.03589 # DEPENDENCYPART_ARC
(2,18),-2.08907 # DEPENDENCYPART_ARC
(2,19),-2.33326 # DEPENDENCYPART_ARC
(2,20),-3.41675 # DEPENDENCYPART_ARC
(2,21),-1.79075 # DEPENDENCYPART_ARC
(2,22),-3.39737 # DEPENDENCYPART_ARC
(2,23),-1.44233 # DEPENDENCYPART_ARC
(2,24),-1.81662 # DEPENDENCYPART_ARC
(2,25),-2.12155 # DEPENDENCYPART_ARC
(2,26),-2.57759 # DEPENDENCYPART_ARC
(2,27),-3.25726 # DEPENDENCYPART_ARC
(2,28),-3.2934 # DEPENDENCYPART_ARC
(2,29),-2.37073 # DEPENDENCYPART_ARC
(2,30),-1.91277 # DEPENDENCYPART_ARC
(2,31),-1.94688 # DEPENDENCYPART_ARC
(2,32),-2.99404 # DEPENDENCYPART_ARC
(2,33),-2.91405 # DEPENDENCYPART_ARC
(2,34),-3.93182 # DEPENDENCYPART_ARC
(2,35),-1.85105 # DEPENDENCYPART_ARC
(3,1),0.0921947 # DEPENDENCYPART_ARC
(3,2),3.25712 # DEPENDENCYPART_ARC
(3,4),0.694237 # DEPENDENCYPART_ARC
(3,5),1.48284 # DEPENDENCYPART_ARC
(3,6),0.414969 # DEPENDENCYPART_ARC
(3,7),-0.343494 # DEPENDENCYPART_ARC
(3,8),1.52118 # DEPENDENCYPART_ARC
(3,9),-0.656508 # DEPENDENCYPART_ARC
(3,10),-0.305064 # DEPENDENCYPART_ARC
(3,11),-0.461931 # DEPENDENCYPART_ARC
(3,12),-1.51877 # DEPENDENCYPART_ARC
(3,13),-1.32733 # DEPENDENCYPART_ARC
(3,14),-1.19795 # DEPENDENCYPART_ARC
(3,15),-0.328019 # DEPENDENCYPART_ARC
(3,16),-2.40588 # DEPENDENCYPART_ARC
(3,17),-1.79382 # DEPENDENCYPART_ARC
(3,18),-1.48963 # DEPENDENCYPART_ARC
(3,19),-3.03828 # DEPENDENCYPART_ARC
(3,20),-1.84441 # DEPENDENCYPART_ARC
(3,21),-0.866586 # DEPENDENCYPART_ARC
(3,22),-2.59296 # DEPENDENCYPART_ARC
(3,23),-0.469436 # DEPENDENCYPART_ARC
(3,24),-1.23635 # DEPENDENCYPART_ARC
(3,25),-1.56244 # DEPENDENCYPART_ARC
(3,26),-3.61508 # DEPENDENCYPART_ARC
(3,27),-1.98557 # DEPENDENCYPART_ARC
(3,28),-1.89268 # DEPENDENCYPART_ARC
(3,29),-2.21097 # DEPENDENCYPART_ARC
(3,30),-0.812111 # DEPENDENCYPART_ARC
(3,31),-1.50344 # DEPENDENCYPART_ARC
(3,32),-1.87893 # DEPENDENCYPART_ARC
(3,33),-4.41083 # DEPENDENCYPART_ARC
(3,34),-3.34871 # DEPENDENCYPART_ARC
(3,35),-0.16792 # DEPENDENCYPART_ARC
(4,1),-0.566435 # DEPENDENCYPART_ARC
(4,2),-0.776744 # DEPENDENCYPART_ARC
(4,3),-1.11682 # DEPENDENCYPART_ARC
(4,5),0.0955085 # DEPENDENCYPART_ARC
(4,6),-0.322572 # DEPENDENCYPART_ARC
(4,7),-0.992955 # DEPENDENCYPART_ARC
(4,8),-0.854495 # DEPENDENCYPART_ARC
(4,9),-2.69606 # DEPENDENCYPART_ARC
(4,10),-2.9938 # DEPENDENCYPART_ARC
(4,11),-1.27143 # DEPENDENCYPART_ARC
(4,12),-2.39413 # DEPENDENCYPART_ARC
(4,13),-2.43709 # DEPENDENCYPART_ARC
(4,14),-1.98273 # DEPENDENCYPART_ARC
(4,15),-1.01863 # DEPENDENCYPART_ARC
(4,16),-3.50859 # DEPENDENCYPART_ARC
(4,17),-3.445 # DEPENDENCYPART_ARC
(4,18),-1.81122 # DEPENDENCYPART_ARC
(4,19),-1.73184 # DEPENDENCYPART_ARC
(4,20),-3.27018 # DEPENDENCYPART_ARC
(4,21),-1.69755 # DEPENDENCYPART_ARC
(4,22),-3.52818 # DEPENDENCYPART_ARC
(4,23),-1.28402 # DEPENDENCYPART_ARC
(4,24),-1.63228 # DEPENDENCYPART_ARC
(4,25),-2.1559 # DEPENDENCYPART_ARC
(4,26),-2.3114 # DEPENDENCYPART_ARC
(4,27),-2.649 # DEPENDENCYPART_ARC
(4,28),-2.61101 # DEPENDENCYPART_ARC
(4,29),-1.92487 # DEPENDENCYPART_ARC
(4,30),-1.64688 # DEPENDENCYPART_ARC
(4,31),-2.17784 # DEPENDENCYPART_ARC
(4,32),-2.92913 # DEPENDENCYPART_ARC
(4,33),-2.52163 # DEPENDENCYPART_ARC
(4,34),-3.39087 # DEPENDENCYPART_ARC
(4,35),-1.78107 # DEPENDENCYPART_ARC
(5,1),-0.0937604 # DEPENDENCYPART_ARC
(5,2),1.24238 # DEPENDENCYPART_ARC
(5,3),0.049547 # DEPENDENCYPART_ARC
(5,4),2.44282 # DEPENDENCYPART_ARC
(5,6),0.0743387 # DEPENDENCYPART_ARC
(5,7),-0.397029 # DEPENDENCYPART_ARC
(5,8),-0.489594 # DEPENDENCYPART_ARC
(5,9),-0.591599 # DEPENDENCYPART_ARC
(5,10),-1.14158 # DEPENDENCYPART_ARC
(5,11),-1.25194 # DEPENDENCYPART_ARC
(5,12),-1.53725 # DEPENDENCYPART_ARC
(5,13),-1.56521 # DEPENDENCYPART_ARC
(5,14),-1.78696 # DEPENDENCYPART_ARC
(5,15),-0.870427 # DEPENDENCYPART_ARC
(5,16),-1.53199 # DEPENDENCYPART_ARC
(5,17),-1.60412 # DEPENDENCYPART_ARC
(5,18),-1.73571 # DEPENDENCYPART_ARC
(5,19),-1.83416 # DEPENDENCYPART_ARC
(5,20),-1.80909 # DEPENDENCYPART_ARC
(5,21),-1.70539 # DEPENDENCYPART_ARC
(5,22),-1.57202 # DEPENDENCYPART_ARC
(5,23),-1.06869 # DEPENDENCYPART_ARC
(5,24),-1.57526 # DEPENDENCYPART_ARC
(5,25),-1.83127 # DEPENDENCYPART_ARC
(5,26),-1.97574 # DEPENDENCYPART_ARC
(5,27),-1.88062 # DEPENDENCYPART_ARC
(5,28),-1.91646 # DEPENDENCYPART_ARC
(5,29),-2.03948 # DEPENDENCYPART_ARC
(5,30),-1.62699 # DEPENDENCYPART_ARC
(5,31),-1.85124 # DEPENDENCYPART_ARC
(5,32),-1.92485 # DEPENDENCYPART_ARC
(5,33),-2.17061 # DEPENDENCYPART_ARC
(5,34),-2.15442 # DEPENDENCYPART_ARC
(5,35),-1.45064 # DEPENDENCYPART_ARC
(6,1),-0.484613 # DEPENDENCYPART_ARC
(6,2),-0.423164 # DEPENDENCYPART_ARC
(6,3),0.188374 # DEPENDENCYPART_ARC
(6,4),-0.186987 # DEPENDENCYPART_ARC
(6,5),0.0912257 # DEPENDENCYPART_ARC
(6,7),-0.0892987 # DEPENDENCYPART_ARC
(6,8),0.0860432 # DEPENDENCYPART_ARC
(6,9),-0.0433596 # DEPENDENCYPART_ARC
(6,10),-0.762829 # DEPENDENCYPART_ARC
(6,11),-0.807924 # DEPENDENCYPART_ARC
(6,12),-1.06602 # DEPENDENCYPART_ARC
(6,13),-0.999967 # DEPENDENCYPART_ARC
(6,14),-1.25099 # DEPENDENCYPART_ARC
(6,15),-0.633967 # DEPENDENCYPART_ARC
(6,16),-0.918967 # DEPENDENCYPART_ARC
(6,17),-1.1531 # DEPENDENCYPART_ARC
(6,18),-1.48863 # DEPENDENCYPART_ARC
(6,19),-1.68973 # DEPENDENCYPART_ARC
(6,20),-1.78026 # DEPENDENCYPART_ARC
(6,21),-1.1877 # DEPENDENCYPART_ARC
(6,22),-1.20795 # DEPENDENCYPART_ARC
(6,23),-0.475086 # DEPENDENCYPART_ARC
(6,24),-1.13529 # DEPENDENCYPART_ARC
(6,25),-1.55841 # DEPENDENCYPART_ARC
(6,26),-2.06487 # DEPENDENCYPART_ARC
(6,27),-1.4095 # DEPENDENCYPART_ARC
(6,28),-1.37232 # DEPENDENCYPART_ARC
(6,29),-2.13178 # DEPENDENCYPART_ARC
(6,30),-1.03495 # DEPENDENCYPART_ARC
(6,31),-1.13502 # DEPENDENCYPART_ARC
(6,32),-1.37536 # DEPENDENCYPART_ARC
(6,33),-2.27233 # DEPENDENCYPART_ARC
(6,34),-2.17856 # DEPENDENCYPART_ARC
(6,35),-0.709423 # DEPENDENCYPART_ARC
(7,1),-1.52997 # DEPENDENCYPART_ARC
(7,2),-1.13127 # DEPENDENCYPART_ARC
(7,3),-1.99928 # DEPENDENCYPART_ARC
(7,4),-1.46438 # DEPENDENCYPART_ARC
(7,5),-1.08897 # DEPENDENCYPART_ARC
(7,6),-0.720972 # DEPENDENCYPART_ARC
(7,8),0.174273 # DEPENDENCYPART_ARC
(7,9),-1.92112 # DEPENDENCYPART_ARC
(7,10),-2.31217 # DEPENDENCYPART_ARC
(7,11),-0.960074 # DEPENDENCYPART_ARC
(7,12),-2.54586 # DEPENDENCYPART_ARC
(7,13),-2.75001 # DEPENDENCYPART_ARC
(7,14),-2.4371 # DEPENDENCYPART_ARC
(7,15),-0.829494 # DEPENDENCYPART_ARC
(7,16),-3.35337 # DEPENDENCYPART_ARC
(7,17),-3.09892 # DEPENDENCYPART_ARC
(7,18),-2.06096 # DEPENDENCYPART_ARC
(7,19),-2.19931 # DEPENDENCYPART_ARC
(7,20),-2.92915 # DEPENDENCYPART_ARC
(7,21),-1.56102 # DEPENDENCYPART_ARC
(7,22),-3.31979 # DEPENDENCYPART_ARC
(7,23),-1.28144 # DEPENDENCYPART_ARC
(7,24),-1.42321 # DEPENDENCYPART_ARC
(7,25),-1.97715 # DEPENDENCYPART_ARC
(7,26),-2.37064 # DEPENDENCYPART_ARC
(7,27),-3.11641 # DEPENDENCYPART_ARC
(7,28),-3.1039 # DEPENDENCYPART_ARC
(7,29),-2.18231 # DEPENDENCYPART_ARC
(7,30),-1.70997 # DEPENDENCYPART_ARC
(7,31),-1.80976 # DEPENDENCYPART_ARC
(7,32),-3.24124 # DEPENDENCYPART_ARC
(7,33),-2.54485 # DEPENDENCYPART_ARC
(7,34),-3.14105 # DEPENDENCYPART_ARC
(7,35),-1.5318 # DEPENDENCYPART_ARC
(8,1),-1.08947 # DEPENDENCYPART_ARC
(8,2),-1.87272 # DEPENDENCYPART_ARC
(8,3),-2.69019 # DEPENDENCYPART_ARC
(8,4),-0.567155 # DEPENDENCYPART_ARC
(8,5),-0.723483 # DEPENDENCYPART_ARC
(8,6),-0.00891792 # DEPENDENCYPART_ARC
(8,7),2.3409 # DEPENDENCYPART_ARC
(8,9),-1.42564 # DEPENDENCYPART_ARC
(8,10),-1.55192 # DEPENDENCYPART_ARC
(8,11),-1.22915 # DEPENDENCYPART_ARC
(8,12),-2.56775 # DEPENDENCYPART_ARC
(8,13),-2.58157 # DEPENDENCYPART_ARC
(8,14),-2.64301 # DEPENDENCYPART_ARC
(8,15),-1.3861 # DEPENDENCYPART_ARC
(8,16),-4.04674 # DEPENDENCYPART_ARC
(8,17),-3.78396 # DEPENDENCYPART_ARC
(8,18),-2.6586 # DEPENDENCYPART_ARC
(8,19),-3.67742 # DEPENDENCYPART_ARC
(8,20),-2.48711 # DEPENDENCYPART_ARC
(8,21),-2.33237 # DEPENDENCYPART_ARC
(8,22),-4.31271 # DEPENDENCYPART_ARC
(8,23),-1.41582 # DEPENDENCYPART_ARC
(8,24),-2.30358 # DEPENDENCYPART_ARC
(8,25),-2.56248 # DEPENDENCYPART_ARC
(8,26),-4.17906 # DEPENDENCYPART_ARC
(8,27),-2.56707 # DEPENDENCYPART_ARC
(8,28),-2.52791 # DEPENDENCYPART_ARC
(8,29),-3.13021 # DEPENDENCYPART_ARC
(8,30),-2.04345 # DEPENDENCYPART_ARC
(8,31),-2.8155 # DEPENDENCYPART_ARC
(8,32),-3.28276 # DEPENDENCYPART_ARC
(8,33),-5.13853 # DEPENDENCYPART_ARC
(8,34),-3.79922 # DEPENDENCYPART_ARC
(8,35),-1.14177 # DEPENDENCYPART_ARC
(9,1),0.275986 # DEPENDENCYPART_ARC
(9,2),-2.06532 # DEPENDENCYPART_ARC
(9,3),-1.44112 # DEPENDENCYPART_ARC
(9,4),-2.32989 # DEPENDENCYPART_ARC
(9,5),-0.630336 # DEPENDENCYPART_ARC
(9,6),0.649097 # DEPENDENCYPART_ARC
(9,7),-1.14188 # DEPENDENCYPART_ARC
(9,8),-1.28884 # DEPENDENCYPART_ARC
(9,10),-0.694839 # DEPENDENCYPART_ARC
(9,11),-0.242772 # DEPENDENCYPART_ARC
(9,12),-2.37189 # DEPENDENCYPART_ARC
(9,13),-2.89385 # DEPENDENCYPART_ARC
(9,14),-0.0243374 # DEPENDENCYPART_ARC
(9,15),-1.074 # DEPENDENCYPART_ARC
(9,16),-3.80111 # DEPENDENCYPART_ARC
(9,17),-4.54503 # DEPENDENCYPART_ARC
(9,18),-3.48371 # DEPENDENCYPART_ARC
(9,19),-1.50803 # DEPENDENCYPART_ARC
(9,20),-5.74415 # DEPENDENCYPART_ARC
(9,21),-1.90491 # DEPENDENCYPART_ARC
(9,22),-4.04704 # DEPENDENCYPART_ARC
(9,23),-0.350883 # DEPENDENCYPART_ARC
(9,24),-1.80735 # DEPENDENCYPART_ARC
(9,25),-3.24421 # DEPENDENCYPART_ARC
(9,26),-2.47242 # DEPENDENCYPART_ARC
(9,27),-4.81134 # DEPENDENCYPART_ARC
(9,28),-5.36696 # DEPENDENCYPART_ARC
(9,29),-4.56735 # DEPENDENCYPART_ARC
(9,30),-2.45587 # DEPENDENCYPART_ARC
(9,31),-3.51353 # DEPENDENCYPART_ARC
(9,32),-5.40401 # DEPENDENCYPART_ARC
(9,33),-2.92938 # DEPENDENCYPART_ARC
(9,34),-6.77303 # DEPENDENCYPART_ARC
(9,35),-0.438093 # DEPENDENCYPART_ARC
(10,1),1.30513 # DEPENDENCYPART_ARC
(10,2),-0.960737 # DEPENDENCYPART_ARC
(10,3),0.549919 # DEPENDENCYPART_ARC
(10,4),-2.10778 # DEPENDENCYPART_ARC
(10,5),0.276281 # DEPENDENCYPART_ARC
(10,6),1.21843 # DEPENDENCYPART_ARC
(10,7),-0.289605 # DEPENDENCYPART_ARC
(10,8),0.213813 # DEPENDENCYPART_ARC
(10,9),4.57066 # DEPENDENCYPART_ARC
(10,11),2.46273 # DEPENDENCYPART_ARC
(10,12),0.384355 # DEPENDENCYPART_ARC
(10,13),-0.444413 # DEPENDENCYPART_ARC
(10,14),0.777549 # DEPENDENCYPART_ARC
(10,15),0.258478 # DEPENDENCYPART_ARC
(10,16),-2.97164 # DEPENDENCYPART_ARC
(10,17),-3.02859 # DEPENDENCYPART_ARC
(10,18),-2.74693 # DEPENDENCYPART_ARC
(10,19),-0.379337 # DEPENDENCYPART_ARC
(10,20),-3.98325 # DEPENDENCYPART_ARC
(10,21),-0.66965 # DEPENDENCYPART_ARC
(10,22),-4.01676 # DEPENDENCYPART_ARC
(10,23),0.305497 # DEPENDENCYPART_ARC
(10,24),-0.386509 # DEPENDENCYPART_ARC
(10,25),-2.73571 # DEPENDENCYPART_ARC
(10,26),-2.40066 # DEPENDENCYPART_ARC
(10,27),-4.10314 # DEPENDENCYPART_ARC
(10,28),-4.55909 # DEPENDENCYPART_ARC
(10,29),-3.55298 # DEPENDENCYPART_ARC
(10,30),-0.786778 # DEPENDENCYPART_ARC
(10,31),-2.45996 # DEPENDENCYPART_ARC
(10,32),-4.30472 # DEPENDENCYPART_ARC
(10,33),-3.08904 # DEPENDENCYPART_ARC
(10,34),-5.31409 # DEPENDENCYPART_ARC
(10,35),0.130115 # DEPENDENCYPART_ARC
(11,1),-0.930469 # DEPENDENCYPART_ARC
(11,2),-1.10303 # DEPENDENCYPART_ARC
(11,3),-1.71809 # DEPENDENCYPART_ARC
(11,4),-1.09169 # DEPENDENCYPART_ARC
(11,5),-1.17645 # DEPENDENCYPART_ARC
(11,6),-0.739525 # DEPENDENCYPART_ARC
(11,7),-0.769486 # DEPENDENCYPART_ARC
(11,8),-1.22083 # DEPENDENCYPART_ARC
(11,9),-0.667542 # DEPENDENCYPART_ARC
(11,10),-0.0839745 # DEPENDENCYPART_ARC
(11,12),1.46165 # DEPENDENCYPART_ARC
(11,13),1.30826 # DEPENDENCYPART_ARC
(11,14),1.94969 # DEPENDENCYPART_ARC
(11,15),0.273437 # DEPENDENCYPART_ARC
(11,16),-0.184243 # DEPENDENCYPART_ARC
(11,17),-1.19124 # DEPENDENCYPART_ARC
(11,18),-1.51849 # DEPENDENCYPART_ARC
(11,19),-0.964724 # DEPENDENCYPART_ARC
(11,20),-1.59031 # DEPENDENCYPART_ARC
(11,21),-1.14375 # DEPENDENCYPART_ARC
(11,22),-1.42727 # DEPENDENCYPART_ARC
(11,23),-0.554199 # DEPENDENCYPART_ARC
(11,24),-1.423 # DEPENDENCYPART_ARC
(11,25),-1.75066 # DEPENDENCYPART_ARC
(11,26),-2.41486 # DEPENDENCYPART_ARC
(11,27),-1.69799 # DEPENDENCYPART_ARC
(11,28),-1.29282 # DEPENDENCYPART_ARC
(11,29),-2.97869 # DEPENDENCYPART_ARC
(11,30),-1.00728 # DEPENDENCYPART_ARC
(11,31),-1.61179 # DEPENDENCYPART_ARC
(11,32),-1.53308 # DEPENDENCYPART_ARC
(11,33),-4.05895 # DEPENDENCYPART_ARC
(11,34),-2.85302 # DEPENDENCYPART_ARC
(11,35),-0.857294 # DEPENDENCYPART_ARC
(12,1),-1.69034 # DEPENDENCYPART_ARC
(12,2),-2.29393 # DEPENDENCYPART_ARC
(12,3),-2.94888 # DEPENDENCYPART_ARC
(12,4),-2.05243 # DEPENDENCYPART_ARC
(12,5),-1.71665 # DEPENDENCYPART_ARC
(12,6),-1.64674 # DEPENDENCYPART_ARC
(12,7),-1.37094 # DEPENDENCYPART_ARC
(12,8),-2.948 # DEPENDENCYPART_ARC
(12,9),-5.11338 # DEPENDENCYPART_ARC
(12,10),-2.94487 # DEPENDENCYPART_ARC
(12,11),-0.0302962 # DEPENDENCYPART_ARC
(12,13),-0.170251 # DEPENDENCYPART_ARC
(12,14),0.36997 # DEPENDENCYPART_ARC
(12,15),0.254608 # DEPENDENCYPART_ARC
(12,16),-1.5311 # DEPENDENCYPART_ARC
(12,17),-1.91125 # DEPENDENCYPART_ARC
(12,18),-2.04869 # DEPENDENCYPART_ARC
(12,19),-1.98894 # DEPENDENCYPART_ARC
(12,20),-1.29416 # DEPENDENCYPART_ARC
(12,21),-1.17005 # DEPENDENCYPART_ARC
(12,22),-2.56405 # DEPENDENCYPART_ARC
(12,23),-0.93234 # DEPENDENCYPART_ARC
(12,24),-1.18158 # DEPENDENCYPART_ARC
(12,25),-2.24863 # DEPENDENCYPART_ARC
(12,26),-2.36389 # DEPENDENCYPART_ARC
(12,27),-1.54375 # DEPENDENCYPART_ARC
(12,28),-1.78629 # DEPENDENCYPART_ARC
(12,29),-1.34614 # DEPENDENCYPART_ARC
(12,30),-1.20849 # DEPENDENCYPART_ARC
