# _root_ Κύριε Πρόεδρε , καταρχάς θα ήθελα να συγχαρώ τους τρεις εισηγητές - τον κ. Χατζηδάκη , τον κ. van Dam και τον κ. Grosch - για το έργο τους .
#goldHeads=2,6,2,6,6,0,8,6,11,11,12,8,15,15,21,21,20,20,20,21,12,24,24,21,12,8,28,26,28,0,
#predictedHeads=2,6,6,6,6,0,8,6,11,11,8,8,15,15,21,21,20,20,20,21,8,24,24,21,8,8,28,26,28,0,
(0,1),0.443655 # DEPENDENCYPART_ARC
(0,2),0.731006 # DEPENDENCYPART_ARC
(0,3),0.812661 # DEPENDENCYPART_ARC
(0,4),0.351299 # DEPENDENCYPART_ARC
(0,5),-0.603962 # DEPENDENCYPART_ARC
(0,6),1.50578 # DEPENDENCYPART_ARC
(0,7),-1.03145 # DEPENDENCYPART_ARC
(0,8),-0.438383 # DEPENDENCYPART_ARC
(0,9),-1.61312 # DEPENDENCYPART_ARC
(0,10),-1.72204 # DEPENDENCYPART_ARC
(0,11),-0.71581 # DEPENDENCYPART_ARC
(0,12),0.161819 # DEPENDENCYPART_ARC
(0,13),-1.73613 # DEPENDENCYPART_ARC
(0,14),-0.727669 # DEPENDENCYPART_ARC
(0,15),-0.587756 # DEPENDENCYPART_ARC
(0,16),0.0337571 # DEPENDENCYPART_ARC
(0,17),-1.7581 # DEPENDENCYPART_ARC
(0,18),-0.790749 # DEPENDENCYPART_ARC
(0,19),-0.874138 # DEPENDENCYPART_ARC
(0,20),-0.968512 # DEPENDENCYPART_ARC
(0,21),-0.911 # DEPENDENCYPART_ARC
(0,22),-1.93726 # DEPENDENCYPART_ARC
(0,23),-1.17107 # DEPENDENCYPART_ARC
(0,24),-0.992428 # DEPENDENCYPART_ARC
(0,25),0.295496 # DEPENDENCYPART_ARC
(0,26),-3.12604 # DEPENDENCYPART_ARC
(0,27),-2.06575 # DEPENDENCYPART_ARC
(0,28),-0.515172 # DEPENDENCYPART_ARC
(0,29),-2.05627 # DEPENDENCYPART_ARC
(0,30),3.26749 # DEPENDENCYPART_ARC
(1,2),0.264423 # DEPENDENCYPART_ARC
(1,3),-0.176999 # DEPENDENCYPART_ARC
(1,4),-1.21421 # DEPENDENCYPART_ARC
(1,5),-0.691184 # DEPENDENCYPART_ARC
(1,6),-1.78903 # DEPENDENCYPART_ARC
(1,7),-1.30604 # DEPENDENCYPART_ARC
(1,8),-2.98262 # DEPENDENCYPART_ARC
(1,9),-1.95509 # DEPENDENCYPART_ARC
(1,10),-1.88992 # DEPENDENCYPART_ARC
(1,11),-3.09936 # DEPENDENCYPART_ARC
(1,12),-0.808036 # DEPENDENCYPART_ARC
