# _root_ 2580/2001 , χωρίς να υπάρχει προηγούμενη διαβούλευση με το Ευρωπαϊκό Κοινοβούλιο , το οποίο είχε εκφράσει την επιθυμία του να αποφανθεί σχετικά με αυτό το ζήτημα .
#goldHeads=0,3,0,5,3,7,5,7,11,11,8,5,14,16,16,11,18,16,18,21,18,21,22,26,26,23,0,
#predictedHeads=2,3,5,5,0,7,5,7,11,11,8,16,14,16,16,11,18,16,18,21,18,21,22,26,26,23,0,
(0,1),0.0985722 # DEPENDENCYPART_ARC
(0,2),0.113245 # DEPENDENCYPART_ARC
(0,3),-0.153099 # DEPENDENCYPART_ARC
(0,4),-0.452947 # DEPENDENCYPART_ARC
(0,5),1.14872 # DEPENDENCYPART_ARC
(0,6),-0.951636 # DEPENDENCYPART_ARC
(0,7),-1.13178 # DEPENDENCYPART_ARC
(0,8),-0.905718 # DEPENDENCYPART_ARC
(0,9),-1.47853 # DEPENDENCYPART_ARC
(0,10),-1.26697 # DEPENDENCYPART_ARC
(0,11),-1.2406 # DEPENDENCYPART_ARC
(0,12),-0.193893 # DEPENDENCYPART_ARC
(0,13),-1.74018 # DEPENDENCYPART_ARC
(0,14),-1.38664 # DEPENDENCYPART_ARC
(0,15),-0.358194 # DEPENDENCYPART_ARC
(0,16),-0.681515 # DEPENDENCYPART_ARC
(0,17),-1.6589 # DEPENDENCYPART_ARC
(0,18),-1.64609 # DEPENDENCYPART_ARC
(0,19),-1.95279 # DEPENDENCYPART_ARC
(0,20),-1.48163 # DEPENDENCYPART_ARC
(0,21),-0.726614 # DEPENDENCYPART_ARC
(0,22),-1.20872 # DEPENDENCYPART_ARC
(0,23),-2.8356 # DEPENDENCYPART_ARC
(0,24),-1.64744 # DEPENDENCYPART_ARC
(0,25),-1.99043 # DEPENDENCYPART_ARC
(0,26),-1.85356 # DEPENDENCYPART_ARC
(0,27),4.007 # DEPENDENCYPART_ARC
(1,2),0.366834 # DEPENDENCYPART_ARC
(1,3),-0.146082 # DEPENDENCYPART_ARC
(1,4),-0.371878 # DEPENDENCYPART_ARC
(1,5),-0.645966 # DEPENDENCYPART_ARC
(1,6),-1.19686 # DEPENDENCYPART_ARC
(1,7),-1.21066 # DEPENDENCYPART_ARC
(1,8),-1.11463 # DEPENDENCYPART_ARC
(1,9),-1.41065 # DEPENDENCYPART_ARC
(1,10),-1.55272 # DEPENDENCYPART_ARC
(1,11),-1.18229 # DEPENDENCYPART_ARC
(1,12),-0.956614 # DEPENDENCYPART_ARC
(1,13),-1.49466 # DEPENDENCYPART_ARC
(1,14),-1.76012 # DEPENDENCYPART_ARC
(1,15),-1.56852 # DEPENDENCYPART_ARC
(1,16),-1.59137 # DEPENDENCYPART_ARC
(1,17),-1.80594 # DEPENDENCYPART_ARC
(1,18),-1.39518 # DEPENDENCYPART_ARC
(1,19),-1.84915 # DEPENDENCYPART_ARC
(1,20),-1.60366 # DEPENDENCYPART_ARC
(1,21),-1.90252 # DEPENDENCYPART_ARC
(1,22),-1.15322 # DEPENDENCYPART_ARC
(1,23),-1.64574 # DEPENDENCYPART_ARC
(1,24),-2.00638 # DEPENDENCYPART_ARC
(1,25),-1.77798 # DEPENDENCYPART_ARC
(1,26),-1.42861 # DEPENDENCYPART_ARC
(1,27),-1.3453 # DEPENDENCYPART_ARC
(2,1),0.439179 # DEPENDENCYPART_ARC
(2,3),-0.0393331 # DEPENDENCYPART_ARC
(2,4),-0.488866 # DEPENDENCYPART_ARC
(2,5),-0.392758 # DEPENDENCYPART_ARC
(2,6),-0.797647 # DEPENDENCYPART_ARC
(2,7),-1.16798 # DEPENDENCYPART_ARC
(2,8),-0.866202 # DEPENDENCYPART_ARC
(2,9),-1.47448 # DEPENDENCYPART_ARC
(2,10),-1.14412 # DEPENDENCYPART_ARC
(2,11),-1.60808 # DEPENDENCYPART_ARC
(2,12),-0.571642 # DEPENDENCYPART_ARC
(2,13),-1.60828 # DEPENDENCYPART_ARC
(2,14),-1.9342 # DEPENDENCYPART_ARC
(2,15),-1.29163 # DEPENDENCYPART_ARC
(2,16),-1.32845 # DEPENDENCYPART_ARC
(2,17),-1.65168 # DEPENDENCYPART_ARC
(2,18),-2.22599 # DEPENDENCYPART_ARC
(2,19),-2.10992 # DEPENDENCYPART_ARC
(2,20),-1.51444 # DEPENDENCYPART_ARC
(2,21),-1.58213 # DEPENDENCYPART_ARC
(2,22),-1.14069 # DEPENDENCYPART_ARC
(2,23),-1.59377 # DEPENDENCYPART_ARC
(2,24),-2.23045 # DEPENDENCYPART_ARC
(2,25),-1.95498 # DEPENDENCYPART_ARC
(2,26),-2.60553 # DEPENDENCYPART_ARC
(2,27),-1.15751 # DEPENDENCYPART_ARC
(3,1),0.098454 # DEPENDENCYPART_ARC
(3,2),1.0097 # DEPENDENCYPART_ARC
(3,4),1.15708 # DEPENDENCYPART_ARC
(3,5),2.30412 # DEPENDENCYPART_ARC
(3,6),0.489937 # DEPENDENCYPART_ARC
(3,7),0.780344 # DEPENDENCYPART_ARC
(3,8),-0.0834895 # DEPENDENCYPART_ARC
(3,9),-1.04345 # DEPENDENCYPART_ARC
(3,10),-0.431759 # DEPENDENCYPART_ARC
(3,11),-0.70235 # DEPENDENCYPART_ARC
(3,12),0.683835 # DEPENDENCYPART_ARC
(3,13),-1.03067 # DEPENDENCYPART_ARC
(3,14),-0.253139 # DEPENDENCYPART_ARC
(3,15),-0.803483 # DEPENDENCYPART_ARC
(3,16),-0.902072 # DEPENDENCYPART_ARC
(3,17),-1.16523 # DEPENDENCYPART_ARC
(3,18),-2.63098 # DEPENDENCYPART_ARC
(3,19),-1.43255 # DEPENDENCYPART_ARC
(3,20),-0.998507 # DEPENDENCYPART_ARC
(3,21),-0.889084 # DEPENDENCYPART_ARC
(3,22),-0.760558 # DEPENDENCYPART_ARC
(3,23),-0.828939 # DEPENDENCYPART_ARC
(3,24),-1.36166 # DEPENDENCYPART_ARC
(3,25),-1.477 # DEPENDENCYPART_ARC
(3,26),-4.1661 # DEPENDENCYPART_ARC
(3,27),-0.30433 # DEPENDENCYPART_ARC
(4,1),-1.29275 # DEPENDENCYPART_ARC
(4,2),-0.981018 # DEPENDENCYPART_ARC
(4,3),-0.445914 # DEPENDENCYPART_ARC
(4,5),0.450715 # DEPENDENCYPART_ARC
(4,6),-0.454541 # DEPENDENCYPART_ARC
(4,7),-0.596532 # DEPENDENCYPART_ARC
(4,8),-0.836543 # DEPENDENCYPART_ARC
(4,9),-1.25614 # DEPENDENCYPART_ARC
(4,10),-1.2869 # DEPENDENCYPART_ARC
(4,11),-1.35955 # DEPENDENCYPART_ARC
(4,12),-0.501049 # DEPENDENCYPART_ARC
(4,13),-1.44487 # DEPENDENCYPART_ARC
(4,14),-1.63949 # DEPENDENCYPART_ARC
(4,15),-1.32298 # DEPENDENCYPART_ARC
(4,16),-1.3628 # DEPENDENCYPART_ARC
(4,17),-1.68551 # DEPENDENCYPART_ARC
(4,18),-1.48549 # DEPENDENCYPART_ARC
(4,19),-1.85044 # DEPENDENCYPART_ARC
(4,20),-1.64188 # DEPENDENCYPART_ARC
(4,21),-1.52839 # DEPENDENCYPART_ARC
(4,22),-1.21136 # DEPENDENCYPART_ARC
(4,23),-1.3644 # DEPENDENCYPART_ARC
(4,24),-1.96866 # DEPENDENCYPART_ARC
(4,25),-1.68169 # DEPENDENCYPART_ARC
(4,26),-1.61304 # DEPENDENCYPART_ARC
(4,27),-0.994154 # DEPENDENCYPART_ARC
(5,1),-0.600807 # DEPENDENCYPART_ARC
(5,2),0.85344 # DEPENDENCYPART_ARC
(5,3),1.11005 # DEPENDENCYPART_ARC
(5,4),2.53276 # DEPENDENCYPART_ARC
(5,6),0.854381 # DEPENDENCYPART_ARC
(5,7),3.39827 # DEPENDENCYPART_ARC
(5,8),0.881268 # DEPENDENCYPART_ARC
(5,9),-1.6585 # DEPENDENCYPART_ARC
(5,10),-1.796 # DEPENDENCYPART_ARC
(5,11),0.12242 # DEPENDENCYPART_ARC
(5,12),0.342221 # DEPENDENCYPART_ARC
(5,13),-3.22695 # DEPENDENCYPART_ARC
(5,14),-2.29217 # DEPENDENCYPART_ARC
(5,15),-2.89451 # DEPENDENCYPART_ARC
(5,16),-3.96598 # DEPENDENCYPART_ARC
(5,17),-2.26881 # DEPENDENCYPART_ARC
(5,18),-0.609438 # DEPENDENCYPART_ARC
(5,19),-4.29898 # DEPENDENCYPART_ARC
(5,20),-0.911375 # DEPENDENCYPART_ARC
(5,21),-2.84911 # DEPENDENCYPART_ARC
(5,22),-1.49605 # DEPENDENCYPART_ARC
(5,23),-1.10647 # DEPENDENCYPART_ARC
(5,24),-3.32576 # DEPENDENCYPART_ARC
(5,25),-2.92366 # DEPENDENCYPART_ARC
(5,26),-1.93678 # DEPENDENCYPART_ARC
(5,27),0.165759 # DEPENDENCYPART_ARC
(6,1),-0.362986 # DEPENDENCYPART_ARC
(6,2),-0.617661 # DEPENDENCYPART_ARC
(6,3),-0.28139 # DEPENDENCYPART_ARC
(6,4),0.347973 # DEPENDENCYPART_ARC
(6,5),-2.39994 # DEPENDENCYPART_ARC
(6,7),-0.127689 # DEPENDENCYPART_ARC
(6,8),0.224461 # DEPENDENCYPART_ARC
(6,9),-1.61703 # DEPENDENCYPART_ARC
(6,10),-1.65265 # DEPENDENCYPART_ARC
(6,11),-1.86803 # DEPENDENCYPART_ARC
(6,12),-0.262224 # DEPENDENCYPART_ARC
(6,13),-2.33419 # DEPENDENCYPART_ARC
(6,14),-2.11786 # DEPENDENCYPART_ARC
(6,15),-0.992434 # DEPENDENCYPART_ARC
(6,16),-2.19664 # DEPENDENCYPART_ARC
(6,17),-2.19255 # DEPENDENCYPART_ARC
(6,18),-3.02819 # DEPENDENCYPART_ARC
(6,19),-2.19204 # DEPENDENCYPART_ARC
(6,20),-1.43402 # DEPENDENCYPART_ARC
(6,21),-2.17191 # DEPENDENCYPART_ARC
(6,22),-1.8075 # DEPENDENCYPART_ARC
(6,23),-1.49615 # DEPENDENCYPART_ARC
(6,24),-2.85012 # DEPENDENCYPART_ARC
(6,25),-2.93575 # DEPENDENCYPART_ARC
(6,26),-4.00045 # DEPENDENCYPART_ARC
(6,27),-1.18451 # DEPENDENCYPART_ARC
(7,1),-0.592232 # DEPENDENCYPART_ARC
(7,2),-0.367617 # DEPENDENCYPART_ARC
(7,3),-0.176065 # DEPENDENCYPART_ARC
(7,4),0.0634956 # DEPENDENCYPART_ARC
(7,5),-1.103 # DEPENDENCYPART_ARC
(7,6),3.61826 # DEPENDENCYPART_ARC
(7,8),1.22846 # DEPENDENCYPART_ARC
(7,9),-0.868652 # DEPENDENCYPART_ARC
(7,10),-1.2853 # DEPENDENCYPART_ARC
(7,11),-0.880505 # DEPENDENCYPART_ARC
(7,12),0.0123202 # DEPENDENCYPART_ARC
(7,13),-1.58318 # DEPENDENCYPART_ARC
(7,14),-2.1222 # DEPENDENCYPART_ARC
(7,15),0.0466521 # DEPENDENCYPART_ARC
(7,16),-0.309373 # DEPENDENCYPART_ARC
(7,17),-1.85009 # DEPENDENCYPART_ARC
(7,18),-2.95535 # DEPENDENCYPART_ARC
(7,19),-1.33643 # DEPENDENCYPART_ARC
(7,20),-1.37148 # DEPENDENCYPART_ARC
(7,21),-1.17229 # DEPENDENCYPART_ARC
(7,22),-0.7132 # DEPENDENCYPART_ARC
(7,23),-1.35831 # DEPENDENCYPART_ARC
(7,24),-3.09931 # DEPENDENCYPART_ARC
(7,25),-2.46466 # DEPENDENCYPART_ARC
(7,26),-3.83352 # DEPENDENCYPART_ARC
(7,27),-0.50777 # DEPENDENCYPART_ARC
(8,1),-0.901078 # DEPENDENCYPART_ARC
(8,2),-0.589617 # DEPENDENCYPART_ARC
(8,3),-0.67013 # DEPENDENCYPART_ARC
(8,4),-0.630433 # DEPENDENCYPART_ARC
(8,5),-0.70841 # DEPENDENCYPART_ARC
(8,6),-0.354963 # DEPENDENCYPART_ARC
(8,7),-0.75652 # DEPENDENCYPART_ARC
(8,9),0.263146 # DEPENDENCYPART_ARC
(8,10),1.28475 # DEPENDENCYPART_ARC
(8,11),2.2881 # DEPENDENCYPART_ARC
(8,12),0.298757 # DEPENDENCYPART_ARC
(8,13),-0.927908 # DEPENDENCYPART_ARC
(8,14),0.988507 # DEPENDENCYPART_ARC
(8,15),-0.907539 # DEPENDENCYPART_ARC
(8,16),-1.53177 # DEPENDENCYPART_ARC
(8,17),-1.42178 # DEPENDENCYPART_ARC
(8,18),-1.12031 # DEPENDENCYPART_ARC
(8,19),-1.11759 # DEPENDENCYPART_ARC
(8,20),-1.09411 # DEPENDENCYPART_ARC
(8,21),-1.88231 # DEPENDENCYPART_ARC
(8,22),-1.33239 # DEPENDENCYPART_ARC
(8,23),-1.03555 # DEPENDENCYPART_ARC
(8,24),-1.17423 # DEPENDENCYPART_ARC
(8,25),-1.78207 # DEPENDENCYPART_ARC
(8,26),-2.49297 # DEPENDENCYPART_ARC
(8,27),-1.22602 # DEPENDENCYPART_ARC
(9,1),-1.98818 # DEPENDENCYPART_ARC
(9,2),-1.98965 # DEPENDENCYPART_ARC
(9,3),-1.80082 # DEPENDENCYPART_ARC
(9,4),-1.84073 # DEPENDENCYPART_ARC
(9,5),-3.29632 # DEPENDENCYPART_ARC
(9,6),-2.44998 # DEPENDENCYPART_ARC
(9,7),-1.98281 # DEPENDENCYPART_ARC
(9,8),-0.643655 # DEPENDENCYPART_ARC
(9,10),-0.345625 # DEPENDENCYPART_ARC
(9,11),0.106685 # DEPENDENCYPART_ARC
(9,12),-0.152977 # DEPENDENCYPART_ARC
(9,13),-0.795246 # DEPENDENCYPART_ARC
(9,14),-1.53427 # DEPENDENCYPART_ARC
(9,15),-2.59795 # DEPENDENCYPART_ARC
(9,16),-2.72652 # DEPENDENCYPART_ARC
(9,17),-1.60094 # DEPENDENCYPART_ARC
(9,18),-1.99183 # DEPENDENCYPART_ARC
(9,19),-2.6835 # DEPENDENCYPART_ARC
(9,20),-1.52186 # DEPENDENCYPART_ARC
(9,21),-2.84501 # DEPENDENCYPART_ARC
(9,22),-1.23933 # DEPENDENCYPART_ARC
(9,23),-1.35663 # DEPENDENCYPART_ARC
(9,24),-2.38837 # DEPENDENCYPART_ARC
(9,25),-1.77039 # DEPENDENCYPART_ARC
(9,26),-1.86683 # DEPENDENCYPART_ARC
(9,27),-1.13052 # DEPENDENCYPART_ARC
(10,1),-0.833757 # DEPENDENCYPART_ARC
(10,2),-1.24995 # DEPENDENCYPART_ARC
(10,3),-0.987373 # DEPENDENCYPART_ARC
(10,4),-0.945556 # DEPENDENCYPART_ARC
(10,5),-5.64358 # DEPENDENCYPART_ARC
(10,6),-0.902678 # DEPENDENCYPART_ARC
(10,7),-1.4195 # DEPENDENCYPART_ARC
(10,8),-0.0395958 # DEPENDENCYPART_ARC
(10,9),1.16372 # DEPENDENCYPART_ARC
(10,11),0.387685 # DEPENDENCYPART_ARC
(10,12),-0.450636 # DEPENDENCYPART_ARC
(10,13),-1.71007 # DEPENDENCYPART_ARC
(10,14),-1.90413 # DEPENDENCYPART_ARC
(10,15),-0.939752 # DEPENDENCYPART_ARC
(10,16),-1.94538 # DEPENDENCYPART_ARC
(10,17),-2.21373 # DEPENDENCYPART_ARC
(10,18),-2.44959 # DEPENDENCYPART_ARC
(10,19),-1.89631 # DEPENDENCYPART_ARC
(10,20),-1.53212 # DEPENDENCYPART_ARC
(10,21),-2.38534 # DEPENDENCYPART_ARC
(10,22),-1.54207 # DEPENDENCYPART_ARC
(10,23),-1.55124 # DEPENDENCYPART_ARC
(10,24),-2.96174 # DEPENDENCYPART_ARC
(10,25),-2.68192 # DEPENDENCYPART_ARC
(10,26),-3.16842 # DEPENDENCYPART_ARC
(10,27),-1.29922 # DEPENDENCYPART_ARC
(11,1),-0.585019 # DEPENDENCYPART_ARC
(11,2),-0.393484 # DEPENDENCYPART_ARC
(11,3),-0.462482 # DEPENDENCYPART_ARC
(11,4),-0.332458 # DEPENDENCYPART_ARC
(11,5),-2.31834 # DEPENDENCYPART_ARC
(11,6),0.107509 # DEPENDENCYPART_ARC
(11,7),-1.08187 # DEPENDENCYPART_ARC
(11,8),0.166193 # DEPENDENCYPART_ARC
(11,9),3.64771 # DEPENDENCYPART_ARC
(11,10),4.09528 # DEPENDENCYPART_ARC
(11,12),-0.145867 # DEPENDENCYPART_ARC
(11,13),-0.805205 # DEPENDENCYPART_ARC
(11,14),-1.05819 # DEPENDENCYPART_ARC
(11,15),0.353093 # DEPENDENCYPART_ARC
(11,16),0.0316865 # DEPENDENCYPART_ARC
(11,17),-2.12288 # DEPENDENCYPART_ARC
(11,18),-2.39577 # DEPENDENCYPART_ARC
(11,19),-1.38698 # DEPENDENCYPART_ARC
(11,20),-1.87622 # DEPENDENCYPART_ARC
(11,21),-1.47053 # DEPENDENCYPART_ARC
(11,22),-1.46379 # DEPENDENCYPART_ARC
(11,23),-1.96299 # DEPENDENCYPART_ARC
(11,24),-2.69336 # DEPENDENCYPART_ARC
(11,25),-2.48858 # DEPENDENCYPART_ARC
(11,26),-3.15357 # DEPENDENCYPART_ARC
(11,27),-1.38954 # DEPENDENCYPART_ARC
(12,1),-0.631033 # DEPENDENCYPART_ARC
(12,2),-0.567943 # DEPENDENCYPART_ARC
(12,3),-0.352795 # DEPENDENCYPART_ARC
(12,4),0.070589 # DEPENDENCYPART_ARC
(12,5),-0.122205 # DEPENDENCYPART_ARC
(12,6),-0.33134 # DEPENDENCYPART_ARC
(12,7),0.0980607 # DEPENDENCYPART_ARC
(12,8),0.140699 # DEPENDENCYPART_ARC
(12,9),-0.00256967 # DEPENDENCYPART_ARC
(12,10),0.0252613 # DEPENDENCYPART_ARC
(12,11),0.672239 # DEPENDENCYPART_ARC
(12,13),-0.0770817 # DEPENDENCYPART_ARC
(12,14),-0.37766 # DEPENDENCYPART_ARC
(12,15),-0.0139013 # DEPENDENCYPART_ARC
(12,16),-0.752216 # DEPENDENCYPART_ARC
(12,17),-1.23653 # DEPENDENCYPART_ARC
(12,18),-1.09101 # DEPENDENCYPART_ARC
(12,19),-1.6067 # DEPENDENCYPART_ARC
(12,20),-1.06732 # DEPENDENCYPART_ARC
(12,21),-1.16514 # DEPENDENCYPART_ARC
(12,22),-0.79081 # DEPENDENCYPART_ARC
(12,23),-1.21606 # DEPENDENCYPART_ARC
(12,24),-1.79605 # DEPENDENCYPART_ARC
(12,25),-1.56197 # DEPENDENCYPART_ARC
(12,26),-1.56914 # DEPENDENCYPART_ARC
(12,27),-0.501315 # DEPENDENCYPART_ARC
(13,1),-1.61593 # DEPENDENCYPART_ARC
(13,2),-1.69479 # DEPENDENCYPART_ARC
(13,3),-1.51197 # DEPENDENCYPART_ARC
(13,4),-1.50272 # DEPENDENCYPART_ARC
(13,5),-3.21295 # DEPENDENCYPART_ARC
(13,6),-1.80637 # DEPENDENCYPART_ARC
(13,7),-1.87108 # DEPENDENCYPART_ARC
(13,8),-1.1837 # DEPENDENCYPART_ARC
(13,9),-0.634069 # DEPENDENCYPART_ARC
(13,10),-1.42132 # DEPENDENCYPART_ARC
(13,11),-1.07311 # DEPENDENCYPART_ARC
(13,12),-0.337849 # DEPENDENCYPART_ARC
(13,14),-0.0567031 # DEPENDENCYPART_ARC
(13,15),-1.81031 # DEPENDENCYPART_ARC
(13,16),-2.16989 # DEPENDENCYPART_ARC
(13,17),-1.37988 # DEPENDENCYPART_ARC
(13,18),-1.30365 # DEPENDENCYPART_ARC
(13,19),-2.40385 # DEPENDENCYPART_ARC
(13,20),-1.20911 # DEPENDENCYPART_ARC
(13,21),-2.90095 # DEPENDENCYPART_ARC
(13,22),-0.907428 # DEPENDENCYPART_ARC
(13,23),-0.951396 # DEPENDENCYPART_ARC
(13,24),-2.27064 # DEPENDENCYPART_ARC
(13,25),-1.65629 # DEPENDENCYPART_ARC
(13,26),-1.7127 # DEPENDENCYPART_ARC
(13,27),-0.896838 # DEPENDENCYPART_ARC
(14,1),-0.701413 # DEPENDENCYPART_ARC
(14,2),-0.554524 # DEPENDENCYPART_ARC
(14,3),-0.583635 # DEPENDENCYPART_ARC
(14,4),-0.614946 # DEPENDENCYPART_ARC
(14,5),-2.31171 # DEPENDENCYPART_ARC
(14,6),-1.66915 # DEPENDENCYPART_ARC
(14,7),-1.73067 # DEPENDENCYPART_ARC
(14,8),-0.236584 # DEPENDENCYPART_ARC
(14,9),0.237127 # DEPENDENCYPART_ARC
(14,10),-1.40092 # DEPENDENCYPART_ARC
(14,11),-1.26177 # DEPENDENCYPART_ARC
(14,12),0.554278 # DEPENDENCYPART_ARC
(14,13),2.50256 # DEPENDENCYPART_ARC
(14,15),-0.470507 # DEPENDENCYPART_ARC
(14,16),-0.857204 # DEPENDENCYPART_ARC
(14,17),-2.63938 # DEPENDENCYPART_ARC
(14,18),-2.16798 # DEPENDENCYPART_ARC
(14,19),-2.16607 # DEPENDENCYPART_ARC
(14,20),-1.82935 # DEPENDENCYPART_ARC
(14,21),-2.45829 # DEPENDENCYPART_ARC
(14,22),-1.79941 # DEPENDENCYPART_ARC
(14,23),-1.78578 # DEPENDENCYPART_ARC
(14,24),-2.01984 # DEPENDENCYPART_ARC
(14,25),-2.9112 # DEPENDENCYPART_ARC
(14,26),-2.59378 # DEPENDENCYPART_ARC
(14,27),-1.7979 # DEPENDENCYPART_ARC
(15,1),-1.54148 # DEPENDENCYPART_ARC
(15,2),-1.25532 # DEPENDENCYPART_ARC
(15,3),-0.918753 # DEPENDENCYPART_ARC
(15,4),-1.23226 # DEPENDENCYPART_ARC
(15,5),-2.88471 # DEPENDENCYPART_ARC
(15,6),-2.03752 # DEPENDENCYPART_ARC
(15,7),-0.943291 # DEPENDENCYPART_ARC
(15,8),-0.546412 # DEPENDENCYPART_ARC
(15,9),-2.57961 # DEPENDENCYPART_ARC
(15,10),-2.31868 # DEPENDENCYPART_ARC
(15,11),-2.45116 # DEPENDENCYPART_ARC
(15,12),0.184493 # DEPENDENCYPART_ARC
(15,13),-1.56086 # DEPENDENCYPART_ARC
(15,14),0.964661 # DEPENDENCYPART_ARC
(15,16),-1.07947 # DEPENDENCYPART_ARC
(15,17),-1.48537 # DEPENDENCYPART_ARC
(15,18),0.431981 # DEPENDENCYPART_ARC
(15,19),-3.94351 # DEPENDENCYPART_ARC
(15,20),-1.41443 # DEPENDENCYPART_ARC
(15,21),-2.1392 # DEPENDENCYPART_ARC
(15,22),-1.23833 # DEPENDENCYPART_ARC
(15,23),-1.39334 # DEPENDENCYPART_ARC
(15,24),-3.30079 # DEPENDENCYPART_ARC
(15,25),-3.07176 # DEPENDENCYPART_ARC
(15,26),-2.09362 # DEPENDENCYPART_ARC
(15,27),-0.18836 # DEPENDENCYPART_ARC
(16,1),-0.00940079 # DEPENDENCYPART_ARC
(16,2),0.374883 # DEPENDENCYPART_ARC
(16,3),0.568571 # DEPENDENCYPART_ARC
(16,4),0.492059 # DEPENDENCYPART_ARC
(16,5),1.16241 # DEPENDENCYPART_ARC
(16,6),-2.36314 # DEPENDENCYPART_ARC
(16,7),0.941561 # DEPENDENCYPART_ARC
(16,8),0.463604 # DEPENDENCYPART_ARC
(16,9),-0.67384 # DEPENDENCYPART_ARC
(16,10),-1.99376 # DEPENDENCYPART_ARC
(16,11),-0.24914 # DEPENDENCYPART_ARC
(16,12),1.2196 # DEPENDENCYPART_ARC
(16,13),-0.115556 # DEPENDENCYPART_ARC
(16,14),3.27959 # DEPENDENCYPART_ARC
(16,15),4.58937 # DEPENDENCYPART_ARC
(16,17),-0.496648 # DEPENDENCYPART_ARC
(16,18),2.90384 # DEPENDENCYPART_ARC
(16,19),-1.1858 # DEPENDENCYPART_ARC
(16,20),0.184329 # DEPENDENCYPART_ARC
(16,21),-0.334835 # DEPENDENCYPART_ARC
(16,22),-0.134085 # DEPENDENCYPART_ARC
(16,23),-0.350589 # DEPENDENCYPART_ARC
(16,24),-1.71003 # DEPENDENCYPART_ARC
(16,25),-2.67683 # DEPENDENCYPART_ARC
(16,26),-0.381196 # DEPENDENCYPART_ARC
(16,27),0.406765 # DEPENDENCYPART_ARC
(17,1),-1.68597 # DEPENDENCYPART_ARC
(17,2),-1.7686 # DEPENDENCYPART_ARC
(17,3),-1.63644 # DEPENDENCYPART_ARC
(17,4),-1.72054 # DEPENDENCYPART_ARC
(17,5),-3.4303 # DEPENDENCYPART_ARC
(17,6),-2.71642 # DEPENDENCYPART_ARC
(17,7),-2.3245 # DEPENDENCYPART_ARC
(17,8),-1.41081 # DEPENDENCYPART_ARC
(17,9),-1.40209 # DEPENDENCYPART_ARC
(17,10),-2.33444 # DEPENDENCYPART_ARC
(17,11),-1.92756 # DEPENDENCYPART_ARC
(17,12),-1.50909 # DEPENDENCYPART_ARC
(17,13),-1.35898 # DEPENDENCYPART_ARC
(17,14),-0.966191 # DEPENDENCYPART_ARC
(17,15),-2.57609 # DEPENDENCYPART_ARC
(17,16),-1.69148 # DEPENDENCYPART_ARC
(17,18),-0.162043 # DEPENDENCYPART_ARC
(17,19),-1.47592 # DEPENDENCYPART_ARC
(17,20),-0.695872 # DEPENDENCYPART_ARC
(17,21),-2.20196 # DEPENDENCYPART_ARC
(17,22),-1.23848 # DEPENDENCYPART_ARC
(17,23),-1.20375 # DEPENDENCYPART_ARC
(17,24),-2.90185 # DEPENDENCYPART_ARC
(17,25),-1.82313 # DEPENDENCYPART_ARC
(17,26),-2.23758 # DEPENDENCYPART_ARC
(17,27),-1.02475 # DEPENDENCYPART_ARC
(18,1),-1.7252 # DEPENDENCYPART_ARC
(18,2),-1.42877 # DEPENDENCYPART_ARC
(18,3),-1.33054 # DEPENDENCYPART_ARC
(18,4),-1.28367 # DEPENDENCYPART_ARC
(18,5),-3.54015 # DEPENDENCYPART_ARC
(18,6),-2.45555 # DEPENDENCYPART_ARC
(18,7),-2.81711 # DEPENDENCYPART_ARC
(18,8),-1.2742 # DEPENDENCYPART_ARC
(18,9),-1.74898 # DEPENDENCYPART_ARC
(18,10),-1.51742 # DEPENDENCYPART_ARC
(18,11),-2.0125 # DEPENDENCYPART_ARC
(18,12),-1.29283 # DEPENDENCYPART_ARC
(18,13),-1.1706 # DEPENDENCYPART_ARC
(18,14),-0.491771 # DEPENDENCYPART_ARC
(18,15),-2.3658 # DEPENDENCYPART_ARC
(18,16),-1.63062 # DEPENDENCYPART_ARC
(18,17),3.51616 # DEPENDENCYPART_ARC
(18,19),3.72509 # DEPENDENCYPART_ARC
(18,20),0.648937 # DEPENDENCYPART_ARC
(18,21),1.64546 # DEPENDENCYPART_ARC
(18,22),0.625468 # DEPENDENCYPART_ARC
(18,23),0.0511778 # DEPENDENCYPART_ARC
(18,24),-0.781326 # DEPENDENCYPART_ARC
(18,25),-1.16233 # DEPENDENCYPART_ARC
(18,26),-1.16279 # DEPENDENCYPART_ARC
(18,27),0.103852 # DEPENDENCYPART_ARC
(19,1),-1.46952 # DEPENDENCYPART_ARC
(19,2),-1.34414 # DEPENDENCYPART_ARC
(19,3),-1.40046 # DEPENDENCYPART_ARC
(19,4),-1.42962 # DEPENDENCYPART_ARC
(19,5),-3.06529 # DEPENDENCYPART_ARC
(19,6),-3.66719 # DEPENDENCYPART_ARC
(19,7),-2.97243 # DEPENDENCYPART_ARC
(19,8),-1.33669 # DEPENDENCYPART_ARC
(19,9),-1.92512 # DEPENDENCYPART_ARC
(19,10),-3.86352 # DEPENDENCYPART_ARC
(19,11),-3.38241 # DEPENDENCYPART_ARC
(19,12),-1.09771 # DEPENDENCYPART_ARC
(19,13),-0.877067 # DEPENDENCYPART_ARC
