# _root_ Αργότερα κατακτήθηκε από τους Αθηναίους , τους Μακεδόνες , τους Πτολεμαίους και τους Ρωμαίους .
#goldHeads=2,0,2,5,12,12,8,12,12,11,12,3,14,12,0,
#predictedHeads=2,0,2,5,3,12,8,12,12,11,12,2,14,12,0,
(0,1),-0.188855 # DEPENDENCYPART_ARC
(0,2),0.295709 # DEPENDENCYPART_ARC
(0,3),-1.27757 # DEPENDENCYPART_ARC
(0,5),-1.04737 # DEPENDENCYPART_ARC
(0,6),-0.292439 # DEPENDENCYPART_ARC
(0,8),-1.26801 # DEPENDENCYPART_ARC
(0,9),-0.381597 # DEPENDENCYPART_ARC
(0,11),-1.39701 # DEPENDENCYPART_ARC
(0,12),-0.597761 # DEPENDENCYPART_ARC
(0,14),-1.27407 # DEPENDENCYPART_ARC
(0,15),3.03944 # DEPENDENCYPART_ARC
(1,2),-0.57506 # DEPENDENCYPART_ARC
(1,3),-0.179585 # DEPENDENCYPART_ARC
(1,4),-1.21034 # DEPENDENCYPART_ARC
(1,5),-1.69889 # DEPENDENCYPART_ARC
(1,6),-0.698206 # DEPENDENCYPART_ARC
(1,7),-1.69826 # DEPENDENCYPART_ARC
(1,8),-2.58024 # DEPENDENCYPART_ARC
(1,9),-0.838528 # DEPENDENCYPART_ARC
(1,10),-1.85639 # DEPENDENCYPART_ARC
(1,11),-2.83038 # DEPENDENCYPART_ARC
(1,12),-1.23573 # DEPENDENCYPART_ARC
(1,13),-1.93854 # DEPENDENCYPART_ARC
(1,14),-3.11663 # DEPENDENCYPART_ARC
(1,15),-1.36418 # DEPENDENCYPART_ARC
(2,1),2.1401 # DEPENDENCYPART_ARC
(2,3),1.67765 # DEPENDENCYPART_ARC
(2,4),-1.24235 # DEPENDENCYPART_ARC
(2,5),-0.459576 # DEPENDENCYPART_ARC
(2,6),0.836452 # DEPENDENCYPART_ARC
(2,7),-2.03076 # DEPENDENCYPART_ARC
(2,8),-1.95898 # DEPENDENCYPART_ARC
(2,9),0.593861 # DEPENDENCYPART_ARC
(2,10),-2.36408 # DEPENDENCYPART_ARC
(2,11),-2.4335 # DEPENDENCYPART_ARC
(2,12),0.498037 # DEPENDENCYPART_ARC
(2,13),-2.48106 # DEPENDENCYPART_ARC
(2,14),-3.05875 # DEPENDENCYPART_ARC
(2,15),0.323074 # DEPENDENCYPART_ARC
(3,1),-0.697138 # DEPENDENCYPART_ARC
(3,2),-0.474126 # DEPENDENCYPART_ARC
(3,4),0.326019 # DEPENDENCYPART_ARC
(3,5),2.94985 # DEPENDENCYPART_ARC
(3,6),0.442573 # DEPENDENCYPART_ARC
(3,7),-0.815342 # DEPENDENCYPART_ARC
(3,8),0.473942 # DEPENDENCYPART_ARC
(3,9),0.0036259 # DEPENDENCYPART_ARC
(3,10),-1.21935 # DEPENDENCYPART_ARC
(3,11),-1.70023 # DEPENDENCYPART_ARC
(3,12),0.477466 # DEPENDENCYPART_ARC
(3,13),-1.22849 # DEPENDENCYPART_ARC
(3,14),-2.39 # DEPENDENCYPART_ARC
(3,15),-0.89105 # DEPENDENCYPART_ARC
(4,1),-1.75043 # DEPENDENCYPART_ARC
(4,8),-1.09754 # DEPENDENCYPART_ARC
(4,12),0.161893 # DEPENDENCYPART_ARC
(5,1),-0.648529 # DEPENDENCYPART_ARC
(5,2),-1.60731 # DEPENDENCYPART_ARC
(5,3),0.0845081 # DEPENDENCYPART_ARC
(5,4),2.99301 # DEPENDENCYPART_ARC
(5,6),-0.680929 # DEPENDENCYPART_ARC
(5,7),-1.52599 # DEPENDENCYPART_ARC
(5,8),-1.41915 # DEPENDENCYPART_ARC
(5,9),-1.2839 # DEPENDENCYPART_ARC
(5,10),-2.24723 # DEPENDENCYPART_ARC
(5,11),-2.85582 # DEPENDENCYPART_ARC
(5,12),-0.710756 # DEPENDENCYPART_ARC
(5,13),-2.58837 # DEPENDENCYPART_ARC
(5,14),-3.48743 # DEPENDENCYPART_ARC
(5,15),-1.36131 # DEPENDENCYPART_ARC
(6,1),-0.453551 # DEPENDENCYPART_ARC
(6,2),-0.247062 # DEPENDENCYPART_ARC
(6,3),0.382492 # DEPENDENCYPART_ARC
(6,5),0.788152 # DEPENDENCYPART_ARC
(6,8),0.688761 # DEPENDENCYPART_ARC
(6,9),0.46856 # DEPENDENCYPART_ARC
(6,11),0.0961539 # DEPENDENCYPART_ARC
(6,12),0.475562 # DEPENDENCYPART_ARC
(6,14),-0.32659 # DEPENDENCYPART_ARC
(6,15),-0.00773599 # DEPENDENCYPART_ARC
(7,1),-1.1661 # DEPENDENCYPART_ARC
(7,8),0.00674893 # DEPENDENCYPART_ARC
(7,12),-0.10104 # DEPENDENCYPART_ARC
(8,1),-1.00388 # DEPENDENCYPART_ARC
