# _root_ " Βάζουμε τον εξεταζόμενο στην εξεταστική τράπεζα , με τη βοήθεια των τριών κεφαλών παίρνουμε λήψη σπεκτ , δηλαδή λήψη σε τρία επίπεδα .
#goldHeads=8,8,4,2,2,7,5,0,15,11,9,14,14,11,8,19,16,19,15,19,20,23,21,0,
#predictedHeads=2,0,4,2,2,7,5,2,2,11,9,14,14,11,0,15,16,19,15,19,20,23,21,0,
(0,1),0.134568 # DEPENDENCYPART_ARC
(0,2),1.13436 # DEPENDENCYPART_ARC
(0,3),-1.24745 # DEPENDENCYPART_ARC
(0,4),-1.37348 # DEPENDENCYPART_ARC
(0,5),-1.34968 # DEPENDENCYPART_ARC
(0,6),-0.938372 # DEPENDENCYPART_ARC
(0,7),-0.933629 # DEPENDENCYPART_ARC
(0,8),0.0602028 # DEPENDENCYPART_ARC
(0,9),-1.41918 # DEPENDENCYPART_ARC
(0,10),-1.44908 # DEPENDENCYPART_ARC
(0,11),-1.15946 # DEPENDENCYPART_ARC
(0,12),-1.78627 # DEPENDENCYPART_ARC
(0,13),-2.03343 # DEPENDENCYPART_ARC
(0,14),-1.57103 # DEPENDENCYPART_ARC
(0,15),0.323742 # DEPENDENCYPART_ARC
(0,16),-1.42945 # DEPENDENCYPART_ARC
(0,17),-0.862081 # DEPENDENCYPART_ARC
(0,18),-0.673877 # DEPENDENCYPART_ARC
(0,19),-1.29898 # DEPENDENCYPART_ARC
(0,20),-1.22133 # DEPENDENCYPART_ARC
(0,21),-2.02299 # DEPENDENCYPART_ARC
(0,22),-2.1113 # DEPENDENCYPART_ARC
(0,23),-1.02842 # DEPENDENCYPART_ARC
(0,24),3.04456 # DEPENDENCYPART_ARC
(1,2),-0.65691 # DEPENDENCYPART_ARC
(1,3),-1.81612 # DEPENDENCYPART_ARC
(1,4),-1.60231 # DEPENDENCYPART_ARC
(1,5),-1.62911 # DEPENDENCYPART_ARC
(1,6),-1.78479 # DEPENDENCYPART_ARC
(1,7),-2.40476 # DEPENDENCYPART_ARC
(1,8),-1.42035 # DEPENDENCYPART_ARC
(1,9),-1.82264 # DEPENDENCYPART_ARC
(1,10),-2.28002 # DEPENDENCYPART_ARC
(1,11),-2.64426 # DEPENDENCYPART_ARC
(1,12),-2.32319 # DEPENDENCYPART_ARC
(1,13),-2.11016 # DEPENDENCYPART_ARC
(1,14),-2.84503 # DEPENDENCYPART_ARC
(1,15),-1.87969 # DEPENDENCYPART_ARC
(1,16),-2.75642 # DEPENDENCYPART_ARC
(1,17),-2.19072 # DEPENDENCYPART_ARC
(1,18),-2.25103 # DEPENDENCYPART_ARC
(1,19),-1.94181 # DEPENDENCYPART_ARC
(1,20),-2.90835 # DEPENDENCYPART_ARC
(1,21),-1.99726 # DEPENDENCYPART_ARC
(1,22),-2.4511 # DEPENDENCYPART_ARC
(1,23),-3.0376 # DEPENDENCYPART_ARC
(1,24),-2.45495 # DEPENDENCYPART_ARC
(2,1),1.41722 # DEPENDENCYPART_ARC
(2,3),-0.5109 # DEPENDENCYPART_ARC
(2,4),0.677618 # DEPENDENCYPART_ARC
(2,5),1.41036 # DEPENDENCYPART_ARC
(2,6),-1.09958 # DEPENDENCYPART_ARC
(2,7),1.20067 # DEPENDENCYPART_ARC
(2,8),1.42841 # DEPENDENCYPART_ARC
(2,9),1.08946 # DEPENDENCYPART_ARC
(2,10),-1.68346 # DEPENDENCYPART_ARC
(2,11),-0.76531 # DEPENDENCYPART_ARC
(2,12),-2.24526 # DEPENDENCYPART_ARC
(2,13),-1.46502 # DEPENDENCYPART_ARC
(2,14),-2.96952 # DEPENDENCYPART_ARC
(2,15),-2.83253 # DEPENDENCYPART_ARC
(2,16),-1.70255 # DEPENDENCYPART_ARC
(2,17),-0.432704 # DEPENDENCYPART_ARC
(2,18),0.397665 # DEPENDENCYPART_ARC
(2,19),0.816364 # DEPENDENCYPART_ARC
(2,20),-1.90453 # DEPENDENCYPART_ARC
(2,21),0.255158 # DEPENDENCYPART_ARC
(2,22),-2.61731 # DEPENDENCYPART_ARC
(2,23),-3.14791 # DEPENDENCYPART_ARC
(2,24),0.166939 # DEPENDENCYPART_ARC
(3,1),-0.768502 # DEPENDENCYPART_ARC
(3,2),-1.96473 # DEPENDENCYPART_ARC
(3,4),-0.398281 # DEPENDENCYPART_ARC
(3,5),-0.385351 # DEPENDENCYPART_ARC
(3,6),-1.14956 # DEPENDENCYPART_ARC
(3,7),-1.17495 # DEPENDENCYPART_ARC
(3,8),-0.585772 # DEPENDENCYPART_ARC
(3,9),-0.664026 # DEPENDENCYPART_ARC
(3,10),-1.35545 # DEPENDENCYPART_ARC
(3,11),-1.73956 # DEPENDENCYPART_ARC
(3,12),-1.51927 # DEPENDENCYPART_ARC
(3,13),-1.73977 # DEPENDENCYPART_ARC
