# _root_ Εσείς αυξηθήκατε περισσότερο , έχετε την τρόικα και την προεδρική τριάδα , αλλά είμαστε σχετικά κερδισμένοι .
#goldHeads=2,4,2,13,4,7,8,5,11,11,8,13,0,13,16,14,0,
#predictedHeads=2,13,2,5,13,7,8,5,11,11,8,13,0,13,16,14,0,
(0,2),0.217958 # DEPENDENCYPART_ARC
(0,3),-0.41207 # DEPENDENCYPART_ARC
(0,4),-0.322507 # DEPENDENCYPART_ARC
(0,5),0.268573 # DEPENDENCYPART_ARC
(0,7),-1.23715 # DEPENDENCYPART_ARC
(0,8),-0.620612 # DEPENDENCYPART_ARC
(0,10),-1.22299 # DEPENDENCYPART_ARC
(0,11),-1.26253 # DEPENDENCYPART_ARC
(0,12),-0.170296 # DEPENDENCYPART_ARC
(0,13),0.61186 # DEPENDENCYPART_ARC
(0,14),-1.02234 # DEPENDENCYPART_ARC
(0,15),-1.11209 # DEPENDENCYPART_ARC
(0,16),-2.15653 # DEPENDENCYPART_ARC
(0,17),3.06638 # DEPENDENCYPART_ARC
(1,3),-0.359875 # DEPENDENCYPART_ARC
(1,7),-2.15134 # DEPENDENCYPART_ARC
(1,8),-1.00769 # DEPENDENCYPART_ARC
(1,10),-2.36867 # DEPENDENCYPART_ARC
(1,11),-2.16995 # DEPENDENCYPART_ARC
(1,13),-1.05806 # DEPENDENCYPART_ARC
(1,15),-1.44843 # DEPENDENCYPART_ARC
(1,16),-1.16477 # DEPENDENCYPART_ARC
(2,1),3.35227 # DEPENDENCYPART_ARC
(2,3),2.54034 # DEPENDENCYPART_ARC
(2,4),0.705775 # DEPENDENCYPART_ARC
(2,5),-0.807738 # DEPENDENCYPART_ARC
(2,6),-2.45946 # DEPENDENCYPART_ARC
(2,7),-0.914547 # DEPENDENCYPART_ARC
(2,8),-0.303748 # DEPENDENCYPART_ARC
(2,9),-2.89177 # DEPENDENCYPART_ARC
(2,10),-2.32779 # DEPENDENCYPART_ARC
(2,11),-2.27706 # DEPENDENCYPART_ARC
(2,12),-0.0510357 # DEPENDENCYPART_ARC
(2,13),-0.534232 # DEPENDENCYPART_ARC
(2,14),-4.10088 # DEPENDENCYPART_ARC
(2,15),-1.54398 # DEPENDENCYPART_ARC
(2,16),-0.887186 # DEPENDENCYPART_ARC
(2,17),-0.50206 # DEPENDENCYPART_ARC
