# _root_ Σε αυτό εκτίθενται ευρήματα από τον προϊστορικό οικισμό στο Ντικιλί Τας , την ελληνιστική , ρωμαϊκή και παλιοχριστιανική πόλη των Φιλίππων .
#goldHeads=3,1,0,3,4,8,8,12,8,9,10,5,14,17,17,17,19,17,12,21,19,0,
#predictedHeads=3,1,0,3,4,8,8,5,8,9,14,17,14,17,17,17,19,17,10,21,19,0,
(0,1),-1.02963 # DEPENDENCYPART_ARC
(0,2),-0.514224 # DEPENDENCYPART_ARC
(0,3),0.59473 # DEPENDENCYPART_ARC
(0,4),-1.40104 # DEPENDENCYPART_ARC
(0,5),-1.5458 # DEPENDENCYPART_ARC
(0,7),-1.85997 # DEPENDENCYPART_ARC
(0,8),-1.97667 # DEPENDENCYPART_ARC
(0,9),-1.52218 # DEPENDENCYPART_ARC
(0,10),-1.7792 # DEPENDENCYPART_ARC
(0,12),-1.23434 # DEPENDENCYPART_ARC
(0,14),-1.55281 # DEPENDENCYPART_ARC
(0,15),-1.07121 # DEPENDENCYPART_ARC
(0,16),-1.73827 # DEPENDENCYPART_ARC
(0,17),-0.823314 # DEPENDENCYPART_ARC
(0,18),-1.60689 # DEPENDENCYPART_ARC
(0,19),-1.92379 # DEPENDENCYPART_ARC
(0,21),-1.91737 # DEPENDENCYPART_ARC
(0,22),3.16583 # DEPENDENCYPART_ARC
(1,2),2.16398 # DEPENDENCYPART_ARC
(1,3),1.08206 # DEPENDENCYPART_ARC
(1,4),0.733641 # DEPENDENCYPART_ARC
(1,5),-0.60618 # DEPENDENCYPART_ARC
(1,6),-1.40973 # DEPENDENCYPART_ARC
(1,7),-0.951888 # DEPENDENCYPART_ARC
(1,8),-1.14898 # DEPENDENCYPART_ARC
(1,10),-1.67878 # DEPENDENCYPART_ARC
(1,11),-1.56845 # DEPENDENCYPART_ARC
(1,12),-0.320597 # DEPENDENCYPART_ARC
(1,13),-1.74346 # DEPENDENCYPART_ARC
(1,14),-1.43775 # DEPENDENCYPART_ARC
(1,15),-0.504828 # DEPENDENCYPART_ARC
(1,16),-1.2722 # DEPENDENCYPART_ARC
(1,17),-1.60543 # DEPENDENCYPART_ARC
(1,18),-1.33832 # DEPENDENCYPART_ARC
(1,19),-3.13653 # DEPENDENCYPART_ARC
(1,20),-1.87083 # DEPENDENCYPART_ARC
(1,21),-1.55771 # DEPENDENCYPART_ARC
(1,22),-1.00403 # DEPENDENCYPART_ARC
(2,3),-0.577323 # DEPENDENCYPART_ARC
(2,4),-0.40753 # DEPENDENCYPART_ARC
(2,7),-1.96868 # DEPENDENCYPART_ARC
(2,8),-1.99678 # DEPENDENCYPART_ARC
(2,10),-2.03719 # DEPENDENCYPART_ARC
(2,12),-1.25095 # DEPENDENCYPART_ARC
(2,14),-2.65673 # DEPENDENCYPART_ARC
(2,15),-1.42419 # DEPENDENCYPART_ARC
(2,16),-2.684 # DEPENDENCYPART_ARC
(2,17),-1.13442 # DEPENDENCYPART_ARC
(2,18),-2.88788 # DEPENDENCYPART_ARC
(2,19),-2.58583 # DEPENDENCYPART_ARC
(2,21),-3.20442 # DEPENDENCYPART_ARC
(2,22),-1.49556 # DEPENDENCYPART_ARC
(3,1),1.79072 # DEPENDENCYPART_ARC
(3,2),1.18772 # DEPENDENCYPART_ARC
(3,4),2.87293 # DEPENDENCYPART_ARC
(3,5),0.751284 # DEPENDENCYPART_ARC
(3,6),-2.62447 # DEPENDENCYPART_ARC
(3,7),-2.31149 # DEPENDENCYPART_ARC
(3,8),-0.516994 # DEPENDENCYPART_ARC
(3,9),-0.293666 # DEPENDENCYPART_ARC
(3,10),-2.41862 # DEPENDENCYPART_ARC
(3,11),-2.78434 # DEPENDENCYPART_ARC
(3,12),-0.186054 # DEPENDENCYPART_ARC
(3,13),-3.00401 # DEPENDENCYPART_ARC
(3,14),-3.15877 # DEPENDENCYPART_ARC
(3,15),-0.210107 # DEPENDENCYPART_ARC
(3,16),-3.56509 # DEPENDENCYPART_ARC
(3,17),0.00619622 # DEPENDENCYPART_ARC
(3,18),-4.0178 # DEPENDENCYPART_ARC
(3,19),-2.70722 # DEPENDENCYPART_ARC
(3,20),-3.48386 # DEPENDENCYPART_ARC
(3,21),-3.92379 # DEPENDENCYPART_ARC
(3,22),-0.670209 # DEPENDENCYPART_ARC
(4,1),-0.460269 # DEPENDENCYPART_ARC
(4,2),0.52208 # DEPENDENCYPART_ARC
