# _root_ Τέλος , κύριε Πρόεδρε , θα αναφερθώ στη συζήτηση σχετικά με τη Συνέλευση και τη διακυβέρνηση .
#goldHeads=7,4,4,7,4,7,0,7,8,9,10,13,14,11,16,14,0,
#predictedHeads=7,7,4,7,7,7,0,7,8,7,10,13,14,11,16,14,0,
(0,1),-0.0754667 # DEPENDENCYPART_ARC
(0,2),0.0199177 # DEPENDENCYPART_ARC
(0,3),0.335723 # DEPENDENCYPART_ARC
(0,4),0.308677 # DEPENDENCYPART_ARC
(0,5),-0.0883664 # DEPENDENCYPART_ARC
(0,6),-0.591217 # DEPENDENCYPART_ARC
(0,7),0.73082 # DEPENDENCYPART_ARC
(0,8),-1.51381 # DEPENDENCYPART_ARC
(0,9),-0.839983 # DEPENDENCYPART_ARC
(0,10),-1.06772 # DEPENDENCYPART_ARC
(0,11),-1.87146 # DEPENDENCYPART_ARC
(0,12),-1.58077 # DEPENDENCYPART_ARC
(0,13),-1.1299 # DEPENDENCYPART_ARC
(0,14),-0.330366 # DEPENDENCYPART_ARC
(0,15),-1.58209 # DEPENDENCYPART_ARC
(0,16),-1.16661 # DEPENDENCYPART_ARC
(0,17),3.02717 # DEPENDENCYPART_ARC
(1,2),0.363072 # DEPENDENCYPART_ARC
(1,3),0.45135 # DEPENDENCYPART_ARC
(1,4),-0.345126 # DEPENDENCYPART_ARC
(1,5),-0.157731 # DEPENDENCYPART_ARC
(1,6),-0.920193 # DEPENDENCYPART_ARC
(1,7),-0.631895 # DEPENDENCYPART_ARC
(1,8),-1.27868 # DEPENDENCYPART_ARC
(1,9),-2.05549 # DEPENDENCYPART_ARC
(1,10),-1.24665 # DEPENDENCYPART_ARC
(1,11),-1.01523 # DEPENDENCYPART_ARC
(1,12),-1.9852 # DEPENDENCYPART_ARC
(1,13),-2.5038 # DEPENDENCYPART_ARC
(1,14),-0.931513 # DEPENDENCYPART_ARC
(1,15),-1.96488 # DEPENDENCYPART_ARC
(1,16),-2.57528 # DEPENDENCYPART_ARC
(1,17),-1.26024 # DEPENDENCYPART_ARC
(2,1),0.0325384 # DEPENDENCYPART_ARC
(2,3),0.300571 # DEPENDENCYPART_ARC
(2,4),-0.0463277 # DEPENDENCYPART_ARC
(2,5),0.371843 # DEPENDENCYPART_ARC
(2,6),-0.754299 # DEPENDENCYPART_ARC
(2,7),-0.611719 # DEPENDENCYPART_ARC
(2,8),-0.980767 # DEPENDENCYPART_ARC
(2,9),-1.58443 # DEPENDENCYPART_ARC
(2,10),-1.07258 # DEPENDENCYPART_ARC
(2,11),-1.11128 # DEPENDENCYPART_ARC
(2,12),-1.48588 # DEPENDENCYPART_ARC
(2,13),-1.85087 # DEPENDENCYPART_ARC
(2,14),-1.08054 # DEPENDENCYPART_ARC
(2,15),-1.66212 # DEPENDENCYPART_ARC
(2,16),-1.90478 # DEPENDENCYPART_ARC
(2,17),-0.699179 # DEPENDENCYPART_ARC
(3,1),-0.0355246 # DEPENDENCYPART_ARC
(3,2),0.431338 # DEPENDENCYPART_ARC
(3,4),0.371154 # DEPENDENCYPART_ARC
(3,5),0.424397 # DEPENDENCYPART_ARC
(3,6),-0.184261 # DEPENDENCYPART_ARC
(3,7),-0.901425 # DEPENDENCYPART_ARC
(3,8),-0.810016 # DEPENDENCYPART_ARC
(3,9),-2.00285 # DEPENDENCYPART_ARC
(3,10),-0.0873749 # DEPENDENCYPART_ARC
(3,11),-1.00373 # DEPENDENCYPART_ARC
(3,12),-1.80735 # DEPENDENCYPART_ARC
(3,13),-2.54541 # DEPENDENCYPART_ARC
(3,14),-0.225007 # DEPENDENCYPART_ARC
(3,15),-1.9158 # DEPENDENCYPART_ARC
(3,16),-3.42955 # DEPENDENCYPART_ARC
(3,17),-0.0987401 # DEPENDENCYPART_ARC
(4,1),0.61283 # DEPENDENCYPART_ARC
(4,2),1.44202 # DEPENDENCYPART_ARC
(4,3),3.92215 # DEPENDENCYPART_ARC
(4,5),1.29695 # DEPENDENCYPART_ARC
(4,6),0.15663 # DEPENDENCYPART_ARC
(4,7),-0.514134 # DEPENDENCYPART_ARC
(4,8),-0.672542 # DEPENDENCYPART_ARC
(4,9),-1.411 # DEPENDENCYPART_ARC
(4,10),-0.0303628 # DEPENDENCYPART_ARC
(4,11),-0.911059 # DEPENDENCYPART_ARC
(4,12),-1.60637 # DEPENDENCYPART_ARC
(4,13),-2.71041 # DEPENDENCYPART_ARC
(4,14),0.163156 # DEPENDENCYPART_ARC
(4,15),-1.75312 # DEPENDENCYPART_ARC
(4,16),-3.0988 # DEPENDENCYPART_ARC
(4,17),-0.0799972 # DEPENDENCYPART_ARC
(5,1),-0.422812 # DEPENDENCYPART_ARC
(5,2),0.42153 # DEPENDENCYPART_ARC
(5,3),-0.0516438 # DEPENDENCYPART_ARC
(5,4),0.217001 # DEPENDENCYPART_ARC
(5,6),-0.224347 # DEPENDENCYPART_ARC
(5,7),-0.541061 # DEPENDENCYPART_ARC
(5,8),-0.614315 # DEPENDENCYPART_ARC
(5,9),-0.848636 # DEPENDENCYPART_ARC
(5,10),-1.17339 # DEPENDENCYPART_ARC
(5,11),-0.954449 # DEPENDENCYPART_ARC
(5,12),-1.51526 # DEPENDENCYPART_ARC
(5,13),-1.42535 # DEPENDENCYPART_ARC
