# _root_ Το χρονικό πλαίσιο είναι ήδη επαρκώς δομημένο διότι , μετά τη διαβούλευση , ο τελικός κανονισμός της Επιτροπής θα εγκριθεί πριν από το καλοκαίρι αυτού του έτους .
#goldHeads=3,3,4,0,4,7,4,4,10,20,12,10,10,16,16,20,18,16,20,8,20,21,24,22,24,27,25,0,
#predictedHeads=3,3,4,0,4,7,4,4,10,20,12,10,10,16,16,20,18,16,20,8,20,21,24,22,27,27,24,0,
(0,2),-0.715341 # DEPENDENCYPART_ARC
(0,3),-0.608206 # DEPENDENCYPART_ARC
(0,4),0.891237 # DEPENDENCYPART_ARC
(0,5),-1.13553 # DEPENDENCYPART_ARC
(0,6),-0.983438 # DEPENDENCYPART_ARC
(0,7),-1.2079 # DEPENDENCYPART_ARC
(0,8),-0.456828 # DEPENDENCYPART_ARC
(0,9),-0.099023 # DEPENDENCYPART_ARC
(0,13),-0.330841 # DEPENDENCYPART_ARC
(0,20),-0.736522 # DEPENDENCYPART_ARC
(0,21),-0.910453 # DEPENDENCYPART_ARC
(0,25),-1.25684 # DEPENDENCYPART_ARC
(0,28),3.1358 # DEPENDENCYPART_ARC
(1,3),-1.08455 # DEPENDENCYPART_ARC
(2,1),0.752869 # DEPENDENCYPART_ARC
(2,3),-0.630407 # DEPENDENCYPART_ARC
(2,4),-1.12086 # DEPENDENCYPART_ARC
(2,5),-0.721846 # DEPENDENCYPART_ARC
(2,7),-1.46961 # DEPENDENCYPART_ARC
(3,1),2.33756 # DEPENDENCYPART_ARC
(3,2),2.3827 # DEPENDENCYPART_ARC
(3,4),-0.903607 # DEPENDENCYPART_ARC
(3,5),-0.952763 # DEPENDENCYPART_ARC
(3,6),-1.12298 # DEPENDENCYPART_ARC
(3,7),-0.631292 # DEPENDENCYPART_ARC
(3,8),-0.9585 # DEPENDENCYPART_ARC
(4,1),-0.286817 # DEPENDENCYPART_ARC
(4,2),-0.0237265 # DEPENDENCYPART_ARC
(4,3),0.971764 # DEPENDENCYPART_ARC
(4,5),1.02262 # DEPENDENCYPART_ARC
(4,6),0.446264 # DEPENDENCYPART_ARC
(4,7),1.31486 # DEPENDENCYPART_ARC
(4,8),-0.325907 # DEPENDENCYPART_ARC
(4,9),-0.177464 # DEPENDENCYPART_ARC
(4,10),-0.767879 # DEPENDENCYPART_ARC
(4,12),-1.4064 # DEPENDENCYPART_ARC
(4,13),-0.549646 # DEPENDENCYPART_ARC
(4,16),-1.31871 # DEPENDENCYPART_ARC
(4,18),-2.928 # DEPENDENCYPART_ARC
(4,20),-1.69731 # DEPENDENCYPART_ARC
(4,21),-0.702083 # DEPENDENCYPART_ARC
(4,24),-1.94609 # DEPENDENCYPART_ARC
(4,27),-3.60325 # DEPENDENCYPART_ARC
(5,2),-0.965002 # DEPENDENCYPART_ARC
(5,3),-0.870419 # DEPENDENCYPART_ARC
(5,4),-0.657812 # DEPENDENCYPART_ARC
(5,6),-0.155685 # DEPENDENCYPART_ARC
(5,7),-0.616534 # DEPENDENCYPART_ARC
(5,9),-0.825983 # DEPENDENCYPART_ARC
(5,10),-1.12159 # DEPENDENCYPART_ARC
(5,12),-1.82869 # DEPENDENCYPART_ARC
(5,20),-1.38545 # DEPENDENCYPART_ARC
(6,3),-0.856918 # DEPENDENCYPART_ARC
(6,4),-1.04809 # DEPENDENCYPART_ARC
(6,5),0.701095 # DEPENDENCYPART_ARC
(6,7),-0.30189 # DEPENDENCYPART_ARC
(6,9),-0.838968 # DEPENDENCYPART_ARC
(6,10),-1.15502 # DEPENDENCYPART_ARC
(7,2),-0.838067 # DEPENDENCYPART_ARC
(7,3),-0.571559 # DEPENDENCYPART_ARC
(7,4),-2.68993 # DEPENDENCYPART_ARC
(7,5),0.122822 # DEPENDENCYPART_ARC
(7,6),0.715509 # DEPENDENCYPART_ARC
(7,8),0.623213 # DEPENDENCYPART_ARC
(7,9),-0.0435584 # DEPENDENCYPART_ARC
(7,10),-0.0477945 # DEPENDENCYPART_ARC
(7,12),-2.73832 # DEPENDENCYPART_ARC
(7,13),-0.321873 # DEPENDENCYPART_ARC
(7,15),-1.61932 # DEPENDENCYPART_ARC
(7,16),-3.26177 # DEPENDENCYPART_ARC
(7,18),-4.83993 # DEPENDENCYPART_ARC
(7,20),-1.84499 # DEPENDENCYPART_ARC
(7,21),-1.1707 # DEPENDENCYPART_ARC
(7,22),-1.67376 # DEPENDENCYPART_ARC
(7,27),-6.09849 # DEPENDENCYPART_ARC
(8,6),-0.0309553 # DEPENDENCYPART_ARC
(8,9),0.404964 # DEPENDENCYPART_ARC
(8,13),-0.361239 # DEPENDENCYPART_ARC
(8,20),-0.279268 # DEPENDENCYPART_ARC
(9,2),-1.77242 # DEPENDENCYPART_ARC
(9,3),-1.78299 # DEPENDENCYPART_ARC
(9,4),-1.40356 # DEPENDENCYPART_ARC
(9,5),-1.34218 # DEPENDENCYPART_ARC
(9,6),-1.21738 # DEPENDENCYPART_ARC
(9,7),-1.14392 # DEPENDENCYPART_ARC
(9,8),-0.481318 # DEPENDENCYPART_ARC
(9,10),-0.663854 # DEPENDENCYPART_ARC
(9,12),-1.24563 # DEPENDENCYPART_ARC
(9,13),-0.599987 # DEPENDENCYPART_ARC
(9,15),-1.29395 # DEPENDENCYPART_ARC
(9,16),-1.67527 # DEPENDENCYPART_ARC
(9,18),-1.72362 # DEPENDENCYPART_ARC
(9,20),-1.0701 # DEPENDENCYPART_ARC
(10,7),-1.23805 # DEPENDENCYPART_ARC
(10,9),-0.0381052 # DEPENDENCYPART_ARC
(10,11),0.0048048 # DEPENDENCYPART_ARC
(10,12),1.23981 # DEPENDENCYPART_ARC
(10,13),-0.0558551 # DEPENDENCYPART_ARC
(10,16),-0.544825 # DEPENDENCYPART_ARC
(10,18),-1.01612 # DEPENDENCYPART_ARC
(12,9),-0.753208 # DEPENDENCYPART_ARC
(12,10),-0.553377 # DEPENDENCYPART_ARC
(12,11),2.43085 # DEPENDENCYPART_ARC
(12,13),-0.271361 # DEPENDENCYPART_ARC
(12,14),-1.18697 # DEPENDENCYPART_ARC
